
					Hê-bơ-rơ 1				|
Chớ quên sự tiếp khách; có khi kẻ làm điều đó, đã tiếp đãi thiên sứ mà không biết.|不 可 忘 記 用 愛 心 接 待 客 旅 ． 因 為 曾 有 接 待 客 旅 的 、 不 知 不 覺 就 接 待 了 天 使 。
Hãy nhớ những kẻ mắc vòng xiềng xích, như mình cùng phải xiềng xích với họ, lại cũng hãy nhớ những kẻ bị ngược đãi, vì mình cũng có thân thể giống như họ.|你 們 要 記 念 被 捆 綁 的 人 、 好 像 與 他 們 同 受 捆 綁 、 也 要 記 念 遭 苦 害 的 人 、 想 到 自 己 也 在 肉 身 之 內 。
Mọi người phải kính trọng sự hôn nhân, chốn quê phòng chớ có ô uế, vì Đức Chúa Trời sẽ đoán phạt kẻ dâm dục cùng kẻ phạm tội ngoại tình.|婚 姻 、 人 人 都 當 尊 重 、 床 也 不 可 污 穢 ． 因 為 苟 合 行 淫 的 人 　 神 必 要 審 判 。
Chớ tham tiền; hãy lấy điều mình có làm đủ rồi, vì chính Đức Chúa Trời có phán rằng: Ta sẽ chẳng lìa ngươi đâu, chẳng bỏ ngươi đâu.|你 們 存 心 不 可 貪 愛 錢 財 ． 要 以 自 己 所 有 的 為 足 ． 因 為 主 曾 說 、 『 我 總 不 撇 下 你 、 也 不 丟 棄 你 。 』
Như vậy, chúng ta được lấy lòng tin chắc mà nói rằng: Chúa giúp đỡ tôi, tôi không sợ chi hết. Người đời làm chi tôi được?|所 以 我 們 可 以 放 膽 說 、 『 主 是 幫 助 我 的 、 我 必 不 懼 怕 ． 人 能 把 我 怎 麼 樣 呢 。 』
Hãy nhớ những người dắt dẫn mình, đã truyền đạo Đức Chúa Trời cho mình; hãy nghĩ xem sự cuối cùng đời họ là thể nào, và học đòi đức tin họ.|從 前 引 導 你 們 、 傳 　 神 之 道 給 你 們 的 人 、 你 們 要 想 念 他 們 、 效 法 他 們 的 信 心 、 留 心 看 他 們 為 人 的 結 局 。
Đức Chúa Jêsus Christ hôm qua, ngày nay, và cho đến đời đời không hề thay đổi.|耶 穌 基 督 、 昨 日 今 日 一 直 到 永 遠 是 一 樣 的 。
Anh em chớ để cho mọi thứ đạo lạ dỗ dành mình; vì lòng nhờ ân điển được vững bền, ấy là tốt, chớ không phải nhờ đồ ăn, là sự chẳng ích chi cho kẻ làm như vậy.|你 們 要 被 那 諸 般 怪 異 的 教 訓 勾 引 了 去 ． 因 為 人 心 靠 恩 得 堅 固 纔 是 好 的 ． 並 不 是 靠 飲 食 ． 那 在 飲 食 上 專 心 的 、 從 來 沒 有 得 著 益 處 。
Chúng ta có một cái bàn thờ, phàm kẻ hầu việc trong đền tạm không có phép lấy gì tại đó mà ăn.|我 們 有 一 祭 壇 、 上 面 的 祭 物 是 那 些 在 帳 幕 中 供 職 的 人 不 可 同 喫 的 。
Vả, huyết của con sinh bị thầy tế lễ thượng phẩm đem vào nơi thánh để làm lễ chuộc tội, còn thân thể nó thì đốt đi bên ngoài trại quân.|原 來 牲 畜 的 血 、 被 大 祭 司 帶 入 聖 所 作 贖 罪 祭 、 牲 畜 的 身 子 、 被 燒 在 營 外 。
Ay vì đó mà chính mình Đức Chúa Jêsus đã chịu khổ tại ngoài cửa thành để lấy huyết mình làm cho dân nên thánh.|所 以 耶 穌 、 要 用 自 己 的 血 叫 百 姓 成 聖 、 也 就 在 城 門 外 受 苦 。
Vậy nên chúng ta hãy ra ngoài trại quân, đặng đi tới cùng Ngài, đồng chịu điều sỉ nhục.|這 樣 、 我 們 也 當 出 到 營 外 就 了 他 去 、 忍 受 他 所 受 的 凌 辱 。
Vì dưới đời nầy, chúng ta không có thành còn luôn mãi, nhưng chúng ta tìm thành hầu đến.|我 們 在 這 裡 本 沒 有 常 存 的 城 、 乃 是 尋 求 那 將 來 的 城 。
Vậy, hãy cậy Đức Chúa Jêsus mà hằng dâng tế lễ bằng lời ngợi khen cho Đức Chúa Trời, nghĩa là bông trái của môi miếng xưng danh Ngài ra.|我 們 應 當 靠 著 那 穌 、 常 常 以 頌 讚 為 祭 、 獻 給 　 神 、 這 就 是 那 承 認 主 名 之 人 嘴 唇 的 果 子 。
Chớ quên việc lành và lòng bố thí, và sự tế lễ dường ấy đẹp lòng Đức Chúa Trời.|只 是 不 可 忘 記 行 善 、 和 捐 輸 的 事 ． 因 為 這 樣 的 祭 、 是 　 神 所 喜 悅 的 。
Hãy vâng lời kẻ dắt dẫn anh em và chịu phục các người ấy, bởi các người ấy tỉnh thức về linh hồn anh em, dường như phải khai trình, hầu cho các người ấy lấy lòng vui mừng mà làm xong chức vụ mình, không phàn nàn chi, vì ấy chẳng ích lợi gì cho anh em.|你 們 要 依 從 那 些 引 導 你 們 的 、 且 要 順 服 ． 因 他 們 為 你 們 的 靈 魂 時 刻 儆 醒 、 好 像 那 將 來 交 賬 的 人 ． 你 們 要 使 他 們 交 的 時 候 有 快 樂 、 不 至 憂 愁 ． 若 憂 愁 就 與 你 們 無 益 了 。
Hãy cầu nguyện cho chúng tôi, vì chúng tôi biết mình chắc có lương tâm tốt, muốn ăn ở trọn lành trong mọi sự.|請 你 們 為 我 們 禱 告 ． 因 我 們 自 覺 良 心 無 虧 、 願 意 凡 事 按 正 道 而 行 。
Tôi lại nài xin anh em các ngươi đi, để tôi đến cùng anh em cho sớm hơn.|我 更 求 你 們 為 我 禱 告 、 使 我 快 些 回 到 你 們 那 裡 去 。
Đức Chúa Trời bình an, là Đấng bởi huyết giao ước đời đời mà đem Đấng chăn chiên lớn là Đức Chúa Jêsus chúng ta ra khỏi từ trong kẻ chết,|但 願 賜 平 安 的 　 神 、 就 是 那 憑 永 約 之 血 使 群 羊 的 大 牧 人 我 主 耶 穌 、 從 死 裡 復 活 的 　 神 、
nguyền xin Ngài bởi Đức Chúa Jêsus Christ khiến anh em nên trọn vẹn trong sự lành, đặng làm thành ý muốn Ngài, và làm ra sự đẹp ý Ngài trong chúng ta; sự vinh hiển đáng về Ngài đời đời vô cùng! A-men.|在 各 樣 善 事 上 、 成 全 你 們 、 叫 你 們 遵 行 他 的 旨 意 、 又 藉 著 耶 穌 基 督 在 你 們 心 裡 行 他 所 喜 悅 的 事 ． 願 榮 耀 歸 給 他 、 直 到 永 永 遠 遠 。 阿 們 。
Hỡi anh em, xin hãy vui lòng nhận lấy những lời khuyên bảo nầy; ấy tôi đã viết vắn tắt cho anh em vậy.|弟 兄 們 、 我 略 略 寫 信 給 你 們 、 望 你 們 聽 我 勸 勉 的 話 。
Hãy biết rằng anh em chúng ta là Ti-mô-thê đã được thả ra; nếu người sớm đến, tôi sẽ cùng người đi thăm anh em.|你 們 該 知 道 我 們 的 兄 弟 提 摩 太 已 經 釋 放 了 ． 他 若 快 來 、 我 必 同 他 去 見 你 們 。
Hãy chào thăm mọi người dắt dẫn anh em và hết thảy các thánh đồ. Các thánh đồ ở Y-ta-li gởi lời thăm anh em.|請 你 們 問 引 導 你 們 的 諸 位 和 眾 聖 徒 安 。 從 義 大 利 來 的 人 也 問 你 們 安 。
Nguyền xin ân điển ở với anh em hết thảy!|願 恩 惠 常 與 你 們 眾 人 同 在 。 阿 們 。
