
					II Các Vua 1				|
Ta sẽ khiến một thần đến cùng nó, làm cho nó nghe tiếng đồn, và nó sẽ trở về xứ mình; tại đó ta sẽ dùng gươm giết nó.|我 必 驚 動 〔 原 文 作 使 靈 進 入 〕 他 的 心 ． 他 要 聽 見 風 聲 、 就 歸 回 本 地 ． 我 必 使 他 在 那 裡 倒 在 刀 下 。
Khi Ráp-sa-kê trở về vua A-si-ri, thấy vua đương vây Líp-na, vì có hay rằng chủ mình đã lìa khỏi La-ki.|拉 伯 沙 基 回 去 、 正 遇 見 亞 述 王 攻 打 立 拿 ． 原 來 他 早 聽 見 亞 述 王 拔 營 離 開 拉 吉 。
Vua bèn nghe nói về Tiệt-ha-ca, vua Ê-thi-ô-bi rằng: Kìa, người đã kéo ra đặng giao chiến với ông. Bởi cớ đó, San-chê-ríp lại sai sứ giả đến Ê-xê-chia, và dặn rằng:|亞 述 王 聽 見 人 論 古 實 王 特 哈 加 、 說 、 他 出 來 要 與 你 爭 戰 。 於 是 亞 述 王 又 打 發 使 者 去 見 希 西 家 、 吩 咐 他 們 說 、
Các ngươi hãy nói như vầy với Ê-xê-chia, vua Giu-đa, mà rằng: Chớ để cho Đức Chúa Trời, là Đấng ngươi nhờ cậy, phỉnh gạt ngươi, mà nói rằng: Giê-ru-sa-lem sẽ chẳng bị sa vào tay vua A-si-ri.|你 們 對 猶 大 王 希 西 家 如 此 說 、 不 要 聽 你 所 倚 靠 的 　 神 欺 哄 你 說 、 耶 路 撒 冷 必 不 交 在 亞 述 王 的 手 中 。
Kìa, người đã hay những việc các vua A-si-ri đã làm cho các xứ mà diệt đi hết thảy: còn ngươi, sẽ thoát khỏi nào!|你 總 聽 說 亞 述 諸 王 向 列 國 所 行 的 、 乃 是 盡 行 滅 絕 ． 難 道 你 還 能 得 救 麼 。
Các thần của những dân tộc mà tổ phụ ta đã tuyệt diệt, há có giải cứu chúng chăng, là các thần của Gô-xa, Ha-ran, Rết-sép, và dân Ê-đen, ở tại Tê-la-sa?|我 列 祖 所 毀 滅 的 、 就 是 歌 散 、 哈 蘭 、 利 色 、 和 屬 提 拉 撒 的 伊 甸 人 、 這 些 國 的 神 何 曾 拯 救 這 些 國 呢 。
Vua Ha-mát, vua At-bát, vua thành Sê-phạt-va-im, vua Hê-na, và vua Y-va, đều ở đâu?|哈 馬 的 王 、 亞 珥 拔 的 王 、 西 法 瓦 音 城 的 王 、 希 拿 和 以 瓦 的 王 都 在 那 裡 呢 。
Ê-xê-chia tiếp đặng thơ ở nơi tay các sứ giả, bèn đọc. Đoạn, người đi lên đền thờ của Đức Giê-hô-va, và mở thơ ra trước mặt Đức Giê-hô-va.|希 西 家 從 使 者 手 裡 接 過 書 信 來 ． 看 完 了 、 就 上 耶 和 華 的 殿 、 將 書 信 在 耶 和 華 面 前 展 開 。
Ê-xê-chia cầu nguyện Đức Giê-hô-va rằng: Oi, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên! Ngài vẫn ngự ở giữa các chê-ru-bin, chỉ một mình Ngài là Đức Chúa Trời của các nước thế gian. Chính Ngài đã làm nên trời và đất.|希 西 家 向 耶 和 華 禱 告 、 說 、 坐 在 二 ? ? ? 上 耶 和 華 以 色 列 的 　 神 阿 、 你 是 天 下 萬 國 的 　 神 ． 你 曾 創 造 天 地 。
Hỡi Đức Giê-hô-va! hãy nghiêng tai Ngài và nghe. Hỡi Đức Giê-hô-va! hãy mở mắt Ngài ra và xem. Cầu Chúa hãy nghe các lời mà San-chê-ríp sai nói, đặng phỉ báng Đức Chúa Trời hằng sống.|耶 和 華 阿 、 求 你 側 耳 而 聽 ． 耶 和 華 阿 、 求 你 睜 眼 而 看 ． 要 聽 西 拿 基 立 打 發 使 者 來 辱 罵 永 生 　 神 的 話 。
Đức Giê-hô-va ôi! quả thật các vua A-si-ri đã diệt các dân tộc, và phá hoang địa phận chúng nó,|耶 和 華 阿 、 亞 述 諸 王 果 然 使 列 國 和 列 國 之 地 變 為 荒 涼 、
ném các thần chúng nó vào lửa; nhưng chẳng phải là thần, chẳng qua là công việc của tay người ta làm ra bằng gỗ và bằng đá; nên chúng hủy diệt các thần ấy.|將 列 國 的 神 像 、 都 扔 在 火 裡 ． 因 為 他 本 不 是 神 、 乃 是 人 手 所 造 的 、 是 木 頭 石 頭 的 ． 所 以 滅 絕 他 。
Vậy bây giờ, hỡi Giê-hô-va Đức Chúa Trời của chúng tôi ôi! hãy giải cứu chúng tôi khỏi tay San-chê-ríp, hầu cho muôn nước trên đất biết rằng chỉ một mình Giê-hô-va là Đức Chúa Trời.|耶 和 華 我 們 的 　 神 阿 、 現 在 求 你 救 我 們 脫 離 亞 述 王 的 手 、 使 天 下 萬 國 都 知 道 惟 獨 你 耶 和 華 是 　 神 。
Ê-sai, con trai A-mốt, sai nói với Ê-xê-chia rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Ta có nghe lời ngươi cầu nguyện cùng ta về việc San-chê-ríp, vua A-si-ri.|亞 摩 斯 的 兒 子 以 賽 亞 、 就 打 發 人 去 見 希 西 家 、 說 、 耶 和 華 以 色 列 的 　 神 如 此 說 、 你 既 然 求 我 攻 擊 亞 述 王 西 拿 基 立 、 我 已 聽 見 了 。
Này là lời Đức Giê-hô-va đã phán về hắn. Gái đồng trinh Si-ôn khinh dể, chê cười ngươi; con gái Giê-ru-sa-lem đã lắc đầu theo ngươi.|耶 和 華 論 他 這 樣 說 、 錫 安 的 處 女 藐 視 你 、 嗤 笑 你 ． 耶 路 撒 冷 的 女 子 向 你 搖 頭 。
Ngươi phỉ báng và sỉ nhục ai? Cất tiếng lên cùng ai? Thật ngươi đã trừng con mắt nghịch với Đấng Thánh của Y-sơ-ra-ên!|你 辱 罵 誰 、 褻 瀆 誰 、 揚 起 聲 來 、 高 舉 眼 目 、 攻 擊 誰 呢 ． 乃 是 攻 擊 以 色 列 的 聖 者 。
Ngươi đã nhờ các sứ giả mình nhạo báng Chúa, mà rằng: Ta đem nhiều xe, lên chót núi, đến đỉnh rất xa của Li-ban; ta sẽ đốn những cay bá hương cao hơn hết, và cây tòng tốt nhất của nó; ta sẽ đến cõi xa hơn hết, tức rừng rậm của nó.|你 藉 你 的 使 者 辱 罵 主 、 並 說 、 我 率 領 許 多 戰 車 上 山 頂 、 到 利 巴 嫩 極 深 之 處 ． 我 要 砍 伐 其 中 高 大 的 香 柏 樹 、 和 佳 美 的 松 樹 ． 我 必 上 極 高 之 處 、 進 入 肥 田 的 樹 林 。
Ta đã đào giếng, uống nước của đất lạ; dưới bàn chơn ta sẽ làm cạn sông Ê-díp-tô.|我 已 經 在 外 邦 挖 井 喝 水 ． 我 必 用 腳 掌 踏 乾 埃 及 的 一 切 河 。
Sự này ta đã làm từ lâu, việc này ta đã định từ thời cổ, ngươi há chẳng nghe đến sao? Bây giờ, ta khiến cho sự đó xảy đến, để cho ngươi phá hoang các thành kiên cố ra đống hư nát.|耶 和 華 說 、 我 早 先 所 作 的 、 古 時 所 立 的 、 就 是 現 在 藉 你 使 堅 固 城 荒 廢 、 變 為 亂 堆 、 這 事 你 豈 沒 有 聽 見 麼 。
Vì vậy, dân sự của các thành ấy đều yếu đuối, bị sợ hãi và hổ thẹn; chúng giống như cây cỏ xanh ngoài đồng, tỉ như cây cỏ trên nóc nhà, khác nào lúa mì đã héo trước khi cọng chưa thành.|所 以 其 中 的 居 民 力 量 甚 小 、 驚 惶 羞 愧 ． 他 們 像 野 草 、 像 青 菜 、 如 房 頂 上 的 草 、 又 如 未 長 成 而 枯 乾 的 禾 稼 。
Nơi ngươi ngồi, lúc ngươi đi ra, đi vào, và sự giận dại ngươi đối cùng ta, ta đã biết hết.|你 坐 下 、 你 出 去 、 你 進 來 、 你 向 我 發 烈 怒 、 我 都 知 道 。
Bởi ngươi giận dại cùng ta, và vì lời kiêu ngạo ngươi đã thấu đến tai ta, ắt ta sẽ xỏ cái vòng nơi mũi ngươi, để khớp nơi môi miếng ngươi. Đoạn, ta sẽ khiến ngươi trở về theo con đường mà ngươi đã đi đến.|因 你 向 我 發 烈 怒 、 又 因 你 狂 傲 的 話 達 到 我 耳 中 、 我 就 要 用 鉤 子 鉤 上 你 的 鼻 子 、 把 嚼 環 放 在 你 口 裡 、 使 你 從 你 來 的 路 轉 回 去 。
Hỡi Ê-xê-chia, nhờ dấu hiệu này ngươi nhìn biết rằng lời này sẽ ứng nghiệm: Năm nay, các ngươi sẽ ăn vật hột giống rớt xuống, sanh ra; năm thứ nhì, ăn vật tự mọc lên; nhưng năm thứ ba, các ngươi sẽ gieo và gặt, trồng nho và ăn trái nó.|以 色 列 人 哪 、 我 賜 你 們 一 個 證 據 ． 你 們 今 年 要 喫 自 生 的 、 明 年 也 要 喫 自 長 的 ． 至 於 後 年 、 你 們 要 耕 種 收 割 、 栽 植 葡 萄 園 、 喫 其 中 的 果 子 。
Hễ giống gì thoát khỏi, còn lại của dân tộc Giu-đa, dưới sẽ châm rễ xuống, trên sẽ kết bông trái lên.|猶 大 家 所 逃 脫 餘 剩 的 、 仍 要 往 下 扎 根 、 向 上 結 果 ．
Vì sẽ có phần sót lại từ Giê-ru-sa-lem mà ra, kẻ thoát khỏi từ núi Si-ôn mà đến; lòng sốt sắng của Đức Giê-hô-va sẽ làm nên việc ấy.|必 有 餘 剩 的 民 、 從 耶 路 撒 冷 而 出 ． 必 有 逃 脫 的 人 、 從 錫 安 山 而 來 ． 耶 和 華 的 熱 心 、 必 成 就 這 事 。
Bởi cớ đó, Đức Giê-hô-va phán về vua A-si-ri như vầy: Nó sẽ không vào thành này, chẳng xạ tên trong nó, cũng chẳng kéo đến giơ khiên lên trước mặt nó, và chẳng đắp lũy nghịch nó.|所 以 耶 和 華 論 亞 述 王 如 此 說 、 他 必 不 得 來 到 這 城 、 也 不 在 這 裡 射 箭 、 不 得 拿 盾 牌 到 城 前 、 也 不 築 壘 攻 城 。
Đức Giê-hô-va phán: Nó sẽ trở về theo con đường nó đã đi đến, không vào trong thành này.|他 從 那 條 路 來 、 必 從 那 條 路 回 去 、 必 不 得 來 到 這 城 ． 這 是 耶 和 華 說 的 。
Vì tại cớ ta và Đa-vít, kẻ tôi tớ ta, ta sẽ binh vực thành này đặng cứu nó.|因 我 為 自 己 的 緣 故 、 又 為 我 僕 人 大 衛 的 緣 故 、 必 保 護 拯 救 這 城 。
Trong đêm đó, có một thiên sứ của Đức Giê-hô-va đi đến trong dinh A-si-ri, và giết một trăm tám mươi lăm ngàn người tại đó. Sáng ngày mai, người ta thức dậy, bèn thấy quân ấy, kìa, chỉ là thây đó thôi.|當 夜 耶 和 華 的 使 者 出 去 、 在 亞 述 營 中 殺 了 十 八 萬 五 千 人 ． 清 早 有 人 起 來 、 一 看 、 都 是 死 屍 了 。
San-chê-ríp, vua A-si-ri, bèn trở về, ở tại Ni-ni-ve.|亞 述 王 西 拿 基 立 就 拔 營 回 去 、 住 在 尼 尼 微 。
Một ngày kia, người thờ lạy tại trong chùa Nít-róc, thần của mình, thì A-tra-mê-léc và Sa-rết-se giết người bằng gươm, đoạn chúng nó trốn trong xứ A-ra-rát. Ê-sạt-ha-đôn, con trai người, kế vị người.|一 日 在 他 的 神 尼 斯 洛 廟 裡 叩 拜 、 他 兒 子 亞 得 米 勒 和 沙 利 色 用 刀 殺 了 他 ． 就 逃 到 亞 拉 臘 地 。 他 兒 子 以 撒 哈 頓 接 續 他 作 王 。

					II Các Vua 20				|
						列王紀下 20					
Trong lúc đó, Ê-xê-chia bị bịnh nặng gần chết. Tiên tri Ê-sai, con trai A-mốt, đến cùng người, và nói rằng: Đức Giê-hô-va phán như vầy: Hãy trối lại cho nhà ngươi, vì ngươi sẽ thác chẳng sống được đâu.|那 時 希 西 家 病 得 要 死 。 亞 摩 斯 的 兒 子 先 知 以 賽 亞 去 見 他 、 對 他 說 、 耶 和 華 如 此 說 、 你 當 留 遺 命 與 你 的 家 、 因 為 你 必 死 、 不 能 活 了 。
Ê-xê-chia bèn xây mặt mình vào phía vách, và cầu nguyện Đức Giê-hô-va mà rằng:|希 西 家 就 轉 臉 朝 牆 、 禱 告 耶 和 華 、 說 、
Oi Đức Giê-hô-va! xin hãy nhớ lại rằng tôi đã lấy sự thành thật và lòng trọn lành, đi trước mặt Chúa, và làm theo điều tốt lành tại trước mặt Ngài. Đoạn, Ê-xê-chia khóc rất thảm thiết.|耶 和 華 阿 、 求 你 記 念 我 在 你 面 前 怎 樣 存 完 全 的 心 、 按 誠 實 行 事 、 又 作 你 眼 中 所 看 為 善 的 。 希 西 家 就 痛 哭 了 。
Ê-sai chưa đi khỏi thành trong, có lời của Đức Giê-hô-va phán với người rằng:|以 賽 亞 出 來 、 還 沒 有 到 中 院 〔 院 或 作 城 〕 耶 和 華 的 話 就 臨 到 他 、 說 、
Hãy trở lại, nói với Ê-xê-chia, vua của dân sự ta rằng: Giê-hô-va Đức Chúa Trời của Đa-vít, tổ phụ ngươi, phán như vầy: Ta có nghe lời cầu nguyện ngươi, thấy nước mắt của ngươi, này ta sẽ chữa lành cho ngươi; đến ngày thứ ba ngươi sẽ đi lên đền của Đức Giê-hô-va.|你 回 去 告 訴 我 民 的 君 希 西 家 、 說 、 耶 和 華 你 祖 大 衛 的 　 神 、 如 此 說 、 我 聽 見 了 你 的 禱 告 、 看 見 了 你 的 眼 淚 ． 我 必 醫 治 你 、 到 第 三 日 、 你 必 上 到 耶 和 華 的 殿 。
Ta sẽ thêm tuổi ngươi mười lăm năm, ta sẽ giải cứu ngươi và thành này khỏi tay vua A-si-ri. Vì cớ ta và Đa-vít, kẻ tôi tớ ta, ta sẽ binh vực thành này.|我 必 加 增 你 十 五 年 的 壽 數 ． 並 且 我 要 救 你 和 這 城 脫 離 亞 述 王 的 手 ． 我 為 自 己 和 我 僕 人 大 衛 的 緣 故 、 必 保 護 這 城 。
Ê-sai bèn biểu: Hãy lấy một cái bánh trái vả. Người ta lấy nó đắp trên mụt ung, thì vua được lành.|以 賽 亞 說 、 當 取 一 塊 無 花 果 餅 來 ． 人 就 取 了 來 、 貼 在 瘡 上 、 王 便 痊 愈 了 。
Vả, Ê-xê-chia đã hỏi Ê-sai rằng: Bởi dấu nào tôi phải nhìn rằng Đức Giê-hô-va sẽ chữa lành cho tôi và đến ngày thứ ba tôi sẽ được đi lên đền của Ngài?|希 西 家 問 以 賽 亞 說 、 耶 和 華 必 醫 治 我 、 到 第 三 日 、 我 能 上 耶 和 華 的 殿 、 有 甚 麼 兆 頭 呢 。
Ê-sai đáp: Này là dấu Đức Giê-hô-va ban cho ngươi, đặng làm chứng cho ngươi biết Ngài sẽ làm thành điều Ngài đã phán ra: Ngươi muốn bóng tới trước mười độ hay là lui lại mười độ chăng?|以 賽 亞 說 、 耶 和 華 必 成 就 他 所 說 的 、 這 是 他 給 你 的 兆 頭 ． 你 要 日 影 向 前 進 十 度 呢 、 是 要 往 後 退 十 度 呢 。
Ê-xê-chia đáp: Bóng tới trước mười độ thì chẳng khó gì; không! thà nó lui lại sau mười độ thì hơn.|希 西 家 回 答 說 、 日 影 向 前 進 十 度 容 易 ． 我 要 日 影 往 後 退 十 度 。
Thầy tiên tri Ê-sai cầu khẩn Đức Giê-hô-va, Ngài bèn đem bóng đã giọi trên trắc ảnh A-cha lui lại mười độ, là mười độ đã xuống rồi.|先 知 以 賽 亞 求 告 耶 和 華 、 耶 和 華 就 使 亞 哈 斯 的 日 晷 向 前 進 的 日 影 、 往 後 退 了 十 度 。
Trong lúc đó, Bê-rô-đác-Ba-la-đan, con trai Ba-la-đan, vua Ba-by-lôn, gởi thơ và lễ vật cho Ê-xê-chia; vì người đã hay rằng Ê-xê-chia đau.|那 時 巴 比 倫 王 巴 拉 但 的 兒 子 比 羅 達 巴 拉 但 聽 見 希 西 家 病 而 痊 愈 、 就 送 書 信 和 禮 物 給 他 。
Ê-xê-chia nghe lời các sứ giả tâu, thì vui mừng, bèn dẫn chúng viếng đền, là nơi chứa các vật quí, bạc, vàng, thuốc thơm, dầu quí, lại cho xem trại cơ khí, và mọi vật trong kho tàng mình. Chẳng có chi trong đền hoặc trong nước mà Ê-xê-chia không cho chúng xem thấy.|希 西 家 聽 從 使 者 的 話 、 就 把 他 寶 庫 的 金 子 、 銀 子 、 香 料 、 貴 重 的 膏 油 、 和 他 武 庫 的 一 切 軍 器 、 並 他 所 有 的 財 寶 、 都 給 他 們 看 ． 他 家 中 和 他 全 國 之 內 、 希 西 家 沒 有 一 樣 不 給 他 們 看 的 。
Tiên tri Ê-xai bèn đi đến vua Ê-xê-chia, và hỏi người rằng: Các người đó nói chi và ở xứ nào đến? Ê-xê-chia đáp: Chúng đến từ xứ xa, từ Ba-by-lôn.|於 是 先 知 以 賽 亞 來 見 希 西 家 王 、 問 他 說 、 這 些 人 說 甚 麼 ． 他 們 從 那 裡 來 見 你 。 希 西 家 說 、 他 們 從 遠 方 的 巴 比 倫 來 。
Ê-sai tiếp: Vua cho chúng xem chi trong đền của vua? Ê-xê-chia đáp: Chúng có thấy mọi vật ở trong đền ta. Chẳng gì trong các kho tàng ta mà ta chẳng chỉ cho chúng xem.|以 賽 亞 說 、 他 們 在 你 家 裡 看 見 了 甚 麼 。 希 西 家 說 、 凡 我 家 中 所 有 的 、 他 們 都 看 見 了 ． 我 財 寶 中 沒 有 一 樣 不 給 他 們 看 的 。
Ê-sai bèn nói với Ê-xê-chia rằng: Hãy nghe lời của Đức Giê-hô-va:|以 賽 亞 對 希 西 家 說 、 你 要 聽 耶 和 華 的 話 。
Thì giờ sẽ đến khi mọi vật ở trong đền vua, mọi vật mà các tổ phụ vua đã chất chứa trong kho tàng cho đến ngày nay, đều sẽ bị đem qua Ba-by-lôn. Đức Giê-hô-va phán: Sẽ chẳng còn chi lại hết.|日 子 必 到 、 凡 你 家 裡 所 有 的 、 並 你 列 祖 積 蓄 到 如 今 的 、 都 要 被 擄 到 巴 比 倫 去 、 不 留 下 一 樣 ． 這 是 耶 和 華 說 的 。
Lại những đứa con trai của vua, do nơi vua sanh ra, sẽ bị bắt dẫn đi làm hoạn quan trong đền vua Ba-by-lôn.|並 且 從 你 本 身 所 生 的 眾 子 、 其 中 必 有 被 擄 去 、 在 巴 比 倫 王 宮 裡 當 太 監 的 。
Ê-xê-chia đáp với Ê-sai rằng: Lời của Đức Giê-hô-va mà người đã nói là thiện. Người tiếp: Ít nữa trong đời tôi sẽ có điều bình yên và sự vững vàng chăng?|希 西 家 對 以 賽 亞 說 、 你 所 說 耶 和 華 的 話 甚 好 ． 若 在 我 的 年 日 中 、 有 太 平 和 穩 固 的 景 況 、 豈 不 是 好 麼 。
Các chuyện khác của Ê-xê-chia, sự mạnh dạn người, cuộc xây hồ chứa nước, và kinh dẫn nước vào trong thành, đều chép trong sử ký về các vua Giu-đa.|希 西 家 其 餘 的 事 、 和 他 的 勇 力 、 他 怎 樣 挖 池 、 挖 溝 、 引 水 入 城 、 都 寫 在 猶 大 列 王 記 上 。
Ê-xê-chia an giấc cùng các tổ phụ mình; Ma-na-se con trai người, kế vị người.|希 西 家 與 他 列 祖 同 睡 ． 他 兒 子 瑪 拿 西 接 續 他 作 王 。

					II Các Vua 21				|
						列王紀下 21					
Ma-na-se được mười hai tuổi khi người lên làm vua; người cai trị năm mươi lăm năm tại Giê-ru-sa-lem. Mẹ người tên là Hép-si-ba.|瑪 拿 西 登 基 的 時 候 年 十 二 歲 ． 在 耶 路 撒 冷 作 王 五 十 五 年 ． 他 母 親 名 叫 協 西 巴 。
Người làm điều ác trước mặt Đức Giê-hô-va và theo sự thờ phượng gớm ghiếc của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên.|瑪 拿 西 行 耶 和 華 眼 中 看 為 惡 的 事 、 效 法 耶 和 華 在 以 色 列 人 面 前 趕 出 的 外 邦 人 所 行 可 憎 的 事 、
Người sửa xây lại các nơi cao mà Ê-xê-chia, cha người phá hủy, lập bàn thờ cho Ba-anh, dựng hình tượng A-sê-ra giống như của A-háp, vua Y-sơ-ra-ên, đã làm, cúng thờ toàn cơ binh trên trời và hầu việc nó.|重 新 建 築 他 父 希 西 家 所 毀 壞 的 邱 壇 、 又 為 巴 力 築 壇 、 作 亞 舍 拉 像 、 效 法 以 色 列 王 亞 哈 所 行 的 、 且 敬 拜 事 奉 天 上 的 萬 象 ．
Người cũng lập bàn thờ trong đền của Đức Giê-hô-va, mà Đức Giê-hô-va có phán về đền thờ rằng: Ay tại nơi Giê-ru-sa-lem ta để danh ta ngự.|在 耶 和 華 殿 宇 中 築 壇 ． 耶 和 華 曾 指 著 這 殿 、 說 、 我 必 立 我 的 名 在 耶 路 撒 冷 。
Người xây những bàn thờ cho toàn cơ binh trên trời, tại nơi hai hành lang về đền thờ của Đức Giê-hô-va.|他 在 耶 和 華 殿 的 兩 院 中 為 天 上 的 萬 象 築 壇 ．
Người đưa con trai mình qua lửa, tập tành phép thiên văn và việc bói điềm; lập lên những đồng cốt và thầy bói. Người làm điều ác trước mặt Đức Giê-hô-va quá chừng, chọc giận Ngài hoài.|並 使 他 的 兒 子 經 火 、 又 觀 兆 、 用 法 術 、 立 交 鬼 的 、 和 行 巫 術 的 、 多 行 耶 和 華 眼 中 看 為 惡 的 事 、 惹 動 他 的 怒 氣 ．
Còn hình tượng A-sê-ra mà người đã làm, thì người dựng trong đền thờ mà Đức Giê-hô-va có phán với Đa-vít và Sa-lô-môn, con trai người, rằng: Ay trong đền này và trong Giê-ru-sa-lem, thành ta đã chọn trong các chi phái Y-sơ-ra-ên, mà ta sẽ đặt danh ta ngự đời đời.|又 在 殿 內 立 雕 刻 的 亞 舍 拉 像 ． 耶 和 華 曾 對 大 衛 和 他 兒 子 所 羅 門 說 、 我 在 以 色 列 眾 支 派 中 所 選 擇 的 耶 路 撒 冷 、 和 這 殿 、 必 立 我 的 名 、 直 到 永 遠 。
Nếu Y-sơ-ra-ên lo gìn giữ mọi điều ta đã phán dạy, mọi luật pháp mà Môi-se, tôi tớ ta, đã truyền cho chúng nó, thì ta sẽ chẳng để dân Y-sơ-ra-ên đi xiêu lạc ngoài xứ mà ta đã ban cho tổ phụ chúng nó.|以 色 列 人 若 謹 守 遵 行 我 一 切 所 吩 咐 他 們 的 、 和 我 僕 人 摩 西 所 吩 咐 他 們 的 一 切 律 法 、 我 就 不 再 使 他 們 挪 移 、 離 開 我 所 賜 給 他 們 列 祖 之 地 。
Nhưng chúng nó không nghe; chúng nó bị Ma-na-se quyến dụ làm gian ác hơn các dân tộc mà Đức Giê-hô-va đã tuyệt diệt khỏi trước mặt dân Y-sơ-ra-ên.|他 們 卻 不 聽 從 ． 瑪 拿 西 引 誘 他 們 行 惡 、 比 耶 和 華 在 以 色 列 人 面 前 所 滅 的 列 國 更 甚 。
Đức Giê-hô-va bèn cậy các tiên tri, là tôi tớ Ngài, mà phán rằng:|耶 和 華 藉 他 僕 人 眾 先 知 說 、
Vì Ma-na-se, vua Giu-đa, đã phạm những sự gớm ghiếc ấy, và có làm ác hơn mọi điều dân A-mô-rít đã làm trước người, cùng quyến dụ Giu-đa phạm tội với hình tượng nó,|因 猶 大 王 瑪 拿 西 行 這 些 可 憎 的 惡 事 、 比 先 前 亞 摩 利 人 所 行 的 更 甚 、 使 猶 大 人 拜 他 的 偶 像 陷 在 罪 裡 ．
vì cớ đó, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Kìa, ta sẽ giáng trên Giê-ru-sa-lem và trên Giu-đa những tai họa cả thể, đến đỗi phàm ai nghe nói đến phải lùng bùng lỗ tai.|所 以 耶 和 華 以 色 列 的 　 神 如 此 說 、 我 必 降 禍 與 耶 路 撒 冷 和 猶 大 、 叫 一 切 聽 見 的 人 、 無 不 耳 鳴 。
Ta sẽ giáng trên Giê-ru-sa-lem dây đo Sa-ma-ri và căn nhà của A-háp. Ta sẽ xóa sạch Giê-ru-sa-lem như người ta chùi rửa cái dĩa, rồi úp nó xuống sau khi rửa xong.|我 必 用 量 撒 瑪 利 亞 的 準 繩 、 和 亞 哈 家 的 線 鉈 、 拉 在 耶 路 撒 冷 上 ． 必 擦 淨 耶 路 撒 冷 、 如 人 擦 盤 將 盤 倒 扣 。
Ta sẽ từ bỏ phần còn sót lại về sản nghiệp ta, phó chúng nó vào tay thù nghịch chúng nó; chúng nó sẽ trở thành hóa tài và miếng mồi của họ;|我 必 棄 掉 所 餘 剩 的 子 民 、 〔 原 文 作 產 業 〕 把 他 們 交 在 仇 敵 手 中 、 使 他 們 成 為 一 切 仇 敵 擄 掠 之 物 ．
vì chúng nó làm những điều ác trước mặt ta, chọc giận ta, từ ngày tổ phụ chúng nó ra khỏi Ê-díp-tô cho đến ngày nay.|是 因 他 們 自 從 列 祖 出 埃 及 直 到 如 今 、 常 行 我 眼 中 看 為 惡 的 事 、 惹 動 我 的 怒 氣 。
Ma-na-se cũng đổ nhiều huyết vô tội ra, đến đỗi Giê-ru-sa-lem bị ngập từ đầu này đến đầu kia. Lại phụ thêm những tội lỗi người phạm gây cho Giu-đa phạm tội nữa, và làm điều ác trước mặt Đức Giê-hô-va.|瑪 拿 西 行 耶 和 華 眼 中 看 為 惡 的 事 、 使 猶 大 人 陷 在 罪 裡 ． 又 流 許 多 無 辜 人 的 血 、 充 滿 了 耶 路 撒 冷 、 從 這 邊 直 到 那 邊 。
Các chuyện khác của Ma-na-se, những công việc người, và tội người đã phạm, đều chép trong sử ký về các vua Giu-đa.|瑪 拿 西 其 餘 的 事 、 凡 他 所 行 的 、 和 他 所 犯 的 罪 、 都 寫 在 猶 大 列 王 記 上 。
Ma-na-se an giấc với tổ phụ người, được chôn trong vườn của đền người, tức trong vườn U-xa, A-môn, con trai người, cai trị thế cho người.|瑪 拿 西 與 他 列 祖 同 睡 、 葬 在 自 己 宮 院 烏 撒 的 園 內 ． 他 兒 子 亞 們 接 續 他 作 王 。
Khi A-môn lên làm vua, tuổi được hai mươi hai; người cai trị hai năm tại Giê-ru-sa-lem. Mẹ người tên là Mê-su-lê-mết, con gái của Ha-rút, cháu của Giô-ba.|亞 們 登 基 的 時 候 年 二 十 二 歲 ． 在 耶 路 撒 冷 作 王 二 年 ． 他 母 親 名 叫 米 舒 利 密 、 是 約 提 巴 人 哈 魯 斯 的 女 兒 。
Người làm điều ác trước mặt Đức Giê-hô-va, y như Ma-na-se, cha người, đã làm.|亞 們 行 耶 和 華 眼 中 看 為 惡 的 事 、 與 他 父 親 瑪 拿 西 所 行 的 一 樣 ．
Người đi theo y một đường của cha người, hầu việc hình tượng mà cha người đã hầu việc, và quì lạy trước mặt chúng nó.|行 他 父 親 一 切 所 行 的 、 敬 奉 他 父 親 所 敬 奉 的 偶 像 ．
Người lìa bỏ Giê-hô-va Đức Chúa Trời của tổ phụ mình, không đi theo con đường của Đức Giê-hô-va.|離 棄 耶 和 華 他 列 祖 的 　 神 、 不 遵 行 耶 和 華 的 道 。
Vả, những tôi tớ của A-môn mưu phản người, và giết người tại trong đền vua.|亞 們 王 的 臣 僕 背 叛 他 、 在 宮 裡 殺 了 他 。
Nhưng dân của xứ giết hết thảy những kẻ phản nghịch vua A-môn, và tôn Giô-si -a, con trai người, lên làm vua thế cho người.|但 國 民 殺 了 那 些 背 叛 亞 們 王 的 人 、 立 他 兒 子 約 西 亞 接 續 他 作 王 。
Các chuyện khác của A-môn, và công việc người làm, đều chép trong sử ký về các vua Giu-đa.|亞 們 其 餘 所 行 的 事 、 都 寫 在 猶 大 列 王 記 上 。
Người được chôn trong mồ mả người nơi vườn U-xa; rồi Giô-si -a, con trai người, kế vị người.|亞 們 葬 在 烏 撒 的 園 內 、 自 己 的 墳 墓 裡 ． 他 兒 子 約 西 亞 接 續 他 作 王 。

					II Các Vua 22				|
