
					II Sa-mu-ên 1				|
Khi Đa-vít trở về cung mình tại Giê-ru-sa-lem rồi, thì bắt mười người cung phi vua đã để cho coi giữ đền, mà cầm trong một nhà riêng, cấp lương thực cho chúng nó dùng; nhưng không đi đến cùng chúng nó; chúng nó bị giam cầm, ở góa cho đến ngày chết.|大 衛 王 來 到 耶 路 撒 冷 、 進 了 宮 殿 ． 就 把 從 前 留 下 看 守 宮 殿 的 十 個 妃 嬪 禁 閉 在 冷 宮 ． 養 活 他 們 、 不 與 他 們 親 近 。 他 們 如 同 寡 婦 被 禁 、 直 到 死 的 日 子 。
Kế đó, vua nói cùng A-ma-sa rằng: Trong ba ngày đây, hãy nhóm hiệp cho ta những người Giu-đa; và chính ngươi cũng phải có mặt đây.|王 對 亞 瑪 撒 說 、 你 要 在 三 日 之 內 、 將 猶 大 人 招 聚 了 來 、 你 也 回 到 這 裡 來 。
Vậy, A-ma-sa đi đặng nhóm hiệp người Giu-đa; nhưng người chậm trễ đã quá hạn đã định.|亞 瑪 撒 就 去 招 聚 猶 大 人 ． 卻 耽 延 過 了 王 所 限 的 日 期 。
Đa-vít bèn nói với A-bi-sai rằng: Bây giờ, Sê-ba, con trai Biếc-ri, sẽ làm hại chúng ta hơn Ap-sa-lôm. Vậy, ngươi hãy đem các chiến sĩ của chúa ngươi, đuổi theo Sê-la, kẻo nó choán lấy thành nào kiên cố, và thoát khỏi chúng ta chăng?|大 衛 對 亞 比 篩 說 、 現 在 恐 怕 比 基 利 的 兒 子 示 巴 加 害 於 我 們 、 比 押 沙 龍 更 甚 ． 你 要 帶 領 你 主 的 僕 人 追 趕 他 、 免 得 他 得 了 堅 固 城 、 躲 避 我 們 。
Bấy giờ, đạo binh Giô-áp, người Kê-rê-thít và người Phê-rê-thít với các kẻ dõng sĩ hơn hết, đều đi theo A-bi-sai. Họ đi ra khỏi thành Giê-ru-sa-lem, đuổi theo Sê-ba con trai Biếc-ri.|約 押 的 人 、 和 基 利 提 人 、 比 利 提 人 、 並 所 有 的 勇 士 、 都 跟 著 亞 比 篩 、 從 耶 路 撒 冷 出 去 、 追 趕 比 基 利 的 兒 子 示 巴 。
Khi chúng đến gần báo ơn hòn đá lớn của Ga-ba-ôn, thì thấy A-ma-sa đi đến. Giô-áp mặc áo lính, ở ngoài có dây đeo gươm mình, thòng ở nơi hông và đút trong vỏ. Khi người xơm tới, gươm bèn tuột ra.|他 們 到 了 基 遍 的 大 磐 石 那 裡 、 亞 瑪 撒 來 迎 接 他 們 。 那 時 約 押 穿 著 戰 衣 、 腰 束 佩 刀 的 帶 子 、 刀 在 鞘 內 、 約 押 前 行 刀 從 鞘 內 掉 出 來 。
Giô-áp nói với A-ma-sa rằng: Hỡi anh, anh mạnh chăng? Rồi người lấy bàn tay hữu nắm râu A-ma-sa đặng hôn người.|約 押 左 手 拾 起 刀 來 、 對 亞 瑪 撒 說 、 我 兄 弟 、 你 好 阿 、 就 用 右 手 抓 住 亞 瑪 撒 的 鬍 子 、 要 與 他 親 嘴 。
A-ma-sa không coi chừng cây gươm ở nơi tay kia của Giô-áp. Giô-áp đâm một mũi trong bụng, ruột A-ma-sa đổ ra xuống đất, người chết, không phải đâm lại lần thứ nhì. Đoạn, Giô-áp và A-bi-sai, em người lại đuổi theo Se-ba, con trai Biếc-ri.|亞 瑪 撒 沒 有 防 備 約 押 手 裡 所 拿 的 刀 、 約 押 用 刀 刺 入 他 的 肚 腹 、 他 的 腸 子 流 在 地 上 、 沒 有 再 刺 他 、 就 死 了 。 約 押 和 他 兄 弟 亞 比 篩 往 前 追 趕 比 基 利 的 兒 子 示 巴 。
Một đứa trẻ trong bọn đầy tớ của Giô-áp đứng gần A-ma-sa mà nói rằng: Ai thương Giô-áp và thuộc về Đa-vít hãy theo Giô-áp.|有 約 押 的 一 個 少 年 人 站 在 亞 瑪 撒 屍 身 旁 邊 、 對 眾 人 說 、 誰 喜 悅 約 押 、 誰 歸 順 大 衛 、 就 當 跟 隨 約 押 去 。
Song A-ma-sa đẵm trong máu ở giữa đường; khi đứa trẻ thấy hết thảy dân chúng đều dừng lại gần thây A-ma-sa, thì xít thây người khỏi đường, đem đi trong một cánh đồng, đắp một cái áo choàng trên nó.|亞 瑪 撒 在 道 路 上 輥 在 自 己 的 血 裡 。 那 人 見 眾 民 經 過 都 站 住 、 就 把 亞 瑪 撒 的 屍 身 從 路 上 挪 到 田 間 、 用 衣 服 遮 蓋 。
Khi thây đã cất khỏi đường cái rồi, thì hết thảy dân chúng đều đi qua theo Giô-áp đặng đuổi theo Sê-ba, con trai Biếc-ri.|屍 身 從 路 上 挪 移 之 後 、 眾 民 就 都 跟 隨 約 押 、 去 追 趕 比 基 利 的 兒 子 示 巴 。
Giô-áp đi khắp các chi phái Y-sơ-ra-ên, cho đến A-bên-Bết-ma-ca, và hết thảy những dõng sĩ đều nhóm hiệp lại và đi theo đạo quân người.|他 走 遍 以 色 列 各 支 派 、 直 到 伯 瑪 迦 的 亞 比 拉 、 並 比 利 人 的 全 地 ． 那 些 地 方 的 人 也 都 聚 集 跟 隨 他 。
Vậy, họ đến vây phủ Sê-ba trong A-bên-Bết-ma-ca, đắp lên một cái lũy cao hơn đồn thành, và cả đạo quân Giô-áp đào tường thành đặng làm cho nó ngã xuống.|約 押 和 跟 隨 的 人 到 了 伯 瑪 迦 的 亞 比 拉 、 圍 困 示 巴 、 就 對 著 城 築 壘 ． 跟 隨 約 押 的 眾 民 用 錘 撞 城 、 要 使 城 塌 陷 。
Bấy giờ, có một người nữ khôn ngoan ở trên đầu đồn thành la lên cùng chúng rằng: Các ngươi hãy nghe, hãy nghe! Xin hãy nói cùng Giô-áp lại gần đây, tôi muốn nói chuyện cùng người.|有 一 個 聰 明 婦 人 從 城 上 呼 叫 、 說 、 聽 阿 、 聽 阿 、 請 約 押 近 前 來 、 我 好 與 他 說 話 。
Khi Giô-áp đã lại gần, người nữ hỏi rằng: Ong có phải Giô-áp chăng? người đáp: Phải, ta. Nàng tiếp: Hãy nghe lời con đòi ông. Người đáp: Ta nghe.|約 押 就 近 前 來 ． 婦 人 問 他 說 、 你 是 約 押 不 是 。 他 說 、 我 是 。 婦 人 說 、 求 你 聽 婢 女 的 話 。 約 押 說 、 我 聽 。
Nàng bèn nói như lời nầy: Thuở xưa người ta có thói quen nói rằng: hãy đi hỏi ý dân A-bên; rồi mới nên việc như thế.|婦 人 說 、 古 時 有 話 說 、 當 先 在 亞 比 拉 求 問 ． 然 後 事 就 定 妥 。
Trong Y-sơ-ra-ên, thành chúng tôi là thành hòa bình và trung hậu hơn hết, mà ông lại muốn diệt một thành, là chánh đô của Y-sơ-ra-ên sao? Nhân sao ông muốn phá hủy cơ nghiệp của Đức Giê-hô-va?|我 們 這 城 的 人 、 在 以 色 列 人 中 、 是 和 平 忠 厚 的 ． 你 為 何 要 毀 壞 以 色 列 中 的 大 城 、 吞 滅 耶 和 華 的 產 業 呢 。
Giô-áp đáp rằng: Không, không phải vậy đâu! Ta quyết hẳn không muốn diệt, không muốn phá hủy!|約 押 回 答 說 、 我 決 不 吞 滅 毀 壞 。
Đó chẳng phải là ý ta. Nhưng có một người ở núi Ep-ra-im tên là Sê-la, con trai của Biếc-ri, đã phản nghịch cùng vua, tức là Đa-vít. Hãy nộp một mình hắn thôi, thì ta sẽ dan ra khỏi thành. Người nữ nói cùng Giô-áp rằng: Người ta sẽ ném đầu hắn qua tường cho ông.|乃 因 以 法 蓮 山 地 的 一 個 人 、 比 基 利 的 兒 子 示 巴 、 舉 手 攻 擊 大 衛 王 ． 你 們 若 將 他 一 人 交 出 來 、 我 便 離 城 而 去 。 婦 人 對 約 押 說 、 那 人 的 首 級 必 從 城 牆 上 丟 給 你 。
Vậy, người nữ ấy đến trước mặt cả dân chúng, và nói cho nghe lời ý luận khôn ngoan của nàng. Chúng chém đầu Sê-ba, con trai Biếc-ri, rồi ném cho Giô-áp. Giô-áp bèn thổi kèn lên; đạo quân dan ra khỏi thành và tản đi; ai nấy đều trở về nhà mình, còn Giô-áp trở về Giê-ru-sa-lem, gần bên vua.|婦 人 就 憑 他 的 智 慧 去 勸 眾 人 。 他 們 便 割 下 比 基 利 的 兒 子 示 巴 的 首 級 、 丟 給 約 押 。 約 押 吹 角 、 眾 人 就 離 城 而 散 、 各 歸 各 家 去 了 。 約 押 回 耶 路 撒 冷 到 王 那 裡 。
Giô-áp tổng lãnh cả đạo binh của Y-sơ-ra-ên; Bê-na-gia, con trai Giê-hô-gia-đa, làm đầu trưởng các người Kê-rê-thít và Phê-rê-thít;|約 押 作 以 色 列 全 軍 的 元 帥 ． 耶 何 耶 大 的 兒 子 比 拿 雅 統 轄 基 利 提 人 和 比 利 提 人 、
A-đô-ram được bầu cử coi về thuế khóa; Giô-sa-phát, con trai A-hi-lút, làm thủ bộ;|亞 多 蘭 掌 管 服 苦 的 人 ． 亞 希 律 的 兒 子 約 沙 法 作 史 官 ．
Sê-gia làm thơ ký; Xa-đốc và A-bia-tha làm thầy tế lễ.|示 法 作 書 記 。 撒 督 和 亞 比 亞 他 作 祭 司 長 、
Còn Y-ra, người Giai-rơ, làm tể tướng thân mật của Đa-vít.|睚 珥 人 以 拉 作 大 衛 的 宰 相 。

					II Sa-mu-ên 21				|
						撒母耳記下 21					
Về đời Đa-vít, có một ách cơ cẩn trong ba năm liên tiếp. Đa-vít cầu vấn Đức Giê-hô-va; Ngài đáp cùng người rằng: Sự nầy xảy đến vì cớ Sau-lơ và nhà đổ huyết của người, bởi vì người có giết dân Ga-ba-ôn.|大 衛 年 間 有 饑 荒 、 一 連 三 年 ． 大 衛 就 求 問 耶 和 華 。 耶 和 華 說 、 這 饑 荒 是 因 掃 羅 、 和 他 流 人 血 之 家 、 殺 死 基 遍 人 。
Vua bèn truyền gọi dân Ga-ba-ôn, và nói chuyện với họ. Người Ga-ba-ôn chẳng thuộc về dân sự Y-sơ-ra-ên, nhưng họ là kẻ sống sót của dân A-mô-rít; dân Y-sơ-ra-ên có thề hứa tha thứ họ. Dầu vậy, Sau-lơ vì lòng sốt sắng về dân Y-sơ-ra-ên và Giu-đa, đã tìm cách trừ diệt họ.|原 來 這 基 遍 人 不 是 以 色 列 人 、 乃 是 亞 摩 利 人 中 所 剩 的 ． 以 色 列 人 曾 向 他 們 起 誓 、 不 殺 滅 他 們 ． 掃 羅 卻 為 以 色 列 人 和 猶 大 人 發 熱 心 、 想 要 殺 滅 他 們 。 大 衛 王 召 了 他 們 來 、
Ay vậy, Đa-vít hỏi dân Ga-ba-ôn rằng: Ta phải làm sao cho các ngươi, lấy vật gì mà chuộc tội, hầu cho các ngươi chúc phước cho cơ nghiệp của Đức Giê-hô-va?|問 他 們 說 、 我 當 為 你 們 怎 樣 行 呢 ． 可 用 甚 麼 贖 這 罪 、 使 你 們 為 耶 和 華 的 產 業 祝 福 呢 。
Dân Ga-ba-ôn tâu cùng vua rằng: Chúng tôi đối cùng Sau-lơ và nhà người chẳng đòi bạc hay vàng, chúng tôi cũng chẳng có phép giết người nào trong Y-sơ-ra-ên. Đa-vít tiếp: Vậy các ngươi muốn ta làm gì cho các ngươi?|基 遍 人 回 答 說 、 我 們 和 掃 羅 與 他 家 的 事 並 不 關 乎 金 銀 ． 也 不 要 因 我 們 的 緣 故 殺 一 個 以 色 列 人 。 大 衛 說 、 你 們 怎 樣 說 、 我 就 為 你 們 怎 樣 行 。
Họ đáp cùng vua rằng: Người ấy có diệt trừ chúng tôi; người có toan mưu làm cho chúng tôi biết mất khỏi cả địa phận Y-sơ-ra-ên.|他 們 對 王 說 、 那 從 前 謀 害 我 們 、 要 滅 我 們 、 使 我 們 不 得 再 住 以 色 列 境 內 的 人 、
Thế thì, hãy phó cho chúng tôi bảy người trong những con trai người; chúng tôi sẽ treo chúng nó trước mặt Đức Giê-hô-va ở Ghi-bê -a, thành của Sau-lơ là người được Đức Giê-hô-va chọn. Vua đáp: Ta sẽ phó chúng nó cho.|現 在 願 將 他 的 子 孫 七 人 交 給 我 們 、 我 們 好 在 耶 和 華 面 前 、 將 他 們 懸 掛 在 耶 和 華 揀 選 掃 羅 的 基 比 亞 。 王 說 、 我 必 交 給 你 們 。
Đa-vít dong thứ Mê-phi-bô-sết, con trai của Giô-na-than, cháu của Sau-lơ, vì cớ lời thề Đa-vít và Giô-na-than, con trai của Sau-lơ, đã lập với nhau trước một Đức Giê-hô-va.|王 因 為 曾 與 掃 羅 的 兒 子 約 拿 單 指 著 耶 和 華 起 誓 結 盟 、 就 愛 惜 掃 羅 的 孫 子 、 約 拿 單 的 兒 子 米 非 波 設 、 不 交 出 來 ．
Nhưng vua bắt At-mô-ni và Mê-phi-bô-sết, hai con trai của Rít-ba, con gái của Ai-gia, đã sanh cho Sau-lơ, và năm con trai của Mi-canh, con gái Sau-lơ đã sanh cho At-ri-ên, con trai của Bát-xi-lai ở Mê-hô-la,|卻 把 愛 雅 的 女 兒 利 斯 巴 給 掃 羅 所 生 的 兩 個 兒 子 、 亞 摩 尼 、 米 非 波 設 、 和 掃 羅 女 兒 米 甲 的 姐 姐 給 米 何 拉 人 巴 西 萊 兒 子 亞 得 列 所 生 的 五 個 兒 子 、
mà giao cho dân Ga-ba-ôn; chúng treo họ lên trên núi tại trước mặt Đức Giê-hô-va. Bảy người ấy đều bị chết chung với nhau, người ta giết họ nhằm mấy ngày đầu mùa gặt lúa mạch.|交 在 基 遍 人 的 手 裡 、 基 遍 人 就 把 他 們 在 耶 和 華 面 前 、 懸 掛 在 山 上 、 這 七 人 就 一 同 死 亡 ． 被 殺 的 時 候 、 正 是 收 割 的 日 子 、 就 是 動 手 割 大 麥 的 時 候 。
Rít-ba, con gái Ai-gia, bèn lấy một cái bao trải trên hòn đá dùng làm giường mình. Rồi từ đầu mùa gặt cho đến khi có mưa từ trên trời sa xuống trên thây chúng nó, ban ngày nàng cản không cho chim trời đậu ở trên thây, và ban đêm cản không cho thú đồng đến gần.|愛 雅 的 女 兒 利 斯 巴 用 麻 布 、 在 磐 石 上 搭 棚 、 從 動 手 收 割 的 時 候 、 直 到 天 降 雨 在 屍 身 上 的 時 候 、 日 間 不 容 空 中 的 雀 鳥 落 在 屍 身 上 、 夜 間 不 讓 田 野 的 走 獸 前 來 蹧 踐 。
Có người học lại cho Đa-vít sự Rít-ba, con gái Ai-gia, hầu của Sau-lơ đã làm.|有 人 將 掃 羅 的 妃 嬪 愛 雅 女 兒 利 斯 巴 所 行 的 這 事 告 訴 大 衛 。
Vua bèn đi đến dân sự Gia-be trong xứ Ga-la-át, lấy hài cốt của Sau-lơ và của Giô-na-than, con trai Sau-lơ, mà dân ấy lấy trộm khỏi Bết-san, là nơi dân Phi-li-tin treo họ lên trong ngày chúng nó đánh bại Sau-lơ tại Ghinh-bô -a.|大 衛 就 去 、 從 基 列 雅 比 人 那 裡 將 掃 羅 和 他 兒 子 約 拿 單 的 骸 骨 搬 了 來 ． 是 因 非 利 士 人 從 前 在 基 利 波 殺 掃 羅 、 將 屍 身 懸 掛 在 伯 珊 的 街 市 上 、 基 列 雅 比 人 把 屍 身 偷 了 去 ．
Vậy, từ Gia-be, vua đem lại hài cốt của Sau-lơ và của Giô-na-than, con trai người, người ta cũng lấy hài cốt của những người đã bị treo,|大 衛 將 掃 羅 和 他 兒 子 約 拿 單 的 骸 骨 從 那 裡 搬 了 來 、 又 收 斂 被 懸 掛 七 人 的 骸 骨 ．
chôn nó với hài cốt của Sau-lơ và Giô-na-than, con trai người, trong mộ của Kích cha của Sau-lơ, ở Xê-la, tại địa phận Bên-gia-min. Người ta làm mọi điều y như vua đã dặn biểu. Về sau Đức Chúa Trời mới đoái thương đến xứ.|將 掃 羅 和 他 兒 子 約 拿 單 的 骸 骨 葬 在 便 雅 憫 的 洗 拉 、 在 掃 羅 父 親 基 士 的 墳 墓 裡 。 眾 人 行 了 王 所 吩 咐 的 ． 此 後 　 神 垂 聽 國 民 所 求 的 。
Dân Y-sơ-ra-ên lại còn tranh chiến khác với dân Phi-li-tin. Đa-vít và các tôi tớ người kéo xuống, giáp chiến với dân Phi-li-tin. Đa-vít biết trong người mình mỏi mệt lắm.|非 利 士 人 與 以 色 列 人 打 仗 、 大 衛 帶 領 僕 人 下 去 、 與 非 利 士 人 接 戰 ． 大 衛 就 疲 乏 了 。
Bấy giờ, Ít-bi-Bê-nốp, con cháu của Ra-pha có một cây lao nặng ba trăm siếc-lơ đồng và đeo gươm mới, toan đánh giết Đa-vít.|偉 人 的 一 個 兒 子 以 實 比 諾 要 殺 大 衛 ． 他 的 銅 槍 重 三 百 舍 客 勒 、 又 佩 著 新 刀 。
Nhưng A-bi-sai, con trai Xê-ru-gia, đến tiếp cứu vua, đánh người Phi-li-tin ấy, và giết đi. Từ đó các thủ hạ của Đa-vít nài xin người rằng: Vua chớ ra trận cùng chúng tôi nữa, e ngọn đuốc Y-sơ-ra-ên phải tắt chăng.|但 洗 魯 雅 的 兒 子 亞 比 篩 幫 助 大 衛 、 攻 打 非 利 士 人 、 將 他 殺 死 。 當 日 跟 隨 大 衛 的 人 向 大 衛 起 誓 、 說 、 以 後 你 不 可 再 與 我 們 一 同 出 戰 ． 恐 怕 熄 滅 以 色 列 的 燈 。
Sau sự đó, lại có một trận khác cùng dân Phi-li-tin tại Góp. Ở đó, Si-bê-cai, người Hu-sa, giết Sáp, là con cháu của Ra-pha.|後 來 以 色 列 人 在 歌 伯 與 非 利 士 人 打 仗 ． 戶 沙 人 西 比 該 殺 了 偉 人 的 一 個 兒 子 撒 弗 。
Tại Góp lại còn có một trận với dân Phi-li-tin nữa. En-cha-nan, con trai Gia -a-rê-Ô-rê-ghim, ở Bết-lê-hem, đánh giết Gô-li-át ở Gát; người có một cây lao, cán như ống trục của thợ dệt.|又 在 歌 伯 與 非 利 士 人 打 仗 ． 伯 利 恆 人 雅 雷 俄 珥 金 的 兒 子 伊 勒 哈 難 殺 了 迦 特 人 歌 利 亞 ． 這 人 的 槍 杆 粗 如 織 布 的 機 軸 。
Cũng xảy ra một trận tại Gát, là nơi có một người cao lớn thuộc về dòng Ra-pha; người có sáu ngọn nơi hai bàn tay và sáu ngọn nơi hai bàn chơn, cộng là hai mươi bốn ngón.|又 在 迦 特 打 仗 ． 那 裡 有 一 個 身 量 高 大 的 人 、 手 腳 都 是 六 指 、 共 有 二 十 四 個 指 頭 ． 他 也 是 偉 人 的 兒 子 。
Người nầy sỉ nhục Y-sơ-ra-ên; nhưng Giô-na-than, con trai Si-mê -a, cháu Đa-vít, giết hắn đi.|這 人 向 以 色 列 人 罵 陣 、 大 衛 的 哥 哥 示 米 亞 的 兒 子 約 拿 單 就 殺 了 他 。
Bốn người Phi-li-tin nầy đã sanh tại Gát, về dòng dõi Ra-pha, đều bị giết bởi tay Đa-vít và bởi tay các đầy tớ người.|這 四 個 人 是 迦 特 偉 人 的 兒 子 ． 都 死 在 大 衛 和 他 僕 人 的 手 下 。

					II Sa-mu-ên 22				|
						撒母耳記下 22					
Khi Đức Giê-hô-va đã giải cứu Đa-vít khỏi tay các thù nghịch và khỏi tay Sau-lơ, thì người hát các lời nầy mà ngợi khen Đức Giê-hô-va,|當 耶 和 華 救 大 衛 脫 離 一 切 仇 敵 和 掃 羅 之 手 的 日 子 、 他 向 耶 和 華 念 這 詩 、
rằng: Đức Giê-hô-va là hòn đá và đồn lũy tôi, Đấng giải cứu tôi.|說 、 耶 和 華 是 我 的 巖 石 、 我 的 山 寨 、 我 的 救 主 、
Đức Chúa Trời tôi là hòn đá tôi, nơi tôi sẽ nương náu mình, Là thuẫn đỡ tôi, sừng chửng cứu tôi, Ngọn tháp cao và nơi nương dựa của tôi; Hỡi Đấng che chở tôi! ấy Ngài giải cứu tôi khỏi sự hung bạo.|我 的 　 神 、 我 的 磐 石 、 我 所 投 靠 的 ． 他 是 我 的 盾 牌 、 是 拯 救 我 的 角 、 是 我 的 高 臺 、 是 我 的 避 難 所 ． 我 的 救 主 阿 、 你 是 救 我 脫 離 強 暴 的 。
Tôi sẽ kêu cầu cùng Đức Giê-hô-va, là Đấng đáng khen ngợi; Thì tôi sẽ được giải cứu khỏi các thù nghịch tôi.|我 要 求 告 當 讚 美 的 耶 和 華 、 這 樣 、 我 必 從 仇 敵 手 中 被 救 出 來 。
Các lượng sóng của tử vong đã phủ bao tôi, Lụt gian ác chảy cuộn làm cho tôi sợ hãi;|曾 有 死 亡 的 波 浪 環 繞 我 ． 匪 類 的 急 流 、 使 我 驚 懼 ．
Những dây của địa ngục đã vấn tôi, Lưới sự chết có hãm bắt tôi.|陰 間 的 繩 索 纏 繞 我 ． 死 亡 的 網 羅 臨 到 我 。
Trong cơn hoạn nạn tôi cầu khẩn Đức Giê-hô-va, Tôi kêu la cùng Đức Chúa Trời tôi. Ở nơi đền Ngài nghe tiếng tôi, Tiếng kêu cầu của tôi thấu đến tai Ngài.|我 在 急 難 中 求 告 耶 和 華 、 向 我 的 　 神 呼 求 ． 他 從 殿 中 聽 了 我 的 聲 音 、 我 的 呼 求 入 了 他 的 耳 中 。
Bấy giờ, đất động và rung, Nền các từng trời cũng lay chuyển, Nó rúng động, vì Ngài nổi giận.|那 時 因 他 發 怒 、 地 就 搖 撼 戰 抖 、 天 的 根 基 也 震 動 搖 撼 。
Khói bay ra từ lỗ mũi Ngài, Và từ miệng Ngài phát ra ngọn lửa hực. Ngài khiến than hừng đỏ phun ra,|從 他 鼻 孔 冒 煙 上 騰 、 從 他 口 中 發 火 焚 燒 ． 連 炭 也 ? 了 。
Làm nghiêng lệch các từng trời, và ngự xuống, Dưới chơn Ngài có vùng đen kịt.|他 又 使 天 下 垂 、 親 自 降 臨 ． 有 黑 雲 在 他 腳 下 。
Ngài cỡi một chê-ru-bin và bay; Ngài hiện ra trên cánh của gió.|他 坐 著 ? ? ? 飛 行 、 在 風 的 翅 膀 上 顯 現 。
Ngài bủa ra sự tối tăm, những vùng nước, những mây đen mịt, Chung quanh mình như một cái trại.|他 以 黑 暗 、 和 聚 集 的 水 、 天 空 的 厚 雲 、 為 他 四 圍 的 行 宮 。
Từ sự rực rỡ ở trước mặt Ngài, Những than hực chiếu sáng ra.|因 他 面 前 的 光 輝 炭 都 ? 了 。
Đức Giê-hô-va sấm sét trên các từng trời, Đấng Chí cao làm cho tiếng Ngài vang rân.|耶 和 華 從 天 上 打 雷 ． 至 高 者 發 出 聲 音 。
Ngài bắn tên, làm cho quân thù tôi tản lạc, Phát chớp nhoáng, khiến chúng nó lạc đường.|他 射 出 箭 來 、 使 仇 敵 四 散 ． 發 出 閃 電 、 使 他 們 擾 亂 。
Bởi lời hăm he của Đức Giê-hô-va, Bởi gió xịt ra khỏi lỗ mũi Ngài, Đáy biển bèn lộ ra, Nền thế gian bị bày tỏ.|耶 和 華 的 斥 責 一 發 、 鼻 孔 的 氣 一 出 、 海 底 就 出 現 、 大 地 的 根 基 也 顯 露 。
Từ trên cao, Ngài giơ tay nắm tôi, Rút tôi ra khỏi nước sâu.|他 從 高 天 伸 手 抓 住 我 ． 把 我 從 大 水 中 拉 上 來 。
Ngài giải cứu tôi khỏi kẻ thù nghịch cường bạo, Khỏi kẻ ghét tôi, vì chúng nó mạnh hơn tôi.|他 救 我 脫 離 我 的 勁 敵 、 和 那 些 恨 我 的 人 ． 因 為 他 們 比 我 強 盛 。
Trong ngày hoạn nạn chúng nó đến xông vào tôi; Nhưng Đức Giê-hô-va nâng đỡ tôi.|我 遭 遇 災 難 的 日 子 、 他 們 來 攻 擊 我 ． 但 耶 和 華 是 我 的 倚 靠 。
Ngài đem tôi ra nơi rộng rãi, Giải cứu tôi, vì Ngài ưa thích tôi.|他 又 領 我 到 寬 闊 之 處 ． 他 救 拔 我 、 因 他 喜 悅 我 。
Đức Giê-hô-va đã thưởng tôi tùy sự công bình tôi, Báo tôi theo sự thanh sạch của tay tôi.|耶 和 華 按 著 我 的 公 義 報 答 我 、 按 著 我 手 中 的 清 潔 賞 賜 我 。
Vì tôi có giữ theo các đường lối của Đức Giê-hô-va, Không làm ác xây bỏ Đức Chúa Trời tôi.|因 為 我 遵 守 了 耶 和 華 的 道 、 未 曾 作 惡 離 開 我 的 　 神 。
Vì các mạng lịnh của Ngài đều ở trước mặt tôi, Tôi chẳng lìa xa các luật lệ Ngài.|他 的 一 切 典 章 、 常 在 我 面 前 ． 他 的 律 例 、 我 也 未 曾 離 棄 。
Tôi cũng ở trọn vẹn với Ngài, Và giữ lấy mình khỏi gian ác.|我 在 他 面 前 作 了 完 全 人 ． 我 也 保 守 自 己 遠 離 我 的 罪 孽 。
Vì vậy, Đức Giê-hô-va đã báo tôi tùy sự công bình tôi, Thưởng tôi theo sự tinh sạch tôi trước mặt Ngài.|所 以 耶 和 華 按 我 的 公 義 、 按 我 在 他 眼 前 的 清 潔 、 賞 賜 我 。
Kẻ hay thương xót, Chúa sẽ thương xót lại; Đối cùng kẻ trọn vẹn, Chúa sẽ tỏ mình trọn vẹn lại.|慈 愛 的 人 、 你 以 慈 愛 待 他 ． 完 全 的 人 、 你 以 完 全 待 他 ．
Đối cùng kẻ tinh sạch, Chúa sẽ tỏ mình tinh sạch lại; Còn đối cùng kẻ trái nghịch, Chúa sẽ tỏ mình nhặt nhiệm lại.|清 潔 的 人 、 你 以 清 潔 待 他 ． 乖 僻 的 人 、 你 以 彎 曲 待 他 。
Vì Chúa cứu dân bị khốn khổ; Nhưng mắt Chúa coi chừng kẻ kiêu căng đặng làm chúng nó bị hạ xuống.|困 苦 的 百 姓 、 你 必 拯 救 ． 但 你 的 眼 目 、 察 看 高 傲 的 人 、 使 他 降 卑 。
Đức Giê-hô-va ôi! thật Ngài làm ngọn đèn tôi, Và Đức Giê-hô-va sẽ chiếu sáng sự tối tăm tôi.|耶 和 華 阿 、 你 是 我 的 燈 ． 耶 和 華 必 照 明 我 的 黑 暗 。
Nhờ Ngài tôi sẽ xông ngang qua đạo binh, Cậy Đức Chúa Trời tôi, tôi vượt khỏi tường thành.|我 藉 著 你 衝 入 敵 軍 、 藉 著 我 的 　 神 跳 過 牆 垣 。
Còn Đức Chúa Trời, các đường của Ngài vốn là trọn vẹn, Lời của Đức Giê-hô-va là tinh tường. Ngài là cái thuẫn cho mọi người nương náu mình nơi Ngài.|至 於 　 神 、 他 的 道 是 完 全 的 ． 耶 和 華 的 話 、 是 煉 淨 的 ． 凡 投 靠 他 的 、 他 便 作 他 們 的 盾 牌 。
Vậy, trừ ra Đức Giê-hô-va ai là Đức Chúa Trời? Ai là hòn đá lớn, nếu không phải là Đức Chúa Trời chúng ta?|除 了 耶 和 華 、 誰 是 　 神 呢 ． 除 了 我 們 的 　 神 、 誰 是 磐 石 呢 。
Đức Chúa Trời là đồn lũy vững chắc của tôi, Ngài dắt người trọn vẹn vào đường chánh đáng.|　 神 是 我 堅 固 的 保 障 ． 他 引 導 完 全 人 行 他 的 路 。
Ngài làm cho chơn tôi lẹ như chơn nai cái, Và để tôi đứng trên các nơi cao của tôi.|他 使 我 的 腳 、 快 如 母 鹿 的 蹄 、 又 使 我 在 高 處 安 穩 。
Ngài tập tay tôi chiến trận, Đến đỗi cánh tay tôi gương nổi cung đồng.|他 教 導 我 的 手 、 能 以 爭 戰 、 甚 至 我 的 膀 臂 能 開 銅 弓 。
Chúa đã ban sự chửng cứu cho tôi làm cái khiên, Và sự hiền từ Chúa đã làm cho tôi nên sang trọng.|你 把 你 的 救 恩 給 我 作 盾 牌 ． 你 的 溫 和 使 我 為 大 。
Chúa mở rộng đường dưới bước tôi, Và chơn tôi không xiêu tó.|你 使 我 腳 下 的 地 步 寬 闊 ． 我 的 腳 未 曾 滑 跌 。
