
					Mác 1				|
Ao xống Ngài trở nên sáng rực và trắng tinh chói lòa, đến nỗi chẳng có thợ phiếu nào ở thế gian phiếu được trắng như vậy.|衣 服 放 光 、 極 其 潔 白 ． 地 上 漂 布 的 、 沒 有 一 個 能 漂 得 那 樣 白 。
Ê-li và Môi-se hiện ra, nói chuyện cùng Đức Chúa Jêsus.|忽 然 有 以 利 亞 同 摩 西 向 他 們 顯 現 ． 並 且 和 耶 穌 說 話 。
Phi -e-rơ bèn cất tiếng thưa cùng Đức Chúa Jêsus rằng: Lạy thầy, chúng ta ở đây tốt lắm; hãy đóng ba trại, một cái cho thầy, một cái cho Môi-se, và một cái cho Ê-li.|彼 得 對 耶 穌 說 、 拉 比 、 〔 拉 比 就 是 夫 子 〕 我 們 在 這 裡 真 好 ． 可 以 搭 三 座 棚 、 一 座 為 你 、 一 座 為 摩 西 、 一 座 為 以 利 亞 。
Vì Phi -e-rơ không biết mình nói chi, tại cả ba đều sợ hãi.|彼 得 不 知 道 說 甚 麼 纔 好 ． 因 為 他 們 甚 是 懼 怕 。
Lại có một đám mây bao phủ lấy; và từ đám mây có tiếng phán rằng: Người nầy là Con rất yêu dấu của ta, hãy vâng nghe người.|有 一 朵 雲 彩 來 遮 蓋 他 們 ． 也 有 聲 音 從 雲 彩 裡 出 來 說 、 這 是 我 的 愛 子 、 你 們 要 聽 他 。
Thình lình, các môn đồ ngó quanh quất, chẳng thấy ai nữa, chỉ còn một mình Đức Chúa Jêsus ở với mình mà thôi.|門 徒 忽 然 周 圍 一 看 、 不 再 見 一 人 、 只 見 耶 穌 同 他 們 在 那 裡 。
Khi từ trên núi xuống, Ngài cấm môn đồ đừng nói lại với ai những điều mình đã thấy, cho đến chừng nào Con người từ kẻ chết sống lại.|下 山 的 時 候 、 耶 穌 囑 咐 他 們 說 、 人 子 還 沒 有 從 死 裡 復 活 、 你 們 不 要 將 所 看 見 的 告 訴 人 ．
Vậy, môn đồ ghi nhớ lời ấy, và hỏi nhau sự từ kẻ chết sống lại là gì.|門 徒 將 這 話 存 記 在 心 、 彼 此 議 論 從 死 裡 復 活 是 甚 麼 意 思 。
Lại hỏi nói Ngài rằng: Sao các thầy thông giáo nói rằng: Ê-li phải đến trước?|他 們 就 問 耶 穌 說 、 文 士 為 甚 麼 說 、 以 利 亞 必 須 先 來 。
Ngài đáp rằng: Thật Ê-li phải đến trước sửa lại mọi việc. Vậy thì sao có chép về Con người rằng Ngài phải chịu khổ nhiều và bị khinh dể ư?|耶 穌 說 、 以 利 亞 固 然 先 來 、 復 興 萬 事 ． 經 上 不 是 指 著 人 子 說 、 他 要 受 許 多 的 苦 、 被 人 輕 慢 呢 。
Vả, ta nói cùng các ngươi, Ê-li đã đến rồi, người ta đãi người theo ý muốn mình, y như lời đã chép về việc người vậy.|我 告 訴 你 們 、 以 利 亞 已 經 來 了 、 他 們 也 任 意 待 他 、 正 如 經 上 所 指 著 他 的 話 。
Đức Chúa Jêsus với ba người đến cùng các môn đồ khác, thì thấy đoàn dân rất đông vây chung quanh, và mấy thầy thông giáo đương cãi lẽ với các môn đồ ấy.|耶 穌 到 了 門 徒 那 裡 看 見 有 許 多 人 圍 著 他 們 、 又 有 文 士 和 他 們 辯 論 。
Cả đoàn dân nầy vừa thấy Ngài, liền lấy làm lạ, thảy đều chạy đến chào Ngài.|眾 人 一 見 耶 穌 、 都 甚 希 奇 、 就 跑 上 去 問 他 的 安 。
Ngài bèn hỏi rằng: Các ngươi cãi lẽ với môn đồ về việc gì?|耶 穌 問 他 們 說 、 你 們 和 他 們 辯 論 的 是 甚 麼 。
Một người trong đám đông thưa rằng: Lạy thầy, tôi đã đem con trai tôi tới cho thầy; nó bị quỉ câm ám,|眾 人 中 間 有 一 個 人 回 答 說 、 夫 子 、 我 帶 了 我 的 兒 子 到 你 這 裡 來 、 他 被 啞 吧 鬼 附 著 ．
không cứ chỗ nào quỉ ám vào thì làm cho nổi kinh phong, sôi bọt mồm, nghiến răng, rồi nó mòn mỏi đi; tôi đã xin môn đồ thầy đuổi quỉ ấy, song đuổi không được.|無 論 在 那 裡 、 鬼 捉 弄 他 、 把 他 摔 倒 、 他 就 口 中 流 沫 、 咬 牙 切 齒 、 身 體 枯 乾 、 我 請 過 你 的 門 徒 把 鬼 趕 出 去 、 他 們 卻 是 不 能 。
Đức Chúa Jêsus bèn đáp rằng: Hỡi dòng dõi chẳng tin kia, ta sẽ ở cùng các ngươi cho đến chừng nào? Ta sẽ chịu các ngươi cho đến khi nào? Hãy đem con đến cho ta.|耶 穌 說 、 噯 、 不 信 的 世 代 阿 、 我 在 你 們 這 裡 要 到 幾 時 呢 ． 我 忍 耐 你 們 要 到 幾 時 呢 ． 把 他 帶 到 我 這 裡 來 罷 。
Chúng bèn đem đứa trẻ cho Ngài. Đứa trẻ vừa thấy Đức Chúa Jêsus, tức thì ngã xuống đất, rồi lăn lóc sôi bọt miếng ra.|他 們 就 帶 了 他 來 。 他 一 見 耶 穌 、 鬼 便 叫 他 重 重 的 抽 瘋 ． 倒 在 地 上 、 翻 來 覆 去 、 口 中 流 沫 。
Đức Chúa Jêsus hỏi cha nó rằng: Điều đó xảy đến cho nó đã bao lâu? Người cha thưa rằng: Từ khi nó còn nhỏ.|耶 穌 問 他 父 親 說 、 他 得 這 病 、 有 多 少 日 子 呢 ． 回 答 說 、 從 小 的 時 候 。
Quỉ đã lắm phen quăng nó trong lửa và dưới nước, để giết nó đi; nhưng nếu thầy làm được việc gì, xin thương xót chúng tôi và giúp cho!|鬼 屢 次 把 他 扔 在 火 裡 、 水 裡 、 要 滅 他 ． 你 若 能 作 甚 麼 、 求 你 憐 憫 我 們 、 幫 助 我 們 。
Đức Chúa Jêsus đáp rằng: Sao ngươi nói: Nếu thầy làm được? Kẻ nào tin thì mọi việc đều được cả.|耶 穌 對 他 說 、 你 若 能 信 、 在 信 的 人 、 凡 事 都 能 。
Tức thì cha đứa trẻ la lên rằng: Tôi tin; xin Chúa giúp đỡ trong sự không tin của tôi!|孩 子 的 父 親 立 時 喊 著 說 、 我 信 ． 但 我 信 不 足 、 求 主 幫 助 。 〔 有 古 卷 作 立 時 流 淚 的 喊 著 說 〕
Khi Đức Chúa Jêsus thấy dân chúng chạy đến đông, thì Ngài quở trách tà ma và phán cùng nó rằng: Hỡi quỉ câm và điếc, ta biểu mầy phải ra khỏi đứa trẻ nầy, đừng ám nó nữa.|耶 穌 看 見 眾 人 都 跑 上 來 、 就 斥 責 那 污 鬼 、 說 、 你 這 聾 啞 的 鬼 、 我 吩 咐 你 從 他 裡 頭 出 來 、 再 不 要 進 去 。
Quỉ bèn la lớn tiếng lên, vật đứa trẻ mạnh lắm mà ra khỏi; đứa trẻ trở như chết vậy, nên nỗi nhiều người nói rằng: Nó chết rồi.|那 鬼 喊 叫 、 使 孩 子 大 大 的 抽 了 一 陣 瘋 、 就 出 來 了 ． 孩 子 好 像 死 了 一 般 。 以 致 眾 人 多 半 說 、 他 是 死 了 。
Nhưng Đức Chúa Jêsus nắm tay nó, nâng lên; thì nó đứng dậy.|但 耶 穌 拉 著 他 的 手 、 扶 他 起 來 、 他 就 站 起 來 了 。
Khi Đức Chúa Jêsus vào nhà rồi, môn đồ hỏi riêng Ngài rằng: Sao chúng tôi đuổi quỉ ấy không được?|耶 穌 進 了 屋 子 、 門 徒 就 暗 暗 的 問 他 說 、 我 們 為 甚 麼 不 能 趕 出 他 去 呢 。
Ngài đáp rằng: Nếu không cầu nguyện, thì chẳng ai đuổi thứ quỉ ấy ra được.|耶 穌 說 、 非 用 禱 告 、 〔 有 古 卷 在 此 有 禁 食 二 字 〕 這 一 類 的 鬼 、 總 不 能 出 來 。 〔 或 作 不 能 趕 他 出 來 〕
Đoạn, đi khỏi đó, trải qua xứ Ga-li-lê, Đức Chúa Jêsus không muốn cho ai biết.|他 們 離 開 那 地 方 、 經 過 加 利 利 ． 耶 穌 不 願 意 人 知 道 。
Vì Ngài dạy các môn đồ rằng: Con người sẽ bị nộp trong tay người ta, họ sẽ giết đi; Ngài bị giết đã ba ngày rồi, thì sẽ sống lại.|於 是 教 訓 門 徒 、 說 、 人 子 將 要 被 交 在 人 手 裡 、 他 們 要 殺 害 他 ． 被 殺 以 後 、 過 三 天 他 要 復 活 。
Nhưng môn đồ không hiểu lời ấy, lại sợ không dám hỏi Ngài.|門 徒 卻 不 明 白 這 話 、 又 不 敢 問 他 。
Đến thành Ca-bê-na-um, đang ở trong nhà, Ngài hỏi môn đồ rằng: Lúc đi đường, các ngươi nói chi với nhau?|他 們 來 到 迦 百 農 ． 耶 穌 在 屋 裡 問 門 徒 說 、 你 們 在 路 上 議 論 的 是 甚 麼 。
Môn đồ đều làm thinh; vì dọc đường đã cãi nhau cho biết ai là lớn hơn trong bọn mình.|門 徒 不 作 聲 、 因 為 他 們 在 路 上 彼 此 爭 論 誰 為 大 。
Ngài bèn ngồi, kêu mười hai sứ đồ mà phán rằng: Nếu ai muốn làm đầu, thì phải làm rốt hết và làm tôi tớ mọi người.|耶 穌 坐 下 、 叫 十 二 個 門 徒 來 、 說 、 若 有 人 願 意 作 首 先 的 、 他 必 作 眾 人 末 後 的 、 作 眾 人 的 用 人 。
Đoạn, Ngài bắt một đứa trẻ để ở giữa môn đồ; rồi ẵm nó trong tay, mà phán rằng:|於 是 領 過 一 個 小 孩 子 來 、 叫 他 站 在 門 徒 中 間 ． 又 抱 起 他 來 、 對 他 們 說 、
Hễ ai vì danh ta tiếp một đứa trong những đứa trẻ nầy, tức là tiếp ta; còn ai tiếp ta, thì chẳng phải tiếp ta, bèn là tiếp Đấng đã sai ta vậy.|凡 為 我 名 、 接 待 一 個 像 這 小 孩 子 的 就 是 接 待 我 ． 凡 接 待 我 的 、 不 是 接 待 我 、 乃 是 接 待 那 差 我 來 的 。
Giăng thưa cùng Ngài rằng: Lạy thầy, chúng tôi từng thấy có người lấy danh thầy mà trừ quỉ, thì chúng tôi đã cấm, vì họ không theo chúng ta.|約 翰 對 耶 穌 說 、 夫 子 、 我 們 看 見 一 個 人 、 奉 你 的 名 趕 鬼 、 我 們 就 禁 止 他 、 因 為 他 不 跟 從 我 們 。
Đức Chúa Jêsus phán rằng: Đừng cấm làm chi; vì chẳng ai cùng trong một lúc, vừa nhơn danh ta làm phép lạ, vừa nói xấu ta được.|耶 穌 說 、 不 要 禁 止 他 ． 因 為 沒 有 人 奉 我 名 行 異 能 、 反 倒 輕 易 毀 謗 我 。
Hễ ai không nghịch cùng ta là thuộc về ta.|不 敵 擋 我 們 的 、 就 是 幫 助 我 們 的 。
Còn ai nhơn danh ta mà cho các ngươi một chén nước, vì các ngươi thuộc về Đấng Christ, quả thật, ta nói cùng các ngươi, người ấy sẽ không mất phần thưởng mình đâu.|凡 因 你 們 是 屬 基 督 、 給 你 們 一 杯 水 喝 的 、 我 實 在 告 訴 你 們 、 他 不 能 不 得 賞 賜 。
Nhưng hễ ai làm cho một đứa trong những đứa nhỏ nầy đã tin, phải sa vào tội lỗi, thì thà buộc cối đá lớn vào cổ nó mà bỏ xuống biển còn hơn.|凡 使 這 信 我 的 一 個 小 子 跌 倒 的 、 倒 不 如 把 大 磨 石 拴 在 這 人 的 頸 項 上 、 扔 在 海 裡 。
Nếu tay ngươi làm cho ngươi phạm tội, hãy chặt nó đi; thà rằng một tay mà vào sự sống, còn hơn đủ hai tay mà sa xuống địa ngục, trong lửa chẳng hề tắt.|倘 若 你 一 隻 手 叫 你 跌 倒 、 就 把 他 砍 下 來 ．
Đó là nơi sâu bọ của chúng nó chẳng hề chết, và là nơi lửa chẳng hề tắt.|你 缺 了 肢 體 進 入 永 生 、 強 如 有 兩 隻 手 落 到 地 獄 、 入 那 不 滅 的 火 裡 去 。
Lại nếu chơn ngươi làm cho ngươi phạm tội, hãy chặt nó đi; thà rằng què chơn mà vào sự sống, còn hơn là đủ hai chơn mà bị quăng vào địa ngục.|倘 若 你 一 隻 腳 叫 你 跌 倒 、 就 把 他 砍 下 來 ．
Đó là nơi sâu bọ của chúng nó chẳng hề chết, và là nơi lửa chẳng hề tắt.|你 瘸 腿 進 入 永 生 、 強 如 有 兩 隻 腳 被 丟 在 地 獄 裡 。
Còn nếu mắt ngươi làm cho ngươi phạm tội, hãy móc nó đi; thà rằng chỉ một mắt mà vào nước Đức Chúa Trời, còn hơn đủ hai mắt mà bị quăng vào địa ngục,|倘 若 你 一 隻 眼 叫 你 跌 倒 、 就 去 掉 他 ． 你 只 有 一 隻 眼 進 入 　 神 的 國 、 強 如 有 兩 隻 眼 被 丟 在 地 獄 裡 。
đó là nơi sâu bọ của chúng nó chẳng hề chết và là nơi lửa chẳng hề tắt.|在 那 裡 蟲 是 不 死 的 、 火 是 不 滅 的 。
Vì mỗi người sẽ bị muối bằng lửa.|因 為 必 用 火 當 鹽 醃 各 人 。 〔 有 古 卷 在 此 有 凡 祭 物 必 用 鹽 醃 〕
Muối là vật tốt, nhưng nếu mất mặn đi, thì lấy chi làm cho mặn lại được?  Các ngươi phải có muối trong lòng mình, lại phải hòa thuận cùng nhau.|鹽 本 是 好 的 、 若 失 了 味 、 可 用 甚 麼 叫 他 再 鹹 呢 。 你 們 裡 頭 應 當 有 鹽 、 彼 此 和 睦 。

					Mác 10				|
						馬可福音 10					
Đức Chúa Jêsus từ đó mà đi, qua bờ cõi xứ Giu-đê, bên kia sông Giô-đanh. Đoàn dân đông lại nhóm họp cùng Ngài, Ngài dạy dỗ chúng y như lệ thường.|耶 穌 從 那 裡 起 身 、 來 到 猶 太 的 境 界 、 並 約 但 河 外 。 眾 人 又 聚 集 到 他 那 裡 、 他 又 照 常 教 訓 他 們 。
Các người Pha-ri-si bèn đến gần hỏi để thử Ngài rằng: Người nam có phép để vợ mình chăng?|有 法 利 賽 人 來 問 他 說 、 人 休 妻 可 以 不 可 以 、 意 思 要 試 探 他 。
Ngài trả lời rằng: Vậy chớ Môi-se dạy các ngươi điều chi?|耶 穌 回 答 說 、 摩 西 吩 咐 你 們 的 是 甚 麼 。
Họ thưa rằng: Môi-se có cho phép viết tờ để và cho phép để vợ.|他 們 說 、 摩 西 許 人 寫 了 休 書 便 可 以 休 妻 。
Đức Chúa Jêsus phán rằng: Ay vì cớ lòng các ngươi cứng cõi, nên người đã truyền mạng nầy cho.|耶 穌 說 、 摩 西 因 為 你 們 的 心 硬 、 所 以 寫 這 條 例 給 你 們 。
Nhưng từ lúc đầu sáng thế, Đức Chúa Trời làm ra một người nam và một người nữ.|但 從 起 初 創 造 的 時 候 、 　 神 造 人 是 造 男 造 女 。
Vì cớ đó, người nam lìa cha mẹ mình mà dính díu với vợ;|因 此 人 要 離 開 父 母 、 與 妻 子 連 合 、 二 人 成 為 一 體 。
và hai người cùng nên một thịt mà thôi. Như thế, vợ chồng chẳng phải mà hai nữa, mà chỉ một thịt.|既 然 如 此 、 夫 妻 不 再 是 兩 個 人 、 乃 是 一 體 的 了 。
Vậy, người ta không nên phân rẽ những kẻ mà Đức Chúa Trời đã phối hiệp.|所 以 　 神 配 合 的 、 人 不 可 分 開 。
Khi ở trong nhà, môn đồ lại hỏi Ngài về việc ấy;|到 了 屋 裡 、 門 徒 就 問 他 這 事 。
Ngài phán rằng: Ai để vợ mình mà cưới vợ khác, thì phạm tội tà dâm với người;|耶 穌 對 他 們 說 、 凡 休 妻 另 娶 的 、 就 是 犯 姦 淫 、 辜 負 他 的 妻 子 ．
còn nếu người đờn bà bỏ chồng mình mà lấy chồng khác, thì cũng phạm tội tà dâm.|妻 子 若 離 棄 丈 夫 另 嫁 、 也 是 犯 姦 淫 了 。
Người ta đem những con trẻ đến cùng Ngài, đặng Ngài rờ chúng nó; nhưng môn đồ trách những kẻ đem đến.|有 人 帶 著 小 孩 子 來 見 耶 穌 、 要 耶 穌 摸 他 們 、 門 徒 便 責 備 那 些 人 。
Đức Chúa Jêsus thấy vậy, bèn giận mà phán cùng môn đồ rằng: Hãy để con trẻ đến cùng ta, đừng cấm chúng nó; vì nước Đức Chúa Trời thuộc về những kẻ giống như con trẻ ấy.|耶 穌 看 見 就 惱 怒 、 對 門 徒 說 、 讓 小 孩 子 到 我 這 裡 來 、 不 要 禁 止 他 們 ． 因 為 在 　 神 國 的 、 正 是 這 樣 的 人 。
Quả thật, ta nói cùng các ngươi, ai chẳng nhận lấy nước Đức Chúa Trời như một đứa trẻ, thì chẳng được vào đó bao giờ.|我 實 在 告 訴 你 們 、 凡 要 承 受 　 神 國 的 、 若 不 像 小 孩 子 、 斷 不 能 進 去 。
Ngài lại bồng những đứa trẻ ấy, đặt tay trên chúng nó mà chúc phước cho.|於 是 抱 著 小 孩 子 、 給 他 們 按 手 、 為 他 們 祝 福 。
Ngài đang ra đi, có một người chạy lại, quì trước mặt Ngài, mà hỏi rằng: Thưa thầy nhơn lành, tôi phải làm chi cho được hưởng sự sống đời đời?|耶 穌 出 來 行 路 的 時 候 、 有 一 個 人 跑 來 、 跪 在 他 面 前 問 他 說 、 良 善 的 夫 子 、 我 當 作 甚 麼 事 、 纔 可 以 承 受 永 生 。
Đức Chúa Jêsus phán rằng: Sao ngươi gọi ta là nhơn lành? Chỉ có một Đấng nhơn lành, là Đức Chúa Trời.|耶 穌 對 他 說 、 你 為 甚 麼 稱 我 是 良 善 的 ． 除 了 　 神 一 位 之 外 、 再 沒 有 良 善 的 。
Ngươi biết các điều răn: Đừng phạm tội tà dâm; đừng giết người; đừng trộm cướp; đừng làm chứng dối; đừng làm gian; hãy hiếu kính cha mẹ.|誡 命 你 是 曉 得 的 、 不 可 殺 人 、 不 可 姦 淫 、 不 可 偷 盜 、 不 可 作 假 見 證 、 不 可 虧 負 人 、 當 孝 敬 父 母 。
Người thưa rằng: Lạy thầy, tôi đã giữ mọi điều đó từ khi còn nhỏ.|他 對 耶 穌 說 、 夫 子 、 這 一 切 我 從 小 都 遵 守 了 。
Đức Chúa Jêsus ngó người mà yêu, nên phán rằng: Nhưng ngươi còn thiếu một điều. Hãy đi, bán hết gia tài mình, đem thí cho kẻ nghèo khổ, chắc sẽ được của báu ở trên trời, rồi hãy đến mà theo ta.|耶 穌 看 著 他 、 就 愛 他 、 對 他 說 、 你 還 缺 少 一 件 ． 去 變 賣 你 所 有 的 、 分 給 窮 人 、 就 必 有 財 寶 在 天 上 ． 你 還 要 來 跟 從 我 。
Song nét mặt người nầy rầu rĩ về lời đó, đi ra rất buồn bã, vì có nhiều của lắm.|他 聽 見 這 話 、 臉 上 就 變 了 色 、 憂 憂 愁 愁 的 走 了 ． 因 為 他 的 產 業 很 多 。
Bấy giờ Đức Chúa Jêsus ngó xung quanh mình, mà phán cùng môn đồ rằng: Kẻ giàu vào nước Đức Chúa Trời khó là dường nào!|耶 穌 周 圍 一 看 、 對 門 徒 說 、 有 錢 財 的 人 進 　 神 的 國 是 何 等 的 難 哪 。
Môn đồ lấy mấy lời đó làm lạ. Nhưng Đức Chúa Jêsus lại phán rằng: Hỡi các con, những kẻ cậy sự giàu có vào nước Đức Chúa Trời khó là dường nào!|門 徒 希 奇 他 的 話 。 耶 穌 又 對 他 們 說 、 小 子 、 倚 靠 錢 財 的 人 進 　 神 的 國 、 是 何 等 的 難 哪 。
Con lạc đà chui qua lỗ kim còn dễ hơn người giàu vào nước Đức Chúa Trời.|駱 駝 穿 過 鍼 的 眼 、 比 財 主 進 　 神 的 國 、 還 容 易 呢 。
Môn đồ lại càng lấy làm lạ, nói cùng nhau rằng: Vậy thì ai được cứu?|門 徒 就 分 外 希 奇 、 對 他 說 、 這 樣 誰 能 得 救 呢 。
Đức Chúa Jêsus ngó môn đồ mà rằng: Sự đó loài người không thể làm được, nhưng Đức Chúa Trời thì chẳng thế; vì Đức Chúa Trời làm mọi sự được cả.|耶 穌 看 著 他 們 說 、 在 人 是 不 能 、 在 　 神 卻 不 然 ． 因 為 　 神 凡 事 都 能 。
Phi -e-rơ liền thưa cùng Ngài rằng: Nầy, chúng tôi đã bỏ hết mà đi theo thầy.|彼 得 就 對 他 說 、 看 哪 、 我 們 已 經 撇 下 所 有 的 跟 從 你 了 。
Đức Chúa Jêsus đáp rằng: Quả thật, ta nói cùng các ngươi chẳng một người nào vì ta và Tin Lành từ bỏ nhà cửa, anh em, chị em, cha mẹ, con cái, đất ruộng,|耶 穌 說 、 我 實 在 告 訴 你 們 、 人 為 我 和 福 音 、 撇 下 房 屋 、 或 是 弟 兄 、 姐 妹 、 父 母 、 兒 女 、 田 地 。
mà chẳng lãnh được đương bây giờ, trong đời nầy, trăm lần hơn về những nhà cửa, anh em, chị em, mẹ con, đất ruộng, với sự bắt bớ, và sự sống đời đời trong đời sau.|沒 有 不 在 今 世 得 百 倍 的 、 就 是 房 屋 、 弟 兄 、 姐 妹 、 母 親 、 兒 女 、 田 地 、 並 且 要 受 逼 迫 ． 在 來 世 必 得 永 生 。
Nhưng có nhiều kẻ đầu sẽ nên rốt; có kẻ rốt sẽ nên đầu.|然 而 有 許 多 在 前 的 將 要 在 後 、 在 後 的 、 將 要 在 前 。
Đức Chúa Trời và môn đồ đương đi đường lên thành Giê-ru-sa-lem, Ngài thì đi trước; các môn đồ thất kinh, và những người đi theo đều sợ hãi. Ngài lại kèm mười hai sứ đồ đi cùng mình mà phán về những việc phải xảy đến cho mình, rằng:|他 們 行 路 上 耶 路 撒 冷 去 ． 耶 穌 在 前 頭 走 、 門 徒 就 希 奇 、 跟 從 的 人 也 害 怕 ． 耶 穌 又 叫 過 十 二 個 門 徒 來 、 把 自 己 將 要 遭 遇 的 事 、 告 訴 他 們 說 、
Nầy, chúng ta lên thành Giê-ru-sa-lem, Con người sẽ bị nộp cho các thầy tế lễ cả cùng các thầy thông giáo; họ sẽ định Ngài phải bị tử hình và giao Ngài cho dân ngoại.|看 哪 、 我 們 上 耶 路 撒 冷 去 、 人 子 將 要 被 交 給 祭 司 長 和 文 士 、 他 們 要 定 他 死 罪 、 交 給 外 邦 人 。
Người ta sẽ nhạo báng Ngài, nhổ trên Ngài, đánh đập Ngài mà giết đi; sau ba ngày, Ngài sẽ sống lại.|他 們 要 戲 弄 他 、 吐 唾 沫 在 他 臉 上 、 鞭 打 他 、 殺 害 他 ． 過 了 三 天 、 他 要 復 活 。
Bấy giờ, Gia-cơ và Giăng, hai con trai Xê-bê-đê, đến gần Ngài mà thưa rằng: Lạy thầy, chúng tôi muốn thầy làm thành điều chúng tôi sẽ xin.|西 庇 太 的 兒 子 雅 各 、 約 翰 進 前 來 、 對 耶 穌 說 、 夫 子 、 我 們 無 論 求 你 甚 麼 、 願 你 給 我 們 作 。
Ngài hỏi rằng: Các ngươi muốn ta làm chi cho?|耶 穌 說 、 要 我 給 你 們 作 甚 麼 。
Thưa rằng: Khi thầy được vinh hiển, xin cho chúng tôi một đứa ngồi bên hữu, một đứa bên tả.|他 們 說 、 賜 我 們 在 你 的 榮 耀 裡 、 一 個 坐 在 你 右 邊 、 一 個 坐 在 你 左 邊 。
Nhưng Đức Chúa Trời phán rằng: Các ngươi không biết điều mình xin. Các ngươi có uống được chén ta uống, và chịu được phép báp-tem ta chịu chăng?|耶 穌 說 、 你 們 不 知 道 所 求 的 是 甚 麼 。 我 所 喝 的 杯 ． 你 們 能 喝 麼 ． 我 所 受 的 洗 、 你 們 能 受 麼 。
Thưa rằng: Được. Đức Chúa Jêsus phán rằng: Các ngươi sẽ uống chén ta uống, và sẽ chịu phép báp-tem ta chịu;|他 們 說 、 我 們 能 。 耶 穌 說 、 我 所 喝 的 杯 、 你 們 也 要 喝 ． 我 所 受 的 洗 、 你 們 也 要 受 ．
nhưng chí như ngồi bên hữu và bên tả ta thì không phải tự ta cho được: ấy là thuộc về người nào mà điều đó đã dành cho.|只 是 坐 在 我 的 左 右 、 不 是 我 可 以 賜 的 ． 乃 是 為 誰 豫 備 的 、 就 賜 給 誰 。
Mười sứ đồ kia nghe sự xin đó, thì giận Gia-cơ và Giăng.|那 十 個 門 徒 聽 見 、 就 惱 怒 雅 各 、 約 翰 。
Nhưng Đức Chúa Jêsus gọi họ mà phán rằng: Các ngươi biết những người được tôn làm đầu cai trị các dân ngoại, thì bắt dân phải phục mình, còn các quan lớn thì lấy quyền thế trị dân.|耶 穌 叫 他 們 來 對 他 們 說 、 你 們 知 道 、 外 邦 人 有 尊 為 君 王 的 、 治 理 他 們 ． 有 大 臣 操 權 管 束 他 們 。
Song trong các ngươi không như vậy; trái lại hễ ai muốn làm lớn trong các ngươi, thì sẽ làm đầy tớ;|只 是 在 你 們 中 間 、 不 是 這 樣 ． 你 們 中 間 、 誰 願 為 大 、 就 必 作 你 們 的 用 人 ．
còn ai trong các ngươi muốn làm đầu, thì sẽ làm tôi mọi mọi người.|在 你 們 中 間 、 誰 願 為 首 、 就 必 作 眾 人 的 僕 人 。
Vì Con người đã đến không phải để người ta hầu việc mình, song để hầu việc người ta, và phó sự sống mình làm giá chuộc cho nhiều người.|因 為 人 子 來 、 並 不 是 要 受 人 的 服 事 、 乃 是 要 服 事 人 、 並 且 要 捨 命 、 作 多 人 的 贖 價 。
Kế đó, Đức Chúa Jêsus và môn đồ đến thành Giê-ri-cô. Ngài và môn đồ cùng một đoàn dân đông đang từ đó lại đi, thì có một người ăn mày mù tên là Ba-ti-mê, con trai của Ti-mê, ngồi bên đường.|到 了 耶 利 哥 ． 耶 穌 同 門 徒 並 許 多 人 出 耶 利 哥 的 時 候 、 有 一 個 討 飯 的 瞎 子 、 是 底 買 的 兒 子 巴 底 買 、 坐 在 路 旁 。
Vì đã nghe nói ấy là Đức Chúa Jêsus, người Na-xa-rét, người vùng la lên mà rằng: Hỡi Đức Chúa Jêsus, con vua Đa-vít, xin thương tôi cùng!|他 聽 見 是 拿 撒 勒 的 耶 穌 、 就 喊 著 說 、 大 衛 的 子 孫 耶 穌 阿 、 可 憐 我 罷 。
Có nhiều kẻ rầy người, biểu nín đi; song người lại kêu lớn hơn nữa rằng: Hỡi con vua Đa-vít, xin thương tôi cùng!|有 許 多 人 責 備 他 、 不 許 他 作 聲 、 他 卻 越 發 大 聲 喊 著 說 、 大 衛 的 子 孫 哪 、 可 憐 我 罷 。
Đức Chúa Jêsus dừng lại, phán rằng: Hãy kêu người đến. Chúng kêu người mù đến, mà nói rằng: Hãy vững lòng, đứng dậy, Ngài gọi ngươi.|耶 穌 就 站 住 、 說 、 叫 過 他 來 ． 他 們 就 叫 那 瞎 子 、 對 他 說 、 放 心 、 起 來 、 他 叫 你 喇 。
Người mù bỏ áo ngoài, bước tới đến cùng Đức Chúa Jêsus.|瞎 子 就 丟 下 衣 服 、 跳 起 來 、 走 到 耶 穌 那 裡 。
Đức Chúa Jêsus bèn cất tiếng phán rằng: Ngươi muốn ta làm chi cho ngươi? Người mù thưa rằng: Lạy thầy, xin cho tôi được sáng mắt.|耶 穌 說 、 要 我 為 你 作 甚 麼 。 瞎 子 說 、 拉 波 尼 、 我 要 能 看 見 。 〔 拉 波 尼 就 是 夫 子 〕
Đức Chúa Jêsus phán: Đi đi, đức tin ngươi đã chữa lành ngươi rồi.  Tức thì người mù được sáng mắt, và đi theo Đức Chúa Jêsus trên đường.|耶 穌 說 、 你 去 罷 ． 你 的 信 救 了 你 了 。 瞎 子 立 刻 看 見 了 、 就 在 路 上 跟 隨 耶 穌 。

					Mác 11				|
						馬可福音 11					
Khi tới gần thành Giê-ru-sa-lem, bên làng Bê-pha-giê và làng Bê-tha-ni, ngang núi ô-li-ve, Đức Chúa Jêsus sai hai môn đồ đi,|耶 穌 和 門 徒 將 近 耶 路 撒 冷 、 到 了 伯 法 其 和 伯 大 尼 、 在 橄 欖 山 那 裡 ． 耶 穌 就 打 發 兩 個 門 徒 、
