
					Nê-hê-mi-a 1				|
Vậy bây giờ, hỡi Đức Chúa Trời của chúng tôi ơi! là Đức Chúa Trời rất lớn rất quyền năng và đáng sợ, xin chớ coi nhỏ mọn trước mặt Chúa các việc đau đớn cực nhọc đã giáng trên chúng tôi, trên các vua và các quan trưởng, trên những thầy tế lễ và các tiên tri, trên tổ phụ chúng tôi, và trên hết thảy dân sự của Chúa, từ đời các vua A-si-ri cho đến ngày nay.|我 們 的 　 神 阿 、 你 是 至 大 、 至 能 、 至 可 畏 、 守 約 施 慈 愛 的 　 神 ． 我 們 的 君 王 、 首 領 、 祭 司 、 先 知 、 列 祖 、 和 你 的 眾 民 、 從 亞 述 列 王 的 時 候 直 到 今 日 所 遭 遇 的 苦 難 、 現 在 求 你 不 要 以 為 小 。
Trong mọi việc đã xảy đến cho chúng tôi, Chúa vẫn là công bình; vì Chúa thi hành cách chơn thật, còn chúng tôi lại làm cách hung ác.|在 一 切 臨 到 我 們 的 事 上 、 你 卻 是 公 義 的 ． 因 你 所 行 的 是 誠 實 、 我 們 所 作 的 是 邪 惡 。
Các vua chúng tôi, các quan trưởng, những thầy tế lễ, và tổ phụ chúng tôi, không có gìn giữ luật pháp của Chúa, cũng chẳng nghe theo các điều răn và chứng cớ mà Chúa phán dạy nghịch cùng chúng.|我 們 的 君 王 、 首 領 、 祭 司 、 列 祖 都 不 遵 守 你 的 律 法 、 不 聽 從 你 的 誡 命 、 和 你 警 戒 他 們 的 話 。
Tại trong xứ của chúng, giữa đều ơn lành dư dật mà Chúa đã ban cho chúng, tại trong đất rộng rãi và màu mỡ mà Chúa đã đặt trước mặt chúng, chúng không phục sự Chúa, chẳng trở bỏ các công việc ác của họ.|他 們 在 本 國 裡 沾 你 大 恩 的 時 候 、 在 你 所 賜 給 他 們 這 廣 大 肥 美 之 地 上 、 不 事 奉 你 、 也 不 轉 離 他 們 的 惡 行 。
Kìa, ngày nay chúng tôi làm tôi mọi; này chúng tôi làm tôi trong xứ để ăn bông trái và thổ sản tốt tươi của nó.|我 們 現 今 作 了 奴 僕 、 至 於 你 所 賜 給 我 們 列 祖 享 受 其 上 的 土 產 、 並 美 物 之 地 、 看 哪 、 我 們 在 這 地 上 作 了 奴 僕 。
Xứ sanh ra nhiều thổ sản cho các vua mà Chúa đã lập trên chúng tôi tại cớ tội lỗi của chúng tôi: các vua ấy cũng tự ý mình lấn lướt trên thân thể chúng tôi và các súc vật của chúng tôi, và chúng tôi đương bị hoạn nạn lớn.|這 地 許 多 出 產 歸 了 列 王 、 就 是 你 因 我 們 的 罪 所 派 轄 制 我 們 的 ． 他 們 任 意 轄 制 我 們 的 身 體 、 和 牲 畜 、 我 們 遭 了 大 難 。
Dầu các sự này, chúng tôi lập giao ước chắc chắn, và chúng tôi ghi chép nó các quan trưởng, người Lê-vi, và những thầy tế lễ của chúng tôi đóng ấn cho.|因 這 一 切 的 事 、 我 們 立 確 實 的 約 、 寫 在 冊 上 ． 我 們 的 首 領 、 利 未 人 、 和 祭 司 、 都 簽 了 名 。

					Nê-hê-mi-a 10				|
						尼希米記 10					
Nầy là tên của các người có đóng dấu mình trong giao ước ấy: Nê-hê-mi, làm quan tổng trấn, là con trai của Ha-ca-lia, và Sê-đê-kia,|簽 名 的 、 是 哈 迦 利 亞 的 兒 子 省 長 尼 希 米 、 和 西 底 家 、
Sê-ra-gia, A-xa-ria, Giê-rê-mi,|祭 司 ． 西 萊 雅 、 亞 撒 利 雅 、 耶 利 米 、
Pha-su-rơ, A-ma-ria, Manh-ki-gia,|巴 施 戶 珥 、 亞 瑪 利 雅 、 瑪 基 雅 、
Hát-tút, Sê-ba-nia, Ma-lúc,|哈 突 、 示 巴 尼 、 瑪 鹿 、
Ha-rim, Mê-rê-mốt, Ap-đia,|哈 琳 、 米 利 末 、 俄 巴 底 亞 、
Đa-ni-ên, Ghi-nê-thôn, Ba-rúc,|但 以 理 、 近 頓 、 巴 錄 、
Mê-su-lam, A-bi-gia, Mi-gia-min,|米 書 蘭 、 亞 比 雅 、 米 雅 民 、
Ma -a-xia, Binh-gai, Sê-ma-gia; ấy là những thầy tế lễ.|瑪 西 亞 、 璧 該 、 示 瑪 雅 。
Những người Lê-vi là: Giê-sua, con trai của A-xa-nia; Bin-nui, con trai của Hê-na-đát; Cát-mi-ên,|又 有 利 未 人 ． 就 是 亞 散 尼 的 兒 子 耶 書 亞 、 希 拿 達 的 子 孫 賓 內 、 甲 篾 ．
và các anh em của họ, Sê-ba-nia, Hô-di-gia, Kê-li-ta, Bê-la-gia, Ha-nan,|還 有 他 們 的 弟 兄 示 巴 尼 、 荷 第 雅 、 基 利 他 、 毘 萊 雅 、 哈 難 、
Mi-chê, Rê-hốp, Ha-sa-bia,|米 迦 、 利 合 、 哈 沙 比 雅 、
Xác-cua, Sê-rê-bia, Sê-ba-nia,|撒 刻 、 示 利 比 、 示 巴 尼 、
Hô-đia, Ba-ni, và Bê-ni-nu.|荷 第 雅 、 巴 尼 、 比 尼 努 。
Các quan trưởng của dân sự là: Pha-rốt, Pha-ba-Mô-áp, Ê-lam, Xát-tu, Ba-ni,|又 有 民 的 首 領 ． 就 是 巴 錄 、 巴 哈 摩 押 、 以 攔 、 薩 土 、 巴 尼 、
Bu-ni, A-gát, Bê-bai,|布 尼 、 押 甲 、 比 拜 、
A-đô-ni-gia, Biết-vai, A-đin,|亞 多 尼 雅 、 比 革 瓦 伊 、 亞 丁 、
A-te, Ê-xê-chia, A-xu-rơ,|亞 特 、 希 西 家 、 押 朔 、
Hô-đia, Ha-sum, Bết-sai,|荷 第 雅 、 哈 順 、 比 賽 、
Ha-ríp, A-na-tốt, Ni-bai,|哈 拉 、 亞 拿 突 、 尼 拜 、
Mác-bi-ách, Mê-su-lam, Hê-xia,|抹 比 押 、 米 書 蘭 、 希 悉 、
Mê-sê-xa-bê-ên, Xa-đốc, Gia-đua,|米 示 薩 別 、 撒 督 、 押 杜 亞 、
Phê-la-tia, Ha-nan, A-na-gia,|毘 拉 提 、 哈 難 、 亞 奈 雅 、
Ô-sê, Ha-na-nia, Ha-súp,|何 細 亞 、 哈 拿 尼 雅 、 哈 述 、
Ha-lô-hết, Bi-la, Sô-béc,|哈 羅 黑 、 毘 利 哈 、 朔 百 、
Rê-hum, Ha-sáp-na, Ma -a-xê-gia,|利 宏 、 哈 沙 拿 、 瑪 西 雅 、
A-hi-gia, Ha-nan, A-nan,|亞 希 雅 、 哈 難 、 亞 難 、
Ma-lúc, Ha-rim, và Ba -a-na.|瑪 鹿 、 哈 琳 、 巴 拿 。
Dân sự còn sót lại, những thầy tế lễ, người Lê-vi, kẻ canh giữ cửa, kẻ ca hát, người Nê-thi-nim, các người đã chia rẽ cùng các dân tộc của xứ đặng theo luật pháp của Đức Chúa Trời, và vợ, con trai, con gái của họ, tức các người có sự tri thức và sự thông sáng,|其 餘 的 民 、 祭 司 、 利 未 人 、 守 門 的 、 歌 唱 的 、 尼 提 寧 、 和 一 切 離 絕 鄰 邦 居 民 歸 服 　 神 律 法 的 、 並 他 們 的 妻 子 、 兒 女 、 凡 有 知 識 能 明 白 的 ．
đều hiệp theo các anh em và các tước vị của mình, mà thề hứa đi theo luật pháp của Đức Chúa Trời đã cậy Môi-se, tôi tớ Ngài ban cho, và gìn giữ làm theo các điều răn của Đức Giê-hô-va, là Chúa chúng tôi, cùng lệ luật và phép tắc của Ngài.|都 隨 從 他 們 貴 冑 的 弟 兄 、 發 咒 起 誓 、 必 遵 行 　 神 藉 他 僕 人 摩 西 所 傳 的 律 法 、 謹 守 遵 行 耶 和 華 我 們 主 的 一 切 誡 命 、 典 章 、 律 例 ．
Chúng tôi hứa không gả các con gái chúng tôi cho dân tộc của xứ, và chẳng cưới con gái chúng nó cho con trai chúng tôi;|並 不 將 我 們 的 女 兒 、 嫁 給 這 地 的 居 民 、 也 不 為 我 們 的 兒 子 、 娶 他 們 的 女 兒 ．
lại hứa rằng nếu trong ngày sa bát hay ngày thánh nào, dân của xứ đem hoặc những hóa vật, hoặc các thứ lương thực đặng bán cho, thì chúng tôi sẽ chẳng mua; và qua năm thứ bảy, chúng tôi sẽ để cho đất hoang, và chẳng đòi nợ nào hết.|這 地 的 居 民 若 在 安 息 日 、 或 甚 麼 聖 日 、 帶 了 貨 物 或 糧 食 來 賣 給 我 們 、 我 們 必 不 買 ． 每 逢 第 七 年 必 不 耕 種 、 凡 欠 我 們 債 的 必 不 追 討 。
Chúng tôi cũng định lấy lệ buộc chúng tôi mỗi năm dâng một phần ba siếc-lơ dùng về các công việc của đền Đức Chúa Trời chúng tôi,|我 們 又 為 自 己 定 例 、 每 年 各 人 捐 銀 一 舍 客 勒 三 分 之 一 、 為 我 們 　 神 殿 的 使 用 ．
về bánh trần thiết, về của lễ chay thường dâng, về của lễ thiêu hằng hiến, về của lễ dâng trong ngày sa-bát, trong ngày mồng một, và trong các ngày lễ trọng thể, lại dùng về các vật thánh, về của lễ chuộc tội cho dân Y-sơ-ra-ên, và về các công việc làm trong đền Đức Chúa Trời của chúng tôi.|就 是 為 陳 設 餅 、 常 獻 的 素 祭 、 和 燔 祭 、 安 息 日 、 月 朔 、 節 期 所 獻 的 、 與 聖 物 、 並 以 色 列 人 的 贖 罪 祭 、 以 及 我 們 　 神 殿 裡 一 切 的 費 用 。
Chúng tôi, là những thầy tế lễ, người Lê-vi, và dân sự khác, bắt thăm về việc dâng củi lửa, đặng mỗi năm, theo kỳ nhất định, tùy nhà tổ phụ mình, mà đem những củi đến đền của Đức Chúa Trời chúng tôi, hầu cho đốt trên bàn thờ của Giê-hô-va Đức Chúa Trời của chúng tôi, y như đã chép trong luật pháp vậy.|我 們 的 祭 司 、 利 未 人 、 和 百 姓 、 都 掣 籤 、 看 每 年 是 哪 一 族 、 按 定 期 將 獻 祭 的 柴 奉 到 我 們 　 神 的 殿 裡 、 照 著 律 法 上 所 寫 的 、 燒 在 耶 和 華 我 們 　 神 的 壇 上 ．
Chúng tôi cũng định mỗi năm đem vật đầu mùa của đất chúng tôi, và các thứ trái đầu mùa của các cây chúng tôi đến đền của Đức Giê-hô-va;|又 定 每 年 、 將 我 們 地 上 初 熟 的 土 產 、 和 各 樣 樹 上 初 熟 的 果 子 、 都 奉 到 耶 和 華 的 殿 裡 ．
lại chiếu theo luật pháp, đem luôn con đầu lòng trong vòng các con trai chúng tôi, và con đầu lòng của súc vật chúng tôi, hoặc chiên hay bò, đến đền thờ Đức Chúa Trời chúng tôi mà giao cho những thầy tế lễ hầu việc trong đền của Đức Chúa Trời chúng tôi.|又 照 律 法 上 所 寫 的 、 將 我 們 頭 胎 的 兒 子 、 和 首 生 的 牛 羊 、 都 奉 到 我 們 　 神 的 殿 、 交 給 我 們 　 神 殿 裡 供 職 的 祭 司 ．
Chúng tôi cũng hứa đem của đầu mùa về bột nhồi của chúng tôi, về của lễ giơ lên, bông trái của các thứ cây, rượu mới, và dầu, mà giao cho những thầy tế lễ, trong các kho tàng của đền Đức Chúa Trời chúng tôi; còn một phần mười huê lợi đất của chúng tôi thì đem nộp cho người Lê-vi; vì người Lê-vi thâu lấy một phần mười trong thổ sản của ruộng đất về các thành chúng tôi.|並 將 初 熟 之 麥 子 所 磨 的 麵 、 和 舉 祭 、 各 樣 樹 上 初 熟 的 果 子 、 新 酒 、 與 油 、 奉 給 祭 司 、 收 在 我 們 　 神 殿 的 庫 房 裡 、 把 我 們 地 上 所 產 的 十 分 之 一 奉 給 利 未 人 、 因 利 未 人 在 我 們 一 切 城 邑 的 土 產 中 當 取 十 分 之 一 。
Thầy tế lễ, con cháu của A-rôn, sẽ đi với người Lê-vi, khi họ thâu lấy thuế một phần mười; rồi họ sẽ đem một phần mười của trong thuế một phần mười ấy đến đền của Đức Chúa Trời chúng tôi, để tại nơi phòng của kho tàng.|利 未 人 取 十 分 之 一 的 時 候 、 亞 倫 的 子 孫 中 、 當 有 一 個 祭 司 與 利 未 人 同 在 ． 利 未 人 也 當 從 十 分 之 一 中 、 取 十 分 之 一 、 奉 到 我 們 　 神 殿 的 屋 子 裡 、 收 在 庫 房 中 。
Vì dân Y-sơ-ra-ên và người Lê-vi sẽ đem các của lễ giơ lên bằng lúa mì, rượu, và dầu mới vào trong những phòng ấy, là nơi có các khí dụng của đền thánh, những thầy tế lễ hầu việc, kẻ canh cửa và những người ca hát. Vậy, chúng tôi sẽ chẳng lìa bỏ đền của Đức Chúa Trời chúng tôi đâu.|以 色 列 人 和 利 未 人 、 要 將 五 榖 、 新 酒 、 和 油 、 為 舉 祭 、 奉 到 收 存 聖 所 器 皿 的 屋 子 裡 、 就 是 供 職 的 祭 司 、 守 門 的 、 歌 唱 的 所 住 的 屋 子 ． 這 樣 、 我 們 就 不 離 棄 我 們 　 神 的 殿 。

					Nê-hê-mi-a 11				|
						尼希米記 11					
Các quan trưởng của dân sự đều ở tại Giê-ru-sa-lem còn dân sự khác thì bắt thăm để cho một trong mười người của chúng đến ở tại Giê-ru-sa-lem, là thành thánh, và chín người kia thì ở trong các thành khác.|百 姓 的 首 領 住 在 耶 路 撒 冷 ． 其 餘 的 百 姓 掣 籤 、 每 十 人 中 使 一 人 來 住 在 聖 城 耶 路 撒 冷 、 那 九 人 住 在 別 的 城 邑 。
Dân sự chúc phước cho các người nam nào tình nguyện ở tại Giê-ru-sa-lem.|凡 甘 心 樂 意 住 在 耶 路 撒 冷 的 、 百 姓 都 為 他 們 祝 福 。
Vả, đây là những quan trưởng hàng tỉnh ở tại Giê-ru-sa-lem; nhưng trong các thành Giu-đa, ai nấy đều ở trong đất mình tại trong bổn thành của mình: ấy là dân Y-sơ-ra-ên, những thầy tế lễ, người Lê-vi, người Nê-thi-nim, và con cháu của các tôi tớ Sa-lô-môn.|以 色 列 人 、 祭 司 、 利 未 人 、 尼 提 寧 、 和 所 羅 門 僕 人 的 後 裔 、 都 住 在 猶 大 城 邑 、 各 在 自 己 的 地 業 中 、 本 省 的 首 領 、 住 在 耶 路 撒 冷 的 、 記 在 下 面 。
Có mấy người Giu-đa và người Bên-gia-min ở tại Giê-ru-sa-lem. Về người Giu-đa có A-tha-gia, con trai của U-xia, cháu của Xa-cha-ri, chắt của A-ma-ria, chít của Sê-pha-tia; Sê-pha-tia là con trai của Ma-ha-la-lên, thuộc về dòng dõi Phê-rết;|其 中 有 些 猶 大 人 、 和 便 雅 憫 人 ． 猶 大 人 中 有 法 勒 斯 的 子 孫 烏 西 雅 的 兒 子 亞 他 雅 、 烏 西 雅 是 撒 迦 利 雅 的 兒 子 、 撒 迦 利 雅 是 亞 瑪 利 雅 的 兒 子 、 亞 瑪 利 雅 是 示 法 提 雅 的 兒 子 、 示 法 提 雅 是 瑪 勒 列 的 兒 子 ．
lại có Ma -a-sê-gia, con trai của Ba-rúc, cháu của Côn-Hô-xê, chắt của Ha-xa-gia, chít của A-đa-gia; A-đa-gia là con trai của Giô-gia-ríp, cháu của Xa-cha-ri về dòng dõi Si-lô-ni.|又 有 巴 錄 的 兒 子 瑪 西 雅 、 巴 錄 是 谷 何 西 的 兒 子 、 谷 何 西 是 哈 賽 雅 的 兒 子 、 哈 賽 雅 是 亞 大 雅 的 兒 子 、 亞 大 雅 是 約 雅 立 的 兒 子 、 約 雅 立 是 撒 迦 利 雅 的 兒 子 、 撒 迦 利 雅 是 示 羅 尼 的 兒 子 。
Các con cháu của Phê-rết ở tại Giê-ru-sa-lem là bốn trăm sáu mươi tám người mạnh dạn.|住 在 耶 路 撒 冷 、 法 勒 斯 的 子 孫 、 共 四 百 六 十 八 名 、 都 是 勇 士 。
Về người Bên-gia-min có Sa-lu, con trai của Mê-su-lam, cháu của Giô-ết, chắt của Phê-đa-gia, chít của Cô-la-gia; Cô-la-gia là con trai của Ma -a-sê-gia, cháu của Y-thi-ên, chắt của Ê-sai;|便 雅 憫 人 中 、 有 米 書 蘭 的 兒 子 撒 路 、 米 書 蘭 是 約 葉 的 兒 子 、 約 葉 是 毘 大 雅 的 兒 子 、 毘 大 雅 是 哥 賴 雅 的 兒 子 、 哥 賴 雅 是 瑪 西 雅 的 兒 子 、 瑪 西 雅 是 以 鐵 的 兒 子 、 以 鐵 是 耶 篩 亞 的 兒 子 。
và sau người có Gáp-bai, và Sa-lai cùng chín trăm hai mươi tám người.|其 次 有 迦 拜 、 撒 來 的 子 孫 、 共 九 百 二 十 八 名 。
Giô-ên, con trai của Xiếc-ri, làm quan trưởng của chúng; còn Giu-đa, con trai của Ha-sê-nua, làm phó quản thành.|細 基 利 的 兒 子 約 珥 是 他 們 的 長 官 ． 哈 西 努 亞 的 兒 子 猶 大 是 耶 路 撒 冷 的 副 官 。
Trong những thầy tế lễ có Giê-đa-gia, con trai của Giô-gia-ríp, Gia-kin,|祭 司 中 、 有 雅 斤 、 又 有 約 雅 立 的 兒 子 耶 大 雅 ．
và Sê-ra-gia, con trai của Hinh-kia, cháu của Mê-su-lam, chít của Mê-ra-giốt; Mê-ra-giốt là con trai của A-hi-túp, là quản lý đền của Đức Chúa Trời,|還 有 管 理 　 神 殿 的 西 萊 雅 、 西 萊 雅 是 希 勒 家 的 兒 子 、 希 勒 家 是 米 書 蘭 的 兒 子 、 米 書 蘭 是 撒 督 的 兒 子 、 撒 督 是 米 拉 約 的 兒 子 、 米 拉 約 是 亞 希 突 的 兒 子 ．
cùng các anh em họ làm công việc của đền, là tám trăm hai mươi hai người. Lại có A-đa-gia, con trai của Giê-rô-ham, cháu của Phê-la-lia, chắt của Am-si, chít của Xa-cha-ri; Xa-cha-ri là con trai của Pha-su-rơ, cháu của Manh-ki-gia,|還 有 他 們 的 弟 兄 在 殿 裡 供 職 的 、 共 八 百 二 十 二 名 ． 又 有 耶 羅 罕 的 兒 子 亞 大 雅 、 耶 羅 罕 是 毘 拉 利 的 兒 子 、 毘 拉 利 是 暗 洗 的 兒 子 、 暗 洗 是 撒 迦 利 亞 的 兒 子 、 撒 迦 利 亞 是 巴 施 戶 珥 的 兒 子 、 巴 施 戶 珥 是 瑪 基 雅 的 兒 子 ．
cùng các anh em họ, đều là trưởng tộc, số là hai trăm bốn mươi hai người. Cũng có A-ma-sai, con trai của A-xa-rên, cháu của Ac-xai, chắt của Mê-si-lê-mốt, chít của Y-mê,|還 有 他 的 弟 兄 作 族 長 的 、 二 百 四 十 二 名 ． 又 有 亞 薩 列 的 兒 子 亞 瑪 帥 、 亞 薩 列 是 亞 哈 賽 的 兒 子 、 亞 哈 賽 是 米 實 利 末 的 兒 子 、 米 實 利 末 是 音 麥 的 兒 子 ．
và các anh em họ, đều là người mạnh dạn và can đảm, số được một trăm hai mươi tám người. Xáp-đi-ên, con trai của Ghê-đô-lim, làm quan trưởng của chúng.|還 有 他 們 弟 兄 大 能 的 勇 士 、 共 一 百 二 十 八 名 ． 哈 基 多 琳 的 兒 子 撒 巴 第 業 是 他 們 的 長 官 。
Trong người Lê-vi có Sê-ma-gia, con trai của Ha-súp, cháu của A-ri-kham, chắt của Ha-sa-bia, chít của Bun-ni;|利 未 人 中 、 有 哈 述 的 兒 子 示 瑪 雅 、 哈 述 是 押 利 甘 的 兒 子 、 押 利 甘 是 哈 沙 比 雅 的 兒 子 、 哈 沙 比 雅 是 布 尼 的 兒 子 ．
trong các trưởng tộc người Lê-vi có Sa-bê-thai và Giô-xa-bát được cắt coi sóc công việc ngoài của đền Đức Chúa Trời;|又 有 利 未 人 的 族 長 沙 比 太 和 約 撒 拔 、 管 理 　 神 殿 的 外 事 。
còn Mát-ta-nia, con trai của Mi-chê, làm đầu về việc hát lời khen ngợi trong lúc cầu nguyện, cùng Bác-bi-ki, là người thứ nhì trong anh em mình, và Ap-đa con trai của Sa-mua, cháu của Xáp-đi, chắt của Giê-đu-thun.|祈 禱 的 時 候 、 為 稱 謝 領 首 的 是 米 迦 的 兒 子 瑪 他 尼 、 米 迦 是 撒 底 的 兒 子 、 撒 底 是 亞 薩 的 兒 子 、 又 有 瑪 他 尼 弟 兄 中 的 八 布 迦 為 副 ． 還 有 沙 母 亞 的 兒 子 押 大 、 沙 母 亞 是 加 拉 的 兒 子 、 加 拉 是 耶 杜 頓 的 兒 子 。
Hết thảy người Lê-vi ở trong thành thánh, được hai trăm tám mươi bốn người.|在 聖 城 的 利 未 人 共 二 百 八 十 四 名 。
Những kẻ canh giữ cửa, là A-cúp, Tanh-môn, và các anh em họ, được một trăm bảy mươi hai người.|守 門 的 是 亞 谷 、 和 達 們 、 並 守 門 的 弟 兄 、 共 一 百 七 十 二 名 。
Các người Y-sơ-ra-ên khác, những thầy tế lễ, và người Lê-vi, đều ở trong các thành của xứ Giu-đa, mỗi người trong cơ nghiệp mình.|其 餘 的 以 色 列 人 、 祭 司 、 利 未 人 、 都 住 在 猶 大 的 一 切 城 邑 、 各 在 自 己 的 地 業 中 。
Người Nê-thi-nim đều ở tại Ô-phên; Xi-ha và Ghít-ba làm quan trưởng của người Nê-thi-nim.|尼 提 寧 卻 住 在 俄 斐 勒 ． 西 哈 和 基 斯 帕 管 理 他 們 。
U-xi, con trai của Ba-ni, cháu của Ha-sa-bia, chắt của Mát-ta-nia, chít của Mi-chê về dòng dõi A-háp, là kẻ ca hát, được đặt cai tri người Lê-vi tại Giê-ru-sa-lem, lo làm công việc của đền Đức Chúa Trời.|在 耶 路 撒 冷 、 利 未 人 的 長 官 、 管 理 　 神 殿 事 務 、 的 是 歌 唱 者 亞 薩 的 子 孫 巴 尼 的 兒 子 烏 西 、 巴 尼 是 哈 沙 比 雅 的 兒 子 、 哈 沙 比 雅 是 瑪 他 尼 的 兒 子 、 瑪 他 尼 是 米 迦 的 兒 子 。
Vì có lịnh vua truyền về việc của chúng, và có một phần lương định cấp cho những kẻ ca hát, ngày nào cần dùng theo ngày nấy.|王 為 歌 唱 的 出 命 令 、 每 日 供 給 他 們 必 有 一 定 之 糧 。
Phê-tha-hia, con trai của Mê-sê-xa-bê-ên, về dòng Xê-ra, là con của Giu-đa, giúp vua cai trị mọi việc dân.|猶 大 兒 子 謝 拉 的 子 孫 、 米 示 薩 別 的 兒 子 毘 他 希 雅 、 輔 助 王 辦 理 猶 大 民 的 事 。
Còn về các hương thôn và đồng ruộng của nó, có mấy người Giu-đa ở tại Ki-ri-át -A-ra-ba, và trong các làng nó, tại Đi-bôn và các làng nó, tại Giê-cáp-xê-ên và các làng nó,|至 於 莊 村 、 和 屬 莊 村 的 田 地 、 有 猶 大 人 住 在 基 列 亞 巴 、 和 屬 基 列 亞 巴 的 鄉 村 、 底 本 、 和 屬 底 本 的 鄉 村 、 葉 甲 薛 和 屬 葉 甲 薛 的 莊 村 、
tại Giê-sua, Mô-la-đa, Bết-phê-lê,|耶 書 亞 、 摩 拉 大 、 伯 帕 列 、
Hát-sa-Su-anh, Bê -e-sê-ba và trong các làng nó,|哈 薩 書 亞 、 別 是 巴 和 屬 別 是 巴 的 鄉 村 、
tại Xiếc-lạc, Mê-cô-na và trong các làng nó,|洗 革 拉 、 米 哥 拿 、 和 屬 米 哥 拿 的 鄉 村 、
tại En-rim-môn, Xô-ra Giạt-mút,|音 臨 門 、 瑣 拉 、 耶 末 、
tại Xa-nô -a, A-đu-lam và các làng nó; tại trong La-ki và các đồng ruộng nó, trong A-sê-ca và các làng nó. Vậy chúng ở từ Bê -e-sê-ba cho đến trũng Hin-nôm.|撒 挪 亞 、 亞 杜 蘭 、 和 屬 這 兩 處 的 莊 村 、 拉 吉 、 和 屬 拉 吉 的 田 地 、 亞 西 加 和 屬 亞 西 加 的 鄉 村 。 他 們 所 住 的 地 方 是 從 別 是 巴 直 到 欣 嫩 谷 。
Người Bên-gia-min cũng ở từ Ghê-ba cho đến Mích-ma, A-gia, Bê-tên và các làng nó;|便 雅 憫 人 、 從 迦 巴 起 、 住 在 密 抹 、 亞 雅 、 伯 特 利 、 和 屬 伯 特 利 的 鄉 村 。
và ở tại A-na-tốt, Nốp, A-ta-nia,|亞 拿 突 、 挪 伯 、 亞 難 雅 、
Hát-so, Ra-ma, Ghi-tha-im,|夏 瑣 、 拉 瑪 、 基 他 音 、
Ha-đít, Sê-bô-im, Nê-ba-lát,|哈 疊 、 洗 編 、 尼 八 拉 、
Lô-đơ, và Ô-nơ, tức là trũng của các thợ.|羅 德 、 阿 挪 、 匠 人 之 谷 。
Từ trong các người Lê-vi có mấy ban ở Giu-đa hiệp với Bên-gia-min.|利 未 人 中 、 有 幾 班 曾 住 在 猶 大 地 歸 於 便 雅 憫 的 。

					Nê-hê-mi-a 12				|
						尼希米記 12					
Đây là những thầy tế lễ và người Lê-vi, theo Xô-rô-ba-bên, con trai của Sa-la-thi-ên, và Giê-sua, mà đi lên: Sê-ra-gia, Giê-rê-mi, E-sơ-ra,|同 著 撒 拉 鐵 的 兒 子 所 羅 巴 伯 、 和 耶 書 亞 回 來 的 祭 司 、 與 利 未 人 、 記 在 下 面 ． 祭 司 是 西 萊 雅 、 耶 利 米 、 以 斯 拉 、
A-ma-ria, Ma-lúc, Ha-túc,|亞 瑪 利 雅 、 瑪 鹿 、 哈 突 、
Sê-ca-nia, Rê-hum, Mê-rê-mốt,|示 迦 尼 、 利 宏 、 米 利 末 、
Y-đô, Ghi-nê-thôi, A-bi-gia,|易 多 、 近 頓 、 亞 比 雅 、
Mi-gia-min, Ma -a-đia, Binh-ga,|米 雅 民 、 瑪 底 雅 、 璧 迦 、
Sê-ma-gia, Giô-gia-ríp, Giê-đa-gia,|示 瑪 雅 、 約 雅 立 、 耶 大 雅 、
Sa-lu, A-móc, Hinh-kia, và Giê-đa-gia. Đó là quan trưởng của những thầy tế lễ và anh em của họ trong đời Giê-sua.|撒 路 、 亞 木 、 希 勒 家 、 耶 大 雅 。 這 些 人 在 耶 書 亞 的 時 候 作 祭 司 、 和 他 們 弟 兄 的 首 領 。
Những người Lê-vi là: Giê-sua, Bin-nui, Cát-mê-ên, Sê-rê-bia, Giu-đa, và Mát-tai-nia, là người với anh em mình coi sóc việc hát khen ngợi.|利 未 人 是 耶 書 亞 、 賓 內 、 甲 篾 、 示 利 比 、 猶 大 、 瑪 他 尼 ． 這 瑪 他 尼 和 他 的 弟 兄 、 管 理 稱 謝 的 事 。
Lại có Bác-bu-kia, U-ni, cùng các anh em mình; họ thay đổi phiên nhau trong công việc mình.|他 們 的 弟 兄 八 布 迦 、 和 烏 尼 、 照 自 己 的 班 次 、 與 他 們 相 對 。
Giê-sua sanh Giô-gia-kim; Giô-gia-kim sanh Ê-li -a-síp; Ê-li -a-síp sanh Giô-gia-đa;|耶 書 亞 生 約 雅 金 、 約 雅 金 生 以 利 亞 實 、 以 利 亞 實 生 耶 何 耶 大 、
Giô-gia-đa sanh Giô-na-than, Giô-na-than sanh Gia-đua.|耶 何 耶 大 生 約 拿 單 、 約 拿 單 生 押 杜 亞 。
Nầy là trưởng tộc của những thầy tế lễ, trong đời Giô-gia-kim: về họ Giê-rê-mi, Ha-na-nia;|在 約 雅 金 的 時 候 、 祭 司 作 族 長 的 、 西 萊 雅 族 〔 或 作 班 本 段 同 〕 有 米 拉 雅 ． 耶 利 米 族 、 有 哈 拿 尼 雅 ．
về họ E-xơ-ra, Mê-su-lam; về họ A-ma-ria, Giô-ha-nan;|以 斯 拉 族 、 有 米 書 蘭 ． 亞 瑪 利 雅 族 、 有 約 哈 難 ．
về họ Mê-lu-ki, Giô-na-than;|米 利 古 族 、 有 約 拿 單 ． 示 巴 尼 族 、 有 約 瑟 ．
về họ Sê-ba-nia, Giô-sép; về họ Ha-rim, At-na; về họ Mê-ra-giốt; Hên-cai;|哈 琳 族 、 有 押 拿 ． 米 拉 約 族 、 有 希 勒 愷 ．
ve họ Y-đô, Xa-cha-ri; về họ Ghi-nê-thôn, mê-su-lam;|易 多 族 、 有 撒 迦 利 亞 ． 近 頓 族 、 有 米 書 蘭 ．
