
					II Sử Ký 1				|
Ngoại trừ những nam đinh đã biên tên vào gia phổ từ ba tuổi sắp lên, tức những kẻ theo ban thứ mình mà vào đền Đức Giê-hô-va đặng phụng sự trong chức mình, làm việc ngày nào theo ngày nấy;|按 家 譜 三 歲 以 外 的 男 丁 、 凡 每 日 進 耶 和 華 殿 、 按 班 次 供 職 的 、 也 分 給 他 。
lại phân phát cho những thầy tế lễ đã theo tông tộc mình mà ghi tên vào gia phổ, và cho người Lê-vi từ hai mươi tuổi sắp lên, tùy theo chức phận và ban thứ của họ;|又 按 宗 族 家 譜 分 給 祭 司 、 按 班 次 職 任 分 給 二 十 歲 以 外 的 利 未 人 。
cùng phân phát cho hết thảy con nhỏ của họ, vợ họ, con trai và con gái họ, tức cả hội chúng ghi tên vào gia phổ; vì chúng thành tín biệt mình riêng ra đặng nên thánh.|又 按 家 譜 計 算 、 分 給 他 們 會 中 的 妻 子 、 兒 女 、 因 他 們 身 供 要 職 、 自 潔 成 聖 。
Còn về con cháu A-rôn, tức là những thầy tế lễ ở trong đồng ruộng, rải rác nơi địa hạt các thành của họ, thì có đặt trong mỗi thành những người gọi từng tên, đặng phân phát phần cho hết thảy người nam trong những thầy tế lễ và cho những kẻ trong vòng người Lê-vi đã ghi tên vào gia phổ.|按 名 派 定 的 人 、 要 把 應 得 的 、 分 給 亞 倫 子 孫 、 住 在 各 城 郊 野 祭 司 所 有 的 男 丁 、 和 一 切 載 入 家 譜 的 利 未 人 。
Trong khắp Giu-đa, Ê-xê-chia làm như vậy. Người làm những điều lành, ngay thẳng và chơn thành, tại trước mặt Giê-hô-va Đức Chúa Trời của người.|希 西 家 在 猶 大 遍 地 這 樣 辦 理 、 行 耶 和 華 他 　 神 眼 中 看 為 善 為 正 為 忠 的 事 。
Trong các việc người làm, hoặc quản lý sự phục dịch nơi đền của Đức Chúa Trời, hoặc theo luật pháp hay là điều răn đặng tìm kiếm Đức Chúa Trời của người, thì người hết lòng mà làm, và được hanh thông.|凡 他 所 行 的 、 無 論 是 辦 　 神 殿 的 事 、 是 遵 律 法 守 誡 命 、 是 尋 求 他 的 　 神 、 都 是 盡 心 去 行 、 無 不 亨 通 。

					II Sử Ký 32				|
						歷代志下 32					
Sau các việc này và sự thành tín này, thì San-chê-ríp loán đến trong xứ Giu-đa, vây các thành bền vững, có ý hãm lấy nó.|這 虔 誠 的 事 以 後 、 亞 述 王 西 拿 基 立 、 來 侵 入 猶 大 、 圍 困 一 切 堅 固 城 、 想 要 攻 破 佔 據 。
Khi Ê-xê-chia thấy San-chê-ríp đã đến, toan hãm đánh Giê-ru-sa-lem,|希 西 家 見 西 拿 基 立 來 、 定 意 要 攻 打 耶 路 撒 冷 、
thì người hội nghị với các quan trưởng và những người mạnh dạn đặng ngăn nước suối ở ngoài thành; họ bèn giúp đỡ người.|就 與 首 領 和 勇 士 商 議 、 塞 住 城 外 的 泉 源 、 他 們 就 都 幫 助 他 。
Dân sự nhóm lại đông, chận các suối và các khe chảy giữ xứ, mà rằng: Làm gì để cho vua A-si-ri đến, thấy có nước nhiều?|於 是 有 許 多 人 聚 集 、 塞 了 一 切 泉 源 、 並 通 流 國 中 的 小 河 、 說 、 亞 述 王 來 、 為 何 讓 他 得 著 許 多 水 呢 。
Người tự can đảm, xây đắp vách thành đã bị hư lủng, xây nó lên đến tận tháp; rồi lại xây một cái vách khác ở phía ngoài; người làm cho vững chắc Mi-lô ở trong thành Đa-vít và chế nhiều cây lao cùng khiên.|希 西 家 力 圖 自 強 、 就 修 築 所 有 拆 毀 的 城 牆 、 高 與 城 樓 相 齊 、 在 城 外 又 築 一 城 、 堅 固 大 衛 城 的 米 羅 、 製 造 了 許 多 軍 器 、 盾 牌 ．
Người lập những quan tướng trên dân sự, rồi hiệp lập chúng lại gần mình tại phố bên cửa thành, nói động lòng chúng, mà rằng:|設 立 軍 長 管 理 百 姓 、 將 他 們 招 聚 在 城 門 的 寬 闊 處 、 用 話 勉 勵 他 們 、 說 、
Khá vững lòng bền chí, chớ sợ, chớ kinh hãi trước mặt vua A-si-ri và đám quân đông đảo theo người; vì có một Đấng ở cùng chúng ta thắng hơn kẻ ở với họ:|你 們 當 剛 強 壯 膽 、 不 要 因 亞 述 王 和 跟 隨 他 的 大 軍 恐 懼 、 驚 慌 、 因 為 與 我 們 同 在 的 、 比 與 他 們 同 在 的 更 大 ．
với người chỉ một cánh tay xác thịt; còn với chúng ta có Giê-hô-va Đức Chúa Trời của chúng ta đặng giúp đỡ và chiến tranh thế cho chúng ta. Dân sự bèn nương cậy nơi lời của Ê-xê-chia, vua Giu-đa.|與 他 們 同 在 的 是 肉 臂 、 與 我 們 同 在 的 是 耶 和 華 我 們 的 　 神 、 他 必 幫 助 我 們 、 為 我 們 爭 戰 ． 百 姓 就 靠 猶 大 王 希 西 家 的 話 、 安 然 無 懼 了 。
Sau việc ấy, San-chê-ríp, vua A-si-ri, với cả đạo binh của người hãy còn vây La-ki, có sai các đầy tớ người đến Ê-xê-chia và dân Giu-đa ở tại Giê-ru-sa-lem, mà nói rằng:|此 後 、 亞 述 王 西 拿 基 立 、 和 他 的 全 軍 攻 打 拉 吉 、 就 差 遣 臣 僕 到 耶 路 撒 冷 見 猶 大 王 希 西 家 、 和 一 切 在 耶 路 撒 冷 的 猶 大 人 、 說 、
San-chê-ríp, vua A-si-ri, nói như vầy: Các ngươi nương cậy điều gì, mà chịu ở vậy trong thành Giê-ru-sa-lem như thế?|亞 述 王 西 拿 基 立 如 此 說 、 你 們 倚 靠 甚 麼 、 還 在 耶 路 撒 冷 受 困 呢 。
Ê-xê-chia nói rằng: Giê-hô-va Đức Chúa Trời chúng ta sẽ giải cứu chúng ta khỏi tay vua A-si-ri, ấy há chẳng phải người dỗ dành các ngươi đặng phó các ngươi đói khát cho chết hay sao?|希 西 家 對 你 們 說 、 耶 和 華 我 們 的 　 神 必 救 我 們 脫 離 亞 述 王 的 手 、 這 不 是 誘 惑 你 們 、 使 你 們 受 飢 渴 而 死 麼 。
Chớ thì chẳng phải chính Ê-xê-chia này đã cất những nơi cao và bàn thờ của Ngài, rồi biểu dân Giu-đa và Giê-ru-sa-lem rằng: Các ngươi khá thờ lạy trước một bàn thờ, và chỉ xông hương tại trên đó mà thôi?|這 希 西 家 豈 不 是 廢 去 耶 和 華 的 邱 壇 和 祭 壇 、 吩 咐 猶 大 與 耶 路 撒 冷 的 人 說 你 們 當 在 一 個 壇 前 敬 拜 、 在 其 上 燒 香 麼 。
Các ngươi há chẳng biết điều ta và tổ phụ ta đã làm cho các dân thiên hạ sao? Các thần của những dân tộc thiên hạ, há giải cứu xứ chúng nó được khỏi tay ta ư?|我 與 我 列 祖 向 列 邦 所 行 的 、 你 們 豈 不 知 道 麼 ． 列 邦 的 神 、 何 嘗 能 救 自 己 的 國 脫 離 我 手 呢 。
Nội trong các thần của những dân tộc mà tổ phụ ta đã diệt hết đi, há có thần nào giải cứu dân mình cho khỏi tay ta chăng? Dễ có một mình Thần các ngươi giải cứu các ngươi được khỏi tay ta chớ!|我 列 祖 所 滅 的 國 、 那 些 神 中 誰 能 救 自 己 的 民 脫 離 我 手 呢 、 難 道 你 們 的 神 能 救 你 們 脫 離 我 手 麼 。
Vậy bây giờ, chớ để Ê-xê-chia phỉnh gạt, khuyên dụ các ngươi như thế, và các ngươi chớ tin người; vì chẳng có thần của dân nào nước nào giải cứu dân mình được khỏi tay ta hay là khỏi tay tổ phụ ta; huống chi Đức Chúa Trời các ngươi giải cứu các ngươi khỏi tay ta!|所 以 你 們 不 要 叫 希 西 家 這 樣 欺 哄 誘 惑 你 們 、 也 不 要 信 他 、 因 為 沒 有 一 國 一 邦 的 神 、 能 救 自 己 的 民 脫 離 我 手 、 和 我 列 祖 的 手 、 何 況 你 們 的 神 、 更 不 能 救 你 們 脫 離 我 的 手 。
Các đầy tớ người lại còn nói nghịch cùng Giê-hô-va là Đức Chúa Trời thật, và nghịch cùng Ê-xê-chia, là tôi tớ Ngài.|西 拿 基 立 的 臣 僕 、 還 有 別 的 話 毀 謗 耶 和 華 　 神 、 和 他 僕 人 希 西 家 。
Người cũng viết thơ sỉ nhục Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và nói phạm đến Ngài mà rằng: Hễ thần của các dân tộc thiên hạ chẳng giải cứu dân mình khỏi tay ta thế nào, thì thần của Ê-xê-chia cũng chẳng giải cứu được dân sự người khỏi tay ta thế ấy.|西 拿 基 立 也 寫 信 毀 謗 耶 和 華 以 色 列 的 　 神 、 說 、 列 邦 的 神 既 不 能 救 他 的 民 脫 離 我 手 、 希 西 家 的 神 也 不 能 救 他 的 民 脫 離 我 手 了 。
Chúng la lớn lên, nói bằng tiếng Giu-đa cho dân Giê-ru-sa-lam ở trên vách thành, đặng làm cho chúng sợ hoảng, để hãm lấy thành.|亞 述 王 的 臣 僕 用 猶 大 言 語 、 向 耶 路 撒 冷 城 上 的 民 大 聲 呼 叫 、 要 驚 嚇 他 們 、 擾 亂 他 們 、 以 便 取 城 。
Chúng lại nói về Đức Chúa Trời của Giê-ru-sa-lem, như thể các thần của dân thiên hạ đều là công việc của tay người ta làm ra.|他 們 論 耶 路 撒 冷 的 　 神 、 如 同 論 世 上 人 手 所 造 的 神 一 樣 。
Vua Ê-xê-chia, và tiên tri Ê-sai, con trai A-mốt, cầu nguyện về việc này, và kêu la thấu đến trời.|希 西 家 王 和 亞 摩 斯 的 兒 子 先 知 以 賽 亞 、 因 此 禱 告 、 向 天 呼 求 。
Đức Giê-hô-va bèn sai một thiên sứ diệt những người mạnh dạn, các quan trưởng và các quan tướng ở trong trại quân của vua A-si-ri. người trở về trong xứ mình, mặt hổ thẹn; và khi người vào trong miễu thần mình, có những kẻ bởi lòng người sanh ra đều lấy gươm giết người tại đó.|耶 和 華 就 差 遣 一 個 使 者 、 進 入 亞 述 王 營 中 、 把 所 有 大 能 的 勇 士 、 和 官 長 、 將 帥 、 盡 都 滅 了 ． 亞 述 王 滿 面 含 羞 地 回 到 本 國 、 進 了 他 神 的 廟 中 、 有 他 親 生 的 兒 子 在 那 裡 用 刀 殺 了 他 。
Như vậy Đức Giê-hô-va cứu Ê-xê-chia và dân cư thành Giê-ru-sa-lem khỏi tay San-chê-ríp, vua A-si-ri, và khỏi tay mọi người khác, cùng phù hộ cho chúng bốn bên.|這 樣 、 耶 和 華 救 希 西 家 和 耶 路 撒 冷 的 居 民 、 脫 離 亞 述 王 西 拿 基 立 的 手 、 也 脫 離 一 切 仇 敵 的 手 、 又 賜 他 們 四 境 平 安 。
Có nhiều người đem những lễ vật đến dâng cho Đức Giê-hô-va tại Giê-ru-sa-lem, và những vật quí báu cho Ê-xê-chia, vua Giu-đa; nên từ khi ấy về sau, người được tôn cao trước mặt các nước.|有 許 多 人 到 耶 路 撒 冷 、 將 供 物 獻 與 耶 和 華 、 又 將 寶 物 送 給 猶 大 王 希 西 家 ． 此 後 、 希 西 家 在 列 邦 人 的 眼 中 看 為 尊 大 。
Trong lúc ấy, Ê-xê-chia bị đau hòng chết; người cầu nguyện Đức Giê-hô-va, Đức Giê-hô-va phán cùng người, và ban cho người một dấu lạ.|那 時 希 西 家 病 得 要 死 、 就 禱 告 耶 和 華 、 耶 和 華 應 允 他 、 賜 他 一 個 兆 頭 。
Nhưng Ê-xê-chia chẳng báo đáp lại ơn Chúa mà người đã lãnh, vì lòng người tự cao; bèn có cơn thạnh nộ của Chúa nổi lên cùng người, cùng Giu-đa và Giê-ru-sa-lem.|希 西 家 卻 沒 有 照 他 所 蒙 的 恩 、 報 答 耶 和 華 、 因 他 心 裡 驕 傲 、 所 以 忿 怒 要 臨 到 他 和 猶 大 並 耶 路 撒 冷 。
Song Ê-xê-chia hạ sự tự cao trong lòng mình xuống, người và dân cư Giê-ru-sa-lem cũng vậy, nên trong đời Ê-xê-chia, cơn thạnh nộ của Đức Giê-hô-va không giáng trên chúng.|但 希 西 家 和 耶 路 撒 冷 的 居 民 、 覺 得 心 裡 驕 傲 、 就 一 同 自 卑 、 以 致 耶 和 華 的 忿 怒 在 希 西 家 的 日 子 、 沒 有 臨 到 他 們 。
Ê-xê-chia được rất giàu rất sang; người cất những kho để trử bạc, vàng, đá quí, thuốc thơm, khiên, và các thứ khí giới tốt đẹp;|希 西 家 大 有 尊 榮 貲 財 ． 建 造 府 庫 、 收 藏 金 銀 、 寶 石 、 香 料 、 盾 牌 、 和 各 樣 的 寶 器 ．
những lẫm đặng chứa ngũ cốc, rượu, và dầu; những chuồng để nhốt các thứ thú vật, bầy chiên, và bầy bò.|又 建 造 倉 房 、 收 藏 五 榖 、 新 酒 、 和 油 ． 又 為 各 類 牲 畜 、 蓋 棚 立 圈 。
Người cũng xây những thành, có nhiều bầy chiên và bò; vì Đức Chúa Trời ban cho người rất nhiều của cải.|並 且 建 立 城 邑 、 還 有 許 多 的 羊 群 牛 群 、 因 為 　 神 賜 他 極 多 的 財 產 。
Ay là Ê-xê-chia này lấp nguồn trên của nước Ghi-hôn, và dẫn nó chảy ngầm dưới đất qua phía tây của thành Đa-vít. Trong mọi việc Ê-xê-chia được hanh thông.|這 希 西 家 也 塞 住 基 訓 的 上 源 、 引 水 直 下 、 流 在 大 衛 城 的 西 邊 ． 希 西 家 所 行 的 事 、 盡 都 亨 通 。
Song khi sứ giả mà vua Ba-by-lôn sai đến người đặng hỏi thăm dấu lạ đã xảy ra trong xứ, thì Đức Chúa Trời tạm lìa bỏ người đặng thử người, để cho biết mọi điều ở trong lòng người.|惟 有 一 件 事 、 就 是 巴 比 倫 王 差 遣 使 者 來 見 希 西 家 、 訪 問 國 中 所 現 的 奇 事 、 這 件 事 　 神 離 開 他 、 要 試 驗 他 、 好 知 道 他 心 內 如 何 。
Các công việc khác của Ê-xê-chia, và những việc thiện của người, đều chép trong sách dị tượng của Ê-sai, đấng tiên tri, con trai của A-mốt, và trong sách các vua Giu-đa và Y-sơ-ra-ên.|希 西 家 其 餘 的 事 、 和 他 的 善 行 、 都 寫 在 亞 摩 斯 的 兒 子 先 知 以 賽 亞 的 默 示 書 上 、 和 猶 大 、 以 色 列 的 諸 王 記 上 。
Ê-xê-chia an giấc cùng tổ phụ mình, người ta chôn người trong lăng tẩm cao của con cháu Đa-vít; cả Giu-đa và Giê-ru-sa-lem đều tôn kính người lúc người thác; Ma-na-se, con trai người, cai trị thế cho người.|希 西 家 與 他 列 祖 同 睡 、 葬 在 大 衛 子 孫 的 高 陵 上 ． 他 死 的 時 候 ． 猶 大 人 和 耶 路 撒 冷 的 居 民 、 都 尊 敬 他 ． 他 兒 子 瑪 拿 西 接 續 他 作 王 。

					II Sử Ký 33				|
						歷代志下 33					
Ma-na-se được mười hai tuổi khi người lên làm vua, và người cai trị năm mươi lăm năm tại Giê-ru-sa-lem.|瑪 拿 西 登 基 的 時 候 、 年 十 二 歲 、 在 耶 路 撒 冷 作 王 五 十 五 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, theo những sự gớm ghiếc của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 效 法 耶 和 華 在 以 色 列 人 面 前 趕 出 的 外 邦 人 那 可 憎 的 事 ．
Người cất lại các nơi cao mà Ê-xê-chia, cha người, đã phá dỡ, dựng lên những bàn thờ cho Ba-anh, làm các tượng A-sê-ra, thờ lạy cả cơ binh trên trời, và hầu việc chúng nó.|重 新 建 築 他 父 希 西 家 所 拆 毀 的 邱 壇 、 又 為 巴 力 築 壇 、 作 木 偶 、 且 敬 拜 事 奉 天 上 的 萬 象 。
Người xây những bàn thờ tại trong đền Đức Giê-hô-va, là về nơi ấy mà Đức Giê-hô-va đã phán rằng: Danh ta sẽ ngự nơi Giê-ru-sa-lem đời đời.|在 耶 和 華 的 殿 宇 中 築 壇 ． 耶 和 華 曾 指 著 這 殿 說 、 我 的 名 必 永 遠 在 耶 路 撒 冷 。
Người cũng lập những bàn thờ cho các cơ binh trên trời, tại trong hai hành lang của đến Đức Giê-hô-va,|他 在 耶 和 華 殿 的 兩 院 中 、 為 天 上 的 萬 象 築 壇 。
và đưa con cái mình qua lửa, tại trong trũng con Hi-nôm; người xem bói; ếm chú, dùng pháp thuật, ham theo những kẻ cầu vong và thầy phù thủy: người làm điều ác thái quá tại trước mặt Đức Giê-hô-va đặng chọc giận Ngài.|並 在 欣 嫩 子 谷 、 使 他 的 兒 女 經 火 ． 又 觀 兆 、 用 法 術 、 行 邪 術 、 立 交 鬼 的 、 和 行 巫 術 的 、 多 行 耶 和 華 眼 中 看 為 惡 的 事 、 惹 動 他 的 怒 氣 。
Người đặt hình tượng chạm mà mình đã làm trong đền của Đức Chúa Trời, là về đền ấy mà Đức Chúa Trời có phán với Đa-vít và Sa-lô-môn, con trai người, rằng: Trong đền này và tại Giê-ru-sa-lem, thành ta đã chọn trong các chi phái Y-sơ-ra-ên, ta sẽ đặt danh ta ở đời đời;|又 在 　 神 殿 內 立 雕 刻 的 偶 像 ． 　 神 曾 對 大 衛 和 他 兒 子 所 羅 門 說 、 我 在 以 色 列 各 支 派 中 、 所 選 擇 的 耶 路 撒 冷 和 這 殿 、 必 立 我 的 名 直 到 永 遠 ．
nếu Y-sơ-ra-ên gìn giữ làm theo các luật pháp, điều răn, và mạng lịnh, mà ta đã cậy Môi-se phán dạy chúng nó, thì ta sẽ chẳng cất chơn của chúng nó khỏi đất ta đã ban cho tổ phụ chúng nó.|以 色 列 人 若 謹 守 遵 行 我 藉 摩 西 所 吩 咐 他 們 的 一 切 法 度 、 律 例 、 典 章 、 我 就 不 再 使 他 們 挪 移 離 開 我 所 賜 給 他 們 列 祖 之 地 。
Ma-na-se quyến dụ Giu-đa và dân sự Giê-ru-sa-lem, đến đỗi chúng làm điều ác hơn các dân tộc mà Đức Giê-hô-va đã hủy diệt khỏi trước mặt dân Y-sơ-ra-ên.|瑪 拿 西 引 誘 猶 大 和 耶 路 撒 冷 的 居 民 、 以 致 他 們 行 惡 比 耶 和 華 在 以 色 列 人 面 前 所 滅 的 列 國 更 甚 。
Đức Giê-hô-va phán bảo Ma-na-se và dân sự người; song chúng không chủ ý đến.|耶 和 華 警 戒 瑪 拿 西 和 他 的 百 姓 、 他 們 卻 是 不 聽 。
Vì cớ ấy, Đức Giê-hô-va khiến các quan tướng đạo binh của vua A-si-ri đến hãm đánh chúng; các quan ấy bắt đóng cùm Ma-na-se, xiềng người lại, rồi dẫn về Ba-by-lôn.|所 以 耶 和 華 使 亞 述 王 的 將 帥 來 攻 擊 他 們 、 用 鐃 鉤 鉤 住 瑪 拿 西 、 用 銅 鍊 鎖 住 他 、 帶 到 巴 比 倫 去 。
Khi người bị hoạn nạn, bèn cầu khẩn Giê-hô-va Đức Chúa Trời của người và hạ mình xuống lắm trước mặt Đức Chúa Trời của tổ phụ người.|他 在 急 難 的 時 候 、 就 懇 求 耶 和 華 他 的 　 神 、 且 在 他 列 祖 的 　 神 面 前 極 其 自 卑 。
Ma-na-se cầu nguyện cùng Ngài; Ngài nhậm người, dủ nghe lời nài xin của người, dẫn người về Giê-ru-sa-lem trong nước người; khi ấy Ma-na-se nhìn biết Giê-hô-va là Đức Chúa Trời.|他 祈 禱 耶 和 華 、 耶 和 華 就 允 准 他 的 祈 求 、 垂 聽 他 的 禱 告 、 使 他 歸 回 耶 路 撒 冷 、 仍 坐 國 位 ． 瑪 拿 西 這 纔 知 道 惟 獨 耶 和 華 是 　 神 。
Sau việc ấy, người xây vách ngoài thành Đa-vít, về phía tây Ghi-hôn trong trũng, đến lối vào cửa cá, và chung quanh Ô-phên, xây nó rất cao rồi người đặt những quan tướng trong các thành bền vững xứ Giu-đa.|此 後 瑪 拿 西 在 大 衛 城 外 、 從 谷 內 基 訓 西 邊 、 直 到 魚 門 口 、 建 築 城 牆 、 環 繞 俄 斐 勒 、 這 牆 築 得 甚 高 ． 又 在 猶 大 各 堅 固 城 內 、 設 立 勇 敢 的 軍 長 。
Người cất khỏi đền Đức Giê-hô-va những thần ngoại bang, hình tượng, và bàn thờ mà người đã xây trên núi của đền Đức Giê-hô-va và tại Giê-ru-sa-lem, rồi quăng nó ra ngoài thành.|並 除 掉 外 邦 人 的 神 像 、 與 耶 和 華 殿 中 的 偶 像 、 又 將 他 在 耶 和 華 殿 的 山 上 、 和 耶 路 撒 冷 所 築 的 各 壇 、 都 拆 毀 拋 在 城 外 。
Đoạn, người sửa sang bàn thờ của Đức Giê-hô-va, dâng của lễ bình an và của lễ thù ân tại đó; người truyền dạy dân Giu-đa phục sự Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.|重 修 耶 和 華 的 祭 壇 、 在 壇 上 獻 平 安 祭 、 感 謝 祭 、 吩 咐 猶 大 人 事 奉 耶 和 華 以 色 列 的 　 神 。
Dầu vậy, dân sự còn tế lễ cho Giê-hô-va Đức Chúa Trời của mình mà thôi.|百 姓 卻 仍 在 邱 壇 上 獻 祭 、 只 獻 給 耶 和 華 他 們 的 　 神 。
Các công việc khác của Ma-na-se, lời người cầu nguyện cùng Đức Chúa Trời người, và các lời của đấng tiên kiến nhân danh Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên mà phán với người, đều đã chép trong sách các vua Y-sơ-ra-ên.|瑪 拿 西 其 餘 的 事 、 和 禱 告 他 　 神 的 話 、 並 先 見 奉 耶 和 華 以 色 列 　 神 的 名 警 戒 他 的 言 語 、 都 寫 在 以 色 列 諸 王 記 上 。
Bài cầu nguyện người, và làm sao Đức Chúa Trời nhậm lời người, các tội lỗi, và gian ác người đã phạm, những chỗ người lập nơi cao, dựng lên thần A-sê-ra và tượng chạm, trước khi người chưa hạ mình xuống, kìa, thảy đều chép trong truyện Hô-xai.|他 的 禱 告 、 與 　 神 怎 樣 應 允 他 、 他 未 自 卑 以 前 的 罪 愆 過 犯 、 並 在 何 處 建 築 邱 壇 、 設 立 亞 舍 拉 和 雕 刻 的 偶 像 、 都 寫 在 何 賽 的 書 上 。
Ma-na-xe an giấc cùng tổ phụ mình, được chôn trong cung điện người; A-môn con trai người, cai trị thế cho người.|瑪 拿 西 與 他 列 祖 同 睡 、 葬 在 自 己 的 宮 院 裡 ． 他 兒 子 亞 們 接 續 他 作 王 。
A-môn được hai mươi hai tuổi khi người lên ngôi làm vua; người cai trị hai năm tại Giê-ru-sa-lem.|亞 們 登 基 的 時 候 、 年 二 十 二 歲 、 在 耶 路 撒 冷 作 王 二 年 。
Người làm điều ác tại trước mặt Đức Giê-hô-va y như Ma-na-se, cha người, đã làm, cúng tế cho các tượng chạm mà Ma-na-se, cha người, đã làm, và hầu việc chúng nó.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 效 法 他 父 瑪 拿 西 所 行 的 、 祭 祀 事 奉 他 父 瑪 拿 西 所 雕 刻 的 偶 像 。
Người không hạ mình xuống trước mặt Đức Giê-hô-va như Ma-na-se, cha người, đã làm; nhưng người càng thêm phạm tội.|不 在 耶 和 華 面 前 像 他 父 瑪 拿 西 自 卑 ． 這 亞 們 所 犯 的 罪 、 越 犯 越 大 。
Các đầy tớ người mưu phản, giết người tại trong cung điện người.|他 的 臣 僕 背 叛 、 在 宮 裡 殺 了 他 。
Còn dân sự của xứ lại giết các kẻ đã mưu phản giết vua A-môn; rồi lập Giô-si -a, con trai người, làm vua thế cho người.|但 國 民 殺 了 那 些 背 叛 亞 們 王 的 人 、 立 他 兒 子 約 西 亞 接 續 他 作 王 。

					II Sử Ký 34				|
						歷代志下 34					
Giô-si -a được tám tuổi khi người lên ngôi làm vua, và cai trị ba mươi mốt năm tại Giê-ru-sa-lem.|約 西 亞 登 基 的 時 候 、 年 八 歲 、 在 耶 路 撒 冷 作 王 三 十 一 年 。
Người làm điều thiện trước mặt Đức Giê-hô-va, và đi theo con đường của Đa-vít, tổ phụ người, không xây về bên hữu hay là bên tả.|他 行 耶 和 華 眼 中 看 為 正 的 事 、 效 法 他 祖 大 衛 所 行 的 、 不 偏 左 右 。
Năm thứ tám đời người trị vì, khi người hãy còn trẻ tuổi, thì người khởi tìm kiếm Đức Chúa Trời của Đa-vít, tổ phụ người; năm thứ mười hai, người khởi dọn sạch Giu-đa và Giê-ru-sa-lem, trừ bỏ những nơi cao, thần A-sê-ra, tượng chạm và tượng đúc.|他 作 王 第 八 年 、 尚 且 年 幼 、 就 尋 求 他 祖 大 衛 的 　 神 ． 到 了 十 二 年 、 纔 潔 淨 猶 大 和 耶 路 撒 冷 、 除 掉 邱 壇 、 木 偶 、 雕 刻 的 像 、 和 鑄 造 的 像 。
Trước mặt vua, người ta phá dỡ các bàn thờ Ba-anh, đánh đổ những trụ thờ mặt trời ở trên cao bàn thờ ấy; còn thần A-sê-ra, tượng chạm và tượng đúc, thì bẻ gãy, nghiền nát nó ra, rồi rải trên mồ mả của những kẻ đã cúng tế nó.|眾 人 在 他 面 前 拆 毀 巴 力 的 壇 、 砍 斷 壇 上 高 高 的 日 像 、 又 把 木 偶 和 雕 刻 的 像 、 並 鑄 造 的 像 打 碎 成 灰 、 撒 在 祭 偶 像 人 的 墳 上 、
Người cũng thiêu hài cốt của những thầy tế lễ tại trên bàn thờ các thần ấy, và dọn sạch Giu-đa và Giê-ru-sa-lem.|將 他 們 祭 司 的 骸 骨 燒 在 壇 上 、 潔 淨 了 猶 大 和 耶 路 撒 冷 。
Trong các thành của Ma-na-se, của Ep-ra-im, và của Si-mê-ôn, cho đến Nép-ta-li khắp chung quanh các nơi đổ nát,|又 在 瑪 拿 西 、 以 法 蓮 、 西 緬 、 拿 弗 他 利 各 城 、 和 四 圍 破 壞 之 處 、 都 這 樣 行 。
người phá dỡ các bàn thờ và nghiền nát ra bụi những thần A-sê-ra, tượng chạm và tượng đúc, đánh đổ các trụ thờ mặt trời ở trong khắp xứ Y-sơ-ra-ên; rồi người trở về Giê-ru-sa-lem.|又 拆 毀 祭 壇 、 把 木 偶 和 雕 刻 的 像 打 碎 成 灰 、 砍 斷 以 色 列 遍 地 所 有 的 日 像 、 就 回 耶 路 撒 冷 去 了 。
Năm thứ mười tám đời người trị vì, sau khi đã dọn sạch xứ và đền thờ rồi, thì người sai Sa-phan, con trai A-sa-lia, Ma -a-xê-gia, quan cai thành, và Giô -a, con trai Giô -a-cha, quan thái sử, đặng sửa sang đền của Giê-hô-va Đức Chúa Trời người.|約 西 亞 王 十 八 年 、 淨 地 淨 殿 之 後 、 就 差 遣 亞 薩 利 雅 的 兒 子 沙 番 、 邑 宰 瑪 西 雅 、 約 哈 斯 的 兒 子 史 官 約 亞 、 去 修 理 耶 和 華 他 　 神 的 殿 。
Các người ấy đi đến cùng Hinh-kia, thầy tế lễ thượng phẩm, giao cho người tiền bạc đã đem vào đền Đức Chúa Trời, tức tiền bạc mà người Lê-vi, kẻ giữ cửa, đã nhận nơi tay người Ma-na-se, người Ep-ra-im, và nơi những kẻ còn sót lại trong Y-sơ-ra-ên, cùng nhận nơi cả Giu-đa, Bên-gia-min và những dân cư thành Giê-ru-sa-lem.|他 們 就 去 見 大 祭 司 希 勒 家 、 將 奉 到 　 神 殿 的 銀 子 交 給 他 ． 這 銀 子 是 看 守 殿 門 的 利 未 人 、 從 瑪 拿 西 、 以 法 蓮 、 和 一 切 以 色 列 剩 下 的 人 、 以 及 猶 大 、 便 雅 憫 眾 人 、 並 耶 路 撒 冷 的 居 民 收 來 的 。
Chúng giao bạc ấy nơi tay những người coi sóc công việc của đền Đức Giê-hô-va; họ phát cho các thợ đặng tu bổ, sửa sang đền thờ:|又 將 這 銀 子 交 給 耶 和 華 殿 裡 督 工 的 、 轉 交 修 理 耶 和 華 殿 的 工 匠 ．
