
					Dân Số 1				|
Ngày mười bốn tháng giêng, phải giữ lễ Vượt-qua cho Đức Giê-hô-va.|正 月 十 四 日 、 是 耶 和 華 的 逾 越 節 。
Qua ngày mười lăm sẽ là ngày lễ; phải ăn bánh không men trong bảy ngày.|這 月 十 五 日 是 節 期 、 要 喫 無 酵 餅 七 日 。
Ngày thứ nhứt các ngươi sẽ có sự hội hiệp thánh: chớ nên làm một công việc xác thịt nào.|第 一 日 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 。
Các ngươi phải dâng cho Đức Giê-hô-va hai con bò đực tơ, và bảy chiên con đực giáp năm, đều không tì vít, làm của lễ thiêu.|當 將 公 牛 犢 兩 隻 、 公 綿 羊 一 隻 、 一 歲 的 公 羊 羔 七 隻 、 都 要 沒 有 殘 疾 的 、 用 火 獻 給 耶 和 華 為 燔 祭 。
Của lễ chay sẽ bằng bột lọc nhồi dầu; các ngươi phải dâng ba phần mười ê-pha về một con bò đực, hai phần mười ê-pha về con chiên đực,|同 獻 的 素 祭 用 調 油 的 細 麵 、 為 一 隻 公 牛 要 獻 伊 法 十 分 之 三 ． 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 。
và một phần mười ê-pha về mỗi chiên con,|為 那 七 隻 羊 羔 、 每 隻 要 獻 伊 法 十 分 之 一 ．
luôn một con dê đực làm của lễ chuộc tội, đặng làm lễ chuộc tội cho các ngươi.|並 獻 一 隻 公 山 羊 作 贖 罪 祭 、 為 你 們 贖 罪 。
Các ngươi phải dâng các lễ vật nầy, ngoài của lễ thiêu buổi sớm mai, là một của lễ thiêu hằng hiến.|你 們 獻 這 些 、 要 在 早 晨 常 獻 的 燔 祭 以 外 。
Mỗi bữa trong bảy ngày, các ngươi phải dâng những lễ vật ngần ấy, như thực vật về của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va. Người ta phải dâng lễ vật đó ngoài của lễ thiêu hằng hiến và lễ quán cặp theo.|一 連 七 日 、 每 日 要 照 這 例 、 把 馨 香 火 祭 的 食 物 獻 給 耶 和 華 、 是 在 常 獻 的 燔 祭 和 同 獻 的 奠 祭 以 外 。
Ngày thứ bảy các ngươi sẽ có sự hội hiệp thánh, chớ nên làm một công việc xác thịt nào.|第 七 日 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 。
Trong kỳ lễ của các tuần, nhằm ngày hoa quả đầu mùa, khi các ngươi dâng cho Đức Giê-hô-va của lễ chay mới, thì phải có sự hội hiệp thánh; chớ nên làm một công việc xác thịt nào.|七 七 節 莊 稼 初 熟 、 你 們 獻 新 素 祭 給 耶 和 華 的 日 子 、 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 。
Các ngươi sẽ dùng hai con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, đặng làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va;|只 要 將 公 牛 犢 兩 隻 、 公 綿 羊 一 隻 、 一 歲 的 公 羊 羔 七 隻 、 作 為 馨 香 的 燔 祭 、 獻 給 耶 和 華 。
của lễ chay sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về mỗi con bò đực, hai phần mười ê-pha về con chiên đực,|同 獻 的 素 祭 用 調 油 的 細 麵 、 為 每 隻 公 牛 要 獻 伊 法 十 分 之 三 ． 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 ．
một phần mười ê-pha về mỗi con chiên con;|為 那 七 隻 羊 羔 、 每 隻 要 獻 伊 法 十 分 之 一 ．
cũng phải dâng một con dê đực, để làm lễ chuộc tội cho mình.|並 獻 一 隻 公 山 羊 為 你 們 贖 罪 。
Ngoài của lễ thiêu hằng hiến và của lễ chay cặp theo, các ngươi cũng phải dâng mấy lễ vật đó, không tì vít, và thêm những lễ quán cặp theo.|這 些 、 你 們 要 獻 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 、 都 要 沒 有 殘 疾 的 。

					Dân Số 29				|
						民數記 29					
Ngày mồng một tháng bảy, các ngươi sẽ có sự nhóm hiệp thánh; chớ nên làm một công việc xác thịt nào; về phần các ngươi, ấy sẽ là một ngày người ta thổi kèn vậy.|七 月 初 一 日 、 你 們 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 、 是 你 們 當 守 為 吹 角 的 日 子 。
Các ngươi phải dùng một con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va,|你 們 要 將 公 牛 犢 一 隻 、 公 綿 羊 一 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 七 隻 、 作 為 馨 香 的 燔 祭 、 獻 給 耶 和 華 。
luôn với của lễ chay bằng bột lọc nhồi dầu, ba phần mười ê-pha về con bò đực, hai phần mười ê-pha về con chiên đực,|同 獻 的 素 祭 用 調 油 的 細 麵 、 為 一 隻 公 牛 要 獻 伊 法 十 分 之 三 ． 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 、
một phần mười ê-pha về mỗi con chiên con;|為 那 七 隻 羊 羔 、 每 隻 要 獻 伊 法 十 分 之 一 。
và dâng một con dê đực làm của lễ chuộc tội, để làm lễ chuộc tội cho các ngươi;|又 獻 一 隻 公 山 羊 作 贖 罪 祭 、 為 你 們 贖 罪 。
các ngươi phải dâng những lễ vật nầy ngoài của lễ thiêu đầu tháng, và của lễ chay cặp theo, của lễ thiêu hằng hiến, và của lễ chay với lễ quán cặp theo, tùy theo những lệ đã định về mấy của lễ đó, mà làm của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va.|這 些 是 在 月 朔 的 燔 祭 、 和 同 獻 的 素 祭 、 並 常 獻 的 燔 祭 、 與 同 獻 的 素 祭 、 以 及 照 例 同 獻 的 奠 祭 以 外 ． 都 作 為 馨 香 的 火 祭 獻 給 耶 和 華 。
Ngày mồng mười tháng bảy nầy, các ngươi sẽ có sự nhóm hiệp thánh, phải ép linh hồn mình, chớ nên làm một công việc xác thịt nào.|七 月 初 十 日 、 你 們 當 有 聖 會 、 要 刻 苦 己 心 、 甚 麼 工 都 不 可 作 。
Các ngươi phải dâng một con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va:|只 要 將 公 牛 犢 一 隻 、 公 綿 羊 一 隻 、 一 歲 的 公 羊 羔 七 隻 、 都 要 沒 有 殘 疾 的 、 作 為 馨 香 的 燔 祭 獻 給 耶 和 華 。
của lễ chay sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về con bò đực, hai phần mười ê-pha về con chiên đực,|同 獻 的 素 祭 用 調 油 的 細 麵 、 為 一 隻 公 牛 要 獻 伊 法 十 分 之 三 、 為 一 隻 公 羊 要 獻 伊 法 十 分 之 二 ．
một phần mười ê-pha về mỗi con chiên con.|為 那 七 隻 羊 羔 每 隻 要 獻 伊 法 十 分 之 一 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ chuộc tội mà người ta dâng trong ngày chuộc tội, của lễ thiêu hằng hiến và của lễ chay với lễ quán cặp theo.|又 獻 一 隻 公 山 羊 為 贖 罪 祭 、 這 是 在 贖 罪 祭 、 和 常 獻 的 燔 祭 、 與 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày rằm tháng bảy, các ngươi sẽ có sự nhóm hiệp thánh. Chớ nên làm một công việc xác thịt nào, nhưng các ngươi phải giữ một lễ cho Đức Giê-hô-va trong bảy ngày.|七 月 十 五 日 、 你 們 當 有 聖 會 、 甚 麼 勞 碌 的 工 都 不 可 作 、 要 向 耶 和 華 守 節 七 日 。
Các ngươi phải dùng mười ba con bò đực tơ, hai con chiên đực, và mười bốn chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu, tức là của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va:|又 要 將 公 牛 犢 十 三 隻 、 公 綿 羊 兩 隻 、 一 歲 的 公 羊 羔 十 四 隻 、 都 要 沒 有 殘 疾 的 、 用 火 獻 給 耶 和 華 為 馨 香 的 燔 祭 。
của lễ chay cặp theo sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về mỗi con bò đực, hai phần mười ê-pha về mỗi con chiên đực,|同 獻 的 素 祭 用 調 油 的 細 麵 、 為 那 十 三 隻 公 牛 每 隻 要 獻 伊 法 十 分 之 三 ． 為 那 兩 隻 公 羊 、 每 隻 要 獻 伊 法 十 分 之 二 ．
và một phần mười ê-pha về mỗi con chiên con.|為 那 十 四 隻 羊 羔 、 每 隻 要 獻 伊 法 十 分 之 一 ．
Các ngươi cũng phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, và của lễ chay với lễ quán cặp theo.|並 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ hai, các ngươi phải dâng mười hai con bò đực tơ, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 二 日 要 獻 公 牛 犢 十 二 隻 、 公 綿 羊 兩 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 十 四 隻 。
với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 、 獻 同 獻 的 素 祭 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến cùng lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ ba, các ngươi phải dâng mười một con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 三 日 要 獻 公 牛 十 一 隻 、 公 羊 兩 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 十 四 隻 。
với của lễ chay và các lễ quán về những bò đực, chiên đực và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 獻 同 獻 的 素 祭 、 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 。 這 是 在 常 獻 的 燔 祭 和 同 獻 的 素 祭 並 同 獻 的 奠 祭 以 外 。
Ngày thứ tư, các ngươi phải dâng mười con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 四 日 要 獻 公 牛 十 隻 、 公 羊 兩 隻 、 沒 有 殘 疾 、 一 歲 的 公 羊 羔 十 四 隻 ．
với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 、 獻 同 獻 的 素 祭 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ năm, các ngươi phải dâng chín con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 五 日 要 獻 公 牛 九 隻 、 公 羊 兩 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 十 四 隻 。
với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 和 羊 羔 、 按 數 照 例 獻 同 獻 的 素 祭 、 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ sáu, các ngươi phải dâng tám con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 六 日 要 獻 公 牛 八 隻 、 公 羊 兩 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 十 四 隻 ．
với của lễ chay và các lễ quán về những bò đực; chiên đực, và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 獻 同 獻 的 素 祭 、 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ bảy, các ngươi phải dâng bảy con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,|第 七 日 要 獻 公 牛 七 隻 、 公 羊 兩 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 十 四 隻 ．
với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 獻 同 獻 的 素 祭 、 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 、 並 同 獻 的 奠 祭 以 外 。
Ngày thứ tám, các ngươi phải có sự nhóm hiệp trọng thể; chớ nên làm một công việc xác thịt nào;|第 八 日 你 們 當 有 嚴 肅 會 、 甚 麼 勞 碌 的 工 都 不 可 作 。
phải dùng một con bò đực, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu, tức là của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va,|只 要 將 公 牛 一 隻 、 公 羊 一 隻 、 沒 有 殘 疾 一 歲 的 公 羊 羔 七 隻 、 作 火 祭 、 獻 給 耶 和 華 為 馨 香 的 燔 祭 ．
với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.|並 為 公 牛 、 公 羊 、 和 羊 羔 、 按 數 照 例 獻 同 獻 的 素 祭 、 和 同 獻 的 奠 祭 。
Các ngươi phải dâng một con dê đực làm của của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.|又 要 獻 一 隻 公 山 羊 為 贖 罪 祭 ． 這 是 在 常 獻 的 燔 祭 、 和 同 獻 的 素 祭 並 、 同 獻 的 奠 祭 以 外 。
Đó là những lễ vật mà các ngươi phải dâng cho Đức Giê-hô-va trong những ngày lễ trọng thể mình, đặng làm của lễ thiêu, của lễ chay, lễ quán, và làm của lễ thù ân, ngoài những của lễ hứa nguyện, và những của lễ lạc ý của các ngươi.|這 些 祭 要 在 你 們 的 節 期 獻 給 耶 和 華 、 都 在 所 許 的 願 、 並 甘 心 所 獻 的 以 外 、 作 為 你 們 的 燔 祭 、 素 祭 、 奠 祭 、 和 平 安 祭 。
Môi-se nói cùng dân Y-sơ-ra-ên mọi điều Đức Giê-hô-va đã phán dặn người.|於 是 、 摩 西 照 耶 和 華 所 吩 咐 他 的 一 切 話 、 告 訴 以 色 列 人 。

					Dân Số 30				|
						民數記 30					
Môi-se cũng nói cùng những quan trưởng của các chi phái Y-sơ-ra-ên rằng: Này là điều mà Đức Giê-hô-va đã phán:|摩 西 曉 諭 以 色 列 各 支 派 的 首 領 、 說 、 耶 和 華 所 吩 咐 的 乃 是 這 樣 。
Khi một người nào có hứa nguyện cùng Đức Giê-hô-va, hoặc phát thề buộc lấy lòng mình phải giữ một sự gì, thì chớ nên thất tín. Mọi lời ra khỏi miệng người, người phải làm theo.|人 若 向 耶 和 華 許 願 、 或 起 誓 、 要 約 束 自 己 、 就 不 可 食 言 、 必 要 按 口 中 所 出 的 一 切 話 行 。
Khi một người nữ, trong buổi còn thơ ấu, ở nhà cha mình, có hứa nguyện cùng Đức Giê-hô-va, và buộc lấy lòng mình phải giữ một điều chi,|女 子 年 幼 還 在 父 家 的 時 候 、 若 向 耶 和 華 許 願 要 約 束 自 己 ．
nếu người cha đã biết lời hứa nguyện nàng, và sự buộc lòng nàng tự chịu lấy, mà đối với nàng vẫn làm thinh, thì nàng phải làm y lời hứa nguyện, và giữ mọi sự buộc lòng mình mà nàng tự chịu lấy.|他 父 親 也 聽 見 他 所 許 的 願 、 並 約 束 自 己 的 話 、 卻 向 他 默 默 不 言 、 他 所 許 的 願 、 並 約 束 自 己 的 話 、 就 都 要 為 定 。
Còn nhược bằng ngày nào cha màng biết mà cấm đi, thì nàng sẽ không mắc lời hứa nguyện mình hay là các sự buộc lòng giữ mà nàng đã tự chịu lấy; Đức Giê-hô-va sẽ tha tội cho nàng, vì cha nàng cấm nàng vậy.|但 他 父 親 聽 見 的 日 子 、 若 不 應 承 、 他 所 許 的 願 、 和 約 束 自 己 的 話 、 就 都 不 得 為 定 ． 耶 和 華 也 必 赦 免 他 、 因 為 他 父 親 不 應 承 。
Nếu người nữ ấy đã kết hôn, hoặc vì hứa nguyện, hoặc vì lời chi lỡ ra khỏi môi mà nàng đã chịu lấy một sự buộc mình,|他 若 出 了 嫁 、 有 願 在 身 、 或 是 口 中 出 了 約 束 自 己 的 冒 失 話 ．
nhược bằng ngày nào chồng nàng hay mà đối cùng nàng vẫn làm thinh, thì nàng phải làm y lời hứa nguyện, và giữ những sự buộc lòng mình mà nàng tự chịu lấy.|他 丈 夫 聽 見 的 日 子 、 卻 向 他 默 默 不 言 、 他 所 許 的 願 、 並 約 束 自 己 的 話 、 就 都 要 為 定 。
Còn nếu ngày nào chồng đã biết, cấm nàng đi, hủy lời hứa nguyện mà nàng mắc đó và lời gì lỡ ra khỏi môi, mà vì cớ đó nàng đã buộc lấy mình, thì Đức Giê-hô-va sẽ tha tội cho nàng.|但 他 丈 夫 聽 見 的 日 子 、 若 不 應 承 、 就 算 廢 了 他 所 許 的 願 和 他 出 口 約 束 自 己 的 冒 失 話 、 耶 和 華 也 必 赦 免 他 。
Lời hứa nguyện của một người đàn bà góa hoặc một người đàn bà bị để, mọi điều chi người đã buộc mình, thì phải giữ lấy.|寡 婦 、 或 是 被 休 的 婦 人 所 許 的 願 、 就 是 他 約 束 自 己 的 話 、 都 要 為 定 。
Nếu một người đàn bà đã hứa nguyện trong nhà chồng mình, hoặc phát thề buộc lấy lòng mình phải giữ một sự gì,|他 若 在 丈 夫 家 裡 許 了 願 或 起 了 誓 、 約 束 自 己 ．
và nếu chồng đã hay, vẫn làm thinh cùng nàng, không cấm, thì nàng phải làm y lời hứa nguyện và giữ mọi sự buộc lòng mà nàng đã tự chịu lấy.|丈 夫 聽 見 卻 向 他 默 默 不 言 、 也 沒 有 不 應 承 、 他 所 許 的 願 、 並 約 束 自 己 的 話 、 就 都 要 為 定 。
Nhưng nhược bằng ngày nào chồng nàng hay biết, hủy đi, thì mọi lời đã ra khỏi môi về những sự hứa nguyện, và về sự buộc lòng mình sẽ bị hủy đi; chồng nàng đã hủy các lời đó, thì Đức Giê-hô-va sẽ tha tội cho nàng.|丈 夫 聽 見 的 日 子 、 若 把 這 兩 樣 全 廢 了 、 婦 人 口 中 所 許 的 願 、 或 是 約 束 自 己 的 話 、 就 都 不 得 為 定 、 因 他 丈 夫 已 經 把 這 兩 樣 廢 了 ． 耶 和 華 也 必 赦 免 他 。
Chồng nàng có thể ưng hay hủy mọi sự hứa nguyện, và mọi lời thề mà nàng sẽ buộc mình đặng ép linh hồn mình.|凡 他 所 許 的 願 、 和 刻 苦 約 束 自 己 所 起 的 誓 、 他 丈 夫 可 以 堅 定 、 也 可 以 廢 去 。
Nhược bằng chồng vẫn làm thinh cùng nàng ngày nay qua ngày mai, như vậy chồng ưng các sự hứa nguyện của nàng; chồng ưng, vì không nói chi ngày mà người đã hay biết.|倘 若 他 丈 夫 天 天 向 他 默 默 不 言 、 就 算 是 堅 定 他 所 許 的 願 、 和 約 束 自 己 的 話 、 因 丈 夫 聽 見 的 日 子 向 他 默 默 不 言 、 就 使 這 兩 樣 堅 定 。
Còn nếu chồng hủy các sự hứa nguyện một ít lâu sau khi đã hay biết thì chồng sẽ mang sự hình phạt về tội lỗi của vợ mình.|但 他 丈 夫 聽 見 以 後 、 若 使 這 兩 樣 全 廢 了 、 就 要 擔 當 婦 人 的 罪 孽 。
Đó là các lệ định mà Đức Giê-hô-va truyền cho Môi-se về một người chồng và vợ mình, một người cha và con gái mình, buổi thơ ấu khi còn ở nhà cha.|這 是 丈 夫 待 妻 子 、 父 親 待 女 兒 、 女 兒 年 幼 還 在 父 家 、 耶 和 華 所 吩 咐 摩 西 的 律 例 。

					Dân Số 31				|
						民數記 31					
Đức Giê-hô-va lại phán cùng Môi-se rằng:|耶 和 華 吩 咐 摩 西 說 、
Hãy báo thù dân Ma-đi-an cho dân Y-sơ-ra-ên; rồi ngươi sẽ được về cùng tổ phụ.|你 要 在 米 甸 人 身 上 報 以 色 列 人 的 仇 、 後 來 要 歸 到 你 列 祖 〔 原 文 作 本 民 〕 那 裡 。
Vậy, Môi-se truyền cho dân sự rằng: Trong các ngươi hãy sắm sửa binh khí mà ra trận hãm đánh dân Ma-đi-an đặng báo thù dân đó cho Đức Giê-hô-va.|摩 西 吩 咐 百 姓 說 、 要 從 你 們 中 間 叫 人 帶 兵 器 出 去 攻 擊 米 甸 、 好 在 米 甸 人 身 上 為 耶 和 華 報 仇 。
Về mỗi chi phái Y-sơ-ra-ên, các ngươi phải sai một ngàn lính ra trận.|從 以 色 列 眾 支 派 中 每 支 派 要 打 發 一 千 人 去 打 仗 。
Vậy, trong dân Y-sơ-ra-ên người ta cứ mỗi chi phái chọn một ngàn lính, là mười hai ngàn người sắm sửa binh khí đặng ra trận.|於 是 從 以 色 列 千 萬 人 中 、 每 支 派 交 出 一 千 人 、 共 一 萬 二 千 人 、 帶 著 兵 器 豫 備 打 仗 。
Môi-se sai mười hai ngàn người đó ra trận, tức là sai một ngàn người về mỗi chi phái, với Phi-nê -a, con trai của Ê-lê -a-sa, thầy tế lễ, đem đi theo mình, những khí giới thánh cùng kèn có tiếng vang.|摩 西 就 打 發 每 支 派 的 一 千 人 去 打 仗 、 並 打 發 祭 司 以 利 亞 撒 的 兒 子 非 尼 哈 同 去 、 非 尼 哈 手 裡 拿 著 聖 所 的 器 皿 、 和 吹 大 聲 的 號 筒 。
Vậy, chúng giao chiến cùng dân Ma-đi-an, y như Đức Giê-hô-va đã phán dặn Môi-se, và giết hết thảy nam đinh.|他 們 就 照 耶 和 華 所 吩 咐 摩 西 的 、 與 米 甸 人 打 仗 、 殺 了 所 有 的 男 丁 。
Trong các người bị giết chúng cũng giết năm vua Ma-đi-an, là: Ê-vi, Rê-kem, Xu-rơ, Hu-rơ, và Rê-ba; cũng lấy gươm giết Ba-la-am, con trai của Bê-ô.|在 所 殺 的 人 中 、 殺 了 米 甸 的 五 王 、 就 是 以 未 、 利 金 、 蘇 珥 、 戶 珥 、 利 巴 、 又 用 刀 殺 了 比 珥 的 兒 子 巴 蘭 。
Dân Y-sơ-ra-ên bắt đàn bà và con nít Ma-đi-an dẫn theo, cướp hết thảy súc vật, bầy chiên và của cải họ,|以 色 列 人 擄 了 米 甸 人 的 婦 女 孩 子 、 並 將 他 們 的 牲 畜 、 羊 群 、 和 所 有 的 財 物 都 奪 了 來 、 當 作 擄 物 。
đốt hết những thành, nhà ở, và hương thôn chúng nó,|又 用 火 焚 燒 他 們 所 住 的 城 邑 、 和 所 有 的 營 寨 ．
cũng lấy đem theo hết thảy của đoạt được, bất kỳ người hay vật.|把 一 切 所 奪 的 、 所 擄 的 、 連 人 帶 牲 畜 都 帶 了 去 ．
Chúng dẫn những kẻ bị bắt và những của đoạt được đến cho Môi-se, cho Ê-lê -a-sa, thầy tế lễ, và cho hội dân Y-sơ-ra-ên đương đóng trại tại đồng bằng Mô-áp, gần sông Giô-đanh, đối ngang Giê-ri-cô.|將 所 擄 的 人 、 所 奪 的 牲 畜 、 財 物 、 都 帶 到 摩 押 平 原 、 在 約 但 河 邊 與 耶 利 哥 相 對 的 營 盤 、 交 給 摩 西 、 和 祭 司 以 利 亞 撒 、 並 以 色 列 的 會 眾 。
Bấy giờ, Môi-se, Ê-lê -a-sa, thầy tế lễ, và hết thảy hội trưởng đi ra đón rước chúng binh ngoài trại quân.|摩 西 和 祭 司 以 利 亞 撒 、 並 會 眾 一 切 的 首 領 、 都 出 到 營 外 迎 接 他 們 。
Môi-se nổi giận cùng các quân trưởng, tức là quan tướng một ngàn quân và quan tướng một trăm quân đi đánh giặc nầy trở về.|摩 西 向 打 仗 回 來 的 軍 長 、 就 是 千 夫 長 、 百 夫 長 、 發 怒 。
Môi-se nói cùng họ rằng: Các ngươi để hết thảy người nữ còn sống sao?|對 他 們 說 、 你 們 要 存 留 這 一 切 婦 女 的 活 命 麼 ．
Kìa, ấy là chúng nó theo mưu kế của Ba-la-am mà dụ dỗ dân Y-sơ-ra-ên cùng thờ Phê-ô, và phạm một tội trọng cùng Đức Giê-hô-va; và tội đó xui cho hội chúng của Đức Giê-hô-va bị tai vạ.|這 些 婦 女 、 因 巴 蘭 的 計 謀 、 叫 以 色 列 人 在 毘 珥 的 事 上 得 罪 耶 和 華 、 以 致 耶 和 華 的 會 眾 遭 遇 瘟 疫 。
Vậy bây giờ, hãy giết hết thảy nam đinh trong bọn con trẻ, và giết người nữ nào đã kết bạn cùng một người nam;|所 以 你 們 要 把 一 切 的 男 孩 、 和 所 有 已 嫁 的 女 子 、 都 殺 了 。
nhưng hãy để sống cho các ngươi hết thảy con gái chưa hề kết bạn cùng người nam.|但 女 孩 子 中 、 凡 沒 有 出 嫁 的 、 你 們 都 可 以 存 留 他 的 活 命 。
Còn về phần các ngươi, hãy đóng trại ngoài trại quân trong bảy ngày. Ai có giết một người và có đụng đến một xác chết, thì ai đó cùng kẻ bị bắt, phải dọn cho mình được sạch ngày thứ ba và ngày thứ bảy.|你 們 要 在 營 外 駐 紮 七 日 、 凡 殺 了 人 的 、 和 一 切 摸 了 被 殺 的 、 並 你 們 所 擄 來 的 人 口 、 第 三 日 、 第 七 日 、 都 要 潔 淨 自 己 。
Cũng phải làm cho sạch hết thảy áo xống, mọi vật bằng da, mọi vật bằng lông dê, và mọi đồ đạc bằng cây.|也 要 因 一 切 的 衣 服 、 皮 物 、 山 羊 毛 織 的 物 、 和 各 樣 的 木 器 、 潔 淨 自 己 。
Ê-lê -a-sa, thầy tế lễ, nói cùng những lính trận đi về, mà rằng: Nầy là điều luật pháp dạy mà Đức Giê-hô-va đã truyền cho Môi-se:|祭 司 以 利 亞 撒 、 對 打 仗 回 來 的 兵 丁 說 、 耶 和 華 所 吩 咐 摩 西 律 法 中 的 條 例 、 乃 是 這 樣 ．
vàng, bạc, đồng, sắt, thiếc, chì,|金 、 銀 、 銅 、 鐵 、 錫 、 鉛 、
