
					II Kings 1				|
This is why their townsmen had no power, they were broken and put to shame; they were like the grass of the field and the green plant, like grass on the house-tops.|Vì vậy, dân sự của các thành ấy đều yếu đuối, bị sợ hãi và hổ thẹn; chúng giống như cây cỏ xanh ngoài đồng, tỉ như cây cỏ trên nóc nhà, khác nào lúa mì đã héo trước khi cọng chưa thành.
But I have knowledge of your getting up and your resting, of your going out and your coming in.|Nơi ngươi ngồi, lúc ngươi đi ra, đi vào, và sự giận dại ngươi đối cùng ta, ta đã biết hết.
Because your wrath against me and your words of pride have come up to my ears, I will put my hook in your nose and my cord in your lips, and I will make you go back by the way you came.|Bởi ngươi giận dại cùng ta, và vì lời kiêu ngạo ngươi đã thấu đến tai ta, ắt ta sẽ xỏ cái vòng nơi mũi ngươi, để khớp nơi môi miếng ngươi. Đoạn, ta sẽ khiến ngươi trở về theo con đường mà ngươi đã đi đến.
And this will be the sign to you: you will get your food this year from what comes up of itself; and in the second year from the produce of the same; and in the third year you will put in your seed and get in the grain and make vine-gardens and take of their fruit.|Hỡi Ê-xê-chia, nhờ dấu hiệu này ngươi nhìn biết rằng lời này sẽ ứng nghiệm: Năm nay, các ngươi sẽ ăn vật hột giống rớt xuống, sanh ra; năm thứ nhì, ăn vật tự mọc lên; nhưng năm thứ ba, các ngươi sẽ gieo và gặt, trồng nho và ăn trái nó.
And those of Judah who are still living will again take root in the earth and give fruit.|Hễ giống gì thoát khỏi, còn lại của dân tộc Giu-đa, dưới sẽ châm rễ xuống, trên sẽ kết bông trái lên.
For from Jerusalem those who have been kept safe will go out, and those who are still living will go out of Mount Zion: by the fixed purpose of the Lord of armies this will be done.|Vì sẽ có phần sót lại từ Giê-ru-sa-lem mà ra, kẻ thoát khỏi từ núi Si-ôn mà đến; lòng sốt sắng của Đức Giê-hô-va sẽ làm nên việc ấy.
For this cause the Lord says about the king of Assyria, He will not come into this town, or send an arrow against it; he will not come before it with arms, or put up an earthwork against it;|Bởi cớ đó, Đức Giê-hô-va phán về vua A-si-ri như vầy: Nó sẽ không vào thành này, chẳng xạ tên trong nó, cũng chẳng kéo đến giơ khiên lên trước mặt nó, và chẳng đắp lũy nghịch nó.
By the way he came he will go back, and he will not get into this town, says the Lord.|Đức Giê-hô-va phán: Nó sẽ trở về theo con đường nó đã đi đến, không vào trong thành này.
For I will keep this town safe, for my honour, and for the honour of my servant David.|Vì tại cớ ta và Đa-vít, kẻ tôi tớ ta, ta sẽ binh vực thành này đặng cứu nó.
And that night the angel of the Lord went out and put to death in the army of the Assyrians a hundred and eighty-five thousand men; and when the people got up early in the morning, there was nothing to be seen but dead bodies.|Trong đêm đó, có một thiên sứ của Đức Giê-hô-va đi đến trong dinh A-si-ri, và giết một trăm tám mươi lăm ngàn người tại đó. Sáng ngày mai, người ta thức dậy, bèn thấy quân ấy, kìa, chỉ là thây đó thôi.
So Sennacherib, king of Assyria, went back to his place at Nineveh.|San-chê-ríp, vua A-si-ri, bèn trở về, ở tại Ni-ni-ve.
And it came about, when he was worshipping in the house of Nisroch his god, that his sons Adrammelech and Sharezer put him to death with the sword; and they went in flight into the land of Ararat. And Esar-haddon his son became king in his place.|Một ngày kia, người thờ lạy tại trong chùa Nít-róc, thần của mình, thì A-tra-mê-léc và Sa-rết-se giết người bằng gươm, đoạn chúng nó trốn trong xứ A-ra-rát. Ê-sạt-ha-đôn, con trai người, kế vị người.

					II Kings 20				|
						II Các Vua 20					
In those days Hezekiah was ill and near death. And Isaiah the prophet, the son of Amoz, came to him, and said to him, The Lord says, Put your house in order, for your death is near.|Trong lúc đó, Ê-xê-chia bị bịnh nặng gần chết. Tiên tri Ê-sai, con trai A-mốt, đến cùng người, và nói rằng: Đức Giê-hô-va phán như vầy: Hãy trối lại cho nhà ngươi, vì ngươi sẽ thác chẳng sống được đâu.
Then, turning his face to the wall, he made his prayer to the Lord, saying,|Ê-xê-chia bèn xây mặt mình vào phía vách, và cầu nguyện Đức Giê-hô-va mà rằng:
O Lord, keep in mind how I have been true to you with all my heart, and have done what is good in your eyes. And Hezekiah gave way to bitter weeping.|Oi Đức Giê-hô-va! xin hãy nhớ lại rằng tôi đã lấy sự thành thật và lòng trọn lành, đi trước mặt Chúa, và làm theo điều tốt lành tại trước mặt Ngài. Đoạn, Ê-xê-chia khóc rất thảm thiết.
Now before Isaiah had gone out of the middle of the town, the word of the Lord came to him, saying,|Ê-sai chưa đi khỏi thành trong, có lời của Đức Giê-hô-va phán với người rằng:
Go back and say to Hezekiah, the ruler of my people, The Lord, the God of David your father, says, Your prayer has come to my ears, and I have seen your weeping; see, I will make you well: on the third day you will go up to the house of the Lord.|Hãy trở lại, nói với Ê-xê-chia, vua của dân sự ta rằng: Giê-hô-va Đức Chúa Trời của Đa-vít, tổ phụ ngươi, phán như vầy: Ta có nghe lời cầu nguyện ngươi, thấy nước mắt của ngươi, này ta sẽ chữa lành cho ngươi; đến ngày thứ ba ngươi sẽ đi lên đền của Đức Giê-hô-va.
I will give you fifteen more years of life; and I will keep you and this town safe from the hands of the king of Assyria; I will keep this town safe, for my honour, and for the honour of my servant David.|Ta sẽ thêm tuổi ngươi mười lăm năm, ta sẽ giải cứu ngươi và thành này khỏi tay vua A-si-ri. Vì cớ ta và Đa-vít, kẻ tôi tớ ta, ta sẽ binh vực thành này.
Then Isaiah said, Take a cake of figs. So they took it and put it on his wound, and he got better.|Ê-sai bèn biểu: Hãy lấy một cái bánh trái vả. Người ta lấy nó đắp trên mụt ung, thì vua được lành.
And Hezekiah said to Isaiah, What is to be the sign that the Lord will make me well, and that I will go up to the house of the Lord on the third day?|Vả, Ê-xê-chia đã hỏi Ê-sai rằng: Bởi dấu nào tôi phải nhìn rằng Đức Giê-hô-va sẽ chữa lành cho tôi và đến ngày thứ ba tôi sẽ được đi lên đền của Ngài?
And Isaiah said, This is the sign the Lord will give you, that he will do what he has said; will the shade go forward ten degrees or back?|Ê-sai đáp: Này là dấu Đức Giê-hô-va ban cho ngươi, đặng làm chứng cho ngươi biết Ngài sẽ làm thành điều Ngài đã phán ra: Ngươi muốn bóng tới trước mười độ hay là lui lại mười độ chăng?
And Hezekiah said in answer, It is a simple thing for the shade to go forward; but let it go back ten degrees.|Ê-xê-chia đáp: Bóng tới trước mười độ thì chẳng khó gì; không! thà nó lui lại sau mười độ thì hơn.
Then Isaiah the prophet made prayer to the Lord, and he made the shade go back ten degrees from its position on the steps of Ahaz.|Thầy tiên tri Ê-sai cầu khẩn Đức Giê-hô-va, Ngài bèn đem bóng đã giọi trên trắc ảnh A-cha lui lại mười độ, là mười độ đã xuống rồi.
At that time, Merodach-baladan, the son of Baladan, king of Babylon, sent letters with an offering to Hezekiah, because he had news that Hezekiah had been ill.|Trong lúc đó, Bê-rô-đác-Ba-la-đan, con trai Ba-la-đan, vua Ba-by-lôn, gởi thơ và lễ vật cho Ê-xê-chia; vì người đã hay rằng Ê-xê-chia đau.
And Hezekiah was glad at their coming and let them see all his store of wealth, the silver and the gold and the spices and the oil of great price, and the house of his arms, and everything there was in his stores; there was nothing in all his house or his kingdom which Hezekiah did not let them see.|Ê-xê-chia nghe lời các sứ giả tâu, thì vui mừng, bèn dẫn chúng viếng đền, là nơi chứa các vật quí, bạc, vàng, thuốc thơm, dầu quí, lại cho xem trại cơ khí, và mọi vật trong kho tàng mình. Chẳng có chi trong đền hoặc trong nước mà Ê-xê-chia không cho chúng xem thấy.
Then Isaiah the prophet came to King Hezekiah and said to him, What did these men say and where did they come from? And Hezekiah said, They came from a far country, even from Babylon.|Tiên tri Ê-xai bèn đi đến vua Ê-xê-chia, và hỏi người rằng: Các người đó nói chi và ở xứ nào đến? Ê-xê-chia đáp: Chúng đến từ xứ xa, từ Ba-by-lôn.
And he said, What have they seen in your house? And Hezekiah said in answer, They saw everything in my house: there is nothing among my stores which I did not let them see.|Ê-sai tiếp: Vua cho chúng xem chi trong đền của vua? Ê-xê-chia đáp: Chúng có thấy mọi vật ở trong đền ta. Chẳng gì trong các kho tàng ta mà ta chẳng chỉ cho chúng xem.
And Isaiah said to Hezekiah, Give ear to the word of the Lord.|Ê-sai bèn nói với Ê-xê-chia rằng: Hãy nghe lời của Đức Giê-hô-va:
Truly, days are coming when everything in your house, and whatever your fathers have put in store till this day, will be taken away to Babylon: all will be gone, says the Lord.|Thì giờ sẽ đến khi mọi vật ở trong đền vua, mọi vật mà các tổ phụ vua đã chất chứa trong kho tàng cho đến ngày nay, đều sẽ bị đem qua Ba-by-lôn. Đức Giê-hô-va phán: Sẽ chẳng còn chi lại hết.
And your sons, the offspring of your body, they will take away to be unsexed servants in the house of the king of Babylon.|Lại những đứa con trai của vua, do nơi vua sanh ra, sẽ bị bắt dẫn đi làm hoạn quan trong đền vua Ba-by-lôn.
Then Hezekiah said to Isaiah, Good is the word of the Lord which you have said. Then he said, ... if in my time there is peace and righteousness?|Ê-xê-chia đáp với Ê-sai rằng: Lời của Đức Giê-hô-va mà người đã nói là thiện. Người tiếp: Ít nữa trong đời tôi sẽ có điều bình yên và sự vững vàng chăng?
Now the rest of the acts of Hezekiah, and his power, and how he made the pool and the stream, to take water into the town, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của Ê-xê-chia, sự mạnh dạn người, cuộc xây hồ chứa nước, và kinh dẫn nước vào trong thành, đều chép trong sử ký về các vua Giu-đa.
And Hezekiah went to rest with his fathers; and Manasseh his son became king in his place.|Ê-xê-chia an giấc cùng các tổ phụ mình; Ma-na-se con trai người, kế vị người.

					II Kings 21				|
						II Các Vua 21					
Manasseh was twelve years old when he became king; for fifty-five years he was ruling in Jerusalem; and his mother's name was Hephzi-bah.|Ma-na-se được mười hai tuổi khi người lên làm vua; người cai trị năm mươi lăm năm tại Giê-ru-sa-lem. Mẹ người tên là Hép-si-ba.
He did evil in the eyes of the Lord, copying the disgusting ways of those nations whom the Lord had sent out before the children of Israel.|Người làm điều ác trước mặt Đức Giê-hô-va và theo sự thờ phượng gớm ghiếc của các dân tộc mà Đức Giê-hô-va đã đuổi khỏi trước mặt dân Y-sơ-ra-ên.
He put up again the high places which had been pulled down by Hezekiah his father; he made altars for Baal, and an Asherah, as Ahab, king of Israel, had done; he was a worshipper and servant of all the stars of heaven.|Người sửa xây lại các nơi cao mà Ê-xê-chia, cha người phá hủy, lập bàn thờ cho Ba-anh, dựng hình tượng A-sê-ra giống như của A-háp, vua Y-sơ-ra-ên, đã làm, cúng thờ toàn cơ binh trên trời và hầu việc nó.
And he put up altars in the house of the Lord, of which the Lord had said, In Jerusalem will I put my name.|Người cũng lập bàn thờ trong đền của Đức Giê-hô-va, mà Đức Giê-hô-va có phán về đền thờ rằng: Ay tại nơi Giê-ru-sa-lem ta để danh ta ngự.
And he put up altars for all the stars of heaven in the two outer squares of the house of the Lord.|Người xây những bàn thờ cho toàn cơ binh trên trời, tại nơi hai hành lang về đền thờ của Đức Giê-hô-va.
And he made his son go through the fire, and made use of secret arts and signs for reading the future; he gave positions to those who had control of spirits and to wonder-workers; he did much evil in the eyes of the Lord, moving him to wrath.|Người đưa con trai mình qua lửa, tập tành phép thiên văn và việc bói điềm; lập lên những đồng cốt và thầy bói. Người làm điều ác trước mặt Đức Giê-hô-va quá chừng, chọc giận Ngài hoài.
He put the image of Asherah which he had made in the house of which the Lord had said to David and to Solomon his son, In this house, and in Jerusalem, the town which I have made mine out of all the tribes of Israel, I will put my name for ever.|Còn hình tượng A-sê-ra mà người đã làm, thì người dựng trong đền thờ mà Đức Giê-hô-va có phán với Đa-vít và Sa-lô-môn, con trai người, rằng: Ay trong đền này và trong Giê-ru-sa-lem, thành ta đã chọn trong các chi phái Y-sơ-ra-ên, mà ta sẽ đặt danh ta ngự đời đời.
And never again will I send the feet of Israel wandering from the land which I gave to their fathers; if only they will take care to do all my orders, and keep all the law which my servant Moses gave them.|Nếu Y-sơ-ra-ên lo gìn giữ mọi điều ta đã phán dạy, mọi luật pháp mà Môi-se, tôi tớ ta, đã truyền cho chúng nó, thì ta sẽ chẳng để dân Y-sơ-ra-ên đi xiêu lạc ngoài xứ mà ta đã ban cho tổ phụ chúng nó.
But they did not give ear; and Manasseh made them do more evil than those nations did, whom the Lord gave up to destruction before the children of Israel.|Nhưng chúng nó không nghe; chúng nó bị Ma-na-se quyến dụ làm gian ác hơn các dân tộc mà Đức Giê-hô-va đã tuyệt diệt khỏi trước mặt dân Y-sơ-ra-ên.
And the Lord said, by his servants the prophets,|Đức Giê-hô-va bèn cậy các tiên tri, là tôi tớ Ngài, mà phán rằng:
Because Manasseh, king of Judah, has done these disgusting things, doing more evil than all the Amorites before him, and making Judah do evil with his false gods,|Vì Ma-na-se, vua Giu-đa, đã phạm những sự gớm ghiếc ấy, và có làm ác hơn mọi điều dân A-mô-rít đã làm trước người, cùng quyến dụ Giu-đa phạm tội với hình tượng nó,
For this cause, says the Lord, the God of Israel, I will send such evil on Jerusalem and Judah that the ears of all to whom the news comes will be burning.|vì cớ đó, Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy: Kìa, ta sẽ giáng trên Giê-ru-sa-lem và trên Giu-đa những tai họa cả thể, đến đỗi phàm ai nghe nói đến phải lùng bùng lỗ tai.
And over Jerusalem will be stretched the line of Samaria and the weight of Ahab; Jerusalem will be washed clean as a plate is washed, and turned over on its face.|Ta sẽ giáng trên Giê-ru-sa-lem dây đo Sa-ma-ri và căn nhà của A-háp. Ta sẽ xóa sạch Giê-ru-sa-lem như người ta chùi rửa cái dĩa, rồi úp nó xuống sau khi rửa xong.
And I will put away from me the rest of my heritage, and give them up into the hands of their haters, who will take their property and their goods for themselves;|Ta sẽ từ bỏ phần còn sót lại về sản nghiệp ta, phó chúng nó vào tay thù nghịch chúng nó; chúng nó sẽ trở thành hóa tài và miếng mồi của họ;
Because they have done evil in my eyes, moving me to wrath, from the day when their fathers came out of Egypt till this day.|vì chúng nó làm những điều ác trước mặt ta, chọc giận ta, từ ngày tổ phụ chúng nó ra khỏi Ê-díp-tô cho đến ngày nay.
More than this, Manasseh took the lives of upright men, till Jerusalem from one end to the other was full of blood; in addition to his sin in making Judah do evil in the eyes of the Lord.|Ma-na-se cũng đổ nhiều huyết vô tội ra, đến đỗi Giê-ru-sa-lem bị ngập từ đầu này đến đầu kia. Lại phụ thêm những tội lỗi người phạm gây cho Giu-đa phạm tội nữa, và làm điều ác trước mặt Đức Giê-hô-va.
Now the rest of the acts of Manasseh, and all he did, and his sins, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của Ma-na-se, những công việc người, và tội người đã phạm, đều chép trong sử ký về các vua Giu-đa.
So Manasseh went to rest with his fathers, and was put into the earth in the garden of his house, in the garden of Uzza; and Amon his son became king in his place.|Ma-na-se an giấc với tổ phụ người, được chôn trong vườn của đền người, tức trong vườn U-xa, A-môn, con trai người, cai trị thế cho người.
Amon was twenty-two years old when he became king, ruling in Jerusalem for two years; his mother's name was Meshullemeth, the daughter of Haruz of Jotbah.|Khi A-môn lên làm vua, tuổi được hai mươi hai; người cai trị hai năm tại Giê-ru-sa-lem. Mẹ người tên là Mê-su-lê-mết, con gái của Ha-rút, cháu của Giô-ba.
He did evil in the eyes of the Lord, as Manasseh his father had done.|Người làm điều ác trước mặt Đức Giê-hô-va, y như Ma-na-se, cha người, đã làm.
He went in all the ways of his father, being a servant and worshipper of the false gods to which his father had been a servant;|Người đi theo y một đường của cha người, hầu việc hình tượng mà cha người đã hầu việc, và quì lạy trước mặt chúng nó.
Turning away from the Lord, the God of his fathers, and not walking in his ways.|Người lìa bỏ Giê-hô-va Đức Chúa Trời của tổ phụ mình, không đi theo con đường của Đức Giê-hô-va.
And the servants of Amon made a secret design against him, and put the king to death in his house.|Vả, những tôi tớ của A-môn mưu phản người, và giết người tại trong đền vua.
But the people of the land put to death all those who had taken part in the design against the king, and made Josiah his son king in his place.|Nhưng dân của xứ giết hết thảy những kẻ phản nghịch vua A-môn, và tôn Giô-si -a, con trai người, lên làm vua thế cho người.
Now the rest of the acts which Amon did, are they not recorded in the book of the history of the kings of Judah?|Các chuyện khác của A-môn, và công việc người làm, đều chép trong sử ký về các vua Giu-đa.
He was put in his last resting-place in the garden of Uzza, and Josiah his son became king in his place.|Người được chôn trong mồ mả người nơi vườn U-xa; rồi Giô-si -a, con trai người, kế vị người.

					II Kings 22				|
						II Các Vua 22					
Josiah was eight years old when he became king; and he was ruling in Jerusalem for thirty-one years; his mother's name was Jedidah, daughter of Adaiah of Bozkath.|Khi Giô-si -a lên làm vua, được tám tuổi; người cai trị ba mươi mốt năm tại Giê-ru-sa-lem. Mẹ người tên là Giê-đi-đa, con gái của A-đa-gia, cháu Bô-cát.
He did what was right in the eyes of the Lord, walking in the ways of David his father, without turning to the right hand or to the left.|Người làm điều thiện trước mặt Đức Giê-hô-va, đi theo trọn con đường của Đa-vít, tổ phụ mình, không tẻ tách hoặc về bên hữu, hoặc về bên tả.
Now in the eighteenth year after he became king, Josiah sent Shaphan, the son of Azaliah, the son of Meshullam, the scribe, to the house of the Lord, saying to him,|Năm thứ mười tám đời Giô-si -a, vua sai thơ ký Sa-phan, con trai A-xa-lia, cháu Mê-su-lam, đến đền Đức Giê-hô-va, mà dặn rằng:
Go up to Hilkiah, the chief priest, and let him give out the money which is taken into the house of the Lord, which the keepers of the door have got together from the people;|Hãy đi lên thầy tế lễ thượng phẩm Hinh-kia, đếm bạc đã đem đến trong đền thờ của Đức Giê-hô-va, tức là bạc mà các người giữ cửa đền thờ đã thâu lấy nơi dân sự;
And let it be given to the overseers of the work of the Lord's house, to give to the workmen who are making good what was damaged in the house of the Lord;|đoạn hãy giao bạc ấy cho những kẻ coi sóc việc đền thờ của Đức Giê-hô-va, để họ giao lại cho thợ sửa sang các nơi hư nứt của đền thờ,
To the woodworkers and the builders and the stone-cutters; and for getting wood and cut stones for the building up of the house.|tức thợ mộc, thợ xây cất, thợ hồ, và dùng mua gỗ và đá đẽo đặng tu bổ đền lại.
They did not have to give any account of the money which was handed to them, for they made use of it with good faith.|Song chớ tính sổ bạc giao nơi tay chúng, vì chúng vốn làm thành thực.
Then Hilkiah, the chief priest, said to Shaphan the scribe, I have made discovery of the book of the law in the house of the Lord. So Hilkiah gave it to Shaphan;|Thầy tế lễ thượng phẩm Hinh-kia nói với thơ ký Sa-phan rằng: Tôi đã tìm được quyển luật pháp trong đền thờ Đức Giê-hô-va. Hinh-kia trao quyển sách đó cho Sa-phan, và người đọc nó.
Then, after reading it, Shaphan the scribe went in to the king and gave him an account of what had been done, saying, Your servants have given out the money which was in the house, and have given it to the overseers of the work of the house of the Lord.|Đoạn, thơ ký Sa-phan đến tìm vua, thuật lại điều này mà rằng: Các tôi tớ vua đã đóng bạc tìm đặng trong đền thờ, và đã giao nơi tay các người lo coi sóc công việc đền thờ của Đức Giê-hô-va.
Then Shaphan the scribe said to the king, Hilkiah the priest has given me a book; and he was reading it before the king.|Thơ ký Sa-phan lại nói rằng: Thầy tế lễ thượng phẩm Hinh-kia có trao cho tôi một quyển sách; đoạn, Sa-phan đọc sách đó trước mặt vua.
And the king, hearing the words of the book of the law, took his robe in his hands, violently parting it as a sign of his grief;|Vua vừa nghe các lời của sách luật pháp, liền xé quần áo mình.
And he gave orders to Hilkiah the priest, and Ahikam, the son of Shaphan, and Achbor, the son of Micaiah, and Shaphan the scribe, and Asaiah the king's servant, saying,|Đoạn, vua truyền lịnh cho thầy tế lễ Hinh-kia, cho A-hi-ca, con trai Sa-phan, cho Ac-bồ, con trai Mi-ca-gia, đầy tớ của vua, mà rằng:
Go and get directions from the Lord for me and for the people and for all Judah, about the words of this book which has come to light; for great is the wrath of the Lord which is burning against us, because our fathers have not given ear to the words of this book, to do all the things which are recorded in it.|Hãy đi cầu vấn Đức Giê-hô-va cho ta, cho dân sự, và cho cả Giu-đa, về các lời của sách mới tìm được. Vì cơn giận của Đức Giê-hô-va nổi lên cùng chúng ta thật là lớn lao, tại tổ phụ chúng ta không có nghe theo các lời của sách này, và không làm theo điều đã đã truyền phán cho chúng ta.
So Hilkiah the priest, and Ahikam and Achbor and Shaphan and Asaiah, went to Huldah the woman prophet, the wife of Shallum, the son of Tikvah, the son of Harhas, keeper of the robes, (now she was living in Jerusalem, in the second part of the town;) and they had talk with her.|Vậy, thầy tế lễ Hinh-kia, A-hi-cam, Ac-bồ, Sa-phan, và A-sa-gia đi tìm nữ tiên tri Hun-đa, vợ của Sa-lum, người giữ áo lễ, con trai của Tiếc-va, cháu của Hạt-ha; người ở tại Giê-ru-sa-lem, trong quận thứ nhì. Chúng nói chuyện với nàng,
And she said to them, The Lord, the God of Israel, says, Say to the man who sent you to me,|nàng bèn nói rằng: Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên nói như vầy: Hãy nói với người sai các ngươi đến ta rằng:
These are the words of the Lord: See, I will send evil on this place and on its people, even everything which the king of Judah has been reading in the book;|Đức Giê-hô-va phán như vầy: Ta sẽ dẫn tai họa trên chỗ này và trên dân cư nó, làm hoàn thành mọi lời của sách mà vua Giu-đa đã đọc.
Because they have given me up, burning offerings to other gods and moving me to wrath by all the work of their hands; so my wrath will be on fire against this place, and will not be put out.|Bởi vì dân Giu-đa đã lìa bỏ ta, đốt hương cho các thần khác, chọc giận vì các công việc của tay chúng nó, nên cơn giận ta sẽ nổi lên cùng chỗ này, không hề nguôi.
But to the king of Judah who sent you to get directions from the Lord, say, This is what the Lord, the God of Israel, has said: As to the words which have come to your ears,|Còn về vua Giu-đa đã sai các người cầu vấn Đức Giê-hô-va, thì hãy nói với người rằng: Về các lời người đã nghe Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vầy:
Because your heart was soft, and you made yourself low before me, when you had word of what I said against this place and its people, that they would become a waste and a curse, and you gave signs of grief, weeping before me: truly, I have given ear to you, says the Lord.|Khi ngươi nghe lời ta phán nghịch cùng chỗ này, và nghịch cùng dân cư nó rằng, chỗ này sẽ bị phá hoang, dân cư trở thành rủa sả, thì ngươi có lòng mềm mại, hạ mình xuống trước mặt Đức Giê-hô-va, xé quần áo mình, và khóc lóc trước mặt ta; bởi vậy cho nên ta cũng có nghe ngươi.
For this cause I will let you go to your fathers and be put in your last resting-place in peace, and your eyes will not see all the evil which I will send on this place. So they took this news back to the king.|Kìa, ta sẽ thâu ngươi về cùng các tổ phụ ngươi; và ngươi sẽ được thâu vào nơi mồ mả ngươi cách bình an, và mắt ngươi sẽ chẳng thấy những điều tai họa mà ta toàn giáng xuống trên chỗ này. Chúng bèn tâu lại cho vua những lời ấy.

					II Kings 23				|
						II Các Vua 23					
Then the king sent and got together all the responsible men of Judah and of Jerusalem.|Vua bèn sai người nhóm hiệp hết thảy những trưởng lão Giu-đa và Giê-ru-sa-lem.
And the king went up to the house of the Lord, with all the men of Judah and all the people of Jerusalem, and the priests and the prophets and all the people, small and great; and they were present at his reading of the book of the law which had come to light in the house of the Lord.|Đoạn, vua đi lên đền thờ Đức Giê-hô-va, có hết thảy người Giu-đa, cả dân cư Giê-ru-sa-lem, những thầy tế lễ, đấng tiên tri, cùng cả dân sự, vô luận nhỏ lớn, đều đi theo người. Người đọc cho chúng nghe các lời của sách giao ước, mà người ta đã tìm được trong đền thờ của Đức Giê-hô-va.
And the king took his place by the pillar, and made an agreement before the Lord, to go in the way of the Lord, and keep his orders and his decisions and his rules with all his heart and all his soul, and to keep the words of the agreement recorded in the book; and all the people gave their word to keep the agreement.|Vua đứng trên tòa, lập giao ước trước mặt Đức Giê-hô-va, hứa đi theo Đức Giê-hô-va, hết lòng hết ý gìn giữ những điều răn, chứng cớ, và luật lệ của Ngài, và làm hoàn thành lời giao ước đã chép trong sách này. Cả dân sự đều ưng lời giao ước ấy.
Then the king gave orders to Hilkiah, the chief priest, and to the priests of the second order, and to the keepers of the door, to take out of the house of the Lord all the vessels made for Baal and for the Asherah and for all the stars of heaven; and he had them burned outside Jerusalem in the fields of Kidron, and took the dust of them to Beth-el.|Vua bèn truyền lịnh cho thầy tế lễ thượng phẩm Hinh-kia, cho mấy thầy phó tế, và các người giữ cửa đền thờ, cất khỏi đền thờ của Đức Giê-hô-va hết thảy những khí giới người ta làm đặng cúng thờ Ba-anh, At-tạt-tê, và cả cơ binh trên trời. Người bảo thiêu các vật đó ngoài Giê-ru-sa-lem, trong đồng ruộng Xết-rôn, rồi đem tro nó đến Bê-tên.
And he put an end to the false priests, who had been put in their positions by the kings of Judah to see to the burning of offerings in the high places in the towns of Judah and the outskirts of Jerusalem, and all those who made offerings to Baal and to the sun and the moon and the twelve signs and all the stars of heaven.|Người cũng đuổi những thầy cả của các tà thần mà những vua Giu-đa đã lập, đặng xông hương trên các nơi cao trong những thành Giu-đa và tại các nơi chung quanh Giê-ru-sa-lem; cũng đuổi đi những thầy cả dâng hương cho Ba-anh, cho mặt trời, mặt trăng, huỳnh đạo, và cả cơ binh trên trời.
And he took the Asherah from the house of the Lord, outside Jerusalem to the stream Kidron, burning it by the stream and crushing it to dust, and he put the dust on the place where the bodies of the common people were put to rest.|Người cất hình tượng At-tạt-tê khỏi đền thờ của Đức Giê-hô-va, đem nó ra ngoài Giê-ru-sa-lem, đến khe Xết-rôn, thiêu đốt nó tại đó và nghiền ra tro, rồi rải tro ấy trên mồ của thường dân.
And he had the houses pulled down of those who were used for sex purposes in the house of the Lord, where women were making robes for the Asherah.|Người lại phá những phòng của bợm vĩ gian ở trong đền thờ của Đức Giê-hô-va, là nơi đó người nữ dệt những trại cho At-tạt-tê.
And he made all the priests from the towns of Judah come into Jerusalem, and he made unclean the high places where the priests had been burning offerings, from Geba to Beer-sheba; and he had the high places of the evil spirits pulled down which were by the doorway of Joshua, the ruler of the town, on the left side of the way into the town.|Người cũng đòi đến hết thảy những thầy tế lễ ở các thành Giu-đa, làm ô uế những nơi cao mà chúng nó có xông hương, từ Ghê-ba cho đến Bê -e-Sê-ba; lại phá những bàn thờ lập tại cửa thành, tức tại cửa Giô-suê, quan cai thành, ở về phía bên tả, khi vào cửa thành.
Still the priests of the high places never came up to the altar of the Lord in Jerusalem; but they took their food of unleavened bread among their brothers.|Song, những người đã làm thầy tế lễ các nơi cao, thì chẳng được lên đến bàn thờ của Đức Giê-hô-va tại Giê-ru-sa-lem; song họ ăn bánh không men với anh em mình.
And Topheth, in the valley of the sons of Hinnom, he made unclean, so that no man might make his son or his daughter go through the fire to Molech.|Người cũng làm ô uế Tô-phết tại trong trũng con cái Hi-nôm, hầu cho từ rày về sau, không ai được đưa con trai hay là con gái mình qua lửa cho Mo-lóc.
And he took away the horses which the kings of Judah had given to the sun, at the way into the house of the Lord, by the room of Nathan-melech, the unsexed servant, which was in the outer part of the building, and the carriages of the sun he put on fire.|Người trừ bỏ những con ngựa các vua Giu-đa dâng cho mặt trời, ở nơi cửa vào đền Đức Giê-hô-va, tại nơi công đường của quan hoạn Nê-than-Mê-léc, trong hành lang của đền thờ; còn những xe của mặt trời, thì người thiêu đốt.
And the altars on the roof of the high room of Ahaz, which the kings of Judah had made, and the altars which Manasseh had made in the two outer squares of the house of the Lord, were pulled down and crushed to bits, and the dust of them was put into the stream Kidron.|Vua Giô-si -a cũng phá những bàn thờ mà các vua Giu-đa đã cất trên nóc nhà lầu của vua A-cha; lại những bàn thờ mà Ma-na-se có dựng lên trong hai hành lang của đền thờ Đức Giê-hô-va, thì người đập bể, cất khỏi chỗ, và rải bụi nát nó trong khe Xết-rôn.
