
					Numbers 1				|
These are the sons of Benjamin by their families: and those who were numbered of them were forty-five thousand, six hundred.|Đó là các con trai Bên-gia-min, tùy theo họ hàng và tùy theo tu bộ: số là bốn mươi lăm ngàn sáu trăm người.
These are the sons of Dan by their families: of Shuham, the family of the Shuhamites. These are the families of Dan by their families.|Nầy là các con trai của Đan, tùy theo họ hàng mình: do nơi Su-cham sanh ra họ Su-cham. Đó là họ của Đan;
All the families of the Shuhamites, as they were numbered, were sixty-four thousand, four hundred.|họ Su-cham, tùy theo tu bộ: số là sáu mươi bốn ngàn bốn trăm người.
The sons of Asher by their families: of Imnah, the family of the Imnites: of Ishvi, the family of the Ishvites: of Beriah, the family of the Beriites.|Các con trai A-se, tùy theo họ hàng mình: do nơi Di-ma sanh ra họ Di-ma; do nơi Dích-vi sanh ra họ Dích-vi; do nơi Bê-ri -a sanh ra họ Bê-ri -a.
Of the sons of Beriah: of Heber, the family of the Heberites: of Malchiel, the family of the Malchielites:|Các con trai Bê-ri -a: do nơi Hê-be sanh ra họ Hê-be; do nơi Manh-ki-ên sanh ra họ Manh-ki-ên.
And the name of the daughter of Asher was Serah.|Tên của con gái A-se là Sê-rách.
These are the families of the sons of Asher as they were numbered, fifty-three thousand, four hundred.|Đó là những họ của các con trai A-se, tùy theo tu bộ: số là năm mươi ba ngàn bốn trăm người.
The sons of Naphtali by their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:|Các con trai Nép-ta-li, tùy theo họ hàng mình: do nơi Giát-sê-ên sanh ra họ Giát-sê-ên; do nơi Gu-ni sanh ra họ Gu-ni;
Of Jezer, the family of the Jezerites: of Shillem, the family of the Shillemites.|do nơi Dít-se sanh ra họ Dít-se: do nơi Si-lem sanh ra họ Si-lem.
These are the families of Naphtali by their families: and those who were numbered of them were forty-five thousand, four hundred.|Đó là các họ của Nép-ta-li, tùy theo họ hàng và tu bộ mình: số là bốn mươi lăm ngàn bốn trăm người.
Those who were numbered of the children of Israel were six hundred and one thousand, seven hundred and thirty.|Đó là những người trong dân Y-sơ-ra-ên mà người ta tu bộ lại: số là sáu trăm một ngàn bảy trăm ba mươi người.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
Let there be a division of the land among these, for their heritage, in relation to the number of names.|Phải tùy theo số các danh mà chia xứ ra cho những người nầy làm sản nghiệp;
To those families who are more in number, give a greater heritage; to those who are less in number, a smaller part: to every one let the heritage be given in relation to the number in his family.|chi phái nào số dân đông thì ngươi phải cho một sản nghiệp lớn hơn, chi phái nào số dân ít, thì phải cho một sản nghiệp nhỏ hơn, tức là phải cho mỗi chi phái sản nghiệp mình cân phân cùng số tu bộ.
But let the distribution of the land be made by the decision of the Lord: by the names of the tribes of their fathers let their heritage be given them.|Nhưng phải bắt thăm mà chia xứ ra; dân Y-sơ-ra-ên sẽ lãnh phần sản nghiệp mình theo tên của các chi phái tổ tông.
As it is ordered by the decision of the Lord, let distribution be made between those who are more in number and those who are less.|Phải tùy sự bắt thăm mà chia sản nghiệp ra cho mỗi chi phái, hoặc số dân đông hay ít.
These were those of the Levites who were numbered by their families: of Gershon, the family of the Gershonites: of Kohath, the family of the Kohathites: of Merari, the family of the Merarites.|Nầy là người Lê-vi mà người ta tu bộ lại, tùy theo họ hàng mình: do nơi Ghẹt-sôn sanh ra họ Ghẹt-sôn; do nơi Kê-hát sanh ra họ Kê-hát; do nơi Mê-ra-ri sanh ra họ Mê-ra-ri.
These are the families of Levi: the family of the Libnites, the family of the Hebronites, the family of the Mahlites, the family of the Mushites, the family of the Korahites. And Kohath was the father of Amram.|Nầy là các họ Lê-vi: họ Líp-ni, họ Hếp-rôn, họ Mách-li, họ Mu-si, họ Cô-rê. Vả, Kê-hát sanh Am-ram.
Amram's wife was Jochebed, the daughter of Levi, whom he had in Egypt: by Amram she had Moses and Aaron and their sister Miriam.|Tên vợ Am-ram là Giô-kê-bết, con gái của Lê-vi, sanh trong xứ Ê-díp-tô; nàng sanh cho Am-ram, A-rôn, Môi-se và chị của hai người là Mi-ri-am.
Aaron's sons were Nadab and Abihu, Eleazar and Ithamar.|Còn A-rôn sanh Na-đáp và A-bi-hu, Ê-lê -a-sa và Y-tha-ma.
Death overtook Nadab and Abihu when they made an offering of strange fire before the Lord.|Nhưng Na-đáp và A-bi-hu chết trong khi dâng một thứ lửa lạ trước mặt Đức Giê-hô-va.
Of these, twenty-three thousand males, from one month old and over, were numbered: they were not numbered with the rest of the children of Israel, for they had no heritage among the children of Israel.|Những nam đinh mà người ta tu bộ từ một tháng sắp lên, cộng được hai mươi ba ngàn; vì người Lê-vi không được kể vào số tu bộ của dân Y-sơ-ra-ên, bởi người Lê-vi không được phần sản nghiệp giữa dân Y-sơ-ra-ên.
All these were numbered by Moses and Eleazar the priest when the children of Israel were numbered in the lowlands of Moab by the Jordan at Jericho.|Đó là sự tu bộ mà Môi-se và Ê-lê -a-sa, thầy tế lễ, làm về dân Y-sơ-ra-ên trong đồng bằng Mô-áp gần Giô-đanh, đối ngang Giê-ri-cô.
But among all these was not one of those numbered by Moses and Aaron the priest when the children of Israel were numbered in the waste land of Sinai.|Trong các người nầy không có một ai thuộc về bọn mà Môi-se và A-rôn, thầy tế lễ, đã kiểm soát khi hai người tu bộ dân Y-sơ-ra-ên tại đồng vắng Si-na -i.
For the Lord had said of them, Death will certainly overtake them in the waste land. And of them all, only Caleb, the son of Jephunneh, and Joshua, the son of Nun, were still living.|Vì Đức Giê-hô-va có phán về bọn đó rằng: Chúng nó hẳn sẽ chết trong đồng vắng! Vậy, chẳng còn lại một tên, trừ ra Ca-lép, con trai Giê-phu-nê, và Giô-suê, con trai Nun.

					Numbers 27				|
						Dân Số 27					
Then the daughters of Zelophehad, the son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, of the families of Manasseh, the son of Joseph, came forward: their names are Mahlah, Noah, and Hoglah, and Milcah, and Tirzah.|Các con gái của Xê-lô-phát, là con trai Hê-phe, cháu của Ga-la-át, chắt của Ma-ki, chít của Ma-na-se, thuộc về họ hàng Ma-na-se, là con trai của Giô-sép, đến gần; đây là tên của con gái người: Mách-la, Nô -a, Hốt-la, Minh-ca và Thiệt-sa.
They came before Moses and Eleazar the priest and the chiefs and all the people at the door of the Tent of meeting, and said,|Các con gái đó đến ra mắt Môi-se, Ê-lê -a-sa thầy tế lễ, các quan trưởng, và cả hội chúng tại cửa hội mạc, mà nói rằng:
Death overtook our father in the waste land; he was not among those who were banded together with Korah against the Lord; but death came to him in his sin; and he had no sons.|Cha chúng tôi đã chết trong đồng vắng; người chẳng phải về phe đảng của kẻ hiệp lại nghịch cùng Đức Giê-hô-va tức là phe đảng Cô-rê; nhưng người chết vì tội lỗi mình, và không có con trai.
Why is the name of our father to be taken away from among his family, because he had no son? Give us a heritage among our father's brothers.|Cớ sao danh cha chúng tôi bị trừ ra khỏi giữa họ người, bởi không có con trai? Hãy cho chúng tôi một phần sản nghiệp giữa anh em của cha chúng tôi.
So Moses put their cause before the Lord.|Môi-se bèn đem cớ sự của các con gái ấy đến trước mặt Đức Giê-hô-va.
And the Lord said to Moses,|Đức Giê-hô-va phán cùng Môi-se rằng:
What the daughters of Zelophehad say is right: certainly you are to give them a heritage among their father's brothers: and let the property which would have been their father's go to them.|Các con gái Xê-lô-phát nói có lý; ngươi phải cho chúng nó một phần sản nghiệp giữa anh em của cha chúng nó, tức là phải giao cho chúng nó sản nghiệp của cha chúng nó.
And say to the children of Israel, If a man has no son at the time of his death, let his heritage go to his daughter.|Ngươi cũng phải nói cùng dân Y-sơ-ra-ên rằng: Khi một người nào chết không có con trai, thì các ngươi phải giao sản nghiệp của người lại cho con gái người.
And if he has no daughter, then give his heritage to his brothers.|Nhược bằng không có con gái, thì phải giao sản nghiệp cho anh em người.
And if he has no brothers, then give his heritage to his father's brothers.|Ví bằng người không có anh em, thì phải giao sản nghiệp cho chú bác người.
And if his father has no brothers, then give it to his nearest relation in the family, as his heritage: this is to be a decision made by law for the children of Israel, as the Lord gave orders to Moses.|Nếu không có chú bác, thì phải giao sản nghiệp người cho người bà con gần hơn hết; và người ấy sẽ được lấy làm của. Ay sẽ là một luật lệ để định cho dân Y-sơ-ra-ên, y như Đức Giê-hô-va đã phán dặn Môi-se.
And the Lord said to Moses, Go up into this mountain of Abarim so that you may see the land which I have given to the children of Israel.|Đoạn, Đức Giê-hô-va phán cùng Môi-se rằng: Hãy lên trên núi A-ba-rim nầy và nhìn xem xứ mà ta đã ban cho dân Y-sơ-ra-ên.
And when you have seen it, you will be put to rest with your people, as your brother Aaron was:|Ngươi sẽ nhìn xem xứ đó, rồi ngươi cũng sẽ được về cùng tổ phụ, như A-rôn, anh ngươi, đã được về vậy;
Because in the waste land of Zin, when the people were angry, you and he went against my word and did not keep my name holy before their eyes, at the waters. (These are the waters of Meribah in Kadesh in the waste land of Zin.)|bởi vì, tại đồng vắng Xin, các ngươi có bội nghịch mạng lịnh ta, trong lúc hội chúng cãi cọ, và vì trước mặt chúng nó, các ngươi không tôn ta nên thánh về việc nước. Ay là nước về sự cãi cọ tại Ca-đe, trong đồng vắng Xin.
Then Moses said to the Lord,|Môi-se thưa cùng Đức Giê-hô-va rằng:
Let the Lord, the God of the spirits of all flesh, put a man at the head of this people,|Lạy Giê-hô-va là Đức Chúa Trời của thần linh mọi xác thịt, xin Ngài lập trên hội chúng một người
To go out and come in before them and be their guide; so that the people of the Lord may not be like sheep without a keeper.|để vào ra trước mặt chúng nó khiến chúng nó ra vào, hầu cho hội chúng của Đức Giê-hô-va chớ như con chiên không người chăn.
And the Lord said to Moses, Take Joshua, the son of Nun, a man in whom is the spirit, and put your hand on him;|Đức Giê-hô-va phán cùng Môi-se rằng: Hãy chọn lấy Giô-suê con trai của Nun, người có Thần cảm động; phải đặt tay trên mình người;
And take him before Eleazar the priest and all the meeting of the people, and give him his orders before their eyes.|rồi đem người ra mắt Ê-lê -a-sa, thầy tế lễ, và cả hội chúng, truyền lịnh cho người trước mặt họ,
And put your honour on him, so that all the children of Israel may be under his authority.|và trao phần vinh hiển ngươi lại cho người, hầu cho cả hội chúng Y-sơ-ra-ên nghe người.
He will take his place before Eleazar the priest, so that he may get directions from the Lord for him, with the Urim: at his word they will go out, and at his word they will come in, he and all the children of Israel.|Người phải ra mắt Ê-lê -a-sa, thầy tế lễ, rồi người sẽ vì Giô-suê cầu hỏi sự xét đoán của u-rim trước mặt Đức Giê-hô-va; theo lịnh Ê-lê -a-sa, người và cả hội chúng Y-sơ-ra-ên sẽ đi ra và đi vào.
So Moses did as the Lord said: he took Joshua and put him before Eleazar the priest and the meeting of the people:|Vậy, Môi-se làm y như Đức Giê-hô-va đã phán dặn mình, chọn lấy Giô-suê để trước mặt Ê-lê -a-sa, thầy tế lễ, và trước mặt cả hội chúng,
And he put his hands on him and gave him his orders, as the Lord had said by Moses.|đặt tay trên mình người, và truyền lịnh cho, y như Đức Giê-hô-va đã cậy Môi-se phán dặn vậy.

					Numbers 28				|
						Dân Số 28					
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Give orders to the children of Israel and say to them, Let it be your care to give me my offerings at their regular times, the food of the offerings made by fire to me for a sweet smell.|Hãy truyền lịnh nầy cho dân Y-sơ-ra-ên mà rằng: Các ngươi phải lo dâng cho ta trong kỳ định lễ vật và thực vật của ta, cùng các của lễ dùng lửa dâng lên có mùi thơm cho ta.
Say to them, This is the offering made by fire which you are to give to the Lord; he-lambs of the first year without any mark, two every day as a regular burned offering.|Vậy, ngươi phải nói cùng dân Y-sơ-ra-ên rằng: Nầy là của lễ dùng lửa đốt mà các ngươi sẽ dâng cho Đức Giê-hô-va: Mỗi ngày, hai con chiên con đực giáp năm, không tì vít, làm của lễ thiêu hằng hiến.
Let one be offered in the morning, and the other at evening;|Ngươi phải dâng con nầy vào buổi sớm mai và con kia vào buổi chiều tối;
And the tenth part of an ephah of the best meal for a meal offering mixed with the fourth part of a hin of clear oil.|còn về của lễ chay, thì phải dâng một phần mười ê-pha bột lọc nhồi với một phần tư hin dầu ô-li-ve ép.
It is a regular burned offering, as it was ordered in Mount Sinai, for a sweet smell, an offering made by fire to the Lord.|Ay là của lễ thiêu hằng hiến đã lập tại núi Si-na -i. là một của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va.
And for its drink offering take the fourth part of a hin for one lamb: in the holy place let the wine be drained out for a drink offering for the Lord.|Lễ quán sẽ bằng một phần tư hin rượu cho mỗi một chiên con. Ngươi phải dâng lễ quán bằng rượu cho Đức Giê-hô-va trong nơi thánh.
Let the other lamb be offered at evening; like the meal offering of the morning and its drink offering, let it be offered as an offering made by fire for a sweet smell to the Lord.|Ngươi phải dâng chiên con kia vào buổi chiều tối, và làm một của lễ chay và một lễ quán như buổi sớm mai; ấy là một của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va.
And on the Sabbath day, two he-lambs of the first year, without any mark, and two tenth parts of the best meal for a meal offering mixed with oil, and its drink offering:|Ngày sa-bát, ngươi phải dâng hai chiên con đực giáp năm, không tì vít, và hai phần mười ê-pha bột lọc nhồi dầu làm của lễ chay với lễ quán cặp theo.
This is the burned offering for every Sabbath day, in addition to the regular burned offering, and its drink offering.|Ay là của lễ thiêu về mỗi ngày sa-bát, ngoại trừ của lễ thiêu hằng hiến và lễ quán cặp theo.
And on the first day of every month you are to give a burned offering to the Lord; two oxen, one male sheep, and seven he-lambs of the first year, without any mark;|Mỗi đầu tháng, các ngươi phải dâng cho Đức Giê-hô-va hai con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, làm của lễ thiêu;
And three tenth parts of the best meal for a meal offering mixed with oil, for every ox; and two tenth parts of the best meal for a meal offering mixed with oil, for the one sheep;|ba phần mười ê-pha bột lọc nhồi dầu dùng làm của lễ chay về mỗi con bò đực; hai phần mười ê-pha bột lọc nhồi dầu dùng làm của lễ chay về con chiên đực;
And a separate tenth part of the best meal mixed with oil for a meal offering for every lamb; for a burned offering of a sweet smell, an offering made by fire to the Lord.|một phần mười ê-pha bột lọc nhồi dầu dùng làm của lễ chay về mỗi con chiên con. Ay là một của lễ thiêu có mùi thơm, tức một của lễ dùng lửa dâng cho Đức Giê-hô-va.
And their drink offerings are to be half a hin of wine for an ox, and the third part of a hin for a male sheep, and the fourth part of a hin for a lamb: this is the burned offering for every month through all the months of the year.|Lễ quán sẽ bằng phân nửa hin rượu nho về mỗi con bò đực, một phần ba hin về con chiên đực và một phần tư hin về mỗi con chiên con. Ay là của lễ thiêu về các đầu tháng trong năm.
And one he-goat for a sin-offering to the Lord; it is to be offered in addition to the regular burned offering and its drink offering.|Ngoại trừ của lễ thiêu hằng hiến và lễ quán cặp theo, cũng phải dâng cho Đức Giê-hô-va một con dê đực làm của lễ chuộc tội.
And in the first month, on the fourteenth day of the month, is the Lord's Passover.|Ngày mười bốn tháng giêng, phải giữ lễ Vượt-qua cho Đức Giê-hô-va.
On the fifteenth day of this month there is to be a feast; for seven days let your food be unleavened cakes.|Qua ngày mười lăm sẽ là ngày lễ; phải ăn bánh không men trong bảy ngày.
On the first day there is to be a holy meeting: you may do no sort of field-work:|Ngày thứ nhứt các ngươi sẽ có sự hội hiệp thánh: chớ nên làm một công việc xác thịt nào.
And you are to give an offering made by fire, a burned offering to the Lord; two oxen, one male sheep, and seven he-lambs of the first year, without any mark:|Các ngươi phải dâng cho Đức Giê-hô-va hai con bò đực tơ, và bảy chiên con đực giáp năm, đều không tì vít, làm của lễ thiêu.
And their meal offering, the best meal mixed with oil: let three tenth parts of an ephah be offered for an ox and two tenth parts for a male sheep;|Của lễ chay sẽ bằng bột lọc nhồi dầu; các ngươi phải dâng ba phần mười ê-pha về một con bò đực, hai phần mười ê-pha về con chiên đực,
And a separate tenth part for every one of the seven lambs;|và một phần mười ê-pha về mỗi chiên con,
And one he-goat for a sin-offering to take away your sin.|luôn một con dê đực làm của lễ chuộc tội, đặng làm lễ chuộc tội cho các ngươi.
These are to be offered in addition to the morning burned offering, which is a regular burned offering at all times.|Các ngươi phải dâng các lễ vật nầy, ngoài của lễ thiêu buổi sớm mai, là một của lễ thiêu hằng hiến.
In this way, every day for seven days, give the food of the offering made by fire, a sweet smell to the Lord: it is to be offered in addition to the regular burned offering, and its drink offering.|Mỗi bữa trong bảy ngày, các ngươi phải dâng những lễ vật ngần ấy, như thực vật về của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va. Người ta phải dâng lễ vật đó ngoài của lễ thiêu hằng hiến và lễ quán cặp theo.
Then on the seventh day there will be a holy meeting; you may do no field-work.|Ngày thứ bảy các ngươi sẽ có sự hội hiệp thánh, chớ nên làm một công việc xác thịt nào.
And at the time of the first-fruits, when you give an offering of new meal to the Lord at your feast of weeks, there is to be a holy meeting: you may do no field-work:|Trong kỳ lễ của các tuần, nhằm ngày hoa quả đầu mùa, khi các ngươi dâng cho Đức Giê-hô-va của lễ chay mới, thì phải có sự hội hiệp thánh; chớ nên làm một công việc xác thịt nào.
And give a burned offering for a sweet smell to the Lord; two oxen, one male sheep, and seven he-lambs of the first year;|Các ngươi sẽ dùng hai con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, đặng làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va;
And their meal offering, the best meal mixed with oil, three tenth parts for an ox, two tenth parts for a male sheep,|của lễ chay sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về mỗi con bò đực, hai phần mười ê-pha về con chiên đực,
And a separate tenth part for every one of the seven lambs;|một phần mười ê-pha về mỗi con chiên con;
And one he-goat to take away your sin.|cũng phải dâng một con dê đực, để làm lễ chuộc tội cho mình.
These are in addition to the regular burned offering and its meal offering; take care that they are without any mark, and let them be offered with their drink offerings.|Ngoài của lễ thiêu hằng hiến và của lễ chay cặp theo, các ngươi cũng phải dâng mấy lễ vật đó, không tì vít, và thêm những lễ quán cặp theo.

					Numbers 29				|
						Dân Số 29					
In the seventh month, on the first day of the month, let there be a holy meeting; on it you may do no field-work; let the day be marked by the blowing of horns;|Ngày mồng một tháng bảy, các ngươi sẽ có sự nhóm hiệp thánh; chớ nên làm một công việc xác thịt nào; về phần các ngươi, ấy sẽ là một ngày người ta thổi kèn vậy.
And give to the Lord a burned offering for a sweet smell; one ox, one male sheep, seven he-lambs of the first year, without any mark on them:|Các ngươi phải dùng một con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va,
And their meal offering, the best meal mixed with oil, three tenth parts for an ox, two tenth parts for a male sheep,|luôn với của lễ chay bằng bột lọc nhồi dầu, ba phần mười ê-pha về con bò đực, hai phần mười ê-pha về con chiên đực,
And a separate tenth part for every one of the seven lambs;|một phần mười ê-pha về mỗi con chiên con;
And one he-goat for a sin-offering, to take away your sin:|và dâng một con dê đực làm của lễ chuộc tội, để làm lễ chuộc tội cho các ngươi;
In addition to the burned offering of the new moon, and its meal offering, and the regular burned offering and its meal offering, and their drink offerings, as they are ordered, for a sweet smell, an offering made by fire to the Lord.|các ngươi phải dâng những lễ vật nầy ngoài của lễ thiêu đầu tháng, và của lễ chay cặp theo, của lễ thiêu hằng hiến, và của lễ chay với lễ quán cặp theo, tùy theo những lệ đã định về mấy của lễ đó, mà làm của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va.
And on the tenth day of this seventh month there will be a holy meeting; keep yourselves from pleasure, and do no sort of work;|Ngày mồng mười tháng bảy nầy, các ngươi sẽ có sự nhóm hiệp thánh, phải ép linh hồn mình, chớ nên làm một công việc xác thịt nào.
And give to the Lord a burned offering for a sweet smell; one ox, one male sheep, seven he-lambs of the first year: only those without any mark on them may be used:|Các ngươi phải dâng một con bò đực tơ, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, làm của lễ thiêu có mùi thơm cho Đức Giê-hô-va:
And their meal offering, the best meal mixed with oil, three tenth parts for an ox, two tenth parts for a male sheep,|của lễ chay sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về con bò đực, hai phần mười ê-pha về con chiên đực,
A separate tenth part for every one of the seven lambs;|một phần mười ê-pha về mỗi con chiên con.
One he-goat for a sin-offering; in addition to the offering for taking away your sin, and the regular burned offering and its meal offering, and their drink offerings.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ chuộc tội mà người ta dâng trong ngày chuộc tội, của lễ thiêu hằng hiến và của lễ chay với lễ quán cặp theo.
And on the fifteenth day of the seventh month let there be a holy meeting; do no field-work, and keep a feast to the Lord for seven days;|Ngày rằm tháng bảy, các ngươi sẽ có sự nhóm hiệp thánh. Chớ nên làm một công việc xác thịt nào, nhưng các ngươi phải giữ một lễ cho Đức Giê-hô-va trong bảy ngày.
And give a burned offering, an offering made by fire of a sweet smell to the Lord, thirteen oxen, two male sheep, fourteen he-lambs of the first year, all without any mark on them;|Các ngươi phải dùng mười ba con bò đực tơ, hai con chiên đực, và mười bốn chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu, tức là của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va:
And their meal offering, the best meal mixed with oil, three tenth parts for every one of the thirteen oxen, two tenth parts for every male sheep,|của lễ chay cặp theo sẽ bằng bột lọc nhồi dầu, ba phần mười ê-pha về mỗi con bò đực, hai phần mười ê-pha về mỗi con chiên đực,
And a separate tenth part for every one of the fourteen lambs;|và một phần mười ê-pha về mỗi con chiên con.
And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.|Các ngươi cũng phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, và của lễ chay với lễ quán cặp theo.
On the second day of the feast give an offering of twelve oxen, two male sheep, fourteen he-lambs of the first year, without any mark on them;|Ngày thứ hai, các ngươi phải dâng mười hai con bò đực tơ, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and their drink offerings for the oxen and the sheep and the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con cứ theo số như lệ đã định.
And one he-goat for a sin-offering in addition to the regular burned offering, and its meal offering, and their drink offerings.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến cùng lễ quán cặp theo.
And on the third day eleven oxen, two male sheep, fourteen he-lambs of the first year, without any mark;|Ngày thứ ba, các ngươi phải dâng mười một con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực, chiên đực và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
And on the fourth day ten oxen, two male sheep, fourteen he-lambs of the first year, without any mark:|Ngày thứ tư, các ngươi phải dâng mười con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered.|với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
And on the fifth day nine oxen, two male sheep, fourteen he-lambs of the first year, without any mark:|Ngày thứ năm, các ngươi phải dâng chín con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
And on the sixth day eight oxen, two male sheep, fourteen he-lambs of the first year, without any mark:|Ngày thứ sáu, các ngươi phải dâng tám con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực; chiên đực, và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, its meal offering, and its drink offerings.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
And on the seventh day seven oxen, two male sheep, fourteen he-lambs of the first year, without any mark:|Ngày thứ bảy, các ngươi phải dâng bảy con bò đực, hai con chiên đực, mười bốn chiên con đực giáp năm, không tì vít,
And their meal offering and their drink offerings for the oxen, for the male sheep, and for the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, its meal offering, and its drink offering.|Các ngươi phải dâng một con dê đực làm của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
On the eighth day let there be a holy meeting: you may do no field-work;|Ngày thứ tám, các ngươi phải có sự nhóm hiệp trọng thể; chớ nên làm một công việc xác thịt nào;
And give a burned offering, an offering made by fire of a sweet smell to the Lord: one ox, one male sheep, seven he-lambs of the first year, without any mark:|phải dùng một con bò đực, một con chiên đực, và bảy chiên con đực giáp năm, không tì vít, dâng làm của lễ thiêu, tức là của lễ dùng lửa dâng lên có mùi thơm cho Đức Giê-hô-va,
With the meal offering and the drink offerings for the ox, the male sheep, and the lambs, in relation to their number, as it is ordered:|với của lễ chay và các lễ quán về những bò đực, chiên đực, và chiên con, cứ theo số như lệ đã định.
And one he-goat for a sin-offering; in addition to the regular burned offering, and its meal offering, and its drink offering.|Các ngươi phải dâng một con dê đực làm của của lễ chuộc tội, ngoài của lễ thiêu hằng hiến, cùng của lễ chay và lễ quán cặp theo.
These are the offerings which you are to give to the Lord at your regular feasts, in addition to the offerings for an oath, and the free offerings you give, for your burned offerings and your drink offerings and your peace-offerings.|Đó là những lễ vật mà các ngươi phải dâng cho Đức Giê-hô-va trong những ngày lễ trọng thể mình, đặng làm của lễ thiêu, của lễ chay, lễ quán, và làm của lễ thù ân, ngoài những của lễ hứa nguyện, và những của lễ lạc ý của các ngươi.
So Moses gave the children of Israel all these directions as the Lord had given him orders.|Môi-se nói cùng dân Y-sơ-ra-ên mọi điều Đức Giê-hô-va đã phán dặn người.

					Numbers 30				|
						Dân Số 30					
And Moses said to the heads of the tribes of the children of Israel, This is the order of the Lord.|Môi-se cũng nói cùng những quan trưởng của các chi phái Y-sơ-ra-ên rằng: Này là điều mà Đức Giê-hô-va đã phán:
When a man takes an oath to the Lord, or gives an undertaking having the force of an oath, let him not go back from his word, but let him do whatever he has said he will do.|Khi một người nào có hứa nguyện cùng Đức Giê-hô-va, hoặc phát thề buộc lấy lòng mình phải giữ một sự gì, thì chớ nên thất tín. Mọi lời ra khỏi miệng người, người phải làm theo.
If a woman, being young and under the authority of her father, takes an oath to the Lord or gives an undertaking;|Khi một người nữ, trong buổi còn thơ ấu, ở nhà cha mình, có hứa nguyện cùng Đức Giê-hô-va, và buộc lấy lòng mình phải giữ một điều chi,
