
					I Kings 1				|
Now send, and get Israel together before me at Mount Carmel, with the four hundred and fifty prophets of Baal who get their food at Jezebel's table.|Vậy bây giờ vua hãy sai người đi nhóm cả Y-sơ-ra-ên, với bốn trăm năm mươi tiên tri của Ba-anh, và bốn trăm tiên tri của At-tạt-tê, ăn tại bàn Giê-sa-bên, khiến họ đến cùng tôi trên núi Cạt-mên.
So Ahab sent for all the children of Israel, and got the prophets together at Mount Carmel.|Vậy, A-háp sai người đi nhóm cả dân Y-sơ-ra-ên và những tiên tri đến núi Cạt-mên.
And Elijah came near to all the people and said, How long will you go on balancing between two opinions? if the Lord is God, then give worship to him; but if Baal, give worship to him. And the people said not a word in answer.|Đoạn Ê-li đến trước mặt dân sự mà nói rằng: Các ngươi đi giẹo hai bên cho đến chừng nào? Nếu Giê-hô-va là Đức Chúa Trời, khá theo Ngài; nếu Ba-anh là Đức Chúa Trời, hãy theo hắn. Song dân sự không đáp một lời.
Then Elijah said to the people, I, even I, am the only living prophet of the Lord; but Baal's prophets are four hundred and fifty men.|Bấy giờ, Ê-li nói với dân sự rằng: Trong vòng những tiên tri của Đức Giê-hô-va, chỉ một mình ta còn lại; còn các tiên tri Ba-anh số là bốn trăm năm mươi người.
Now, let them give us two oxen; and let them take one for themselves, and have it cut up, and put it on the wood, but put no fire under it; I will get the other ox ready, and put it on the wood, and put no fire under it.|Vậy, hãy cho chúng ta hai con bò đực; họ phải chọn một con cho mình, sả ra từ miếng, sắp để trên củi, nhưng chớ châm lửa. Còn ta, ta sẽ làm con bò kia, để nó trên củi, nhưng không châm lửa.
And do you make prayers to your god, and I will make a prayer to the Lord: and it will be clear that the one who gives an answer by fire is God. And all the people in answer said, It is well said.|Đoạn, hãy kêu cầu danh của thần các ngươi, còn ta, ta sẽ kêu cầu danh của Đức Giê-hô-va. Thần đáp lời bằng lửa, ấy quả là Đức Chúa Trời. Cả dân sự đều đáp rằng: Lời nói rất phải.
Then Elijah said to the prophets of Baal, Take one ox for yourselves and get it ready first, for there are more of you; and make your prayers to your god, but put no fire under.|Ê-li bèn nói với những tiên tri Ba-anh rằng: hãy chọn một con bò đực, làm nó trước đi, vì các ngươi đông; rồi hãy cầu khẩn danh của thần các ngươi; nhưng chớ châm lửa.
So they took the ox which was given them, and made it ready, crying out to Baal from morning till the middle of the day, and saying, O Baal, give ear to us. But there was no voice and no answer. And they were jumping up and down before the altar they had made.|Vậy, chúng bắt con bò mà người ta đã ban cho mà làm nó; rồi từ sớm mai đến trưa, chúng cầu khẩn danh của Ba-anh, và rằng: Hỡi Ba-anh! xin đáp lời chúng tôi. Nhưng chẳng có tiếng gì, cũng chẳng ai đáp lời; chúng đều nhảy chung quanh bàn thờ mình đã dựng lên.
And in the middle of the day, Elijah made sport of them, saying, Give louder cries, for he is a god; he may be deep in thought, or he may have gone away for some purpose, or he may be on a journey, or by chance he is sleeping and has to be made awake.|Khi đã đến trưa, Ê-li nhạo chúng mà rằng: Khá la lớn lên đi, vì người là thần; hoặc người đương suy gẫm, hoặc ở đâu xa, hoặc đương đi đường; hay là có lẽ người ngủ, và sẽ thức dậy.
So they gave loud cries, cutting themselves with knives and swords, as was their way, till the blood came streaming out all over them.|Vậy, chúng kêu lớn tiếng; và theo thói lệ họ, lấy gươm giáo gạch vào mình cho đến chừng máu chảy ra.
And from the middle of the day they went on with their prayers till the time of the offering; but there was no voice, or any answer, or any who gave attention to them.|Khi quá trưa rồi, họ cứ nói tiên tri như vậy cho đến giờ dâng của lễ chay ban chiều; nhưng vẫn không có tiếng gì, chẳng ai đáp lời, cũng không cố ý đến.
Then Elijah said to all the people, Come near to me; and all the people came near. And he put up again the altar of the Lord which had been broken down.|Bấy giờ, Ê-li nói với cả dân sự rằng: Hãy đến gần ta. Dân sự bèn đến gần người. Đoạn, Ê-li sửa lại cái bàn thờ của Đức Giê-hô-va bị phá hủy.
And Elijah took twelve stones, the number of the tribes of the sons of Jacob, to whom the Lord had said, Israel will be your name:|Người lấy mười hai chi phái của các con trai Gia-cốp, là người mà lời của Đức Giê-hô-va đã phán cho rằng: Y-sơ-ra-ên sẽ là tên ngươi.
And with the stones he made an altar to the name of the Lord; and he made a deep drain all round the altar, great enough to take two measures of seed.|Người dùng mười hai hòn đá ấy mà dựng lên một cái bàn thờ nhơn danh Đức Giê-hô-va; chung quanh bàn thờ, người đào một cái mương đựng được hai đấu hột giống;
And he put the wood in order, and, cutting up the ox, put it on the wood. Then he said, Get four vessels full of water and put it on the burned offering and on the wood. And he said, Do it a second time, and they did it a second time;|rồi chất củi, sả bò tơ ra từ miếng, và sắp nó lên trên củi. Kế người nói:
And he said, Do it a third time, and they did it a third time.|Hãy múc đầy bốn bình nước, và đem đổ trên của lễ thiêu và củi. Người lại nói: Hãy làm lần thứ nhì; thì người ta làm lần thứ nhì. Người tiếp: Hãy làm lần thứ ba, và họ làm lần thứ ba,
And the water went all round the altar, till the drain was full.|cho đến đỗi nước chảy chung quanh bàn thờ, và đầy cái mương nữa.
Then at the time of the offering, Elijah the prophet came near and said, O Lord, the God of Abraham, of Isaac, and of Israel, let it be seen this day that you are God in Israel, and that I am your servant, and that I have done all these things by your order.|Đến giờ dâng của lễ chay ban chiều, tiên tri đến gần và nguyện rằng: Lạy Giê-hô-va Đức Chúa Trời của Ap-ra-ham, của Y-sác, và của Y-sơ-ra-ên, ngày nay xin hãy tỏ cho người ta biết rằng Ngài là Đức Chúa Trời trong Y-sơ-ra-ên, rằng tôi là kẻ tôi tớ Ngài, và tôi vâng lời Ngài mà làm mọi sự này.
Give me an answer, O Lord, give me an answer, so that this people may see that you are God, and that you have made their hearts come back again.|Đức Giê-hô-va ôi! Xin nhậm lời tôi, xin đáp lời tôi, hầu cho dân sự này nhìn biết rằng Giê-hô-va là Đức Chúa Trời, và Ngài khiến cho lòng họ trở lại.
Then the fire of the Lord came down, burning up the offering and the wood and the stones and the dust, and drinking up the water in the drain.|Lửa của Đức Giê-hô-va bèn giáng xuống, thiêu đốt của lễ thiêu, củi, đá, bụi, và rút nước trong mương.
And when the people saw it, they all went down on their faces, and said, The Lord, he is God, the Lord, he is God.|Thấy vậy, cả dân sự sấp mình xuống đất, và la rằng: Giê-hô-va là Đức Chúa Trời! Giê-hô-va là Đức Chúa Trời!
And Elijah said to them, Take the prophets of Baal, let not one of them get away. So they took them, and Elijah made them go down to the stream Kishon, and put them to death there.|Ê-li nói với chúng rằng: Hãy bắt các tiên tri của Ba-anh, chớ cho thoát một người nào. Chúng bèn bắt họ, Ê-li đem họ xuống dưới khe Ki-sôn, và giết họ tại đó.
Then Elijah said to Ahab, Up! take food and drink, for there is a sound of much rain.|Đoạn, Ê-li nói cùng A-háp rằng: Hãy đi lên, ăn và uống, vì tôi đã nghe tiếng mưa lớn.
So Ahab went up to have food and drink, while Elijah went up to the top of Carmel; and he went down on the earth, putting his face between his knees.|Vậy, A-háp trở lên đặng ăn uống. Nhưng Ê-li leo lên chót núi Cạt-mên, cúi xuống đất và úp mặt mình giữa hai đầu gối.
And he said to his servant, Go now, and take a look in the direction of the sea. And he went up, and after looking said, There is nothing. And he said, Go again seven times; and he went seven times.|Đoạn, người nói với kẻ tôi tớ mình rằng: Xin hãy đi lên, ngó về phía biển. Kẻ tôi tớ đi lên xem, nhưng nói rằng: Không có chi hết. Ê-li lại nói: Hãy trở lên bảy lần.
And the seventh time he said, I see a cloud coming up out of the sea, as small as a man's hand. Then he said, Go up and say to Ahab, Get your carriage ready and go down or the rain will keep you back.|Lần thứ bảy, kẻ tôi tớ đáp rằng: Tôi thấy ở phía biển lên một cụm mây nhỏ như lòng bàn tay, Ê-li bèn tiếp: Hãy đi nói với A-háp rằng: Hãy thắng xe và đi xuống, kẻo mưa cầm vua lại chăng.
And after a very little time, the heaven became black with clouds and wind, and there was a great rain. And Ahab went in his carriage to Jezreel.|Trong một lúc, trời bị mây che đen, gió nổi dậy, và có cơn mưa rất lớn. A-háp bèn lên xe mình, đi đến Gít-rê-ên.
And the hand of the Lord was on Elijah; and he made himself strong, and went running before Ahab till they came to Jezreel.|Tay Đức Giê-hô-va giáng trên Ê-li; người thắt lưng, chạy trước A-háp cho đến khi tới Gít-rê-ên.

					I Kings 19				|
						I Các Vua 19					
Ahab gave Jezebel news of all Elijah had done, and how he had put all the prophets to death with the sword.|A-háp thuật lại cho Giê-sa-bên mọi điều Ê-li đã làm, và người đã dùng gươm giết hết thảy tiên tri Ba-anh làm sao.
Then Jezebel sent a servant to Elijah, saying, May the gods' punishment be on me if I do not make your life like the life of one of them by tomorrow about this time.|Giê-sa-bên sai một sứ giả đến Ê-li mà nói rằng: Nếu ngày mai trong giờ này, ta không xử mạng sống ngươi như mạng sống của một người trong chúng nó, nguyện các thần đãi ta cách nặng nề.
And he got up, fearing for his life, and went in flight, and came to Beer-sheba in Judah, parting there from his servant;|Vì vậy, Ê-li sợ hãi, đứng dậy chạy đi đặng cứu mạng sống mình. Đến tại Bê -e-Sê-ba, thuộc về Giu-đa, người để tôi tớ mình lại đó.
While he himself went a day's journey into the waste land, and took a seat under a broom-plant, desiring for himself only death; for he said, It is enough: now, O Lord, take away my life, for I am no better than my fathers.|Còn người vào đồng vắng, đường đi ước một ngày, đến ngồi dưới cây giếng giêng, xin chết mà rằng: Oi Đức Giê-hô-va! đã đủ rồi. Hãy cất lấy mạng sống tôi, vì tôi không hơn gì các tổ phụ tôi.
And stretching himself on the earth, he went to sleep under the broom-plant; but an angel, touching him, said to him, Get up and have some food.|Đoạn, người nằm ngủ dưới cây giếng giêng. Có một thiên sứ đụng đến người và nói rằng: Hãy chổi dậy và ăn.
And looking up, he saw by his head a cake cooked on the stones and a bottle of water. So he took food and drink and went to sleep again.|Người nhìn thấy nơi đầu mình một cái bánh nhỏ nướng trên than, và một bình nước. Người ăn uống, rồi lại nằm.
And the angel of the Lord came again a second time, and touching him said, Get up and have some food, or the journey will be overmuch for your strength.|Thiên sứ của Đức Giê-hô-va đến lần thứ nhì, đụng người và nói rằng: Hãy chổi dậy và ăn, vì đường xa quá cho ngươi. Vậy người chổi dậy, ăn và uống,
So he got up and took food and drink, and in the strength of that food he went on for forty days and nights, to Horeb, the mountain of God.|rồi nhờ sức của lương thực ấy, người đi bốn mươi ngày và bốn mươi đêm cho đến Hô-rếp, là núi của Đức Chúa Trời.
And there he went into a hole in the rock for the night; then the word of the Lord came to him, saying, What are you doing here, Elijah?|Đến nơi, người đi vào trong hang đá, ngủ đêm ở đó. Và kìa, có lời của Đức Giê-hô-va phán với người rằng: Hỡi Ê-li, ngươi ở đây làm chi?
And he said, I have been burning for the honour of the Lord, the God of armies; for the children of Israel have not kept your agreement; they have made destruction of your altars, and have put your prophets to death with the sword: till I, even I, am the only one living; and now they are attempting to take away my life.|Người thưa rằng: Tôi đã rất nóng nảy sốt sắng vì Giê-hô-va Đức Chúa Trời vạn quân; vì dân Y-sơ-ra-ên đã bội giao ước Ngài, phá hủy các bàn thờ Ngài, dùng gươm giết những tiên tri Ngài; chỉ một mình tôi còn lại, và họ cũng kiếm thế cất mạng sống tôi.
Then he said, Go out and take your place on the mountain before the Lord. Then the Lord went by, and mountains were parted by the force of a great wind, and rocks were broken before the Lord; but the Lord was not in the wind. And after the wind there was an earth-shock, but the Lord was not in the earth-shock.|Đức Chúa Trời phán với người rằng: Hãy đi ra, đứng tại trên núi trước mặt Đức Giê-hô-va. Nầy Đức Giê-hô-va đi ngang qua, có một ngọn gió mạnh thổi dữ tợn trước mặt Ngài, xé núi ra, và làm tan nát các hòn đá; nhưng không có Đức Giê-hô-va trong trận gió. Sau trận gió có cơn động đất; nhưng không có Đức Giê-hô-va trong cơn động đất.
And after the earth-shock a fire, but the Lord was not in the fire. And after the fire, the sound of a soft breath.|Sau cơn động đất có đám lửa; nhưng không có Đức Giê-hô-va trong đám lửa. Sau đám lửa, có một tiếng êm dịu nhỏ nhẹ.
And Elijah, hearing it, went out, covering his face with his robe, and took his place in the opening of the hole. And there a voice came to him saying, What are you doing here, Elijah?|Khi Ê-li vừa nghe tiếng đó, thì lấy áo tơi bao phủ mặt mình, đi ra đứng tại nơi miệng hang; này có một tiếng phán với người rằng: Hỡi Ê-li, ngươi làm chi đây?
And he said, I have been burning for the honour of the Lord, the God of armies; for the children of Israel have not kept your agreement; they have had your altars broken down, and have put your prophets to death with the sword: till I, even I, am the only one living; and now they are attempting to take away my life.|Người thưa rằng: Tôi rất nóng nảy sốt sắng vì Giê-hô-va Đức Chúa Trời vạn quân, vì dân Y-sơ-ra-ên đã bội giao ước của Ngài, phá hủy các bàn thờ Ngài, dùng gươm giết những tiên tri; chỉ một mình tôi còn lại, và họ cũng tìm cách cất mạng sống tôi.
And the Lord said to him, Go back on your way through the waste land to Damascus; and when you come there, put the holy oil on Hazael to make him king over Aram;|Nhưng Đức Giê-hô đáp với người rằng: Hãy bắt con đường đồng vắng đi đến Đa-mách. Khi đến rồi, ngươi sẽ xức dầu cho Ha-xa-ên làm vua Sy-ri;
And on Jehu, son of Nimshi, making him king over Israel; and on Elisha, the son of Shaphat of Abel-meholah, to be prophet in your place.|ngươi cũng sẽ xức dầu cho Giê-hu, con trai của Nim-si, làm vua Y-sơ-ra-ên; và ngươi sẽ xức dầu cho Ê-li-sê, con trai Sa-phát, ở A-bên-Mê-hô-la, làm tiên tri thế cho ngươi.
And it will come about that the man who gets away safe from the sword of Hazael, Jehu will put to death; and whoever gets away safe from the sword of Jehu, Elisha will put to death.|Ai thoát khỏi gươm của Ha-xa-ên sẽ bị Giê-hu giết; ai thoát khỏi gươm của Giê-hu sẽ bị Ê-li-sê giết.
But I will keep safe seven thousand in Israel, all those whose knees have not been bent to Baal, and whose mouths have given him no kisses.|Nhưng ta đã để dành lại cho ta trong Y-sơ-ra-ên bảy ngàn người không có quì gối xuống trước mặt Ba-anh, và môi họ chưa hôn nó.
So he went away from there and came across Elisha, the son of Shaphat, ploughing with twelve yoke of oxen, he himself walking with the twelfth; and Elijah went up to him and put his robe on him.|Từ đó, Ê-li đi, gặp Ê-li-sê, con trai của Sa-phát đương cày có mười hai đôi bò trước mặt mình, chính người cầm đôi thứ mười hai. Ê-li đi ngang qua người, ném áo choàng mình trên người.
And letting the oxen be where they were, he came running after Elijah, and said, Only let me give a kiss to my father and mother, and then I will come after you. But he said to him, Go back again; for what have I done to you?|Ê-li-sê bèn bỏ bò mình, chạy theo Ê-li mà nói rằng: Xin cho phép tôi hôn cha và mẹ tôi đã, đoạn tôi sẽ theo ông. Ê-li đáp: Hãy đi và trở lại; vì ta nào có làm gì cho ngươi đâu.
And he went back, and took the oxen and put them to death, and cooking their flesh with the yokes of the oxen, he gave the people a feast. Then he got up and went after Elijah and became his servant.|Ê-li-sê bèn lìa khỏi Ê-li trở về, bắt một đôi bò giết đi, và lấy cày làm củi mà nấu thịt nó, rồi cho các tôi tớ mình ăn. Đoạn, người đứng dậy, đi theo Ê-li, và hầu việc người.

					I Kings 20				|
						I Các Vua 20					
Now Ben-hadad, king of Aram, got all his army together, and thirty-two kings with him, and horses and carriages of war; he went up and made war on Samaria, shutting it in.|Bên-Ha-đát, vua Sy-ri, hiệp hết thảy quân lính mình; có ba mươi hai vua theo người, cùng ngựa và xe. Người đi lên vây Sa-ma-ri và hãm đánh nó.
And he sent representatives into the town to Ahab, king of Israel;|Người sai sứ giả đến A-háp, vua Y-sơ-ra-ên, ở trong thành, và nói với người rằng: Bên-Ha-đát nói như vầy:
And they said to him, Ben-hadad says, Your silver and your gold are mine; and your wives and children are mine.|Bạc và vàng của ngươi thuộc về ta. Các cung phi và những con cái tốt nhất của ngươi cũng thuộc về ta.
And the king of Israel sent him an answer saying, As you say, my lord king, I am yours with all I have.|Vua Y-sơ-ra-ên đáp: Hỡi vua chúa tôi, cứ như lời vua nói; tôi và mọi vật của tôi đều thuộc về vua.
Then the representatives came back again, and said, These are the words of Ben-hadad: I sent to you saying, Give up to me your silver and your gold, your wives and your children;|Nhưng các sứ giả trở lại cùng vua Y-sơ-ra-ên mà nói rằng: Bên-Ha-đát nói như vầy: Hãy đưa bạc, vàng, cung phi, và các con trai ngươi cho ta.
But I will send my servants to you tomorrow about this time, to make a search through your house and the houses of your people, and everything which is pleasing in your eyes they will take away in their hands.|Thế thì, ngày mai, giờ này, ta sẽ sai các đầy tớ ta đến nhà ngươi, chúng nó sẽ lục soát nhà ngươi và nhà của tôi tớ ngươi; phàm món gì của ngươi lấy làm quí trọng, chúng nó sẽ lấy đem đi.
Then the king of Israel sent for all the responsible men of the land, and said, Now will you take note and see the evil purpose of this man: he sent for my wives and my children, my silver and my gold, and I did not keep them back.|Vua Y-sơ-ra-ên bèn đòi hết thảy trưởng lão trong xứ, mà nói rằng: hãy xem xét và biết rằng người này toan mưu làm hại chúng ta; vì người đã sai sứ đòi các cung phi, con cái, bạc, và vàng của ta; và ta không có từ chối gì hết.
And all the responsible men and the people said to him, Do not give attention to him or do what he says.|Các trưởng lão và cả dân sự đều tâu với vua rằng: Đừng nghe, và chớ chịu chi hết.
So he said to the representatives of Ben-hadad, Say to my lord the king, All the orders you sent the first time I will do; but this thing I may not do. And the representatives went back with this answer.|Vậy A-háp đáp cùng sứ giả của Bên-Ha-đát rằng: Hãy nói với vua chúa ta Mọi điều vua đòi tôi tớ vua làm lần thứ nhất, tôi sẽ làm; nhưng điều này tôi không thế làm được. Các sứ giả đi thuật lại lời đó cho Bên-Ha-đát.
Then Ben-hadad sent to him, saying, May the gods' punishment be on me if there is enough of the dust of Samaria for all the people at my feet to take some in their hands.|Bên-Ha-đát lại sai sứ nói rằng: Nếu bụi cát ở Sa-ma-ri đủ lấp đầy lòng bàn tay của các chiến sĩ theo ta, nguyện các thần giáng tai họa cho ta nặng nề!
And the king of Israel said in answer, Say to him, The time for loud talk is not when a man is putting on his arms, but when he is taking them off.|Nhưng vua Y-sơ-ra-ên đáp: Hãy nói với vua rằng: Người mặc áo giáp chớ khoe mình như người cổi nó ra.
Now when this answer was given to Ben-hadad, he was drinking with the kings in the tents, and he said to his men, Take up your positions. So they put themselves in position for attacking the town.|Bên-Ha-đáp đương uống rượu với các vua trong trại, vừa nghe được các lời này, thì nói cùng các đầy tớ mình rằng: Hãy dàn trận đi. Chúng bèn dàn trận đặng hãm đánh thành.
Then a prophet came up to Ahab, king of Israel, and said, The Lord says, Have you seen all this great army? See, I will give it into your hands today, and you will see that I am the Lord.|Vả, có một tiên tri đến gần A-háp, vua Y-sơ-ra-ên, mà nói rằng: Đức Giê-hô-va phán như vầy: Ngươi thấy đoàn binh rất đông này chăng? Kìa, ngày nay, ta sẽ phó nó vào tay ngươi, và ngươi sẽ biết ta là Giê-hô-va.
And Ahab said, By whom? And he said, The Lord says, By the servants of the chiefs who are over the divisions of the land. Then he said, By whom is the fighting to be started? And he made answer, By you.|A-háp thưa rằng: Dùng ai? Người đáp: Đức Giê-hô-va phán như vầy: Dùng những kẻ tôi tớ của các quan cai hàng tỉnh. Người tiếp: Ai sẽ giao chiến? Tiên tri đáp: Chính vua.
Then he got together the servants of all the chiefs who were over the divisions of the land, two hundred and thirty-two of them; and after them, he got together all the people, all the children of Israel, seven thousand.|A-háp soát điểm những tôi tớ của các quan cai hàng tỉnh; có được hai trăm ba mươi hai người. Kế sau, người soát điểm cả dân Y-sơ-ra-ên, được bảy ngàn người.
And in the middle of the day they went out. But Ben-hadad was drinking in the tents with the thirty-two kings who were helping him.|Ban trưa, họ kéo đi ra; song Bên-Ha-đát uống rượu say tại trại mình với ba mươi hai vua giúp đỡ người.
And the servants of the chiefs who were over the divisions of the land went forward first; and when Ben-hadad sent out, they gave him the news, saying, Men have come out from Samaria.|Những tôi tớ của các quan cai hàng tỉnh đi ra trước; Bên-Ha-đát sai kẻ hỏi dọ người ta báo lại cho người rằng: Có người từ Sa-ma-ri kéo ra.
And he said, If they have come out for peace, take them living, and if they have come out for war, take them living.|Người đáp: Chúng nó đến hoặc có ý cầu hòa, hãy bắt sống lấy; hoặc có ý chiến tranh, cũng hãy bắt sống lấy.
So the servants of the chiefs of the divisions of the land went out of the town, with the army coming after them.|Vậy, những tôi tớ của các quan cai hàng tỉnh kéo ra thành, và đạo quân đi theo,
And every one of them put his man to death, and the Aramaeans went in flight with Israel after them; and Ben-hadad, king of Aram, got away safely on a horse with his horsemen.|ai nấy đánh kẻ nghịch mình. Quân Sy-ri chạy trốn, và Y-sơ-ra-ên rượt đuổi theo, Bên-Ha-đát, vua Sy-ri, lên ngựa thoát chạy với một vài lính kỵ.
And the king of Israel went out and took the horses and the war-carriages, and made great destruction among the Aramaeans.|Vua Y-sơ-ra-ên bèn kéo ra đánh giết ngựa xe, làm cho dân Sỵ-ri thua trận cả thể.
Then the prophet came up to the king of Israel, and said to him, Now make yourself strong, and take care what you do, or a year from now the king of Aram will come up against you again.|Bấy giờ, đấng tiên tri đến gần vua Y-sơ-ra-ên, nói rằng: Vua hãy đi, làm cho mình mạnh mẽ, và hãy xem xét coi chừng điều mình phải làm, vì năm tới vua Sy-ri sẽ đến đánh vua nữa.
Then the king of Aram's servants said to him, Their god is a god of the hills; that is why they were stronger than we: but if we make an attack on them in the lowlands, we will certainly be stronger than they.|Các đầy tớ của vua Sy-ri nói với người rằng: Thần của chúng nó là thần núi, cho nên chúng nó mạnh hơn chúng ta; nhưng chúng ta hãy giao chiến với chúng nó dưới đồng bằng; quả chúng ta sẽ thắng hơn chúng nó.
This is what you have to do: take away the kings from their positions, and put captains in their places;|Lại, khá làm điều này: Hãy cất các vua khỏi chỗ làm đầu binh, lập những quan cai thế vào cho;
And get together another army like the one which came to destruction, horse for horse, and carriage for carriage; and let us make war on them in the lowlands, and certainly we will be stronger than they. And he gave ear to what they said, and did so.|đoạn, hãy điểm lấy một đạo quân giống như đạo quân của vua đã mất, bằng số ngựa và xe ấy; chúng ta sẽ giao chiến với dân Y-sơ-ra-ên tại trong đồng bằng, quả chúng ta sẽ thắng hơn chúng nó. Vua bèn nghe lời đầy tớ mình và làm theo.
So, a year later, Ben-hadad got the Aramaeans together and went up to Aphek to make war on Israel.|Năm tới, Bên-Ha-đát điểm soát dân Sy-ri, và đi đến A-phéc đặng giao chiến cùng Y-sơ-ra-ên.
And the children of Israel got themselves together, and food was made ready and they went against them; the tents of the children of Israel were like two little flocks of goats before them, but all the country was full of the Aramaeans.|Dân Y-sơ-ra-ên cũng bị điểm soát và sắm lương thực, đi đón chúng nó. Dân Y-sơ-ra-ên đóng trại đối mặt dân Sy-ri giống như hai bầy dê nhỏ; còn dân Sy-ri đầy khắp cả xứ.
And a man of God came up and said to the king of Israel, The Lord says, Because the Aramaeans have said, The Lord is a god of the hills and not of the valleys; I will give all this great army into your hands, and you will see that I am the Lord.|Bấy giờ, người của Đức Chúa Trời đến gần vua Y-sơ-ra-ên mà nói rằng: Đức Giê-hô-va phán như vầy: Bởi vì dân Sy-ri có nói rằng: Đức Giê-hô-va là thần núi, chớ chẳng phải thần trũng, nên ta sẽ phó đoàn binh rất đông đảo này vào tay ngươi, và các ngươi sẽ biết ta là Giê-hô-va.
Now the two armies kept their positions facing one another for seven days. And on the seventh day the fight was started; and the children of Israel put to the sword a hundred thousand Aramaean footmen in one day.|Hai bên đóng trại đối ngang nhau trong bảy ngày; ngày thứ bảy, họ giao chiến nhau. Dân Y-sơ-ra-ên đánh dân Sy-ri, trong một ngày giết họ mười vạn lính bộ.
But the rest went in flight to Aphek, into the town, where a wall came down on the twenty-seven thousand who were still living. And Ben-hadad went in flight into the town, into an inner room.|Còn sót lại chạy trốn ẩn trong thành A-phéc; song những vách thành sập ngã, đè hai mươi bảy ngàn người đã thoát khỏi trận. Bên-Ha-đát cũng chạy trốn vào thành, ẩn trong một phòng kín.
Then his servants said to him, It is said that the kings of Israel are full of mercy: let us then put on haircloth, and cords on our heads, and go to the king of Israel; it may be that he will give you your life.|Các đầy tứ Bên-Ha-đát tâu cùng người rằng: Chúng tôi có nghe rằng các vua nhà Y-sơ-ra-ên vốn nhân từ. Vì vậy, xin cho chúng tôi thắt bao nơi lưng, vấn dây trên đầu, rồi chúng tôi ra hàng vua Y-sơ-ra-ên: hoặc người để cho vua sống chăng.
So they put on haircloth, and cords on their heads, and came to the king of Israel and said, Your servant Ben-hadad says, Let me now keep my life. And he said, Is he still living? he is my brother.|Họ bèn thắt bao nơi lưng, vấn dây trên đầu, rồi ra hàng vua Y-sơ-ra-ên, và tâu rằng: Bên-Ha-đát, kẻ tôi tớ vua, cầu rằng: Xin vua để cho tôi sống. A-háp đáp rằng: Người còn sống chăng? Người vốn là anh ta.
Now the men took it as a sign, and quickly took up his words; and they said, Ben-hadad is your brother. Then he said, Go and get him. So Ben-hadad came out to him and he made him get up into his carriage.|Chúng lấy sự ấy làm một điềm lành, lật đật nhận lời và la lên rằng: Bên-Ha-đát thật anh vua. A-háp tiếp rằng: Hãy đi vời người đến cho ta. Bên-Ha-đát bèn đến ra mắt A-háp; người mời Bên-Ha-đát lên xe mình.
And Ben-hadad said to him, The towns my father took from your father I will give back; and you may make streets for yourself in Damascus as my father did in Samaria. And as for me, at the price of this agreement you will let me go. So he made an agreement with him and let him go.|Bên-Ha-đát nói với người rằng: Tôi sẽ trao lại cho vua các thành mà cha tôi đã chiếm lấy của cha vua, và vua sẽ lập chợ phố cho vua tại Đa-mách, y như cha tôi đã làm tại Sa-ma-ri. A-háp đáp: Còn ta sẽ thuận giao ước này mà để cho ngươi đi về. Vậy, A-háp lập giao ước với Bên-Ha-đát, đoạn để cho người đi.
And a certain man of the sons of the prophets said to his neighbour by the word of the Lord, Give me a wound. But the man would not.|Bấy giờ, có một người trong vòng các con trai tiên tri, vâng lịnh Đức Giê-hô-va, nói với bạn mình rằng: Tôi xin anh hãy đánh tôi. Nhưng bạn không chịu đánh người.
Then he said to him, Because you have not given ear to the voice of the Lord, straight away when you have gone from me a lion will put you to death. And when he had gone, straight away a lion came rushing at him and put him to death.|Người tiếp rằng: Bởi vì anh không vâng theo lời phán dặn của Đức Giê-hô-va, nên liền khi anh lìa khỏi tôi, sẽ có một con sư tử giết anh. Bạn lìa khỏi người, thì gặp một con sư tử giết người đi.
Then he came across another man, and said, Give me a wound. And the man gave him a blow wounding him.|Tiên tri gặp một người khác, và nói rằng: Ta xin ngươi hãy đánh ta. Người ấy đánh tiên tri, và làm cho người bị thương.
So the prophet went away, and pulling his head-band over his eyes to keep his face covered, took his place by the road waiting for the king.|Đoạn, tiên tri đi, đứng đợi trên đường vua, xủ khăn bịt xuống mắt mình mà giả dạng.
And when the king went by, crying out to him he said, Your servant went out into the fight; and a man came out to me with another man and said, Keep this man: if by any chance he gets away, your life will be the price of his life, or you will have to give a talent of silver in payment.|Khi vua đi ngang qua, người cất tiếng la lên, và nói với vua rằng: Tôi tớ vua ở giữa chiến trận; thì có người dẫn đến cùng tôi một kẻ phu tù, và biểu rằng: Hãy giữ người này; xảy nó thoát khỏi, thì mạng sống ngươi sẽ thường cho mạng sống nó, hay là ngươi phải thường một ta lâng bạc.
But while your servant was turning this way and that, he was gone. Then the king of Israel said to him, You are responsible; you have given the decision against yourself.|Song, trong khi kẻ tôi tớ vua mắc chuyện đây đó, thì tên phu tù trốn đi. Vua Y-sơ-ra-ên đáp rằng: Ay là sự đoán xét của ngươi; chính ngươi đã định lấy.
Then he quickly took the head-band from his eyes; and the king of Israel saw that he was one of the prophets.|Lập tức người vén khăn che mắt mình lên, vua Y-sơ-ra-ên nhìn biết là một người trong vòng các tiên tri.
