
					II Samuel 1				|
And Amasa was stretched out in a pool of blood in the middle of the highway. And when the man saw that all the people were stopping, he took Amasa out of the highway and put him in a field, with a cloth over him, when he saw that everyone who went by came to a stop.|Song A-ma-sa đẵm trong máu ở giữa đường; khi đứa trẻ thấy hết thảy dân chúng đều dừng lại gần thây A-ma-sa, thì xít thây người khỏi đường, đem đi trong một cánh đồng, đắp một cái áo choàng trên nó.
When he had been taken off the road, all the people went on after Joab in search of Sheba, the son of Bichri.|Khi thây đã cất khỏi đường cái rồi, thì hết thảy dân chúng đều đi qua theo Giô-áp đặng đuổi theo Sê-ba, con trai Biếc-ri.
And Sheba went through all the tribes of Israel, to Abel of Beth-maacah; and all the Bichrites came together and went in after him.|Giô-áp đi khắp các chi phái Y-sơ-ra-ên, cho đến A-bên-Bết-ma-ca, và hết thảy những dõng sĩ đều nhóm hiệp lại và đi theo đạo quân người.
And Joab and his men got him shut up in Abel of Beth-maacah, and put up an earthwork against the town: and all Joab's men did their best to get the wall broken down.|Vậy, họ đến vây phủ Sê-ba trong A-bên-Bết-ma-ca, đắp lên một cái lũy cao hơn đồn thành, và cả đạo quân Giô-áp đào tường thành đặng làm cho nó ngã xuống.
Then a wise woman got up on the wall, and crying out from the town, said, Give ear, give ear; say now to Joab, Come near, so that I may have talk with you.|Bấy giờ, có một người nữ khôn ngoan ở trên đầu đồn thành la lên cùng chúng rằng: Các ngươi hãy nghe, hãy nghe! Xin hãy nói cùng Giô-áp lại gần đây, tôi muốn nói chuyện cùng người.
And he came near, and the woman said, Are you Joab? And he said in answer, I am. Then she said, Give ear to your servant's words. And he said, I am giving ear.|Khi Giô-áp đã lại gần, người nữ hỏi rằng: Ong có phải Giô-áp chăng? người đáp: Phải, ta. Nàng tiếp: Hãy nghe lời con đòi ông. Người đáp: Ta nghe.
Then she said, In the old days, there was a saying, Let them put the question in Abel and in Dan, saying, Has what was ordered by men of good faith in Israel ever come to an end?|Nàng bèn nói như lời nầy: Thuở xưa người ta có thói quen nói rằng: hãy đi hỏi ý dân A-bên; rồi mới nên việc như thế.
Your purpose is the destruction of a mother-town in Israel: why would you put an end to the heritage of the Lord?|Trong Y-sơ-ra-ên, thành chúng tôi là thành hòa bình và trung hậu hơn hết, mà ông lại muốn diệt một thành, là chánh đô của Y-sơ-ra-ên sao? Nhân sao ông muốn phá hủy cơ nghiệp của Đức Giê-hô-va?
And Joab, answering her, said, Far, far be it from me to be a cause of death or destruction;|Giô-áp đáp rằng: Không, không phải vậy đâu! Ta quyết hẳn không muốn diệt, không muốn phá hủy!
Not so: but a man of the hill-country of Ephraim, Sheba, son of Bichri, by name, has taken up arms against the king, against David: give up this man only, and I will go away from the town. And the woman said to Joab, His head will be dropped over the wall to you.|Đó chẳng phải là ý ta. Nhưng có một người ở núi Ep-ra-im tên là Sê-la, con trai của Biếc-ri, đã phản nghịch cùng vua, tức là Đa-vít. Hãy nộp một mình hắn thôi, thì ta sẽ dan ra khỏi thành. Người nữ nói cùng Giô-áp rằng: Người ta sẽ ném đầu hắn qua tường cho ông.
Then the woman in her wisdom had talk with all the town. And they had Sheba's head cut off and sent out to Joab. And he had the horn sounded, and sent them all away from the town, every man to his tent. And Joab went back to Jerusalem to the king.|Vậy, người nữ ấy đến trước mặt cả dân chúng, và nói cho nghe lời ý luận khôn ngoan của nàng. Chúng chém đầu Sê-ba, con trai Biếc-ri, rồi ném cho Giô-áp. Giô-áp bèn thổi kèn lên; đạo quân dan ra khỏi thành và tản đi; ai nấy đều trở về nhà mình, còn Giô-áp trở về Giê-ru-sa-lem, gần bên vua.
Now Joab was over all the army; and Benaiah, the son of Jehoiada, was at the head of the Cherethites and the Pelethites;|Giô-áp tổng lãnh cả đạo binh của Y-sơ-ra-ên; Bê-na-gia, con trai Giê-hô-gia-đa, làm đầu trưởng các người Kê-rê-thít và Phê-rê-thít;
And Adoram was overseer of the forced work; and Jehoshaphat, the son of Ahilud, was the recorder;|A-đô-ram được bầu cử coi về thuế khóa; Giô-sa-phát, con trai A-hi-lút, làm thủ bộ;
And Sheva was the scribe, and Zadok and Abiathar were priests;|Sê-gia làm thơ ký; Xa-đốc và A-bia-tha làm thầy tế lễ.
And in addition, Ira the Jairite was a priest to David.|Còn Y-ra, người Giai-rơ, làm tể tướng thân mật của Đa-vít.

					II Samuel 21				|
						II Sa-mu-ên 21					
In the days of David they were short of food for three years, year after year; and David went before the Lord for directions. And the Lord said, On Saul and on his family there is blood, because he put the Gibeonites to death.|Về đời Đa-vít, có một ách cơ cẩn trong ba năm liên tiếp. Đa-vít cầu vấn Đức Giê-hô-va; Ngài đáp cùng người rằng: Sự nầy xảy đến vì cớ Sau-lơ và nhà đổ huyết của người, bởi vì người có giết dân Ga-ba-ôn.
Then the king sent for the Gibeonites; (now the Gibeonites were not of the children of Israel, but were the last of the Amorites, to whom the children of Israel had given an oath; but Saul, in his passion for the children of Israel and Judah, had made an attempt on their lives:)|Vua bèn truyền gọi dân Ga-ba-ôn, và nói chuyện với họ. Người Ga-ba-ôn chẳng thuộc về dân sự Y-sơ-ra-ên, nhưng họ là kẻ sống sót của dân A-mô-rít; dân Y-sơ-ra-ên có thề hứa tha thứ họ. Dầu vậy, Sau-lơ vì lòng sốt sắng về dân Y-sơ-ra-ên và Giu-đa, đã tìm cách trừ diệt họ.
So David said to the Gibeonites, What may I do for you? how am I to make up to you for your wrongs, so that you may give a blessing to the heritage of the Lord?|Ay vậy, Đa-vít hỏi dân Ga-ba-ôn rằng: Ta phải làm sao cho các ngươi, lấy vật gì mà chuộc tội, hầu cho các ngươi chúc phước cho cơ nghiệp của Đức Giê-hô-va?
And the Gibeonites said to him, It is not a question of silver and gold between us and Saul or his family; and it is not in our power to put to death any man in Israel. And he said, Say, then, what am I to do for you?|Dân Ga-ba-ôn tâu cùng vua rằng: Chúng tôi đối cùng Sau-lơ và nhà người chẳng đòi bạc hay vàng, chúng tôi cũng chẳng có phép giết người nào trong Y-sơ-ra-ên. Đa-vít tiếp: Vậy các ngươi muốn ta làm gì cho các ngươi?
And they said to the king, As for the man by whom we were wasted, and who made designs against us to have us completely cut off from the land of Israel,|Họ đáp cùng vua rằng: Người ấy có diệt trừ chúng tôi; người có toan mưu làm cho chúng tôi biết mất khỏi cả địa phận Y-sơ-ra-ên.
Let seven men of his family be given up to us and we will put an end to them by hanging them before the Lord in Gibeon, on the hill of the Lord. And the king said, I will give them.|Thế thì, hãy phó cho chúng tôi bảy người trong những con trai người; chúng tôi sẽ treo chúng nó trước mặt Đức Giê-hô-va ở Ghi-bê -a, thành của Sau-lơ là người được Đức Giê-hô-va chọn. Vua đáp: Ta sẽ phó chúng nó cho.
But the king did not give up Mephibosheth, the son of Saul's son Jonathan, because of the Lord's oath made between David and Jonathan, the son of Saul.|Đa-vít dong thứ Mê-phi-bô-sết, con trai của Giô-na-than, cháu của Sau-lơ, vì cớ lời thề Đa-vít và Giô-na-than, con trai của Sau-lơ, đã lập với nhau trước một Đức Giê-hô-va.
But the king took Armoni and Mephibosheth, the two sons of Saul to whom Rizpah, the daughter of Aiah, had given birth; and the five sons of Saul's daughter Merab, whose father was Adriel, the son of Barzillai the Meholathite:|Nhưng vua bắt At-mô-ni và Mê-phi-bô-sết, hai con trai của Rít-ba, con gái của Ai-gia, đã sanh cho Sau-lơ, và năm con trai của Mi-canh, con gái Sau-lơ đã sanh cho At-ri-ên, con trai của Bát-xi-lai ở Mê-hô-la,
And he gave them up to the Gibeonites, and they put them to death, hanging them on the mountain before the Lord; all seven came to their end together in the first days of the grain-cutting, at the start of the cutting of the barley.|mà giao cho dân Ga-ba-ôn; chúng treo họ lên trên núi tại trước mặt Đức Giê-hô-va. Bảy người ấy đều bị chết chung với nhau, người ta giết họ nhằm mấy ngày đầu mùa gặt lúa mạch.
And Rizpah, the daughter of Aiah, took haircloth, placing it on the rock as a bed for herself, from the start of the grain-cutting till rain came down on them from heaven; and she did not let the birds of the air come near them by day, or the beasts of the field by night.|Rít-ba, con gái Ai-gia, bèn lấy một cái bao trải trên hòn đá dùng làm giường mình. Rồi từ đầu mùa gặt cho đến khi có mưa từ trên trời sa xuống trên thây chúng nó, ban ngày nàng cản không cho chim trời đậu ở trên thây, và ban đêm cản không cho thú đồng đến gần.
And news was given to David of what Rizpah, the daughter of Aiah, one of Saul's wives, had done.|Có người học lại cho Đa-vít sự Rít-ba, con gái Ai-gia, hầu của Sau-lơ đã làm.
And David went and took the bones of Saul and his son Jonathan from the men of Jabesh-gilead, who had taken them away secretly from the public place of Beth-shan, where the Philistines had put them, hanging up the bodies there on the day when they put Saul to death in Gilboa:|Vua bèn đi đến dân sự Gia-be trong xứ Ga-la-át, lấy hài cốt của Sau-lơ và của Giô-na-than, con trai Sau-lơ, mà dân ấy lấy trộm khỏi Bết-san, là nơi dân Phi-li-tin treo họ lên trong ngày chúng nó đánh bại Sau-lơ tại Ghinh-bô -a.
And he took the bones of Saul and his son Jonathan from that place; and they got together the bones of those who had been put to death by hanging.|Vậy, từ Gia-be, vua đem lại hài cốt của Sau-lơ và của Giô-na-than, con trai người, người ta cũng lấy hài cốt của những người đã bị treo,
And they put them with the bones of Saul and his son Jonathan in the resting-place of Kish, his father, in Zela in the country of Benjamin; they did all the king had given them orders to do. And after that, God gave ear to their prayers for the land.|chôn nó với hài cốt của Sau-lơ và Giô-na-than, con trai người, trong mộ của Kích cha của Sau-lơ, ở Xê-la, tại địa phận Bên-gia-min. Người ta làm mọi điều y như vua đã dặn biểu. Về sau Đức Chúa Trời mới đoái thương đến xứ.
And the Philistines went to war again with Israel; and David went down with his people, and while they were at Gob they had a fight with the Philistines:|Dân Y-sơ-ra-ên lại còn tranh chiến khác với dân Phi-li-tin. Đa-vít và các tôi tớ người kéo xuống, giáp chiến với dân Phi-li-tin. Đa-vít biết trong người mình mỏi mệt lắm.
And there came against David one of the offspring of the Rephaim, whose spear was three hundred shekels of brass in weight, and having a new sword, he made an attempt to put David to death.|Bấy giờ, Ít-bi-Bê-nốp, con cháu của Ra-pha có một cây lao nặng ba trăm siếc-lơ đồng và đeo gươm mới, toan đánh giết Đa-vít.
But Abishai, the son of Zeruiah, came to his help, and, turning on the Philistine, gave him his death-blow. Then David's men took an oath, and said, Never again are you to go out with us to the fight, so that you may not put out the light of Israel.|Nhưng A-bi-sai, con trai Xê-ru-gia, đến tiếp cứu vua, đánh người Phi-li-tin ấy, và giết đi. Từ đó các thủ hạ của Đa-vít nài xin người rằng: Vua chớ ra trận cùng chúng tôi nữa, e ngọn đuốc Y-sơ-ra-ên phải tắt chăng.
Now after this there was war with the Philistines again at Gob, and Sibbecai the Hushathite put to death Saph, one of the offspring of the Rephaim.|Sau sự đó, lại có một trận khác cùng dân Phi-li-tin tại Góp. Ở đó, Si-bê-cai, người Hu-sa, giết Sáp, là con cháu của Ra-pha.
And again there was war with the Philistines at Gob, and Elhanan, the son of Jair the Beth-lehemite, put to death Goliath the Gittite, the stem of whose spear was like a cloth-worker's rod.|Tại Góp lại còn có một trận với dân Phi-li-tin nữa. En-cha-nan, con trai Gia -a-rê-Ô-rê-ghim, ở Bết-lê-hem, đánh giết Gô-li-át ở Gát; người có một cây lao, cán như ống trục của thợ dệt.
And again there was war at Gath, where there was a very tall man, who had twenty-four fingers and toes, six fingers on his hands and six toes on his feet; he was one of the offspring of the Rephaim.|Cũng xảy ra một trận tại Gát, là nơi có một người cao lớn thuộc về dòng Ra-pha; người có sáu ngọn nơi hai bàn tay và sáu ngọn nơi hai bàn chơn, cộng là hai mươi bốn ngón.
And when he was purposing to put shame on Israel, Jonathan, the son of Shimei, David's brother, put him to death.|Người nầy sỉ nhục Y-sơ-ra-ên; nhưng Giô-na-than, con trai Si-mê -a, cháu Đa-vít, giết hắn đi.
These four were of the offspring of the Rephaim in Gath; and they came to their end by the hands of David and his servants.|Bốn người Phi-li-tin nầy đã sanh tại Gát, về dòng dõi Ra-pha, đều bị giết bởi tay Đa-vít và bởi tay các đầy tớ người.

					II Samuel 22				|
						II Sa-mu-ên 22					
And David made a song to the Lord in these words, on the day when the Lord made him free from the hands of all his haters, and from the hand of Saul:|Khi Đức Giê-hô-va đã giải cứu Đa-vít khỏi tay các thù nghịch và khỏi tay Sau-lơ, thì người hát các lời nầy mà ngợi khen Đức Giê-hô-va,
And he said, The Lord is my Rock, my walled town, and my saviour, even mine;|rằng: Đức Giê-hô-va là hòn đá và đồn lũy tôi, Đấng giải cứu tôi.
My God, my Rock, in him will I put my faith; my breastplate, and the horn of my salvation, my high tower, and my safe place; my saviour, who keeps me safe from the violent man.|Đức Chúa Trời tôi là hòn đá tôi, nơi tôi sẽ nương náu mình, Là thuẫn đỡ tôi, sừng chửng cứu tôi, Ngọn tháp cao và nơi nương dựa của tôi; Hỡi Đấng che chở tôi! ấy Ngài giải cứu tôi khỏi sự hung bạo.
I will send up my cry to the Lord, who is to be praised; so will I be made safe from those who are against me.|Tôi sẽ kêu cầu cùng Đức Giê-hô-va, là Đấng đáng khen ngợi; Thì tôi sẽ được giải cứu khỏi các thù nghịch tôi.
For the waves of death came round me, and the seas of evil put me in fear;|Các lượng sóng của tử vong đã phủ bao tôi, Lụt gian ác chảy cuộn làm cho tôi sợ hãi;
The cords of hell were round me: the nets of death came on me.|Những dây của địa ngục đã vấn tôi, Lưới sự chết có hãm bắt tôi.
In my trouble my voice went up to the Lord, and my cry to my God: my voice came to his hearing in his holy Temple, and my prayer came to his ears.|Trong cơn hoạn nạn tôi cầu khẩn Đức Giê-hô-va, Tôi kêu la cùng Đức Chúa Trời tôi. Ở nơi đền Ngài nghe tiếng tôi, Tiếng kêu cầu của tôi thấu đến tai Ngài.
Then the earth was moved with a violent shock; the bases of heaven were moved and shaking, because he was angry.|Bấy giờ, đất động và rung, Nền các từng trời cũng lay chuyển, Nó rúng động, vì Ngài nổi giận.
There went up a smoke from his nose, and a fire of destruction from his mouth: coals were lighted by it.|Khói bay ra từ lỗ mũi Ngài, Và từ miệng Ngài phát ra ngọn lửa hực. Ngài khiến than hừng đỏ phun ra,
The heavens were bent, so that he might come down; and it was dark under his feet.|Làm nghiêng lệch các từng trời, và ngự xuống, Dưới chơn Ngài có vùng đen kịt.
And he went through the air, seated on a storm-cloud: going quickly on the wings of the wind.|Ngài cỡi một chê-ru-bin và bay; Ngài hiện ra trên cánh của gió.
And he made the dark his tent round him, a mass of waters, thick clouds of the skies.|Ngài bủa ra sự tối tăm, những vùng nước, những mây đen mịt, Chung quanh mình như một cái trại.
Before his shining light his dark clouds went past, raining ice and coals of fire.|Từ sự rực rỡ ở trước mặt Ngài, Những than hực chiếu sáng ra.
The Lord made thunder in the heavens, and the voice of the Highest was sounding out.|Đức Giê-hô-va sấm sét trên các từng trời, Đấng Chí cao làm cho tiếng Ngài vang rân.
And he sent out his arrows, driving them in all directions; by his flames of fire they were troubled.|Ngài bắn tên, làm cho quân thù tôi tản lạc, Phát chớp nhoáng, khiến chúng nó lạc đường.
Then the deep beds of the sea were seen, and the bases of the world were uncovered, because of the Lord's wrath, because of the breath of his mouth.|Bởi lời hăm he của Đức Giê-hô-va, Bởi gió xịt ra khỏi lỗ mũi Ngài, Đáy biển bèn lộ ra, Nền thế gian bị bày tỏ.
He sent from on high, he took me, pulling me out of great waters.|Từ trên cao, Ngài giơ tay nắm tôi, Rút tôi ra khỏi nước sâu.
He made me free from my strong hater, from those who were against me, because they were stronger than I.|Ngài giải cứu tôi khỏi kẻ thù nghịch cường bạo, Khỏi kẻ ghét tôi, vì chúng nó mạnh hơn tôi.
They came on me in the day of my trouble: but the Lord was my support.|Trong ngày hoạn nạn chúng nó đến xông vào tôi; Nhưng Đức Giê-hô-va nâng đỡ tôi.
He took me out into a wide place; he was my saviour because he had delight in me.|Ngài đem tôi ra nơi rộng rãi, Giải cứu tôi, vì Ngài ưa thích tôi.
The Lord gives me the reward of my righteousness, because my hands are clean before him.|Đức Giê-hô-va đã thưởng tôi tùy sự công bình tôi, Báo tôi theo sự thanh sạch của tay tôi.
For I have kept the ways of the Lord; I have not been turned away in sin from my God.|Vì tôi có giữ theo các đường lối của Đức Giê-hô-va, Không làm ác xây bỏ Đức Chúa Trời tôi.
For all his decisions were before me, and I did not put away his laws from me.|Vì các mạng lịnh của Ngài đều ở trước mặt tôi, Tôi chẳng lìa xa các luật lệ Ngài.
And I was upright before him, and I kept myself from sin.|Tôi cũng ở trọn vẹn với Ngài, Và giữ lấy mình khỏi gian ác.
Because of this the Lord has given me the reward of my righteousness, because my hands are clean in his eyes.|Vì vậy, Đức Giê-hô-va đã báo tôi tùy sự công bình tôi, Thưởng tôi theo sự tinh sạch tôi trước mặt Ngài.
On him who has mercy you will have mercy; to the upright you will be upright;|Kẻ hay thương xót, Chúa sẽ thương xót lại; Đối cùng kẻ trọn vẹn, Chúa sẽ tỏ mình trọn vẹn lại.
He who is holy will see that you are holy; but to the man whose way is not straight you will be a hard judge.|Đối cùng kẻ tinh sạch, Chúa sẽ tỏ mình tinh sạch lại; Còn đối cùng kẻ trái nghịch, Chúa sẽ tỏ mình nhặt nhiệm lại.
For you are the saviour of those who are in trouble; but your eyes are on men of pride, to make them low.|Vì Chúa cứu dân bị khốn khổ; Nhưng mắt Chúa coi chừng kẻ kiêu căng đặng làm chúng nó bị hạ xuống.
For you are my light, O Lord; and the Lord will make the dark bright for me.|Đức Giê-hô-va ôi! thật Ngài làm ngọn đèn tôi, Và Đức Giê-hô-va sẽ chiếu sáng sự tối tăm tôi.
By your help I have made a way through the wall which was shutting me in: by the help of my God I have gone over a wall.|Nhờ Ngài tôi sẽ xông ngang qua đạo binh, Cậy Đức Chúa Trời tôi, tôi vượt khỏi tường thành.
As for God, his way is all good: the word of the Lord is tested; he is a safe cover for all those who put their faith in him.|Còn Đức Chúa Trời, các đường của Ngài vốn là trọn vẹn, Lời của Đức Giê-hô-va là tinh tường. Ngài là cái thuẫn cho mọi người nương náu mình nơi Ngài.
For who is God but the Lord? and who is a Rock but our God?|Vậy, trừ ra Đức Giê-hô-va ai là Đức Chúa Trời? Ai là hòn đá lớn, nếu không phải là Đức Chúa Trời chúng ta?
God puts a strong band about me, guiding me in a straight way.|Đức Chúa Trời là đồn lũy vững chắc của tôi, Ngài dắt người trọn vẹn vào đường chánh đáng.
He makes my feet like roes' feet, and puts me on high places.|Ngài làm cho chơn tôi lẹ như chơn nai cái, Và để tôi đứng trên các nơi cao của tôi.
He makes my hands expert in war, so that a bow of brass is bent by my arms.|Ngài tập tay tôi chiến trận, Đến đỗi cánh tay tôi gương nổi cung đồng.
You have given me the breastplate of your salvation, and your mercy has made me great.|Chúa đã ban sự chửng cứu cho tôi làm cái khiên, Và sự hiền từ Chúa đã làm cho tôi nên sang trọng.
You have made my steps wide under me, so that my feet make no slip.|Chúa mở rộng đường dưới bước tôi, Và chơn tôi không xiêu tó.
I go after my haters and overtake them; not turning back till they are all overcome.|Tôi đuổi theo kẻ thù nghịch tôi, và hủy diệt nó, Chỉ trở về sau khi đã tận diệt chúng nó.
I have sent destruction on them and given them wounds, so that they are not able to get up: they are stretched under my feet.|Tôi trừ tiệt, đâm lủng chúng nó, không thể dậy lại được; Chúng nó sa ngã dưới chơn tôi.
For I have been armed by you with strength for the fight: you have made low under me those who came out against me.|Vì Chúa đã thắt lưng tôi bằng sức mạnh để chiến trận, Và khiến kẻ dấy nghịch cùng tôi xếp rệp dưới tôi.
By you their backs are turned in flight, so that my haters are cut off.|Chúa cũng khiến kẻ thù nghịch xây lưng cùng tôi, Hầu cho tôi diệt những kẻ ghét tôi.
They were crying out, but there was no one to come to their help: even to the Lord, but he gave them no answer.|Chúng nó trông ngóng, nhưng chẳng ai cứu cho; Chúng nó kêu cùng Đức Giê-hô-va, song Ngài không đáp lại.
Then they were crushed as small as the dust of the earth, stamped down under my feet like the waste of the streets.|Bấy giờ tôi đập giập chúng nó khác nào bụi dưới đất; Chà nát, giày đạp chúng nó giống như bùn ngoài đường.
You have made me free from the fightings of my people; you have made me the head of the nations: a people of whom I had no knowledge will be my servants.|Chúa đã giải cứu tôi khỏi sự tranh giành của dân sự tôi, Gìn giữ tôi để làm đầu các nước; Một dân tộc tôi không quen biết sự phục sự tôi.
Men of other countries will, with false hearts, put themselves under my authority: from the time when my name comes to their ears, they will be ruled by me.|Các người ngoại quốc sẽ phục dưới tôi; Vừa nghe nói về tôi, chúng nó đều vâng theo tôi.
They will be wasted away, they will come out of their secret places shaking with fear.|Các người ngoại quốc sẽ tàn mọt, Đi ra khỏi chỗ ẩn mình cách run sợ.
The Lord is living; praise be to my Rock, and let the God of my salvation be honoured:|Đức Giê-hô-va hằng sống; đáng ngợi khen hòn đá lớn tôi! Nguyện Đức Chúa Trời, là hòn đá của sự chửng cứu tôi, được tôn cao!
It is God who sends punishment on my haters, and puts peoples under my rule.|Từ là Đức Chúa Trời báo thù cho tôi, Khiến các dân tộc qui phục tôi.
He makes me free from my haters: I am lifted up over those who come up against me: you have made me free from the violent man.|Ngài giải cứu tôi khỏi kẻ thù nghịch; Thật Chúa nâng tôi lên cao hơn kẻ dấy nghịch cùng tôi, Và cứu tôi khỏi người hung bạo.
Because of this I will give you praise, O Lord, among the nations, and will make a song of praise to your name.|Vì vậy, Đức Giê-hô-va ôi! Tôi sẽ khen ngợi Ngài tại giữa các dân, Và ca tụng danh của Ngài.
Great salvation does he give to his king; he has mercy on the king of his selection, David, and on his seed for ever.|Đức Giê-hô-va ban cho vua của Ngài sự giải cứu lớn lao, Và làm ơn cho đấng chịu xức dầu của Ngài, Tức là cho Đa-vít và cho dòng dõi người, đến đời đời.

					II Samuel 23				|
						II Sa-mu-ên 23					
Now these are the last words of David. David, the son of Jesse, says, the man who was lifted up on high, the man on whom the God of Jacob put the holy oil, the loved one of Israel's songs, says:|Nầy là lời sau hết của Đa-vít. Nầy là lời của Đa-vít, con trai Y-sai, Tức lời của người đã được nâng lên cao thay, Đấng chịu xức dầu của Đức Chúa Trời Gia-cốp, Và làm kẻ hát êm dịu của Y-sơ-ra-ên.
The spirit of the Lord had voice through me, his word was on my tongue.|Thần của Đức Giê-hô-va đã cậy miệng ta mà phán, Và lời của Ngài ở nơi lưỡi miệng ta.
The God of Israel said, the word of the Rock of Israel came to me: When an upright king is ruling over men, when he is ruling in the fear of God,|Đức Chúa Trời của Y-sơ-ra-ên đã phán, Hòn Đá lớn của Y-sơ-ra-ên đã phán cùng ta rằng: Người nào cai trị loài người cách công bình, Cách kính sợ Đức Chúa Trời,
It is as the light of the morning, when the sun comes up, a morning without clouds; making young grass come to life from the earth.|Thì sẽ giống như sự chói lòa buổi sáng, khi mặt trời mọc, Khác nào một buổi sớm mai chẳng có mây; Các ánh sáng nó làm cho cây cỏ bởi đất nảy ra sau khi mưa.
For is not my house so with God? For he has made with me an eternal agreement, ordered in all things and certain: as for all my salvation and all my desire, will he not give it increase?|Nhà ta dầu chẳng phải như vậy trước mặt Đức Chúa Trời, Song Ngài đã lập với ta một giao ước đời đời, Vững bền trong mọi sự và chắc chắn. Vì đó là cả sự cứu rỗi và cả sự ước ao ta, Dẫu Ngài không làm cho điều đó nẩy nở ra.
But the evil-doers, all of them, will be like thorns to be pushed away, because they may not be gripped in the hand:|Trái lại, hết thảy kẻ hung ác đều giống như gai chông mà người ta liệng ra xa, Không thể lấy bằng tay được;
But anyone touching them has to be armed with iron and the rod of a spear; and they will be burned with fire, every one of them.|Người ta phải dùng đồ bằng sắt hay là cán cây lao đặng nắm nó. Rồi chính tại chỗ, nó bị thiêu trong lửa.
These are the names of David's men of war: Ishbaal the Hachmonite, chief of the three; his axe was lifted up against eight hundred put to death at one time.|Nầy là tên các người mạnh bạo đã giúp việc cho Đa-vít: Giô-sép-Ba-sê-bết, người Tách-kê-môn, làm đầu lính thị vệ của vua. Ay là người quơ giáo mình cự lại tám trăm người, và giết đi trong một lúc gặp.
After him was Eleazar, the son of Dodai the Ahohite, one of the three great fighters, who was with David in Pas-dammim when the Philistines came together there for the fight; and when the men of Israel had gone in flight,|Sau người ấy, có Ê-lê -a-sa, con trai Đô-đô, cháu của A-cô-hi, là một trong ba người mạnh bạo đã cùng Đa-vít thách dân Phi-li-tin hiệp lại đặng chiến trận.
He was with David and went on fighting the Philistines till his hand became tired and stiff from gripping his sword: and that day the Lord gave a great salvation, and the people came back after him only to take the goods of the Philistines.|Khi dân Y-sơ-ra-ên rút đi, thì Ê-lê -a-sa chổi dậy, đánh dân Phi-li-tin cho đến khi tay người tê cứng lại nơi gươm người. Trong ngày đó, Đức Giê-hô-va khiến cho dân Y-sơ-ra-ên được thắng trận cả thể; chúng chỉ theo sau Ê-lê -a-sa đặng cướp bóc kẻ thù nghịch đó thôi.
After him was Shammah, the son of Ela the Hararite. And the Philistines came together in Lehi, where there was a bit of land full of seed; and the people went in flight from the Philistines.|Sau người ấy có Sa-ma, con trai A-ghe, người Ha-ra. Dân Phi-li-tin đã hiệp lại thành đoàn lũ; ở đó có một đồng gieo đầy đậu, và dân sự đều chạy trốn khỏi trước mặt dân Phi-li-tin.
But he kept his place in the middle of the bit of land, and kept back their attack and overcame the Philistines: and the Lord gave a great salvation.|Nhưng Sa-ma đứng ở giữa ruộng, binh vực nó, và đánh dân Phi-li-tin. Như vậy, Đức Giê-hô-va khiến cho dân Y-sơ-ra-ên được thắng trận cả thể.
And three of the thirty went down at the start of the grain-cutting, and they came to David at the strong place of Adullam; and the band of Philistines had taken up their position in the valley of Rephaim.|Trong vòng ba mươi quan tướng, có ba người đi xuống nhằm lúc mùa gặt và đến cùng Đa-vít tại hang đá A-đu-lam, trong khi một cơ quân Phi-li-tin đóng trại tại trũng Rê-pha-im.
And at that time David had taken cover in the strong place, and an armed force of the Philistines was in Beth-lehem.|Bấy giờ Đa-vít ở trong đồn, và ở tại Bết-lê-hem có một đạo binh hờ của dân Phi-li-tin.
And David, moved by a strong desire, said, If only someone would give me a drink of water from the water-hole of Beth-lehem, by the doorway into the town!|Đa-vít ao ước rằng: Chớ chi ta được uống nước bởi giếng ở bên cửa thành Bết-lê-hem!
And the three men, forcing their way through the Philistine army, got water from the water-hole of Beth-lehem, by the doorway into the town, and took it back to David: but he would not take it, but, draining it out, made an offering of it to the Lord.|Bấy giờ, có ba người quan tướng đầy lòng gan dạ, xông ngang qua trại quân Phi-li-tin, múc nước giếng ở bên cửa thành Bết-lê-hem, rồi đem về dâng cho Đa-vít; nhưng người từ chối không uống, bèn rảy nước đó ra làm lễ dâng cho Đức Giê-hô-va,
And he said, Far be it from me, O Lord, to do this; how may I take as my drink the life-blood of men who have put their lives in danger? So he would not take it. These things did the three great men of war.|mà rằng: Đức Giê-hô-va ôi! tôi hẳn không uống đâu. Nước nầy khác nào huyết của ba người nầy, liều mạng sống mình đặng đi đến nơi kia. Vậy người không chịu uống. Đó là sự của ba người tướng mạnh bạo ấy đã làm.
And Abishai, the brother of Joab, the son of Zeruiah, was chief of the thirty. He put to death three hundred with his spear, and he got for himself a name among the thirty.|A-bi-sai, em Giô-áp, con trai của Xê-ru-gia, làm tướng của ba người dõng sĩ; người dùng cây giáo mình đánh chết ba trăm người, và có danh tiếng trong ba người dõng sĩ ấy.
Was he not the noblest of the thirty? so he was made their captain: but he was not equal to the first three.|Trong cả ba, A-bi-sai có danh hơn hết, và người làm đầu họ. Dầu vậy, người không bằng ba người kia.
And Benaiah the son of Jehoiada, a fighting man of Kabzeel, had done great acts; he put to death the two sons of Ariel of Moab: he went down into a hole and put a lion to death in time of snow:|Lại có Bê-na-gia ở Cáp-sê-ên, con trai của Giê-hô-gia-đa, là một người mạnh bạo, nổi tiếng vì các công lớn của mình. Người đã giết hai người Mô-áp mạnh bạo hơn hết. Trong một ngày tuyết kia, ấy cũng người nầy đi xuống một cái hầm chứa nước, có con sư tử, và giết nó đi.
