
					I Samuel 1				|
And Abiathar, one of the sons of Ahimelech, the son of Ahitub, got away and went in flight after David;|Song, một trong các con trai của A-hi-mê-léc, cháu của A-hi-túp, tên là A-bia-tha, thoát khỏi, trốn đến cùng Đa-vít.
And gave him the news of how Saul had put to death the Lord's priests.|A-bia-tha thuật lại cho Đa-vít hay rằng Sau-lơ giết những thầy tế lễ của Đức Giê-hô-va.
And David said to Abiathar, I was certain that day, when Doeg the Edomite was there, that he would take the news to Saul: I am responsible for the lives of all your father's family.|Đa-vít đáp cùng A-bia-tha rằng: Trong ngày ấy, ta hiểu rõ Đô -e, người Ê-đôm, có mặt tại đó, chắc sẽ học lại cho Sau-lơ. Ay tại cớ ta mà cả nhà của cha ngươi bị chết.
Keep here with me and have no fear; for he who has designs on my life has designs on yours: but with me you will be safe.|Hãy ở cùng ta, chớ sợ chi; kẻ nào tìm hại mạng sống ta, cũng tìm hại mạng sống ngươi; ngươi ở cùng ta, thì sẽ bảo toàn.

					I Samuel 23				|
						I Sa-mu-ên 23					
And they sent word to David, saying, The Philistines are fighting against Keilah and taking the grain from the grain-floors.|Người ta đến nói cùng Đa-vít rằng: Kìa, dân Phi-li-tin hãm đánh Kê -i-la, và cướp lấy các sân đạp lúa.
So David, questioning the Lord, said, Am I to go and make an attack on these Philistines? And the Lord said to David, Go and make an attack on the Philistines so that Keilah may be kept from falling into their hands.|Đa-vít cầu vấn Đức Giê-hô-va mà rằng: Tôi có nên đi đánh người Phi-li-tin nầy chăng? Đức Giê-hô-va đáp cùng Đa-vít rằng: Hãy đi, đánh người Phi-li-tin, và giải cứu Kê -i-la.
And David's men said to him, Even here in Judah we are full of fear: how much more then if we go to Keilah against the armies of the Philistines?|Song những người theo Đa-vít nói rằng: Chánh tại đây, trong xứ Giu-đa, chúng ta sợ hãi thay, phương chi đi đến Kê -i-la mà đánh quân lính Phi-li-tin!
Then David put the question to the Lord again, and the Lord answering said, Up! go down to Keilah; for I will give the Philistines into your hands.|Đa-vít lại cầu vấn Đức Giê-hô-va nữa; Đức Giê-hô-va đáp cùng người rằng: Hãy chổi dậy, đi xuống Kê -i-la; ta sẽ phó dân Phi-li-tin vào tay ngươi.
So David and his men went to Keilah, and had a fight with the Philistines, and took away their cattle, and put them to the sword with great destruction. So David was the saviour of the people of Keilah.|Vậy, Đa-vít đi cùng những kẻ theo mình đến Kê -i-la, đánh dân Phi-li-tin, làm cho chúng phải thua lớn. Ay Đa-vít giải cứu dân Kê -i-la là như vậy.
Now when Abiathar, the son of Ahimelech, went in flight to David, he came down to Keilah with the ephod in his hand.|Vả, khi A-bia-tha, con trai của A-hi-mê-léc, đi trốn đến cùng Đa-vít tại Kê -i-la, thì có đem theo cái ê-phót.
And news was given to Saul that David had come to Keilah. And Saul said, Now God has given him into my hands; for by going into a walled town with locked doors, he has let himself be shut in.|Người ta cho Sau-lơ hay rằng Đa-vít đã vào trong Kê -i-la. Sau-lơ nói: Đức Chúa Trời phó nó vào tay ta, bởi vì nó đã đi giam mình trong thành có cửa có then.
And Saul sent for all the people to come to the fight, and go down to Keilah to make an attack on David and his men.|Vậy, Sau-lơ chiêu hết thảy quân lính đặng đi xuống Kê -i-la, vây phủ Đa-vít và những kẻ theo người.
And it was clear to David that Saul had evil designs against him, and he said to Abiathar the priest, Come here with the ephod.|Nhưng Đa-vít biết rằng Sau-lơ toan mưu hại mình, thì nói cùng thầy tế lễ A-bia-tha rằng: hãy đem Ê-phót đến.
Then David said, O Lord, the God of Israel, news has been given to your servant that it is Saul's purpose to come to Keilah and send destruction on the town because of me.|Đoạn, người cầu rằng: Lạy Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, tôi tớ của Chúa có hay rằng Sau-lơ toan đi đến thành Kê -i-la, đặng phá thành vì cớ tôi.
And now, is it true, as they have said to me, that Saul is coming? O Lord, the God of Israel, give ear to your servant, and say if these things are so. And the Lord said, He is coming down.|Các quan trưởng Kê -i-la sẽ nộp tôi vào tay Sau-lơ chăng? Sau-lơ sẽ đi xuống y như lời tôi tớ Chúa đã nghe nói chăng? Lạy Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, xin cho tôi tớ Chúa biết điều đó. Đức Giê-hô-va đáp: Sau-lơ sẽ đi xuống.
Then David said, Will the men of Keilah give me and my men up to Saul? and the Lord said, They will give you up.|Đa-vít lại hỏi rằng: Các quan trưởng Kê -i-la sẽ nộp tôi và những kẻ theo tôi vào tay Sau-lơ chăng? Đức Giê-hô-va đáp: Chúng nó sẽ nộp các ngươi.
Then David and his men, about six hundred of them, went out of Keilah, and got away wherever they were able to go. And Saul, hearing that David had got away from Keilah, did not go there.|Bấy giờ, Đa-vít và những kẻ theo mình, ước chừng sáu trăm người, đều đứng dậy đi ra khỏi Kê -i-la, và rút ở nơi nào được thì ở. Sau-lơ hay rằng Đa-vít đã thoát khỏi Kê -i-la, thì bỏ không kéo binh đi.
And David kept in the waste land, in safe places, waiting in the hill-country in the waste land of Ziph. And Saul was searching for him every day, but God did not give him up into his hands.|Đa-vít ở trong đồng vắng, trên nơi cao hiểm hóc, tức là ở trên núi tại đồng vắng Xíp. Sau-lơ tìm kiếm người không ngớt; nhưng Đức Chúa Trời chẳng phó người vào tay Sau-lơ.
And David was full of fear, in the knowledge that Saul had come out to take his life; and David was in the waste land of Ziph, in Horesh.|Đa-vít thấy Sau-lơ đã kéo ra đặng hại mạng sống mình, thì ở lại trong rừng của đồng vắng Xíp.
And Saul's son Jonathan went to David in Horesh, and made his hands strong in God;|Bấy giờ, Giô-na-than, con trai của Sau-lơ đứng dậy, đi đến cùng Đa-vít ở trong rừng, làm cho người vững lòng tin cậy nơi Đức Chúa Trời,
And said to him, Have no fear, for Saul my father will not get you into his power; and you will be king of Israel, and I will be by your side, and my father Saul is certain of this.|mà rằng: Chớ sợ chi, vì tay của Sau-lơ, cha tôi, sẽ chẳng đụng đến anh đâu. Anh sẽ làm vua Y-sơ-ra-ên, còn tôi sẽ làm tể tướng anh; Sau-lơ, cha tôi, cũng biết rõ điều đó.
And the two of them made an agreement before the Lord: and David went on living in Horesh, and Jonathan went back to his house.|Hai người cùng lập giao ước tại trước mặt Đức Giê-hô-va; đoạn, Đa-vít ở lại trong rừng, còn Giô-na-than trở về nhà mình.
Then the Ziphites came up to Gibeah to see Saul, and said, Is not David living secretly among us in the strong places in Horesh, in the hill of Hachilah to the south of the waste land?|Dân Xíp đi lên cùng Sau-lơ tại Ghi-bê -a, mà nói rằng: Đa-vít ẩn giữa chúng tôi, tại nơi đồn trong rừng, trên gò Ha-ki-la, ở về phía nam của đồng vắng.
So now, O king, have your soul's desire and come down, and we, for our part, will give him up into the king's hands.|Vậy, hỡi vua, hãy xuống, y theo lòng sở ước của vua; chúng tôi chịu lo nộp hắn vào tay vua.
And Saul said, The Lord's blessing will be yours, for you have had pity on me.|Sau-lơ đáp: Nguyện Đức Giê-hô-va ban phước cho các ngươi, vì các ngươi có lòng thương xót ta!
Go now, and take more steps, and see where he is living: for they say that he is expert in deceit.|Hãy đi hỏi thăm cho chắc hơn nữa đặng biết và xem xét chỗ hắn trú, và ai đã thấy hắn ở đó; vì người ta có nói rằng hắn rất khôn quỉ.
So take care to get knowledge of all the secret places where he is taking cover, and be certain to come back to me, and I will go with you: and without doubt, if he is anywhere in the land, I will get him, among all the families of Judah.|Vậy, hãy xem xét và biết mọi nơi hắn ẩn, đoạn trở về nói lại cùng ta cho chắc, thì ta sẽ đi cùng các ngươi. Nếu hắn ở trong xứ, thì ta sẽ tìm hắn trong hằng ngàn dân Giu-đa.
And they went back and came to Ziph before Saul: but David and his men were in the waste land of Maon, in the dry land south of the waste land.|Vậy, chúng trổi dậy, đi về Xíp trước Sau-lơ; còn Đa-vít và nhưng kẻ theo người ở nơi đồng vắng Ma-ôn, tại A-ra-ba về phía nam Giê-si-môn.
And Saul and his men went in search of him. And David had word of it, so he came down to the rock in the waste land of Maon. And Saul, hearing of this, went after David into the waste land of Maon.|Sau-lơ và những kẻ theo người đi tìm Đa-vít. Đa-vít hay được điều đó, bèn xuống hòn đá, và ở trong đồng vắng Ma-ôn. Sau-lơ hay được, bèn đuổi theo Đa-vít trong đồng vắng Ma-ôn.
And Saul and his men went on one side of the mountain, and David and his men went on the other: and David's purpose was to get away as quickly as possible, for fear of Saul; for Saul and his men were making a circle round David and his men in order to take them.|Sau-lơ đi sườn núi bên nầy, còn Đa-vít và bọn theo người đi sườn núi bên kia. Đa-vít vội vàng chạy trốn đặng thoát khỏi Sau-lơ. Nhưng lúc Sau-lơ và các đầy tớ bao phủ Đa-vít và bọn theo người đặng hãm bắt,
But a man came to Saul saying, Be quick and come; for the Philistines have made an attack on the land.|thì có một sứ giả đến cùng Sau-lơ mà nói rằng: Hãy mau mau trở về, vì dân Phi-li-tin đã xâm phạm xứ ta.
So turning back from going after David, Saul went against the Philistines: so that place was named Sela-hammah-lekoth.|Vậy, Sau-lơ thôi đuổi theo Đa-vít, đi đánh dân Phi-li-tin. Bởi cớ ấy, người ta gọi chỗ nầy là Hòn Đá Phân rẽ.
And from there, David went up and took cover in the safe place of En-gedi.|Đoạn, Đa-vít đi lên khỏi đó, ngụ tại trong đồn En-ghê-đi.

					I Samuel 24				|
						I Sa-mu-ên 24					
Now when Saul came back from fighting the Philistines, news was given him that David was in the waste land of En-gedi.|Khi Sau-lơ đuổi theo Phi-li-tin trở về rồi, có người đến nói cùng Sau-lơ rằng: Kìa, Đa-vít ở trong đồng vắng En-ghê-đi.
Then Saul took three thousand of the best men out of all Israel, and went in search of David and his men on the rocks of the mountain goats.|Sau-lơ bèn đem ba ngàn người chọn trong cả dân Y-sơ-ra-ên, kéo ra đi kiếm Đa-vít và những kẻ theo người cho đến các hòn đá của dê rừng.
And on the way he came to a place where sheep were kept, where there was a hollow in the rock; and Saul went in for a private purpose. Now David and his men were in the deepest part of the hollow.|Sau-lơ đi đến gần chuồng chiên ở trên đường. Tại đó có một hang đá; Sau-lơ bèn vào đó đặng đi tiện. Vả, Đa-vít và bọn theo người ở trong cùng hang.
And David's men said to him, Now is the time when the Lord says to you, I will give up your hater into your hands to do with him whatever seems good to you. Then David, getting up, took the skirt of Saul's robe in his hand, cutting off the end of it without his knowledge.|Những kẻ theo Đa-vít nói cùng người rằng: Nầy là ngày mà Đức Giê-hô-va có phán cùng ông: Ta sẽ phó kẻ thù nghịch ngươi vào tay ngươi. Hãy xử người tùy ý ông. Nhưng Đa-vít đứng dậy, cắt trộm vạt áo tơi của Sau-lơ.
And later, David was full of regret for cutting off Saul's skirt.|Đoạn lòng người tự trách về điều mình đã cắt vạt áo tơi của vua.
And David said to his men, Before the Lord, never let it be said that my hand was lifted up against my lord, the man of the Lord's selection, for the Lord's holy oil has been put on him.|Người nói cùng kẻ theo mình rằng: Nguyện Đức Giê-hô-va chớ để ta phạm tội cùng chúa ta, là kẻ chịu xức dầu của Đức Giê-hô-va, mà tra tay trên mình người, vì người là kẻ chịu xức dầu của Đức Giê-hô-va.
So with these words David kept his servants back, and did not let them make an attack on Saul. And Saul got up and went on his way.|Đa-vít nói những lời ấy quở trách các kẻ theo mình, mà ngăn cản chúng xông vào mình Sau-lơ. Sau-lơ đứng dậy, ra khỏi hang đá, và cứ đi đường mình.
And after that David came out of the hollow rock, and crying after Saul said, My lord the king. And when Saul gave a look back, David went down on his face and gave him honour.|Đoạn Đa-vít cũng chổi dậy, đi ra khỏi hang đá, gọi Sau-lơ, mà nói rằng: Hỡi vua, chúa tôi! Sau-lơ ngó lại sau mình, thì Đa-vít cúi mặt xuống đất mà lạy.
And David said to Saul, Why do you give any attention to those who say that it is my desire to do you wrong?|Đa-vít nói cùng Sau-lơ rằng: Nhân sao vua nghe những lời của kẻ nói rằng: Đa-vít kiếm thế làm hại vua?
Look! you have seen today how the Lord gave you up into my hands even now in the hollow of the rocks: and some would have had me put you to death, but I had pity on you: for I said, Never will my hand be lifted up against my lord, who has been marked with the holy oil.|Kìa, hãy xem, chính mắt vua có thế thấy được rằng ngày nay, trong hang đá, Đức Giê-hô-va đã phó vua vào tay tôi. Có người biểu giết vua; nhưng tôi dong-thứ cho vua, mà rằng: ta không tra tay trên mình chúa ta, vì người là đấng chịu xức dầu của Đức Giê-hô-va.
And see, my father, see the skirt of your robe in my hand: for the fact that I took off the skirt of your robe and did not put you to death is witness that I have no evil purpose, and I have done you no wrong, though you are waiting for my life to take it.|Vậy, cha ôi! hãy xem cái vạt áo tơi cha mà tôi cầm trong tay; bởi vì tôi có vạt ái tơi của cha, mà không giết cha, thì nhơn đó khá biết và nhận rằng nơi tôi chẳng có sự ác, hoặc sự phản nghịch, tôi chẳng có phạm tội gì với cha. Còn cha, lại săn mạng sống tôi để cất nó đi. Đức Giê-hô-va sẽ đoán xét cha và tôi.
May the Lord be judge between me and you, and may the Lord give me my rights against you, but my hand will never be lifted up against you.|Đức Giê-hô-va sẽ báo thù cha cho tôi, nhưng tôi không tra tay vào mình cha.
There is an old saying, From the evil-doer comes evil: but my hand will never be lifted up against you.|Như câu cổ ngữ nói: Sự ác do kẻ ác ra, nhưng tay tôi sẽ không đụng đến mình cha.
After whom has the king of Israel come out? for whom are you searching? for a dead dog, an insect.|Vua Y-sơ-ra-ên kéo ra đánh ai? Cha đuổi theo ai? Một con chó chết! Một con bọ chét!
So let the Lord be judge, and give a decision between me and you, and see and give support to my cause, and keep me from falling into your hands.|Thế thì, Đức Giê-hô-va sẽ làm quan xét, sẽ đoán xét cha và tôi; Ngài sẽ xem xét, binh vực cớ lý tôi, và xử cách công bình mà giải cứu tôi khỏi tay cha.
Now when David had said these words to Saul, Saul said, Is this your voice, David, my son? And Saul was overcome with weeping.|Khi Đa-vít nói xong các lời nầy, thì Sau-lơ đáp rằng: Hỡi Đa-vít, con ta, có phải tiếng con chăng? Sau-lơ cất tiếng lên khóc,
And he said to David, You are right and I am wrong: for you have given me back good, but I have given you evil.|nói cùng Đa-vít rằng: Con thật công bình hơn cha; vì con có lấy điều thiện mà báo điều ác cha đã làm cho con.
And you have made clear to me how good you have been to me today: because, when the Lord gave me up into your hands, you did not put me to death.|Ngày nay, con đã tỏ ra con lấy điều thiện đối cùng cha; vì Đức Giê-hô-va đã phó cha vào tay con, song con không có giết cha.
If a man comes across his hater, will he let him get away safe? so may you be rewarded by the Lord for what you have done for me today.|Khi người nào gặp kẻ thù nghịch mình, há để cho nó đi bình yên vô sự sao? Nguyện Đức Giê-hô-va lấy điều thiện báo cho con về sự con đã làm cho cha ngày nay!
And now I am certain that you will be king, and that the kingdom of Israel will be made strong under your authority.|Quả hẳn ta biết rằng con sẽ làm vua, và nước Y-sơ-ra-ên sẽ bền lâu ở trong tay con.
So give me your oath by the Lord, that you will not put an end to my seed after me or let my name be cut off from my father's family.|Vậy bây giờ, hãy nhơn danh Đức Giê-hô-va thề cùng ta rằng con sẽ chẳng diệt dòng dõi ta, và chẳng hủy danh ta khỏi nhà tổ phụ ta.
And David gave Saul his oath. And Saul went back to his house; but David and his men went up to their safe place.|Đa-vít lập lời thề cùng Sau-lơ. Sau-lơ bèn trở về nhà mình; còn Đa-vít và các kẻ theo người trở lên nơi đồn.

					I Samuel 25				|
						I Sa-mu-ên 25					
And death came to Samuel; and all Israel came together, weeping for him, and put his body in its resting-place in his house at Ramah. Then David went down to the waste land of Maon.|Kế ấy, Sa-mu-ên qua đời; cả Y-sơ-ra-ên nhóm lại đặng than khóc người; rồi chôn người trong nhà người tại Ra-ma. Đa-vít bèn đứng dậy, đi xuống đồng vắng Pha-ran.
Now there was a man in Maon whose business was in Carmel; he was a great man and had three thousand sheep and a thousand goats: and he was cutting the wool of his sheep in Carmel.|Vả, có một người ở Ma-ôn, còn sản nghiệp nó thì ở Cạt-mên. Người rất giàu, có ba ngàn chiên, và một ngàn dê; người đương ở Cạt-mên đặng hớt lông chiên mình.
Now this man was named Nabal, and his wife's name was Abigail: she was a woman of good sense and pleasing looks: but the man was cruel and evil in his ways; he was of the family of Caleb.|Người nầy tên là Na-banh, và vợ là A-bi-ga-in; vợ thì thông minh tốt đẹp, còn chồng thì cứng cỏi hung ác, thuộc về dòng Ca-lép.
And David had word in the waste land that Nabal was cutting the wool of his sheep.|Đa-vít ở trong rừng hay rằng Na-banh hớt lông chiên,
And David sent ten young men, and said to them, Go up to Carmel and go to Nabal, and say kind words to him in my name;|bèn sai mười gã trai trẻ đi mà dặn rằng: Hãy đi lên Cạt-mên, tìm Na-banh, nhơn danh ta chào người,
And say this to my brother, May all be well for you: peace be to you and your house and all you have.|và nói rằng: Nguyện ông được bình yên, nguyện nhà ông cũng được bình yên; phàm vật gì thuộc về ông đều được bình yên!
I have had word that you have wool-cutters: now the keepers of your sheep have been with us, and we have done them no evil, and taken nothing of theirs while they were in Carmel.|Và bây giờ, tôi có hay rằng ông có những thợ hớt lông chiên. Trong lúc các kẻ chăn chiên ông ở gần chúng tôi, chúng tôi chẳng hề khuấy khuất chúng nó; và trọn hồi chúng nó ở tại Cạt-mên, chẳng có thiếu mất gì hết.
If your young men are questioned they will say the same thing. So now, let my young men have grace in your eyes, for we are come at a good time; please give anything you may have by you to your servants and to your son David.|Hãy hỏi tôi tớ ông về điều đó, chúng nó sẽ nói cùng ông. Vậy, xin các gã trai trẻ được ơn trước mặt ông, vì chúng tôi đến trong ngày tốt lành; hễ tay ông tìm thấy vật gì, hãy ban cho các tôi tớ ông, và cho con ông là Đa-vít.
And when David's young men came, they said all this to Nabal, in David's name, and said nothing more.|Vậy, các gã trai trẻ của Đa-vít đi đến nhơn danh Đa-vít lặp lại cho Na-banh mọi lời ấy; đoạn nín lặng;
And Nabal gave them his answer and said, Who is David? who is the son of Jesse? there are a number of servants in these days running away from their masters.|Nhưng Na-banh đáp cùng các tôi tớ Đa-vít rằng: Ai là Đa-vít? Ai là con trai của Y-sai? Những tôi tớ trốn khỏi chủ mình, ngày nay lấy làm đông thay!
Am I to take my bread and my wine and the meat I have got ready for my wool-cutters and give it to men coming from I have no idea where?|Lẽ nào ta sẽ lấy bánh, nước, và thịt ta dọn sẵn cho các thợ hớt lông chiên mà cho những kẻ chẳng biết ở đâu đến sao?
So David's young men, turning away, went back and gave him an account of everything he had said.|Những gã trai trẻ của Đa-vít thối đường trở về. Đến nơi, chúng nó thuật lại các lời ấy cho Đa-vít nghe.
And David said to his men, Put on your swords, every one of you. And every man put on his sword; and David did the same; and about four hundred men went up with David, and two hundred kept watch over their goods.|Đa-vít bèn nói cùng các người theo mình rằng: Mỗi người trong chúng ta hãy đeo gươm mình. Chúng đeo gươm mình, và Đa-vít cũng đeo gươm của người. Ước chừng bốn trăm người đi lên theo Đa-vít, còn hai trăm người ở lại giữ đồ vật.
But one of the young men said to Nabal's wife Abigail, David sent men from the waste land to say kind words to our master, and he gave them a rough answer.|Có một đứa đầy tớ báo tin cho A-bi-ga-in, vợ của Na-banh, rằng: Đa-vít có sai những sứ giả từ đồng vắng đến chào chủ chúng tôi, nhưng Na-banh ở gắt góng cùng họ.
But these men have been very good to us; they did us no wrong and nothing of ours was touched while we were with them in the fields:|Song trọn lúc chúng tôi ở gần những người ấy tại trong đồng, thì họ rất tử tế cùng chúng tôi, chúng tôi không bị khuấy khuất, và chẳng thiếu mất vật chi hết.
But day and night they were like a wall round us while we were with them, looking after the sheep.|Bao lâu chúng tôi ở gần các người đó, lo chăn bầy chiên chúng tôi, thì ngày và đêm họ dường như tường che cho chúng tôi.
So now, give thought to what you are going to do; for evil is in store for our master and all his house: for he is such a good-for-nothing person that it is not possible to say anything to him.|Vậy bây giờ, khá xem xét điều bà phải làm; vì đã định giáng tai họa trên chủ chúng tôi và trên cả nhà người; chủ dữ quá, không có ai nói cùng người được.
Then Abigail quickly took two hundred cakes of bread and two skins full of wine and five sheep ready for cooking and five measures of dry grain and a hundred parcels of dry grapes and two hundred cakes of figs, and put them on asses.|A-bi-ga-in vội vàng lấy hai trăm ổ bánh, hai bầu da rượu nho, năm con chiên đực nấu chín, năm đấu hột rang, một trăm bánh nho khô, và hai trăm bánh trái vả khô, chất trên lưng lừa.
And she said to her young men, Go on in front of me and I will come after you. But she said nothing to her husband Nabal.|Đoạn, người nói cùng các tôi tớ rằng: Hãy đi trước ta, ta sẽ đi theo các ngươi. Nhưng nàng không nói chi hết cùng Na-banh, chồng mình.
Now while she was going down under cover of the mountain on her ass, David and his men came down against her, and suddenly she came face to face with them.|Nàng cỡi lừa đi xuống theo một con đường có núi bao phủ, thì Đa-vít và những kẻ theo người cũng đi xuống đụng mặt nàng; nàng bèn gặp các người đó.
Now David had said, What was the use of my taking care of this man's goods in the waste land, so that there was no loss of anything which was his? he has only given me back evil for good.|Vả, Đa-vít có nói rằng: Vậy, thật lấy làm luống công cho ta đã gìn giữ mọi vật của người nầy có trong đồng vắng, đến đỗi chẳng thiếu mất gì hết. Còn hắn lại lấy oán trả ơn.
May God's punishment be on David, if when morning comes there is so much as one male of his people still living.|Nguyện Đức Chúa Trời xử kẻ thù nghịch của Đa-vít thật cho nặng nề! Từ đây đến mai, phàm vật gì thuộc về Na-banh, ta sẽ chẳng để còn lại vật nhỏ hơn hết.
And when Abigail saw David, she quickly got off her ass, falling down on her face before him.|Khi a-bi-ga-in thấy Đa-vít, liền lật đật xuống lừa mình, và sấp mình xuống đất tại trước mặt Đa-vít mà lạy.
And falling at his feet she said, May the wrong be on me, my lord, on me: let your servant say a word to you, and give ear to the words of your servant.|Vậy, nàng phục dưới chơn người mà nói rằng: Lạy chúa, lỗi về tôi, về tôi! Xin cho phép con đòi ông nói trước mặt ông; xin hãy nghe các lời của con đòi ông.
Let my lord give no attention to Nabal, that good-for-nothing: for as his name is, so is he, a man without sense: but I, your servant, did not see the young men whom my lord sent.|Xin chúa chớ kể đến người hung ác kia, là Na-banh; vì tánh hắn thật hiệp với nghĩa tên hắn: tên hắn là Na-banh, và nơi hắn có sự điên dại. Còn tôi, là con đòi chúa, chẳng có thấy những người chúa sai đến.
So now, my lord, by the living God and by your living soul, seeing that the Lord has kept you from the crime of blood and from taking into your hands the punishment for your wrongs, may all your haters, and those who would do evil to my lord, be like Nabal.|Bây giờ, Đức Giê-hô-va đã ngăn chúa đến làm đổ huyết ra, và lấy chánh tay mình mà báo thù; tôi chỉ Đức Giê-hô-va hằng sống và mạng sống của chúa mà thề: nguyện các thù nghịch chúa và kẻ tìm hại chúa đều như Na-banh!
And let this offering, which your servant gives to my lord, be given to the young men who are with my lord.|Vậy bây giờ, nầy là lễ vật mà con đòi chúa đem đến dâng cho chúa, để phát cho các người đi theo sau.
And may the sin of your servant have forgiveness: for the Lord will certainly make your family strong, because my lord is fighting in the Lord's war; and no evil will be seen in you all your days.|Xin hãy tha lỗi cho con đòi chúa! Đức Giê-hô-va quả hẳn sẽ lập nhà chúa được bền lâu, vì chúa đánh giặc cho Đức Giê-hô-va, và trọn đời chúa sẽ chẳng tìm thấy một sự ác nơi chúa.
And though a man has taken up arms against you, putting your life in danger, still the soul of my lord will be kept safe among the band of the living with the Lord your God; and the souls of those who are against you he will send violently away from him, like stones from a bag.|Nếu có ai dấy lên đặng bắt bớ và hại mạng sống chúa, thì Giê-hô-va đức Chúa Trời của chúa sẽ gìn giữ mạng sống của chúa trong bọc những người sống; còn mạng sống của kẻ thù nghịch chúa, Đức Giê-hô-va sẽ ném ra xa như khỏi trành ném đá vậy.
And when the Lord has done for my lord all those good things which he has said he will do for you, and has made you a ruler over Israel;|Khi đức Giê-hô-va đã làm cho chúa tôi mọi sự lành mà Ngài đã hứa, và khi Ngài đã lập người làm đầu Y-sơ-ra-ên,
Then you will have no cause for grief, and my lord's heart will not be troubled because you have taken life without cause and have yourself given punishment for your wrongs: and when the Lord has been good to you, then give a thought to your servant.|thì ước gì chúa tôi không phàn nàn và không bị lòng cắn rức vì đã vô cớ làm đổ máu ra và báo thù cho mình! Lại khi Đức Giê-hô-va đã làm ơn cho chúa tôi, nguyện chúa nhớ đến con đòi của chúa!
And David said to Abigail, May the Lord, the God of Israel, be praised, who sent you to me today:|Đa-vít đáp cùng A-bi-ga-in rằng: Đáng ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì đã sai ngươi đến đón ta ngày nay!
A blessing on your good sense and on you, who have kept me today from the crime of blood and from taking into my hands the punishment for my wrongs.|Đáng khen sự khôn ngoan ngươi và chúc phước cho ngươi, vì ngày nay đã cản ta đến làm đổ huyết và ngăn ta dùng chính tay mình mà báo thù cho mình.
For truly, by the living Lord, the God of Israel, who has kept me from doing you evil, if you had not been so quick in coming to me and meeting me, by dawn there would not have been in Nabal's house so much as one male living.|Nhưng ta chỉ Giê-hô-va Đức Chúa Trời hằng sống của Y-sơ-ra-ên, là Đấng đã cản ta làm điều ác, mà thề rằng, nếu nàng không vội vàng đến đón ta, thì đến sáng mai, phàm vật gì thuộc về Na-banh sẽ chẳng còn lại vật mọn hơn hết.
Then David took from her hands her offering: and he said to her, Go back to your house in peace; see, I have given ear to your voice, and taken your offering with respect.|Vậy, Đa-vít nhận lễ vật do nơi tay nàng đem đến cho người, và nói rằng: Hãy trở lên nhà ngươi bình an. Hãy xem, ta đã nghe theo tiếng ngươi, và tiếp ngươi tử tế.
And Abigail went back to Nabal; and he was feasting in his house like a king; and Nabal's heart was full of joy, for he had taken much wine; so she said nothing to him till dawn came.|Khi A-bi-ga-in trở về cùng Na-banh, thì Na-banh đương ăn tiệc trong nhà mình, thật như yến tiệc của vua vậy. Na-banh có lòng vui vẻ và say lắm. A-bi-ga-in không có tỏ cho người biết điều gì hoặc cần kíp hay chăng, cho đến khi sáng.
And in the morning, when the effect of the wine was gone, Nabal's wife gave him an account of all these things, and all the heart went out of him, and he became like stone.|Nhưng sáng mai, khi Na-banh đã giã say rồi, vợ người thuật lại hết, lòng người bèn kinh hoảng, trở thành như đá.
And about ten days after, the Lord sent disease on Nabal and death came to him.|Cách chừng mười ngày sau, Đức Giê-hô-va đánh Na-banh, và người chết.
And David, hearing that Nabal was dead, said, May the Lord be praised, who has taken up my cause against Nabal for the shame which he put on me, and has kept back his servant from evil, and has sent on Nabal's head the reward of his evil-doing. And David sent word to Abigail, desiring to take her as his wife.|Khi Đa-vít hay Na-banh chết, thì nói rằng: Đáng ngợi khen Đức Giê-hô-va thay, vì đã xử đoán sự sỉ nhục mà tôi bị bởi Na-banh, và đã giữ tôi tớ Ngài khỏi làm điều ác! Đức Giê-hô-va đã khiến sự hung ác của Na-banh đổ lại trên đầu hắn! Đoạn, Đa-vít sai người đến hỏi A-bi-ga-in làm vợ mình.
And when David's servants came to Carmel, to Abigail, they said to her, David has sent us to you to take you to him as his wife.|Những tôi tớ Đa-vít đến tìm A-bi-ga-in, tại Cạt-mên, mà nói rằng: Đa-vít sai chúng tôi đến cùng nàng, vì người toan lấy nàng làm vợ.
And she got up, and going down on her face to the earth, said, See, I am ready to be a servant-girl, washing the feet of the servants of my lord.|Nàng bèn chổi dậy, sấp mình xuống đất, mà nói rằng: Nầy con đòi của chúa sẽ làm tôi mọi của chúa đặng rửa chơn các tôi tớ của chúa tôi.
Then Abigail got up quickly and went on her ass, with five of her young women, after the men whom David had sent; and she became David's wife.|Đoạn, A-bi-ga-in vụt đứng dậy, cỡi lừa mình, có năm con đòi đồng đi theo, mà đi với các sứ giả của Đa-vít, đặng làm vợ người.
And David had taken Ahinoam of Jezreel, to be his wife; these two were his wives.|Đa-vít cũng có cưới A-hi-nô-am, ở Gít-rê-ên, và cả hai đều làm vợ người.
Now Saul had given his daughter Michal, David's wife, to Palti the son of Laish of Gallim.|Vả, Sau-lơ đã gả Mi-canh, con gái mình, và là vợ của Đa-vít cho Phanh-ti, con trai của La-ít, người Ga-lim.

					I Samuel 26				|
						I Sa-mu-ên 26					
