
					II Chronicles 1				|
The number of burned offerings which the people took in was seventy oxen, a hundred male sheep, and two hundred lambs: all these were for burned offerings to the Lord.|Số con sinh dùng về của lễ thiêu mà hội chúng đem đến là bảy mươi con bò đực, một trăm con chiên đực, và hai trăm con chiên con; họ dùng các thú đó làm của lễ thiêu cho Đức Giê-hô-va.
And the holy things were six hundred oxen and three thousand sheep.|Cũng biệt riêng ra thánh sáu trăm con bò đực và ba ngàn con trừu.
There were not enough priests for the work of cutting up all the burned offerings; so their brothers the Levites gave them help till the work was done and the priests had made themselves holy: for the Levites were more upright in heart to make themselves holy than the priests.|Song thầy tế lễ chỉ có ít quá, không đủ lột da các con sinh dùng về của lễ thiêu vì vậy anh em họ, là người Lê-vi, bèn giúp đỡ họ cho đến khi xong công việc, và những thầy tế lễ đã dọn mình thánh sạch; vì người Lê-vi có lòng thành dọn mình thánh sạch hơn những thầy tế lễ.
And there was a great amount of burned offerings, with the fat of the peace-offerings and the drink offerings for every burned offering. So the work of the Lord's house was put in order.|Lại cũng có nhiều của lễ thiêu, mỡ của lễ thù ân, và lễ quán cặp theo mỗi của lễ thiêu. Vậy, cuộc tế lễ trong đền Đức Giê-hô-va đã lập lại rồi.
And Hezekiah and all the people were full of joy, because God had made the people ready: for the thing was done suddenly.|Ê-xê-chia và cả dân sự đều vui mừng về điều Đức Chúa Trời đã sắm sửa cho dân sự; bởi công việc ấy thình lình mà làm thành.

					II Chronicles 30				|
						II Sử Ký 30					
Then Hezekiah sent word to all Israel and Judah, and sent letters to Ephraim and Manasseh, requesting them to come to the house of the Lord at Jerusalem, to keep the Passover to the Lord, the God of Israel.|Ê-xê-chia sai sứ đến cả Y-sơ-ra-ên và Giu-đa, cũng viết thơ cho người Ep-ra-im và người Ma-na-se, đòi chúng tới đền Đức Giê-hô-va tại Giê-ru-sa-lem, đặng giữ lễ Vượt qua cho Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.
For the king, after discussion with his chiefs and all the body of the people in Jerusalem, had made a decision to keep the Passover in the second month.|Vua và các quan trưởng cùng cả hội chúng ở Giê-ru-sa-lem hội nghị nhau, định dự lễ Vượt qua trong tháng hai;
It was not possible to keep it at that time, because not enough priests had made themselves holy, and the people had not come together in Jerusalem.|vì chúng không thể dự lễ trong lúc ấy, bởi số thầy tế lễ dọn mình thánh sạch không đủ, và dân sự chưa nhóm lại tại Giê-ru-sa-lem.
And the thing was right in the eyes of the king and all the people.|Vua và cả hội chúng đều lấy việc ấy làm phải;
So it was ordered that word was to be sent out through all Israel, from Beer-sheba to Dan, that they were to come to keep the Passover to the Lord, the God of Israel, at Jerusalem: because they had not kept it in great numbers in agreement with the law.|bèn nhất định rao truyền khắp xứ Y-sơ-ra-ên, từ Bê -e-Sê-ba cho đến Đan, khiến người ta đến dự lễ Vượt qua của Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, tại Giê-ru-sa-lem; vì từ lâu nay chúng không có dự lễ ấy như đã chép trong luật lệ.
So runners went with letters from the king and his chiefs through all Israel and Judah, by the order of the king, saying, O children of Israel, come back again to the Lord, the God of Abraham, Isaac, and Israel, so that he may come again to that small band of you which has been kept safe out of the hands of the kings of Assyria.|Vậy, các trạm vâng mạng đem thơ của vua và của các quan trưởng đi khắp xứ Y-sơ-ra-ên và xứ Giu-đa, thơ rằng: Hỡi con cháu Y-sơ-ra-ên, hãy trở lại cùng Giê-hô-va Đức Chúa Trời của Ap-ra-ham, của Y-sác và của Y-sơ-ra-ên, hầu cho Ngài trở lại cùng những kẻ còn sót lại trong các ngươi mà được thoát khỏi tay các vua A-si-ri.
Do not be like your fathers and your brothers, who were sinners against the Lord, the God of their fathers, so that he made them a cause of fear, as you see.|Chớ nên giống như tổ phụ và anh em các ngươi đã phạm tội cùng Giê-hô-va Đức Chúa Trời của tổ phụ họ, đến đỗi Ngài phó chúng vào sự hư bại, như các ngươi đã thấy.
Now do not be hard-hearted, as your fathers were; but give yourselves to the Lord, and come into his holy place, which he has made his for ever, and be the servants of the Lord your God, so that the heat of his wrath may be turned away from you.|Bây giờ, chớ cứng cổ như tổ phụ các ngươi hãy giơ tay mình ra cho Đức Giê-hô-va, vào trong nơi thánh mà Ngài đã biệt riêng ra thánh đời đời, và hầu việc Giê-hô-va Đức Chúa Trời của các ngươi, để cơn giận phừng của Ngài xây khỏi các ngươi.
For if you come back to the Lord, those who took away your brothers and your children will have pity on them, and let them come back to this land: for the Lord your God is full of grace and mercy, and his face will not be turned away from you if you come back to him.|Vì nếu các ngươi trở lại cùng Đức Giê-hô-va, thì anh em và con cái của các ngươi sẽ được ơn trước mặt những kẻ bắt họ làm phu tù, và họ sẽ được trở về trong xứ này; bởi Giê-hô-va Đức Chúa Trời của các ngươi có lòng nhân từ và hay thương xót, sẽ không xây mặt khỏi các ngươi, nếu các ngươi trở lại cùng Ngài.
So the runners went from town to town through all the country of Ephraim and Manasseh as far as Zebulun: but they were laughed at and made sport of.|Các trạm thành này qua thành kia, trong khắp xứ Ep-ra-im, Ma-na-xe, và cho đến đất Sa-nu-lôn; song người ta chê cười nhạo báng chúng
However, some of Asher and Manasseh and Zebulun put away their pride and came to Jerusalem.|Dầu vậy, cũng có mấy người trong A-se, Ma-na-se, và Sa-bu-lôn chịu hạ mình xuống và đến Giê-ru-sa-lem.
And in Judah the power of God gave them one heart to do the orders of the king and the captains, which were taken as the word of the Lord.|Đức Chúa Trời cũng cảm động người Giu-đa, đồng lòng vâng mạng lịnh của vua và các quan trưởng đã truyền ra, theo lời của Đức Giê-hô-va.
So a very great number of people came together at Jerusalem to keep the feast of unleavened bread in the second month.|Tháng hai, có nhiều người nhóm lại tại Giê-ru-sa-lem, một hội rất đông đảo, đặng giữ lễ bánh không men.
And they got to work and took away all the altars in Jerusalem, and they put all the vessels for burning perfumes into the stream Kidron.|Chúng chổi dậy, cất hết các bàn thờ ở trong Giê-ru-sa-lem, và những bình đốt hương, rồi đem liệng nó trong khe Xết-rôn.
Then on the fourteenth day of the second month they put the Passover lambs to death: and the priests and the Levites were shamed, and made themselves holy and took burned offerings into the house of the Lord.|Ngày mười bốn tháng hai, người ta giết con sinh về lễ Vượt qua; còn những thầy tế lễ và người Lê-vi, thì lấy làm hổ thẹn, bèn dọn mình thanh sạch, và đem những của lễ thiêu vào trong đền Đức Giê-hô-va.
And they took their places in their right order, as it was ordered in the law of Moses, the man of God: the priests draining out on the altar the blood given them by the Levites.|Chúng đều đứng trong chỗ mình, theo thường lệ đã định trong luật pháp của Môi-se, người của Đức Chúa Trời; và những thầy tế lễ nhận lấy huyết nơi tay người Lê-vi mà rảy ra.
For there were still a number of the people there who had not made themselves holy: so the Levites had to put Passover lambs to death for those who were not clean, to make them holy to the Lord.|Trong hội chúng còn nhiều người chưa dọn mình thanh sạch; vì vậy người Lê-vi phải giết dâng con sinh về lễ Vượt qua thế cho mỗi người không thanh sạch, để làm họ nên thanh sạch cho Đức Giê-hô-va.
For a great number of the people from Ephraim and Manasseh, Issachar and Zebulun, had not made themselves clean, but they took the Passover meal, though not in the right way. For Hezekiah had made prayer for them, saying, May the good Lord have mercy on everyone|Vì trong dân sự, nhất là trong dân Ep-ra-im, Ma-na-se, Y-sa-ca, và Sa-bu-lôn có nhiều người không dọn mình thanh sạch, lại ăn lễ Vượt qua, chẳng theo lệ đã chép; vì Ê-xê-chia có cầu nguyện cho chúng, mà rằng:
Who, with all his heart, is turned to God the Lord, the God of his fathers, even if he has not been made clean after the rules of the holy place.|Nguyện Đức Giê-hô-va là Đấng nhân từ, tha tội cho những người đã hết lòng tìm kiếm Giê-hô-va Đức Chúa Trời của tổ phụ họ, mặc dầu không theo lệ tẩy uế của đền thánh mà dọn mình cho thanh sạch.
And the Lord gave ear to Hezekiah, and made the people well.|Đức Giê-hô-va dủ nghe lời cầu nguyện của Ê-xê-chia và chữa lành cho dân sự.
So the children of Israel who were present in Jerusalem kept the feast of unleavened bread for seven days with great joy: and the Levites and the priests gave praise to the Lord day by day, making melody to the Lord with loud instruments.|Những người Y-sơ-ra-ên ở tại Giê-ru-sa-lem giữ lễ bánh không men trong bảy ngày cách vui vẻ; người Lê-vi và những thầy tế lễ ngày này sang ngày kia, dùng nhạc khí hát mừng ngợi khen Đức Giê-hô-va.
And Hezekiah said kind words to the Levites who were expert in the ordering of the worship of the Lord: so they kept the feast for seven days, offering peace-offerings and praising the Lord, the God of their fathers.|Ê-xê-chia nói an ủi lòng những người Lê-vi thông sáng hiểu biết cuộc thờ phượng Đức Giê-hô-va. Chúng ăn lễ trong bảy ngày, dâng những của lễ thù ân, và cảm tạ Giê-hô-va Đức Chúa Trời của tổ phụ mình.
And by the desire of all the people, the feast went on for another seven days, and they kept the seven days with joy.|Cả hội chúng bèn quyết định giữ lễ thêm bảy ngày; rồi chúng vui vẻ giữ thêm bảy ngày nữa.
For Hezekiah, king of Judah, gave to the people for offerings, a thousand oxen and seven thousand sheep; and the rulers gave a thousand oxen and ten thousand sheep; and a great number of priests made themselves holy.|Vì Ê-xê-chia, vua Giu-đa, đã ban cho hội chúng một ngàn con bò đực và bảy ngàn con chiên; các quan trưởng cũng ban cho hội chúng một ngàn con bò đực và mười ngàn con chiên lại có nhiều thầy tế lễ dọn mình ra thanh sạch.
And all the people of Judah, with the priests and the Levites, and those who had come from Israel, and men from other lands who had come from Israel or who were living in Judah, were glad with great joy.|Cả hội chúng Giu-đa với những thầy tế lễ, người Lê-vi, và hội chúng đến từ Y-sơ-ra-ên, cùng những người ngoại bang, kẻ thì kiều ngụ trong xứ Y-sơ-ra-ên, người thì kiều ngụ trong xứ Giu-đa, thảy đều vui mừng.
So there was great joy in Jerusalem: for nothing like this had been seen in Jerusalem from the time of Solomon, the son of David, king of Israel.|Ay vậy, ở Giê-ru-sa-lem có sự vui mừng cả thể; vì từ đời Sa-lô-môn, con trai Đa-vít, vua Y-sơ-ra-ên, tại thành Giê-ru-sa-lem chẳng có sự gì như vậy.
Then the priests and the Levites gave the people a blessing: and the voice of their prayer went up to the holy place of God in heaven.|Đoạn, những thầy tế lễ và người Lê-vi đứng dậy chúc phước cho dân sự; tiếng của chúng được nhậm, lời cầu nguyện chúng thấu đến nơi ngự thánh của Đức Giê-hô-va trên các từng trời.

					II Chronicles 31				|
						II Sử Ký 31					
Now when all this was over, all the men of Israel who were present went out into the towns of Judah, causing the stone pillars to be broken up and the wood pillars to be cut down, pulling down the high places and the altars in all Judah and Benjamin, as well as in Ephraim and Manasseh, till all were gone. Then all the children of Israel went back to their towns, every man to his property.|Khi các việc ấy đã xong, những người Y-sơ-ra-ên có mặt tại đó đi ra các thành Giu-đa, đập bể những trụ thờ, đánh đổ các thần A-sê-ra, phá dỡ những nơi cao, và các bàn thờ trong khắp đất Giu-đa, Bên-gia-min, Ep-ra-im, và Ma-na-se, cho đến khi đã phá hủy hết thảy. Đoạn, hết thảy dân Y-sơ-ra-ên ai nấy đều trở về thành mình, về nơi sản nghiệp mình.
Then Hezekiah put in order the divisions of the priests and Levites, every man in his division, in relation to his work, for the burned offerings and peace-offerings, and for the ordering of worship and for giving praise at the doors of the Lord's house.|Ê-xê-chia lập lại các ban thứ của những thầy tế lễ và của người Lê-vi, tùy theo phần việc của mỗi người đặng dâng của lễ thiêu và của lễ thù ân, đặng phụng sự, cảm tạ, và hát ngợi khen Chúa tại nơi các cửa trại của Đức Giê-hô-va.
And he gave the king's part of his private property for the burned offerings, that is, for the morning and evening offerings, and the offerings for the Sabbath and the new moons and the regular feasts, as it is recorded in the law of the Lord.|Người cũng định phần vua phải lấy trong tài sản mình đặng dùng làm của lễ thiêu về buổi sớm mai và buổi chiều, cùng dùng về những của lễ thiêu trong ngày sa-bát, ngày mồng một, và trong các này lễ trọng thể, y như đã chép trong luật pháp của Đức Giê-hô-va.
In addition, he gave orders to the people of Jerusalem to give to the priests and Levites that part which was theirs by right, so that they might be strong in keeping the law of the Lord.|Người cũng truyền cho dân sự ở tại Giê-ru-sa-lem, phải cung cấp phần của những thầy tế lễ và người Lê-vi, hầu cho chúng chuyện lo gìn giữ luật pháp của Đức Giê-hô-va.
And when the order was made public, straight away the children of Israel gave, in great amounts, the first-fruits of their grain and wine and oil and honey, and of the produce of their fields; and they took in a tenth part of everything, a great store.|Khi chỉ dụ của vua mới truyền ra, thì dân Y-sơ-ra-ên đem đến rất nhiều sản vật đầu mùa về ngũ cốc, rượu, dầu, mật, và những thổ sản khác; chúng đem đến một phần mười của mọi vật thật rất nhiều.
And the children of Israel and Judah, who were living in the towns of Judah came with the tenth part of their oxen and sheep, and a tenth of all the holy things which were to be given to the Lord their God, and put them in great masses.|Người Y-sơ-ra-ên và người Giu-đa ở trong các thành xứ Giu-đa, cũng đều đem đến nộp một phần mười về bò và chiên, cùng một phần mười về các vật đã biệt riêng ra thánh cho Giê-hô-va Đức Chúa Trời của chúng, rồi để ra từng đống.
The first store of things was put down in the third month, and in the seventh month the masses were complete.|Tháng thứ ba, chúng khởi gom lại từng đống, và qua đến tháng bảy mới xong.
And when Hezekiah and the rulers came and saw all the store of goods, they gave praise to the Lord and to his people Israel.|Khi Ê-xê-chia và các quan trưởng đến, thấy các đống ấy, thì ngợi khen Đức Giê-hô-va, và chúc phước cho dân Y-sơ-ra-ên của Ngài.
Then Hezekiah put questions to the priests and Levites about the store of goods.|Ê-xê-chia hỏi thăm những thầy tế lễ và người Lê-vi về tích những đống ấy.
And Azariah, the chief priest, of the family of Zadok, said in answer, From the time when the people first came with their offerings into the house of the Lord, we have had food enough, and more than enough: for the blessing of the Lord is on his people; and there is this great store which has not been used.|A-xa-ria, thầy tế lễ cả về dòng Xa-đốc, thưa lại cùng người mà rằng: Từ khi dân sự khởi đem lễ vật vào trong đền Đức Giê-hô-va, thì chúng tôi có ăn được đầy đủ, và còn dư lại nhiều; vì Đức Giê-hô-va đã ban phước cho dân sự Ngài; còn số nhiều này, ấy là phần dư lại.
Then Hezekiah said that store-rooms were to be made ready in the house of the Lord; and this was done.|Ê-xê-chia truyền dọn dẹp các phòng trong đền Đức Giê-hô-va; người ta bèn dọn dẹp,
And in them they put all the offerings and the tenths and the holy things, keeping nothing back, and over them was Conaniah the Levite, with Shimei his brother second to him.|rồi đem vào cách ngay thẳng các lễ vật, thuế một phần mười, và các vật thánh. Cô-na-nia, người Lê-vi, cai quản những vật ấy, và Si-mê -i, em người, làm phó;
And Jehiel and Azaziah and Nahath and Asahel and Jerimoth and Jozabad and Eliel and Ismachiah and Mahath and Benaiah were overseers, under the directions of Conaniah and Shimei his brother, by the order of Hezekiah the king and Azariah, the ruler of the house of God.|còn Giê-hi-ên, A-xa-xia, Na-hát, A-sa-ên, Giê-ri-mốt, Giô-sa-bát, Ê-li-ên, Gít-ma-kia, Ma-hát, và Bê-na-gia, đều làm kẻ coi sóc dưới quyền Cô-na-nia và Si-mê -i, em người, cứ theo lịnh của vua Ê-xê-chia và A-xa-ria, là người cai trị đền Đức Chúa Trời.
And Kore, the son of Imnah the Levite, the keeper of the east door, had control of the offerings freely given to God, and the distribution of the offerings of the Lord and the most holy things.|Cô-rê, con trai của Dim-na, người Lê-vi, là kẻ giữ cửa phía đông, được đặt cai quản các lễ vật lạc ý dâng cho Đức Chúa Trời, đặng phân phát các lễ vật dâng cho Đức Giê-hô-va và những vật rất thánh.
And under him were Eden and Miniamin and Jeshua and Shemaiah and Amariah and Shecaniah, in the towns of the priests, who were made responsible for giving it to all their brothers, by divisions, to small and great:|Dưới tay người có Ê-đen, Min-gia-min, Giê-sua, Sê-ma-gia, A-ma-ria, và Sê-ca-nia, ở trong các thành thầy tế lễ, đặng phân phát lễ vật ấy cách công bình cho anh em mình, hoặc nhỏ hay lớn, thao ban thứ của họ.
As well as to all the males, of three years old and over, listed by their families, who went into the house of the Lord to do what was needed day by day, for their special work with their divisions.|Ngoại trừ những nam đinh đã biên tên vào gia phổ từ ba tuổi sắp lên, tức những kẻ theo ban thứ mình mà vào đền Đức Giê-hô-va đặng phụng sự trong chức mình, làm việc ngày nào theo ngày nấy;
And the families of the priests were listed by their fathers' names, but the Levites, of twenty years old and over, were listed in relation to their work in their divisions;|lại phân phát cho những thầy tế lễ đã theo tông tộc mình mà ghi tên vào gia phổ, và cho người Lê-vi từ hai mươi tuổi sắp lên, tùy theo chức phận và ban thứ của họ;
And in the lists were all their little ones and their wives and their sons and daughters, through all the people: they made themselves holy in the positions which they were given.|cùng phân phát cho hết thảy con nhỏ của họ, vợ họ, con trai và con gái họ, tức cả hội chúng ghi tên vào gia phổ; vì chúng thành tín biệt mình riêng ra đặng nên thánh.
And as for the sons of Aaron, the priests, living in the country on the outskirts of their towns, every different town there were men, marked out by name, to give their part of the goods to all the males among the priests, and to all who were listed among the Levites.|Còn về con cháu A-rôn, tức là những thầy tế lễ ở trong đồng ruộng, rải rác nơi địa hạt các thành của họ, thì có đặt trong mỗi thành những người gọi từng tên, đặng phân phát phần cho hết thảy người nam trong những thầy tế lễ và cho những kẻ trong vòng người Lê-vi đã ghi tên vào gia phổ.
This Hezekiah did through all Judah; he did what was good and right and true before the Lord his God.|Trong khắp Giu-đa, Ê-xê-chia làm như vậy. Người làm những điều lành, ngay thẳng và chơn thành, tại trước mặt Giê-hô-va Đức Chúa Trời của người.
And for everything he undertook, in connection with the work of the house of God and his law and orders, he got directions from God and did it with serious purpose; and things went well for him.|Trong các việc người làm, hoặc quản lý sự phục dịch nơi đền của Đức Chúa Trời, hoặc theo luật pháp hay là điều răn đặng tìm kiếm Đức Chúa Trời của người, thì người hết lòng mà làm, và được hanh thông.

					II Chronicles 32				|
						II Sử Ký 32					
Now after these things and this true-hearted work, Sennacherib, king of Assyria, came into Judah, and put his army in position before the walled towns of Judah, designing to make his way into them by force.|Sau các việc này và sự thành tín này, thì San-chê-ríp loán đến trong xứ Giu-đa, vây các thành bền vững, có ý hãm lấy nó.
And when Hezekiah saw that Sennacherib had come for the purpose of fighting against Jerusalem,|Khi Ê-xê-chia thấy San-chê-ríp đã đến, toan hãm đánh Giê-ru-sa-lem,
He took up with his rulers and men of war the question of stopping up the water-springs outside the town; and they gave him their support.|thì người hội nghị với các quan trưởng và những người mạnh dạn đặng ngăn nước suối ở ngoài thành; họ bèn giúp đỡ người.
So they got together a great number of people, and had all the water-springs and the stream flowing through the land stopped up, saying, Why let the kings of Assyria come and have much water?|Dân sự nhóm lại đông, chận các suối và các khe chảy giữ xứ, mà rằng: Làm gì để cho vua A-si-ri đến, thấy có nước nhiều?
Then he took heart, building up the wall where it was broken down, and making its towers higher, and building another wall outside; and he made strong the Millo in the town of David, and got together a great store of all sorts of instruments of war.|Người tự can đảm, xây đắp vách thành đã bị hư lủng, xây nó lên đến tận tháp; rồi lại xây một cái vách khác ở phía ngoài; người làm cho vững chắc Mi-lô ở trong thành Đa-vít và chế nhiều cây lao cùng khiên.
And he put war chiefs over the people, and sent for them all to come together to him in the wide place at the doorway into the town, and to give them heart he said to them,|Người lập những quan tướng trên dân sự, rồi hiệp lập chúng lại gần mình tại phố bên cửa thành, nói động lòng chúng, mà rằng:
Be strong and take heart; have no fear, and do not be troubled on account of the king of Assyria and all the great army with him: for there is a greater with us.|Khá vững lòng bền chí, chớ sợ, chớ kinh hãi trước mặt vua A-si-ri và đám quân đông đảo theo người; vì có một Đấng ở cùng chúng ta thắng hơn kẻ ở với họ:
With him is an arm of flesh; but we have the Lord our God, helping us and fighting for us. And the people put their faith in what Hezekiah, king of Judah, said.|với người chỉ một cánh tay xác thịt; còn với chúng ta có Giê-hô-va Đức Chúa Trời của chúng ta đặng giúp đỡ và chiến tranh thế cho chúng ta. Dân sự bèn nương cậy nơi lời của Ê-xê-chia, vua Giu-đa.
After this, Sennacherib, king of Assyria, sent his servants to Jerusalem (at that time he was stationed with all his army in front of Lachish), to say to Hezekiah and all the men of Judah in Jerusalem,|Sau việc ấy, San-chê-ríp, vua A-si-ri, với cả đạo binh của người hãy còn vây La-ki, có sai các đầy tớ người đến Ê-xê-chia và dân Giu-đa ở tại Giê-ru-sa-lem, mà nói rằng:
Sennacherib, king of Assyria, says, In what are you placing your hope, waiting here in the walled town of Jerusalem?|San-chê-ríp, vua A-si-ri, nói như vầy: Các ngươi nương cậy điều gì, mà chịu ở vậy trong thành Giê-ru-sa-lem như thế?
Is it not Hezekiah who has got you to do it, causing your death from need of food and water, by saying, The Lord our God will give us salvation out of the hands of the king of Assyria?|Ê-xê-chia nói rằng: Giê-hô-va Đức Chúa Trời chúng ta sẽ giải cứu chúng ta khỏi tay vua A-si-ri, ấy há chẳng phải người dỗ dành các ngươi đặng phó các ngươi đói khát cho chết hay sao?
Has not this same Hezekiah taken away his high places and his altars, saying to Judah and Jerusalem, Give worship before one altar only, burning offerings on it?|Chớ thì chẳng phải chính Ê-xê-chia này đã cất những nơi cao và bàn thờ của Ngài, rồi biểu dân Giu-đa và Giê-ru-sa-lem rằng: Các ngươi khá thờ lạy trước một bàn thờ, và chỉ xông hương tại trên đó mà thôi?
Have you no knowledge of what I and my fathers have done to all the peoples of every land? were the gods of the nations of those lands able to keep their land from falling into my hands?|Các ngươi há chẳng biết điều ta và tổ phụ ta đã làm cho các dân thiên hạ sao? Các thần của những dân tộc thiên hạ, há giải cứu xứ chúng nó được khỏi tay ta ư?
Who was there among all the gods of those nations, which my fathers put to destruction, who was able to keep his people safe from my hands? and is it possible that your God will keep you safe from my hands?|Nội trong các thần của những dân tộc mà tổ phụ ta đã diệt hết đi, há có thần nào giải cứu dân mình cho khỏi tay ta chăng? Dễ có một mình Thần các ngươi giải cứu các ngươi được khỏi tay ta chớ!
So do not be tricked by Hezekiah or let him get you to do this, and do not put any faith in what he says: for no god of any nation or kingdom has been able to keep his people safe from my hands, or the hands of my fathers: how much less will your God keep you safe from my hands!|Vậy bây giờ, chớ để Ê-xê-chia phỉnh gạt, khuyên dụ các ngươi như thế, và các ngươi chớ tin người; vì chẳng có thần của dân nào nước nào giải cứu dân mình được khỏi tay ta hay là khỏi tay tổ phụ ta; huống chi Đức Chúa Trời các ngươi giải cứu các ngươi khỏi tay ta!
And his servants said even more against the Lord God and against his servant Hezekiah.|Các đầy tớ người lại còn nói nghịch cùng Giê-hô-va là Đức Chúa Trời thật, và nghịch cùng Ê-xê-chia, là tôi tớ Ngài.
And he sent letters, in addition, to put shame on the Lord, the God of Israel, and to say evil against him, saying, As the gods of the nations of other lands have not been able to keep their people safe from my hands, no more will the God of Hezekiah keep his people safe from my hands.|Người cũng viết thơ sỉ nhục Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, và nói phạm đến Ngài mà rằng: Hễ thần của các dân tộc thiên hạ chẳng giải cứu dân mình khỏi tay ta thế nào, thì thần của Ê-xê-chia cũng chẳng giải cứu được dân sự người khỏi tay ta thế ấy.
These things they said, crying out with a loud voice in the Jews' language, to the people of Jerusalem who were on the wall, with the purpose of troubling them and putting fear into them, so that they might take the town;|Chúng la lớn lên, nói bằng tiếng Giu-đa cho dân Giê-ru-sa-lam ở trên vách thành, đặng làm cho chúng sợ hoảng, để hãm lấy thành.
Talking of the God of Jerusalem as if he was like the gods of the peoples of the earth, the work of men's hands.|Chúng lại nói về Đức Chúa Trời của Giê-ru-sa-lem, như thể các thần của dân thiên hạ đều là công việc của tay người ta làm ra.
And Hezekiah the king, and Isaiah the prophet, the son of Amoz, made prayer because of this, crying out to heaven.|Vua Ê-xê-chia, và tiên tri Ê-sai, con trai A-mốt, cầu nguyện về việc này, và kêu la thấu đến trời.
And the Lord sent an angel who put to death all the men of war and the chiefs and the captains in the army of the king of Assyria. So he went back to his country in shame. And when he came into the house of his god, his sons, the offspring of his body, put him to death there with the sword.|Đức Giê-hô-va bèn sai một thiên sứ diệt những người mạnh dạn, các quan trưởng và các quan tướng ở trong trại quân của vua A-si-ri. người trở về trong xứ mình, mặt hổ thẹn; và khi người vào trong miễu thần mình, có những kẻ bởi lòng người sanh ra đều lấy gươm giết người tại đó.
So the Lord gave Hezekiah and the people of Jerusalem salvation from the power of Sennacherib, the king of Assyria, and from all others, giving them rest on every side.|Như vậy Đức Giê-hô-va cứu Ê-xê-chia và dân cư thành Giê-ru-sa-lem khỏi tay San-chê-ríp, vua A-si-ri, và khỏi tay mọi người khác, cùng phù hộ cho chúng bốn bên.
And great numbers came to Jerusalem with offerings for the Lord, and things of great price for Hezekiah, king of Judah: so that he was honoured among all nations from that time.|Có nhiều người đem những lễ vật đến dâng cho Đức Giê-hô-va tại Giê-ru-sa-lem, và những vật quí báu cho Ê-xê-chia, vua Giu-đa; nên từ khi ấy về sau, người được tôn cao trước mặt các nước.
In those days Hezekiah was ill and near death; and he made prayer to the Lord, and the Lord in answer gave him a sign.|Trong lúc ấy, Ê-xê-chia bị đau hòng chết; người cầu nguyện Đức Giê-hô-va, Đức Giê-hô-va phán cùng người, và ban cho người một dấu lạ.
But Hezekiah did not do as had been done to him; for his heart was lifted up in pride; and so wrath came on him and on Judah and Jerusalem.|Nhưng Ê-xê-chia chẳng báo đáp lại ơn Chúa mà người đã lãnh, vì lòng người tự cao; bèn có cơn thạnh nộ của Chúa nổi lên cùng người, cùng Giu-đa và Giê-ru-sa-lem.
But then, Hezekiah, in sorrow for what he had done, put away his pride; and he and all Jerusalem made themselves low, so that the wrath of the Lord did not come on them in Hezekiah's life-time.|Song Ê-xê-chia hạ sự tự cao trong lòng mình xuống, người và dân cư Giê-ru-sa-lem cũng vậy, nên trong đời Ê-xê-chia, cơn thạnh nộ của Đức Giê-hô-va không giáng trên chúng.
And Hezekiah had very great wealth and honour; and he made himself store-houses for his gold and silver and jewels and spices, and for body-covers and all sorts of beautiful vessels.|Ê-xê-chia được rất giàu rất sang; người cất những kho để trử bạc, vàng, đá quí, thuốc thơm, khiên, và các thứ khí giới tốt đẹp;
And store-houses for the produce of grain and wine and oil; and buildings for all sorts of beasts and flocks.|những lẫm đặng chứa ngũ cốc, rượu, và dầu; những chuồng để nhốt các thứ thú vật, bầy chiên, và bầy bò.
And he made towns for himself, and got together much property in flocks and herds: for God had given him great wealth.|Người cũng xây những thành, có nhiều bầy chiên và bò; vì Đức Chúa Trời ban cho người rất nhiều của cải.
It was Hezekiah who had the higher spring of the water of Gihon stopped, and the water taken down on the west side of the town of David. In everything he undertook, Hezekiah did well.|Ay là Ê-xê-chia này lấp nguồn trên của nước Ghi-hôn, và dẫn nó chảy ngầm dưới đất qua phía tây của thành Đa-vít. Trong mọi việc Ê-xê-chia được hanh thông.
However, in the business of the representatives sent by the rulers of Babylon to get news of the wonder which had taken place in the land, God gave up guiding him, testing him to see what was in his heart.|Song khi sứ giả mà vua Ba-by-lôn sai đến người đặng hỏi thăm dấu lạ đã xảy ra trong xứ, thì Đức Chúa Trời tạm lìa bỏ người đặng thử người, để cho biết mọi điều ở trong lòng người.
Now the rest of the acts of Hezekiah, and the good he did, are recorded in the vision of Isaiah the prophet, the son of Amoz, and in the book of the kings of Judah and Israel.|Các công việc khác của Ê-xê-chia, và những việc thiện của người, đều chép trong sách dị tượng của Ê-sai, đấng tiên tri, con trai của A-mốt, và trong sách các vua Giu-đa và Y-sơ-ra-ên.
So Hezekiah went to rest with his fathers, and they put his body into the higher part of the resting-places of the sons of David: and all Judah and the people of Jerusalem gave him honour at his death. And Manasseh his son became king in his place.|Ê-xê-chia an giấc cùng tổ phụ mình, người ta chôn người trong lăng tẩm cao của con cháu Đa-vít; cả Giu-đa và Giê-ru-sa-lem đều tôn kính người lúc người thác; Ma-na-se, con trai người, cai trị thế cho người.

					II Chronicles 33				|
						II Sử Ký 33					
Manasseh was twelve years old when he became king, and he was ruling for fifty-five years in Jerusalem.|Ma-na-se được mười hai tuổi khi người lên làm vua, và người cai trị năm mươi lăm năm tại Giê-ru-sa-lem.
