
					Exodus 1				|
And I have given him the spirit of God and made him wise and full of knowledge and expert in every sort of handwork,|Ta đã làm cho người đầy dẫy Thần của Đức Chúa Trời, sự khôn ngoan, sự thông sáng, và sự hiểu biết để làm mọi thứ nghề thợ,
To do all sorts of delicate work in gold and silver and brass;|đặng bày ra và chế tạo đồ vàng, bạc và đồng,
In cutting stones for framing, and to do every form of woodwork.|đặng khác và khảm ngọc, đẽo gỗ và làm được mọi thứ nghề thợ.
And I have made selection of Oholiab with him, the son of Ahisamach, of the tribe of Dan; and in the hearts of all who are wise I have put the knowledge to make whatever I have given you orders to have made;|Đây, ta lại cho một người phụ việc, tên là Ô-hô-li-áp, con trai của A-hi-sa-mạc, trong chi phái Đan. Ta cũng đã ban sự thông minh cho mọi người tài năng, hầu cho họ làm các việc ta đã phán dặn ngươi,
The Tent of meeting, and the ark of the law, and the cover which is on it, and all the things for the tent,|là hội mạc, hòm bảng chứng, nắp thi ân ở trên hòm, cùng đồ dùng trong hội mạc;
And the table with its vessels, and the holy light-support with all its vessels, and the altar for the burning of spices,|bàn thờ cùng đồ phụ tùng, chân đèn bằng vàng ròng và đồ phụ tùng, bàn thờ xông hương,
And the altar of burned offerings with all its vessels, and the washing-vessel with its base,|bàn thờ dâng của lễ thiêu cùng đồ phụ tùng, cái thùng và chân thùng;
And the robes of needlework, the holy robes for Aaron and for his sons, for their use when acting as priests,|áo lễ, áo thánh cho A-rôn thầy tế lễ cả, và bộ áo cho các con trai người, đặng làm chức tế lễ;
And the holy oil, and the perfume of sweet spices for the holy place; they will do whatever I have given you orders to have done.|dầu xức, và hương thơm của nơi thánh. Các người đó phải làm hết thảy theo lời ta đã phán dặn ngươi.
And the Lord said to Moses,|Đức Giê-hô-va lại phán cùng Môi-se rằng:
Say to the children of Israel that they are to keep my Sabbaths; for the Sabbath day is a sign between me and you through all your generations; so that you may see that I am the Lord who makes you holy.|Phần ngươi, hãy nói cùng dân Y-sơ-ra-ên rằng: Nhất là các ngươi hãy giữ ngày sa-bát ta, vì là một dấu giữa ta và các ngươi, trải qua mọi đời, để thiên hạ biết rằng ta, là Đức Giê-hô-va, làm cho các ngươi nên thánh.
So you are to keep the Sabbath as a holy day; and anyone not honouring it will certainly be put to death: whoever does any work on that day will be cut off from his people.|Vậy, hãy giữ ngày sa-bát, vì là một ngày thánh cho các ngươi. Kẻ nào phạm đến ngày đó, phải bị xử tử; kẻ nào làm một việc chi trong ngày đó, cũng sẽ bị truất khỏi vòng dân sự.
Six days may work be done, but the seventh day is a Sabbath of complete rest, holy to the Lord; whoever does any work on the Sabbath day is to be put to death.|Người ta sẽ làm công việc trong sáu ngày, nhưng qua ngày thứ bảy là ngày sa-bát, tức là ngày nghỉ, biệt riêng ra thánh cho Đức Giê-hô-va. Trong ngày sa-bát hễ ai làm một việc chi sẽ bị xử tử.
And the children of Israel are to keep the Sabbath holy, from generation to generation, by an eternal agreement.|Ay vậy, dân Y-sơ-ra-ên sẽ giữ ngày sa-bát trải các đời của họ, như một giao ước đời đời.
It is a sign between me and the children of Israel for ever; because in six days the Lord made heaven and earth, and on the seventh day he took his rest and had pleasure in it.|Ay là một dấu đời đời cho ta cùng dân Y-sơ-ra-ên, vì Đức Giê-hô-va đã dựng nên trời và đất trong sáu ngày, qua ngày thứ bảy Ngài nghỉ và lấy sức lại.
And when his talk with Moses on Mount Sinai was ended, he gave him the two stones of the law, two stones on which was the writing made by the finger of God.|Khi Đức Giê-hô-va đã phán xong cùng Môi-se tại núi Si-na -i, bèn cho người hai bảng chứng bằng đá, với ngón tay Đức Chúa Trời viết ra.

					Exodus 32				|
						Xuất Hành 32					
And when the people saw that Moses was a long time coming down from the mountain, they all came to Aaron and said to him, Come, make us a god to go before us: as for this Moses, who took us up out of the land of Egypt, we have no idea what has become of him.|Dân sự thấy Môi-se ở trên núi chậm xuống, bèn nhóm lại chung quanh A-rôn mà nói rằng: Nào! hãy làm các thần để đi trước chúng tôi đi, vì về phần Môi-se nầy, là người đã dẫn chúng tôi ra khỏi xứ Ê-díp-tô, chúng tôi chẳng biết điều chi đã xảy đến cho người rồi.
Then Aaron said to them, Take off the gold rings which are in the ears of your wives and your sons and your daughters, and give them to me.|A-rôn đáp rằng: Hãy một những vòng vàng đeo nơi tai vợ, con trai và con gái các ngươi đi, rồi đem lại cho ta.
And all the people took the gold rings from their ears and gave them to Aaron.|Hết thảy đều lột vòng vàng nơi tai mình mà đem lại cho A-rôn;
And he took the gold from them and, hammering it with an instrument, he made it into the metal image of a young ox: and they said, This is your god, O Israel, who took you out of the land of Egypt.|người nhận lấy nơi tay họ, và dùng đục làm thành một bò con đúc. Dân chúng nói rằng: Hỡi Y-sơ-ra-ên! nầy là các thần của ngươi đã đem ngươi ra khỏi xứ Ê-díp-tô.
And when Aaron saw this, he made an altar before it, and made a public statement, saying, Tomorrow there will be a feast to the Lord.|A-rôn thấy vậy, bèn lập một bàn thờ trước mặt tượng bò đó; đoạn, người la lên rằng: Sáng mai sẽ có lễ tôn trọng Đức Giê-hô-va!
So early on the day after they got up and made burned offerings and peace-offerings; and took their seats at the feast, and then gave themselves to pleasure.|Sáng mai dân chúng bèn thức dậy sớm, dâng các của lễ thiêu và lễ thù ân; ngồi mà ăn uống, đoạn đứng dậy mà vui chơi.
And the Lord said to Moses, Go down quickly; for your people, whom you took out of the land of Egypt, are turned to evil ways;|Đức Giê-hô-va bèn phán cùng Môi-se rằng: Hãy xuống đi, vì dân mà ngươi đưa ra khỏi xứ Ê-díp-tô đã bại hoại rồi,
Even now they are turned away from the rule I gave them, and have made themselves a metal ox and given worship to it and offerings, saying, This is your god, O Israel, who took you up out of the land of Egypt.|vội bỏ đạo ta truyền dạy, đúc một con bò tơ, mọp trước tượng bò đó và dâng của lễ cho nó mà nói rằng: Hỡi Y-sơ-ra-ên! đây là các thần đã dẫn ngươi lên khỏi xứ Ê-díp-tô!
And the Lord said to Moses, I have been watching this people, and I see that they are a stiff-necked people.|Đức Giê-hô-va cũng phán cùng Môi-se rằng: Ta đã xem thấy dân nầy, kìa là một dân cứng cổ.
Now do not get in my way, for my wrath is burning against them; I will send destruction on them, but of you I will make a great nation.|Vả, bây giờ hãy để mặc ta làm, hầu cho cơn thạnh nộ ta nổi lên cùng chúng nó, diệt chúng nó đi; nhưng ta sẽ làm cho ngươi thành một dân lớn.
But Moses made prayer to God, saying, Lord, why is your wrath burning against your people whom you took out of the land of Egypt, with great power and with the strength of your hand?|Môi-se bèn nài xin Giê-hô-va Đức Chúa Trời người rằng: Lạy Đức Giê-hô-va, sao nổi thạnh nộ cùng dân Ngài? là dân mà Ngài đã dùng quyền lớn lao mạnh mẽ đưa ra khỏi xứ Ê-díp-tô.
Why let the Egyptians say, He took them out to an evil fate, to put them to death on the mountains, cutting them off from the earth? Let your wrath be turned away from them, and send not this evil on your people.|Sao để cho người Ê-díp-tô nói rằng: Ngài đưa chúng nó ra khỏi xứ đặng làm hại cho, giết đi tại trong núi, cùng diệt chúng nó khỏi mặt đất? Cầu xin Chúa hãy nguôi cơn giận và bỏ qua điều tai họa mà Ngài muốn giáng cho dân Ngài.
Have in mind Abraham, Isaac, and Israel, your servants, to whom you gave your oath, saying, I will make your seed like the stars of heaven in number, and all this land will I give to your seed, as I said, to be their heritage for ever.|Xin Chúa hãy nhớ lại Ap-ra-ham, Y-sác, Y-sơ-ra-ên, là các tôi tớ Ngài, mà Ngài có chỉ mình thề cùng họ rằng: Ta sẽ thêm dòng dõi các ngươi lên nhiều như sao trên trời, ta sẽ ban cho dòng dõi đó cả xứ mà ta chỉ phán, và họ sẽ được xứ ấy làm cơ nghiệp đời đời.
So the Lord let himself be turned from his purpose of sending punishment on his people.|Đức Giê-hô-va bèn bỏ qua điều tai họa mà Ngài nói rằng sẽ giáng cho dân mình.
Then Moses came down the mountain with the two stones of the law in his hand; the stones had writing on their two sides, on the front and on the back.|Đoạn, Môi-se ở trên núi trở xuống, tay cầm hai bảng chứng; hai bảng chứng có viết hai bên, mặt nầy và mặt kia.
The stones were the work of God, and the writing was the writing of God, cut on the stones.|Hai bảng đó là việc của Đức Chúa Trời làm ra; chữ cũng là chữ của Đức Chúa Trời khắc trên bảng.
Now when the noise and the voices of the people came to the ears of Joshua, he said to Moses, There is a noise of war in the tents.|Vả, Giô-suê nghe dân chúng la lên, bèn nói cùng Môi-se rằng: Trong trại quân có tiếng chiến đấu.
And Moses said, It is not the voice of men who are overcoming in the fight, or the cry of those who have been overcome; it is the sound of songs which comes to my ear.|Môi-se đáp rằng: Chẳng phải tiếng kêu về thắng trận, cũng chẳng phải tiếng kêu về thua trận; nhưng ta nghe tiếng kẻ hát.
And when he came near the tents he saw the image of the ox, and the people dancing; and in his wrath Moses let the stones go from his hands, and they were broken at the foot of the mountain.|Khi đến gần trại quân, Môi-se thấy bò con và sự nhảy múa, bèn nổi giận, liệng hai bảng chứng khỏi tay mịnh, bể ra nơi chân núi;
And he took the ox which they had made, burning it in the fire and crushing it to powder, and he put it in the water and made the children of Israel take a drink of it.|đoạn lấy bò con của chúng đã đúc đem đốt trong lửa, rồi nghiền cho đến thành ra bụi, rải trên mặt nước, và cho dân Y-sơ-ra-ên uống.
And Moses said to Aaron, What did the people do to you that you let this great sin come on them?|Môi-se bèn nói cùng A-rôn rằng: Dân nầy làm chi anh, mà anh xui cho chúng phạm tội nặng dường ấy?
And Aaron said, Let not my lord be angry; you have seen how the purposes of this people are evil.|A-rôn đáp rằng: Xin chúa tôi đừng nổi giận, chúa biết rằng dân nầy chuyên làm điều ác!
For they said to me, Make us a god to go before us: as for this Moses, who took us up out of the land of Egypt, we have no idea what has come to him.|Họ có nói cùng tôi rằng: Hãy làm các thần đi trước chúng tôi; vì về phần Môi-se nầy, là người đã dẫn chúng tôi ra khỏi xứ Ê-díp-tô, chúng tôi chẳng biết có điều chi xảy đến cho người rồi.
Then I said to them, Whoever has any gold, let him take it off; so they gave it to me, and I put it in the fire, and this image of an ox came out.|Tôi bèn nói cùng chúng rằng: Ai có vàng hãy lột ra! Họ bèn đưa cho tôi, tôi bỏ vào lửa, và bởi đó thành ra bò con nầy.
And Moses saw that the people were out of control, for Aaron had let them loose to their shame before their haters:|Vả, Môi-se thấy dân sự buông lung, vì A-rôn để họ buông lung, đến đỗi bị sỉ nhục trong vòng các thù nghịch,
Then Moses took his place at the way into the tents, and said, Whoever is on the Lord's side, let him come to me. And all the sons of Levi came together to him.|thì người đứng nơi cửa trại quân mà nói rằng: Ai thuộc về Đức Giê-hô-va, hãy đến cùng ta đây! Hết thảy người Lê-vi đều nhóm lại gần bên người.
And he said to them, This is the word of the Lord, the God of Israel: Let every man take his sword at his side, and go from one end of the tents to the other, putting to death his brother and his friend and his neighbour.|Người truyền cho họ rằng: Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên, có phán như vầy: Mỗi người trong các ngươi hãy đeo gươm bên mình, đi qua đi lại trong trại quân, từ cửa nầy đến cửa kia, và mỗi người hãy giết anh em, bạn hữu, và kẻ lân cận mình.
And the sons of Levi did as Moses said; and about three thousand of the people were put to death that day.|Dân Lê-vi bèn làm y như lời Môi-se; trong ngày đó có chừng ba ngàn người bị chết.
And Moses said, You have made yourselves priests to the Lord this day; for every one of you has made the offering of his son and his brother; the blessing of the Lord is on you this day.|Vả, Môi-se đã truyền rằng: Ngày nay mỗi người trong vòng các ngươi hãy dâng tay mình cho Đức Giê-hô-va, chẳng sá chi đến con trai hay là anh em mình, hầu cho các ngươi được ơn phước vậy.
And on the day after, Moses said to the people, Great has been your sin: but I will go up to the Lord, and see if I may get forgiveness for your sin.|Ngày mai, Môi-se nói cùng dân sự rằng: Các ngươi đã phạm một tội rất trọng; song bây giờ ta lên đến Đức Giê-hô-va, có lẽ ta sẽ được chuộc tội các ngươi chăng.
Then Moses went back to the Lord and said, This people has done a great sin, making themselves a god of gold;|Vậy, Môi-se trở lên đến Đức Giê-hô-va mà thưa rằng: Oi! dân sự nầy có phạm một tội trọng, làm cho mình các thần bằng vàng;
But now, if you will give them forgiveness--but if not, let my name be taken out of your book.|nhưng bây giờ xin Chúa tha tội cho họ! Bằng không, hãy xóa tên tôi khỏi sách Ngài đã chép đi.
And the Lord said to Moses, Whoever has done evil against me will be taken out of my book.|Đức Giê-hô-va phán cùng Môi-se rằng: Kẻ nào phạm tội cùng ta, ta sẽ xóa nó khỏi sách ta.
But now, go, take the people into that place of which I have given you word; see, my angel will go before you: but when the time of my judging has come, I will send punishment on them for their sin.|Bây giờ, hãy đi, dẫn dân sự đến nơi ta đã chỉ phán. Nầy thiên sứ ta sẽ đi trước ngươi; nhưng ngày nào ta hình phạt thì sẽ phạt tội chúng nó.
And the Lord sent punishment on the people because they gave worship to the ox which Aaron made.|Đức Giê-hô-va hành phạt dân sự là vậy, vì dân sự là gốc phạm về tượng bò vàng mà A-rôn đã làm ra.

					Exodus 33				|
						Xuất Hành 33					
And the Lord said to Moses, Go forward from this place, you and the people whom you have taken up out of the land of Egypt, to that land about which I made an oath to Abraham, Isaac, and Jacob, saying, To your seed will I give it.|Đức Giê-hô-va phán cùng Môi-se rằng: Nầy, ngươi cùng dân sự mà ngươi đã dẫn ra khỏi xứ Ê-díp-tô hãy từ đây đi lên xứ ta đã thề ban cho Ap-ra-ham, Y-sác, và Gia-cốp, rằng: Ta sẽ ban xứ đó cho dòng dõi ngươi.
And I will send an angel before you, driving out the Canaanite and the Amorite and the Hittite and the Perizzite and the Hivite and the Jebusite:|Ta sẽ sai một thiên sứ đi trước ngươi, và sẽ đuổi dân Ca-na-an, dân A-mô-rít, dân Hê-tít, dân Phê-rê-sít, dân Hê-vít, và dân Giê-bu-sít,
Go up to that land flowing with milk and honey; but I will not go up among you, for you are a stiff-necked people, for fear that I send destruction on you while you are on the way.|đặng đưa các ngươi vào xứ đượm sữa và mật; nhưng ta không cùng lên với ngươi đâu, vì ngươi là dân cứng cổ, e ta diệt ngươi dọc đường chăng.
Hearing this bad news the people were full of grief, and no one put on his ornaments.|Khi dân sự nghe lời hăm nầy, bèn đều để tang, không ai đeo đồ trang sức hết.
And the Lord said to Moses, Say to the children of Israel, You are a stiff-necked people: if I come among you, even for a minute, I will send destruction on you; so take off all your ornaments, so that I may see what to do with you.|Vì Đức Giê-hô-va đã phán cùng Môi-se rằng: Hãy nói cùng dân Y-sơ-ra-ên: Các ngươi là dân cứng cổ, nếu ta cùng lên với các ngươi chỉ trong một lúc, thì ta sẽ diệt các ngươi! Vậy, bây giờ, hãy cất đồ trang sức trong mình ngươi đi, đặng ta biết liệu đãi ngươi cách nào.
So the children of Israel took off their ornaments at Mount Horeb, and did not put them on again.|Thế thì, từ núi Hô-rếp, dân Y-sơ-ra-ên đã lột các đồ trang sức mình.
Now it was Moses' way to put up the Tent of meeting outside the tent-circle, at some distance away; giving it the name of The Tent of meeting. And everyone desiring to make his prayer to the Lord went to the Tent of meeting outside the tent-circle.|Môi-se lấy Trại đem dựng xa ra ngoài trại quân, gọi là hội mạc, phàm ai muốn cầu khẩn Đức Giê-hô-va, thì ra đến hội mạc ở ngoài trại quân.
And whenever Moses went out to the Tent of meeting, all the people got up and everyone went to the door of his tent, looking after Moses till he went inside the Tent.|Vừa khi Môi-se ra đến Trại, thì cả dân sự chổi dậy, mỗi người đứng nơi cửa trại mình, ngó theo Môi-se cho đến khi nào người vào trong Trại rồi.
And whenever Moses went into the Tent, the pillar of cloud came down, and took its place by the door of the Tent, as long as the Lord was talking with Moses.|Vừa khi người vào đó, thì trụ mây giáng xuống dừng tại cửa Trại, và Đức Giê-hô-va phán cùng Môi-se.
And all the people saw the cloud at the door of the Tent, and they went down on their faces, everyone at the door of his tent.|Cả dân sự thấy trụ mây dừng tại cửa Trại, bèn đứng dậy, rồi mỗi người đều sấp mình xuống nơi cửa trại mình.
And the Lord had talk with Moses face to face, as a man may have talk with his friend. And when Moses came back to the tents, his servant, the young man Joshua, the son of Nun, did not come away from the Tent.|Đức Giê-hô-va đối diện phán cùng Môi-se, như một người nói chuyện cùng bạn hữu mình. Đoạn, Môi-se trở về trại quân, còn kẻ hầu trẻ của người, tên là Giô-suê, con trai của Nun, không ra khỏi Trại.
And Moses said to the Lord, See, you say to me, Be this people's guide on their journey, but you have not made clear to me whom you will send with me. But you have said, I have knowledge of you by name, and you have grace in my eyes.|Môi-se thưa cùng Đức Giê-hô-va rằng: Nầy, Chúa phán cùng tôi rằng: Hãy đem dân sự nầy lên! Song Chúa chẳng cho tôi biết Chúa sai ai đi cùng tôi. Vả, Chúa có phán rằng: Ta biết ngươi vì danh ngươi, và ngươi được ơn trước mặt ta.
If then I have grace in your eyes, let me see your ways, so that I may have knowledge of you and be certain of your grace; and my prayer is that you will keep in mind that this nation is your people.|Vậy bây giờ, nếu tôi được ơn trước mặt Chúa, xin cho tôi biết đường của Chúa, để cho tôi biết Chúa và được ơn trước mặt Ngài. Xin cũng hãy nghĩ rằng dân nầy là dân của Ngài!
And he said, I myself will go with you and give you rest.|Đức Giê-hô-va đáp rằng: Chính mình ta sẽ đi cùng ngươi, và ta sẽ cho ngươi an nghỉ.
And Moses said, If you yourself are not going with us, do not send us on from here.|Môi-se thưa rằng: Nếu chính mình Ngài chẳng đi, xin đừng đem chúng tôi lên khỏi đây.
For is not the fact of your going with us the sign that I and this people have grace in your eyes, so that we, that is, I and your people, are separate from all other people on the face of the earth?|Lấy cớ chi mà người ta sẽ biết rằng tôi cùng dân sự Ngài được ơn trước mặt Ngài? Có phải khi nào Ngài cùng đi với chúng tôi chăng? Thế thì, tôi cùng dân sự Ngài sẽ được phân biệt với muôn dân trên mặt đất.
And the Lord said to Moses, I will do as you say: for you have grace in my eyes, and I have knowledge of you by your name.|Đức Giê-hô-va phán cùng Môi-se rằng: Ta sẽ làm điều ngươi cầu xin ta, vì ngươi được ơn trước mặt ta, và ta biết ngươi bởi danh ngươi vậy.
And Moses said, O Lord, let me see your glory.|Môi-se thưa rằng: Tôi xin Ngài cho tôi xem sự vinh hiển của Ngài!
And he said, I will make all the light of my being come before you, and will make clear to you what I am; I will be kind to those to whom I will be kind, and have mercy on those on whom I will have mercy.|Đức Giê-hô-va phán ràng: Ta sẽ làm cho các sự nhân từ ta phát ra trước mặt ngươi; ta hô danh Giê-hô-va trước mặt ngươi; làm ơn cho ai ta muốn làm ơn, và thương xót ai ta muốn thương xót.
But it is not possible for you to see my face, for no man may see me and still go on living.|Ngài lại phán rằng: Ngươi sẽ chẳng thấy được mặt ta, vì không ai thấy mặt ta mà còn sống.
And the Lord said, See, there is a place near me, and you may take your place on the rock:|Đức Giê-hô-va lại phán: Đây có một chỗ gần ta, ngươi hãy đứng trên hòn đá;
And when my glory goes by, I will put you in a hole in the rock, covering you with my hand till I have gone past:|khi sự vinh hiển ta đi ngang qua, ta sẽ để ngươi trong bộng đá, lấy tay ta che ngươi, cho đến chừng nào ta đi qua rồi.
Then I will take away my hand, and you will see my back: but my face is not to be seen.|Ta sẽ rút tay lại, và ngươi thấy phía sau ta; nhưng thấy mặt ta chẳng được.

					Exodus 34				|
						Xuất Hành 34					
And the Lord said to Moses, Make two other stones like the first two; and I will put on them the words which were on the first stones, which were broken by you.|Đức Giê-hô-va phán cùng Môi-se rằng: Hãy đục hai bảng đá như hai bảng trước; rồi ta sẽ viết trên hai bảng nầy các lời đã ở nơi hai bảng kia, mà ngươi đã làm bể.
And be ready by the morning, and come up on Mount Sinai, and come before me there in the morning, on the top of the mountain.|Ngày mai, hãy chực cho sẵn, vừa sáng lên trên đỉnh núi Si-na -i, đứng trước mặt ta tại đó.
No one is to come up with you, and let no man be seen anywhere on the mountain; let no flocks or herds come near to get their food at its foot.|Không ai nên lên theo cùng ngươi hết, khắp núi không nên thấy có người, và chiên, bò cũng chẳng nên ăn cỏ nơi núi nầy nữa.
So Moses got two stones cut like the first; and early in the morning he went up Mount Sinai, as the Lord had said, with the two stones in his hand.|Môi-se bèn đục hai bảng đá, y như hai bảng trước; dậy sớm, cầm theo tay hai bảng đó lên trên núi Si-na -i, y như lời Đức Giê-hô-va đã phán dặn.
And the Lord came down in the cloud and took his place by the side of Moses, and Moses gave worship to the name of the Lord.|Đức Giê-hô-va ngự xuống trong đám mây, đứng gần bên Môi-se và hô danh Giê-hô-va.
And the Lord went past before his eyes, saying, The Lord, the Lord, a God full of pity and grace, slow to wrath and great in mercy and faith;|Ngài đi ngang qua mặt người, hô rằng: Giê-hô-va! Giê-hô-va! là Đức Chúa Trời nhân từ, thương xót, chậm giận, đầy dẫy ân huệ và thành thực,
Having mercy on thousands, overlooking evil and wrongdoing and sin; he will not let wrongdoers go free, but will send punishment on children for the sins of their fathers, and on their children's children to the third and fourth generation.|ban ơn đến ngàn đời, xá điều gian ác, tội trọng, và tội lỗi; nhưng chẳng kể kẻ có tội là vô tội, và nhơn tội tổ phụ phạt đến con cháu trải ba bốn đời.
Then Moses quickly went down on his face in worship.|Môi-se lật đật cúi đầu xuống đất và thờ lạy, mà thưa rằng:
And he said, If now I have grace in your eyes, let the Lord go among us, for this is a stiff-necked people, and give us forgiveness for our wrongdoing and our sin, and take us for your heritage.|Lạy Chúa! Nếu tôi được ơn trước mặt Chúa, xin hãy đi giữa chúng tôi, vì dân nầy là một dân cứng cổ. Xin hãy tha sự gian ác cùng tội lỗi, và nhận chúng tôi làm cơ nghiệp Chúa.
And the Lord said, See, this is what I will undertake: before the eyes of your people I will do wonders, such as have not been done in all the earth or in any nation: and all your people will see the work of the Lord, for what I am about to do for you is greatly to be feared.|Đức Giê-hô-va phán rằng: Nầy, ta lập một giao ước. Trước mặt các dân sự của ngươi, ta sẽ làm các phép lạ chưa hề có làm trên cả mặt đất, hay là nơi dân nào; và toàn dân sự mà trong đó có ngươi, sẽ xem thấy việc Đức Giê-hô, vì điều ta sẽ làm cùng ngươi là một điều đáng kinh khiếp.
Take care to do the orders which I give you today; I will send out from before you the Amorite and the Canaanite and the Hittite and the Perizzite and the Hivite and the Jebusite.|Hãy cẩn thận về điều ta truyền cho ngươi hôm nay. Nầy, ta sẽ đuổi khỏi trước mặt ngươi dân A-mô-rít, dân Ca-na-an, dân Hê-tít, dân Phê-rê-sít, dân Hê-vít, và dân Giê-bu-sít.
But take care, and do not make any agreement with the people of the land where you are going, for it will be a cause of sin to you.|Hãy cẩn thận đừng lập giao ước cùng dân của xứ mà ngươi sẽ vào, e chúng nó sẽ thành cái bẫy giữa ngươi chăng.
But their altars are to be overturned and their pillars broken and their images cut down:|Nhưng các ngươi hãy phá hủy bàn thờ, đập bể pho tượng và đánh hạ các thần chúng nó.
For you are to be worshippers of no other god: for the Lord is a God who will not give his honour to another.|Vì ngươi đừng sấp mình xuống trước mặt Chúa nào khác, bởi Đức Giê-hô-va tự xưng là Đức Chúa Trời kỵ tà; Ngài thật là một Đức Chúa Trời kỵ tà vậy.
So see that you make no agreement with the people of the land, and do not go after their gods, or take part in their offerings, or be guests at their feasts,|Hãy cẩn thận đừng lập giao ước cùng dân của xứ đó, e khi chúng nó hành dâm cùng các tà thần chúng nó và tế các tà thần của chúng nó, có kẻ mời, rồi ngươi ăn của chúng họ chăng.
Or take their daughters for your sons; for when their daughters give worship before their gods, they will make your sons take part with them.|Lại đừng cưới con gái chúng nó cho con trai ngươi, e khi con gái chúng nó hành dâm với các tà thần chúng nó, quyến dụ con trai ngươi cũng hành dâm cùng các tà thần của chúng nó nữa chăng.
Make for yourselves no gods of metal.|Ngươi chớ đúc thần tượng.
Keep the feast of unleavened bread; for seven days your food is to be bread without leaven, as I gave you orders, at the regular time in the month Abib; for in that month you came out of Egypt.|Ngươi hãy giữ lễ bánh không men. Nhằm kỳ tháng lúa trỗ, hãy ăn bánh không men trong bảy ngày, như ta đã truyền dặn ngươi; vì nhằm tháng đó ngươi ra khỏi xứ Ê-díp-tô.
Every first male child is mine; the first male birth of your cattle, the first male of every ox and sheep.|Các con trưởng nam đều thuộc về ta; cùng các con đực đầu lòng của bầy súc vật ngươi, hoặc bò hoặc chiên cũng vậy.
A lamb may be given in payment for the young of an ass, but if you will not make payment for it, its neck will have to be broken. For all the first of your sons you are to make payment. No one is to come before me without an offering.|Nhưng ngươi sẽ bắt một chiên con hay là dê con mà chuộc một con lừa đầu lòng. Nếu chẳng chuộc nó, ngươi hãy bẻ cổ nó. Ngươi sẽ chuộc các con trưởng nam mình; và chớ ai đi tay không đến chầu trước mặt ta.
Six days let work be done, but on the seventh day take your rest: at ploughing time and at the grain-cutting you are to have a day for rest.|Trong sáu ngày ngươi hãy làm công việc, nhưng qua ngày thứ bảy hãy nghỉ, dẫu mùa cày hay mùa gặt ngươi cũng phải nghỉ vậy.
And you are to keep the feast of weeks when you get in the first-fruits of the grain, and the feast at the turn of the year when you take in the produce of your fields.|Đầu mùa gặt lúa mì, ngươi hãy giữ lễ của các tuần lễ; và cuối năm giữ lễ mùa màng.
Three times in the year let all your males come before the Lord, the God of Israel.|Thường năm ba lần, trong vòng các ngươi, mỗi người nam sẽ ra mắt Chúa Giê-hô-va, là Đức Chúa Trời của Y-sơ-ra-ên.
For I will send out the nations before you and make wide the limits of your land; and no man will make an attempt to take your land while you go up to give worship to the Lord, three times in the year.|Vì ta sẽ đuổi các dân khỏi trước mặt ngươi, ta sẽ mở rộng bờ cõi ngươi; và trong khi ngươi lên ra mắt Giê-hô-va Đức Chúa Trời ngươi, mỗi năm ba lần, thì sẽ chẳng ai tham muốn xứ ngươi hết.
No leaven is to be offered with the blood of my offering, and the offering of the Passover feast may not be kept till the morning.|Ngươi chớ dâng huyết của con sinh tế ta cùng bánh pha men; thịt của con sinh về lễ Vượt-qua chớ nên giữ đến sáng mai.
Take the first-fruits of your land as an offering to the house of the Lord your God. Let not the young goat be cooked in its mother's milk|Ngươi sẽ đem dâng hoa quả đầu mùa của đất sanh sản vào đến Giê-hô-va, là Đức Chúa Trời ngươi. Ngươi chớ nấu thịt dê con trong sữa mẹ nó.
And the Lord said to Moses, Put all these words in writing; for on them is based the agreement which I will make with you.|Đức Giê-hô-va cũng phán cùng Môi-se rằng: Hãy chép các lời nầy; vì theo các lời nầy mà ta lập giao ước cùng ngươi và cùng Y-sơ-ra-ên.
And for forty days and forty nights Moses was there with the Lord, and in that time he had no food or drink. And he put in writing on the stones the words of the agreement, the ten rules of the law.|Môi-se ở đó cùng Đức Giê-hô-va trong bốn mươi ngày và bốn mười đêm, không ăn bánh, cũng không uống nước; Đức Giê-hô-va chép trên hai bảng đá các lời giao ước, tức là mười điều răn.
Now when Moses came down from Mount Sinai, with the two stones in his hand, he was not conscious that his face was shining because of his talk with God.|Khi Môi-se tay cầm hai bảng chứng đi xuống núi Si-na -i, chẳng biết rằng da mặt mình sáng rực bởi vì mình hầu chuyện Đức Giê-hô-va.
But when Aaron and all the children of Israel saw Moses, and the shining of his face, they would not come near him for fear.|Nhưng A-rôn cùng cả dân Y-sơ-ra-ên nhìn Môi-se thấy mặt người sáng rực, sợ không dám lại gần.
Then Moses sent for them; and Aaron, with the chiefs of the people, came to him; and Moses had talk with them.|Môi-se bèn gọi họ, A-rôn cùng các hội trưởng đến gần; rồi nói chuyện cùng họ.
And later, all the children of Israel came near, and he gave them all the orders which the Lord had given him on Mount Sinai.|Kế sau, cả dân Y-sơ-ra-ên đến gần, người truyền dặn các điều của Đức Giê-hô-va đã phán dặn mình nơi núi Si-na -i.
And at the end of his talk with them, Moses put a veil over his face.|Môi-se thôi nói chuyện cùng họ, liền lấy lúp che mặt mình lại.
