
					I Sa-mu-ên 1				|
Vậy, nàng phục dưới chơn người mà nói rằng: Lạy chúa, lỗi về tôi, về tôi! Xin cho phép con đòi ông nói trước mặt ông; xin hãy nghe các lời của con đòi ông.|俯 伏 在 大 衛 的 腳 前 、 說 、 我 主 阿 、 願 這 罪 歸 我 ． 求 你 容 婢 女 向 你 進 言 ． 更 求 你 聽 婢 女 的 話 。
Xin chúa chớ kể đến người hung ác kia, là Na-banh; vì tánh hắn thật hiệp với nghĩa tên hắn: tên hắn là Na-banh, và nơi hắn có sự điên dại. Còn tôi, là con đòi chúa, chẳng có thấy những người chúa sai đến.|我 主 不 要 理 這 壞 人 拿 八 、 他 的 性 情 與 他 的 名 相 稱 ． 他 名 叫 拿 八 、 〔 就 是 愚 頑 的 意 思 〕 他 為 人 果 然 愚 頑 ． 但 我 主 所 打 發 的 僕 人 、 婢 女 並 沒 有 看 見 。
Bây giờ, Đức Giê-hô-va đã ngăn chúa đến làm đổ huyết ra, và lấy chánh tay mình mà báo thù; tôi chỉ Đức Giê-hô-va hằng sống và mạng sống của chúa mà thề: nguyện các thù nghịch chúa và kẻ tìm hại chúa đều như Na-banh!|我 主 阿 、 耶 和 華 既 然 阻 止 你 親 手 報 仇 、 取 流 血 的 罪 、 所 以 我 指 著 永 生 的 耶 和 華 、 又 敢 在 你 面 前 起 誓 、 說 、 願 你 的 仇 敵 、 和 謀 害 你 的 人 、 都 像 拿 八 一 樣 。
Vậy bây giờ, nầy là lễ vật mà con đòi chúa đem đến dâng cho chúa, để phát cho các người đi theo sau.|如 今 求 你 將 婢 女 送 來 的 禮 物 、 給 跟 隨 你 的 僕 人 。
Xin hãy tha lỗi cho con đòi chúa! Đức Giê-hô-va quả hẳn sẽ lập nhà chúa được bền lâu, vì chúa đánh giặc cho Đức Giê-hô-va, và trọn đời chúa sẽ chẳng tìm thấy một sự ác nơi chúa.|求 你 饒 恕 婢 女 的 罪 過 ． 耶 和 華 必 為 我 主 建 立 堅 固 的 家 、 因 我 主 為 耶 和 華 爭 戰 ． 並 且 在 你 平 生 的 日 子 、 查 不 出 有 甚 麼 過 來 。
Nếu có ai dấy lên đặng bắt bớ và hại mạng sống chúa, thì Giê-hô-va đức Chúa Trời của chúa sẽ gìn giữ mạng sống của chúa trong bọc những người sống; còn mạng sống của kẻ thù nghịch chúa, Đức Giê-hô-va sẽ ném ra xa như khỏi trành ném đá vậy.|雖 有 人 起 來 追 逼 你 、 尋 索 你 的 性 命 、 你 的 性 命 卻 在 耶 和 華 你 的 　 神 那 裡 蒙 保 護 、 如 包 裹 寶 器 一 樣 ． 你 仇 敵 的 性 命 、 耶 和 華 必 拋 去 、 如 用 機 弦 甩 石 一 樣 。
Khi đức Giê-hô-va đã làm cho chúa tôi mọi sự lành mà Ngài đã hứa, và khi Ngài đã lập người làm đầu Y-sơ-ra-ên,|我 主 現 在 若 不 親 手 報 仇 、 流 無 辜 人 的 血 、 到 了 耶 和 華 照 所 應 許 你 的 話 賜 福 與 你 、 立 你 作 以 色 列 的 王 、 那 時 我 主 必 不 至 心 裡 不 安 、 覺 得 良 心 有 虧 。 耶 和 華 賜 福 與 我 主 的 時 候 、 求 你 記 念 婢 女 。
thì ước gì chúa tôi không phàn nàn và không bị lòng cắn rức vì đã vô cớ làm đổ máu ra và báo thù cho mình! Lại khi Đức Giê-hô-va đã làm ơn cho chúa tôi, nguyện chúa nhớ đến con đòi của chúa!|見 上 節
Đa-vít đáp cùng A-bi-ga-in rằng: Đáng ngợi khen Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên, vì đã sai ngươi đến đón ta ngày nay!|大 衛 對 亞 比 該 說 、 耶 和 華 以 色 列 的 　 神 、 是 應 當 稱 頌 的 、 因 為 他 今 日 使 你 來 迎 接 我 ．
Đáng khen sự khôn ngoan ngươi và chúc phước cho ngươi, vì ngày nay đã cản ta đến làm đổ huyết và ngăn ta dùng chính tay mình mà báo thù cho mình.|你 和 你 的 見 識 也 當 稱 讚 、 因 為 你 今 日 攔 阻 我 親 手 報 仇 、 流 人 的 血 。
Nhưng ta chỉ Giê-hô-va Đức Chúa Trời hằng sống của Y-sơ-ra-ên, là Đấng đã cản ta làm điều ác, mà thề rằng, nếu nàng không vội vàng đến đón ta, thì đến sáng mai, phàm vật gì thuộc về Na-banh sẽ chẳng còn lại vật mọn hơn hết.|我 指 著 阻 止 我 加 害 於 你 的 耶 和 華 以 色 列 永 生 的 　 神 起 誓 、 你 若 不 速 速 的 來 迎 接 我 、 到 明 日 早 晨 、 凡 屬 拿 八 的 男 丁 、 必 定 不 留 一 個 。
Vậy, Đa-vít nhận lễ vật do nơi tay nàng đem đến cho người, và nói rằng: Hãy trở lên nhà ngươi bình an. Hãy xem, ta đã nghe theo tiếng ngươi, và tiếp ngươi tử tế.|大 衛 受 了 亞 比 該 送 來 的 禮 物 ． 就 對 他 說 、 我 聽 了 你 的 話 、 准 了 你 的 情 面 ． 你 可 以 平 平 安 安 的 回 家 罷 。
Khi A-bi-ga-in trở về cùng Na-banh, thì Na-banh đương ăn tiệc trong nhà mình, thật như yến tiệc của vua vậy. Na-banh có lòng vui vẻ và say lắm. A-bi-ga-in không có tỏ cho người biết điều gì hoặc cần kíp hay chăng, cho đến khi sáng.|亞 比 該 到 拿 八 那 裡 、 見 他 在 家 裡 設 擺 筵 席 、 如 同 王 的 筵 席 ． 拿 八 快 樂 大 醉 ． 亞 比 該 無 論 大 小 事 、 都 沒 有 告 訴 他 、 就 等 到 次 日 早 晨 。
Nhưng sáng mai, khi Na-banh đã giã say rồi, vợ người thuật lại hết, lòng người bèn kinh hoảng, trở thành như đá.|到 了 早 晨 、 拿 八 醒 了 酒 、 他 的 妻 將 這 些 事 都 告 訴 他 、 他 就 魂 不 附 體 、 身 僵 如 石 頭 一 般 。
Cách chừng mười ngày sau, Đức Giê-hô-va đánh Na-banh, và người chết.|過 了 十 天 、 耶 和 華 擊 打 拿 八 、 他 就 死 了 。
Khi Đa-vít hay Na-banh chết, thì nói rằng: Đáng ngợi khen Đức Giê-hô-va thay, vì đã xử đoán sự sỉ nhục mà tôi bị bởi Na-banh, và đã giữ tôi tớ Ngài khỏi làm điều ác! Đức Giê-hô-va đã khiến sự hung ác của Na-banh đổ lại trên đầu hắn! Đoạn, Đa-vít sai người đến hỏi A-bi-ga-in làm vợ mình.|大 衛 聽 見 拿 八 死 了 、 就 說 、 應 當 稱 頌 耶 和 華 、 因 他 伸 了 拿 八 羞 辱 我 的 冤 、 又 阻 止 僕 人 行 惡 ． 也 使 拿 八 的 惡 歸 到 拿 八 的 頭 上 。 於 是 大 衛 打 發 人 去 、 與 亞 比 該 說 、 要 娶 他 為 妻 。
Những tôi tớ Đa-vít đến tìm A-bi-ga-in, tại Cạt-mên, mà nói rằng: Đa-vít sai chúng tôi đến cùng nàng, vì người toan lấy nàng làm vợ.|大 衛 的 僕 人 到 了 迦 密 見 亞 比 該 、 對 他 說 、 大 衛 打 發 我 們 來 見 你 、 想 要 娶 你 為 妻 。
Nàng bèn chổi dậy, sấp mình xuống đất, mà nói rằng: Nầy con đòi của chúa sẽ làm tôi mọi của chúa đặng rửa chơn các tôi tớ của chúa tôi.|亞 比 該 就 起 來 、 俯 伏 在 地 、 說 、 我 情 願 作 婢 女 、 洗 我 主 僕 人 的 腳 。
Đoạn, A-bi-ga-in vụt đứng dậy, cỡi lừa mình, có năm con đòi đồng đi theo, mà đi với các sứ giả của Đa-vít, đặng làm vợ người.|亞 比 該 立 刻 起 身 、 騎 上 驢 、 帶 著 五 個 使 女 、 跟 從 大 衛 的 使 者 去 了 、 就 作 了 大 衛 的 妻 。
Đa-vít cũng có cưới A-hi-nô-am, ở Gít-rê-ên, và cả hai đều làm vợ người.|大 衛 先 娶 了 耶 斯 列 人 亞 希 暖 ． 他 們 二 人 都 作 了 他 的 妻 。
Vả, Sau-lơ đã gả Mi-canh, con gái mình, và là vợ của Đa-vít cho Phanh-ti, con trai của La-ít, người Ga-lim.|掃 羅 已 將 他 的 女 兒 米 甲 、 就 是 大 衛 的 妻 、 給 了 迦 琳 人 、 拉 億 的 兒 子 帕 提 為 妻 。

					I Sa-mu-ên 26				|
						撒母耳記上 26					
Dân Xíp lại đến tìm Sau-lơ tại Ghi-bê -a, mà nói rằng: Đa-vít há chẳng ẩn tại trên gò Ha-ki-la, đối ngang đồng vắng sao?|西 弗 人 到 基 比 亞 見 掃 羅 、 說 、 大 衛 不 是 在 曠 野 前 的 哈 基 拉 山 藏 著 麼 。
Sau-lơ bèn chổi dậy kéo ba ngàn tinh binh của Y-sơ-ra-ên, đi xuống đồng vắng Xíp đặng tìm Đa-vít.|掃 羅 就 起 身 、 帶 領 以 色 列 人 中 挑 選 的 三 千 精 兵 、 下 到 西 弗 的 曠 野 、 要 在 那 裡 尋 索 大 衛 。
Sau-lơ đóng trại trên gò Ha-ki-la, đối ngang đồng vắng, tại nơi đầu đường. Đa-vít ở trong đồng vắng. Khi thấy Sau-lơ đến đuổi theo mình,|掃 羅 在 曠 野 前 的 哈 基 拉 山 、 在 道 路 上 安 營 。 大 衛 住 在 曠 野 、 聽 說 掃 羅 到 曠 野 來 追 尋 他 ．
bèn sai kẻ do thám đi, và biết chắc rằng Sau-lơ đã đến.|就 打 發 人 去 探 聽 、 便 知 道 掃 羅 果 然 來 到 。
Bấy giờ, Đa-vít chổi dậy, đi đến tận nơi Sau-lơ hạ trại; người cũng thấy nơi ngủ của Sau-lơ và của Ap-ne, con trai Nê-rơ, là quan tổng binh của người. Sau-lơ nằm ngủ tại đồn, có đạo binh đóng trại xung quanh mình.|大 衛 起 來 、 到 掃 羅 安 營 的 地 方 、 看 見 掃 羅 和 他 的 元 帥 尼 珥 的 兒 子 押 尼 珥 睡 臥 之 處 ． 掃 羅 睡 在 輜 重 營 裡 、 百 姓 安 營 在 他 周 圍 。
Đa-vít cất tiếng nói cùng A-hi-mê-léc, người Hê-tít, và A-bi-sai, con trai của Xê-ru-gia, em của Giô-áp, rằng: Ai muốn đi cùng ta xuống dinh Sau-lơ? A-bi-sai đáp: Tôi sẽ đi với ông.|大 衛 對 赫 人 亞 希 米 勒 、 和 洗 魯 雅 的 兒 子 約 押 的 兄 弟 亞 比 篩 說 、 誰 同 我 下 到 掃 羅 營 裡 去 ． 亞 比 篩 說 、 我 同 你 下 去 。
Vậy, Đa-vít và A-bi-sai lúc ban đêm, vào giữa quân lính, thấy Sau-lơ đương ngủ, nằm trong đồn, cây giáo cặm dưới đất tại nơi đầu giường. Ap-ne và quân lính nằm ở xung quanh người.|於 是 大 衛 和 亞 比 篩 夜 間 到 了 百 姓 那 裡 、 見 掃 羅 睡 在 輜 重 營 裡 、 他 的 槍 在 頭 旁 、 插 在 地 上 ． 押 尼 珥 和 百 姓 睡 在 他 周 圍 。
A-bi-sai nói cùng Đa-vít rằng: Ngày nay Đức Chúa Trời đã phó kẻ thù nghịch ông vào tay ông. Xin cho phép tôi lấy giáo đâm người chỉ một cái mà cặm người xuống đất; chẳng cần phải đâm lại.|亞 比 篩 對 大 衛 說 、 現 在 　 神 將 你 的 仇 敵 交 在 你 手 裡 ． 求 你 容 我 拿 槍 將 他 刺 透 在 地 ． 一 刺 就 成 、 不 用 再 刺 。
Nhưng Đa-vít bảo A-bi-sai rằng: Đừng giết người; ai có thế tra tay trên kẻ chịu xức dầu của Đức Giê-hô-va mà không bị phạt?|大 衛 對 亞 比 篩 說 、 不 可 害 死 他 ． 有 誰 伸 手 害 耶 和 華 的 受 膏 者 而 無 罪 呢 。
Người tiếp rằng: Ta chỉ Đức Giê-hô-va hằng sống mà thề, Đức Giê-hô-va chắc sẽ đánh người, hoặc khi người đến kỳ định mà chết, hoặc khi người ra trận mà diệt vong.|大 衛 又 說 、 我 指 著 永 生 的 耶 和 華 起 誓 、 他 或 被 耶 和 華 擊 打 、 或 是 死 期 到 了 、 或 是 出 戰 陣 亡 。
Nguyện Đức Giê-hô-va giữ, chớ cho tôi tra tay vào kẻ chịu xức dầu của Ngài! Ta xin ngươi chỉ hãy lấy cây giáo nơi đầu giường người cùng cái bình nước, rồi chúng ta hãy đi.|我 在 耶 和 華 面 前 、 萬 不 敢 伸 手 害 耶 和 華 的 受 膏 者 ． 現 在 你 可 以 將 他 頭 旁 的 槍 和 水 瓶 拿 來 、 我 們 就 走 。
Như vậy, Đa-vít lấy cây giáo và bình nước nơi đầu giường của Sau-lơ, rồi hai người đi. Không ai thấy hay là biết, và cũng chẳng ai tỉnh thức; hết thảy ngủ, vì Đức Giê-hô-va đã khiến sự ngủ mê giáng trên chúng nó.|大 衛 從 掃 羅 的 頭 旁 、 拿 了 槍 和 水 瓶 ． 二 人 就 走 了 、 沒 有 人 看 見 、 沒 有 人 知 道 、 也 沒 有 人 醒 起 、 都 睡 著 了 ． 因 為 耶 和 華 使 他 們 沉 沉 的 睡 了 。
Đoạn, Đa-vít sang qua bên kia, dừng lại tại trên chót núi, xa trại quân. có một khoảng xa cách nhau.|大 衛 過 到 那 邊 去 、 遠 遠 的 站 在 山 頂 上 、 與 他 們 相 離 甚 遠 。
Người gọi quân lính với Ap-ne, con trai Nê-rơ mà rằng: Ap-ne, người chẳng đáp lời sao? Ap-ne đáp rằng: Ngươi là ai mà kêu la cùng vua?|大 衛 呼 叫 百 姓 、 和 尼 珥 的 兒 子 押 尼 珥 、 說 、 押 尼 珥 阿 、 你 為 何 不 答 應 呢 ． 押 尼 珥 說 、 你 是 誰 、 竟 敢 呼 叫 王 呢 。
Đa-vít đáp cùng Ap-nê rằng: Nào, ngươi há chẳng phải là một dõng sĩ sao? Trong Y-sơ-ra-ên ai bằng ngươi? Vậy, sao ngươi không canh giữ vua, là chúa của ngươi? Có kẻ trong dân sự đã đến muốn giết vua chúa ngươi.|大 衛 對 押 尼 珥 說 、 你 不 是 個 勇 士 麼 ． 以 色 列 中 誰 能 比 你 呢 ． 民 中 有 人 進 來 要 害 死 王 你 的 主 、 你 為 何 沒 有 保 護 王 你 的 主 呢 。
Điều ngươi đã làm đó chẳng tốt đâu. Ta chỉ Đức Giê-hô-va hằng sống mà thề, ngươi đáng chết, vì không canh giữ chúa ngươi, là đấng chịu xức dầu của Đức Giê-hô-va. Bây giờ, hãy xem thử, cây giáo của vua và bình nước nơi đầu giường vua ở đâu?|你 這 樣 是 不 好 的 ． 我 指 著 永 生 的 耶 和 華 起 誓 、 你 們 都 是 該 死 的 、 因 為 沒 有 保 護 你 們 的 主 、 就 是 耶 和 華 的 受 膏 者 ． 現 在 你 看 看 王 頭 旁 的 槍 和 水 瓶 在 那 裡 。
Sau-lơ nhận biết tiếng của Đa-vít, bèn nói rằng: Hỡi Đa-vít, con ta, có phải tiếng con chăng? Đa-vít thưa rằng: Hỡi vua chúa tôi, ấy là tiếng tôi.|掃 羅 聽 出 是 大 衛 的 聲 音 、 就 說 、 我 兒 大 衛 、 這 是 你 的 聲 音 麼 ． 大 衛 說 、 主 我 的 王 阿 、 是 我 的 聲 音 。
Người tiếp: Cớ sao chúa đuổi theo tôi tớ chúa như vậy? Tôi có làm điều gì, và tay tôi đã phạm tội ác chi?|又 說 、 我 作 了 甚 麼 ． 我 手 裡 有 甚 麼 惡 事 ． 我 主 竟 追 趕 僕 人 呢 。
Bây giờ, xin vua hãy lắng nghe lời của tôi tớ vua. Nếu Đức Giê-hô-va xui giục vua hại tôi, nguyện Ngài nhậm mùi thơm của lễ, nhưng nếu là loài người, nguyện chúng bị rủa sả trước mặt Đức Giê-hô-va; vì ngày nay chúng đuổi tôi đi khỏi chỗ dành cho tôi trong sản nghiệp của Đức Giê-hô-va, và chúng nói rằng: Hãy đi, thờ tà thần.|求 我 主 我 王 聽 僕 人 的 話 ． 若 是 耶 和 華 激 發 你 攻 擊 我 、 願 耶 和 華 收 納 祭 物 ． 若 是 人 激 發 你 、 願 他 在 耶 和 華 面 前 受 咒 詛 ． 因 為 他 現 今 趕 逐 我 、 不 容 我 在 耶 和 華 的 產 業 上 有 分 、 說 、 你 去 事 奉 別 神 罷 。
Oi! nguyện huyết tôi chớ chảy ra trên đất cách xa mặt Đức Giê-hô-va; vì vua Y-sơ-ra-ên đã kéo ra đặng tìm một con bọ chét, như người ta đuổi theo chim đa đa trong núi vậy.|現 在 求 王 不 要 使 我 的 血 流 在 離 耶 和 華 遠 的 地 方 ． 以 色 列 王 出 來 、 是 尋 找 一 個 虼 蚤 、 如 同 人 在 山 上 獵 取 一 個 鷓 鴣 一 般 。
Bấy giờ, Sau-lơ nói: Ta có phạm tội; hỡi Đa-vít, con ta, hãy trở lại! Ta sẽ chẳng làm hại cho con nữa, vì ngày nay, con đã kính nể mạng sống ta. Thật, ta đã làm điên cuồng, phạm một lỗi rất trọng.|掃 羅 說 、 我 有 罪 了 ． 我 兒 大 衛 、 你 可 以 回 來 ． 因 你 今 日 看 我 的 性 命 為 寶 貴 、 我 必 不 再 加 害 於 你 ． 我 是 糊 塗 人 、 大 大 錯 了 。
Đa-vít nói: Nầy là cây giáo của vua; hãy cho một gã trai trẻ của vua đi qua đây mà lấy đi.|大 衛 說 、 王 的 槍 在 這 裡 、 可 以 吩 咐 一 個 僕 人 過 來 拿 去 。
Đức Giê-hô-va sẽ báo trả cho mọi người tùy theo sự công bình và trung tín của người; vì ngày nay Ngài đã phó vua vào tay tôi, mà tôi không khứng tra tay vào đấng chịu xức dầu của Đức Giê-hô-va.|今 日 耶 和 華 將 王 交 在 我 手 裡 、 我 卻 不 肯 伸 手 害 耶 和 華 的 受 膏 者 ． 耶 和 華 必 照 各 人 的 公 義 誠 實 報 應 他 。
Ngày nay, tôi lấy mạng sống vua làm quí trọng thế nào, thì Đức Giê-hô-va cũng sẽ lấy mạng sống tôi làm quí trọng thể ấy, và giải cứu tôi khỏi các hoạn nạn.|我 今 日 重 看 你 的 性 命 、 願 耶 和 華 也 重 看 我 的 性 命 、 並 且 拯 救 我 脫 離 一 切 患 難 。
Sau-lơ nói cùng Đa-vít rằng: Hỡi Đa-vít, con ta, nguyện con được phước! Quả thật, con sẽ làm công việc lớn lao và được thắng hơn. Đoạn, Đa-vít cứ đi lối mình, còn Sau-lơ trở về nơi người.|掃 羅 對 大 衛 說 、 我 兒 大 衛 、 願 你 得 福 ． 你 必 作 大 事 、 也 必 得 勝 。 於 是 大 衛 起 行 、 掃 羅 回 他 的 本 處 去 了 。

					I Sa-mu-ên 27				|
						撒母耳記上 27					
Đa-vít nói thầm nghĩ rằng: Chắc một ngày kia, ta sẽ chết bởi tay Sau-lơ. Ta chẳng làm chi hay hơn bằng trốn trong xứ Phi-li-tin, thì Sau-lơ sẽ chẳng còn kiếm ta trong cả địa phận Y-sơ-ra-ên nữa. Như vậy, ta sẽ thoát khỏi tay người.|大 衛 心 裡 說 、 必 有 一 日 我 死 在 掃 羅 手 裡 ． 不 如 逃 奔 非 利 士 地 去 ． 掃 羅 見 我 不 在 以 色 列 的 境 內 、 就 必 絕 望 、 不 再 尋 索 我 ． 這 樣 我 可 以 脫 離 他 的 手 。
Vậy, Đa-vít chổi dậy, cùng sáu trăm người theo mình, sang qua đến A-kích, con trai Ma-óc, vua Gát.|於 是 大 衛 起 身 、 和 跟 隨 他 的 六 百 人 、 投 奔 迦 特 王 瑪 俄 的 兒 子 亞 吉 去 了 。
Đa-vít và những kẻ theo người ở cùng A-kích tại Gát, mỗi người có gia quyến mình. Đa-vít có hai vợ theo, tức là A-hi-nô-am ở Gít-rê-ên và A-bi-ga-in, trước làm vợ của Na-banh ở Cạt-mên.|大 衛 和 他 的 兩 個 妻 、 就 是 耶 斯 列 人 亞 希 暖 、 和 作 過 拿 八 妻 的 迦 密 人 亞 比 該 、 並 跟 隨 他 的 人 、 連 各 人 的 眷 屬 、 都 住 在 迦 特 亞 吉 那 裡 。
Sau-lơ hay rằng Đa-vít trốn đến Gát, thì thôi đuổi theo người.|有 人 告 訴 掃 羅 、 說 、 大 衛 逃 到 迦 特 ． 掃 羅 就 不 再 尋 索 他 了 。
Đa-vít nói cùng A-kích rằng: Nếu tôi được ơn trước mặt vua, xin hãy nhường cho tôi một nơi nào thuộc về các thành ở ngoài đồng bằng, để tôi ở đó. Vì tôi tớ vua ở trong đế đô với vua mà chi?|大 衛 對 亞 吉 說 、 我 若 在 你 眼 前 蒙 恩 、 求 你 在 京 外 的 城 邑 中 、 賜 我 一 個 地 方 居 住 ． 僕 人 何 必 與 王 同 住 京 都 呢 。
Vậy, trong ngày đó A-kích ban Xiếc-lác cho người; bởi cớ ấy, Xiếc-lác thuộc về vua Giu-đa cho đến ngày nay.|當 日 亞 吉 將 洗 革 拉 賜 給 他 ． 因 此 洗 革 拉 屬 猶 大 王 、 直 到 今 日 。
Thì giờ Đa-vít ngụ trong xứ dân Phi-li-tin là một năm bốn tháng.|大 衛 在 非 利 士 地 住 了 一 年 零 四 個 月 。
Đa-vít và những kẻ theo người đi loán đến đất dân Ghê-su-rít, dân Ghiệt-xít, và dân A-ma-léc, là những dân tộc từ lâu đời ở miền lân cận Su-rơ cho đến xứ Ê-díp-tô.|大 衛 和 跟 隨 他 的 人 上 去 、 侵 奪 基 述 人 、 基 色 人 、 亞 瑪 力 人 之 地 ． 這 幾 族 歷 來 住 在 那 地 、 從 書 珥 直 到 埃 及 。
Đa-vít phá hủy xứ nầy, chẳng để một người nam hay nữ còn sống; cướp lấy chiên, bò, lừa, lạc đà, và áo xống; đoạn, trở về cùng A-kích.|大 衛 擊 殺 那 地 的 人 、 無 論 男 女 都 沒 有 留 下 一 個 ． 又 奪 獲 牛 、 羊 、 駱 駝 、 驢 、 並 衣 服 ． 回 來 見 亞 吉 。
A-kích hỏi: Ngày nay, ngươi đi xâm đoạt nơi nào? Đa-vít đáp: Trong miền nam đất Giu-đa, miền nam đất dân Ghê-ra-mê-lít.|亞 吉 說 、 你 們 今 日 侵 奪 了 甚 麼 地 方 呢 。 大 衛 說 、 侵 奪 了 猶 大 的 南 方 、 耶 拉 篾 的 南 方 、 基 尼 的 南 方 。
Đa-vít chẳng chừa một người nam hay nữ còn sống đặng dẫn về Gát; vì nói rằng, e chúng nó sẽ cáo chúng ta mà rằng: Đó là điều Đa-vít đã làm. Trọn lúc Đa-vít ngụ trong xứ dân Phi-li-tin, thường hay làm như vậy.|無 論 男 女 、 大 衛 沒 有 留 下 一 個 、 帶 到 迦 特 來 ． 他 說 、 恐 怕 他 們 將 我 們 的 事 告 訴 人 、 說 、 大 衛 住 在 非 利 士 地 的 時 候 、 常 常 這 樣 行 。
Cho nên A-kích tin Đa-vít, mà rằng: Hắn làm cho hắn bị gớm ghiếc nơi Y-sơ-ra-ên, là dân sự hắn, nên chắc hắn sẽ làm tôi tớ ta đời đời.|亞 吉 信 了 大 衛 、 心 裡 說 、 大 衛 使 本 族 以 色 列 人 憎 惡 他 ． 所 以 他 必 永 遠 作 我 的 僕 人 了 。

					I Sa-mu-ên 28				|
						撒母耳記上 28					
Về lối nầy, dân Phi-li-tin hiệp với các cơ binh làm một đạo đặng giao chiến cùng Y-sơ-ra-ên. A-kích nói cùng Đa-vít rằng: Ngươi phải biết rằng ngươi và những kẻ theo ngươi sẽ đi ra trận cùng ta.|那 時 非 利 士 人 聚 集 軍 旅 ． 要 與 以 色 列 人 打 仗 。 亞 吉 對 大 衛 說 、 你 當 知 道 、 你 和 跟 隨 你 的 人 、 都 要 隨 我 出 戰 。
Đa-vít đáp cùng A-kích rằng: Vua sẽ thấy điều tôi tớ vua làm. A-kích nói cùng Đa-vít rằng: Thế thì, ta sẽ lập ngươi làm thị vệ ta luôn luôn.|大 衛 對 亞 吉 說 、 僕 人 所 能 作 的 事 、 王 必 知 道 。 亞 吉 對 大 衛 說 、 這 樣 、 我 立 你 永 遠 作 我 的 護 衛 長 。
Vả, Sa-mu-ên đã qua đời; cả Y-sơ-ra-ên để tang cho người, và người ta chôn người tại Ra-ma, thành của người. Sau-lơ đã trừ khỏi xứ những đồng cốt và những thầy tà thuật.|那 時 撒 母 耳 已 經 死 了 ． 以 色 列 眾 人 為 他 哀 哭 、 葬 他 在 拉 瑪 、 就 是 在 他 本 城 裡 。 掃 羅 曾 在 國 內 不 容 有 交 鬼 的 和 行 巫 術 的 人 。
Vậy, dân Phi-li-tin nhóm hiệp, đến đóng trại nơi Su-nem. Còn Sau-lơ cũng hiệp hết thảy Y-sơ-ra-ên, và chúng đóng trại tại Ghinh-bô -a.|非 利 士 人 聚 集 、 來 到 書 念 安 營 ． 掃 羅 聚 集 以 色 列 眾 人 、 在 基 利 波 安 營 。
Nhưng khi Sau-lơ thấy trại quân Phi-li-tin, thì sợ và lòng rung động lắm.|掃 羅 看 見 非 利 士 的 軍 旅 、 就 懼 怕 、 心 中 發 顫 。
Người cầu vấn Đức Giê-hô-va; song Đức Giê-hô-va không đáp lời, hoặc bằng chiêm bao, hoặc bằng u-rim, hay là bởi các đấng tiên tri.|掃 羅 求 問 耶 和 華 、 耶 和 華 卻 不 藉 夢 、 或 烏 陵 、 或 先 知 、 回 答 他 。
Sau-lơ nói cùng các tôi tớ mình rằng: Hãy kiếm cho ta một người đờn bà cầu vong; ta sẽ đi đến người mà cầu vấn. Các tôi tớ thưa rằng: Tại En-đô-rơ có một người đờn bà biết cầu vong,|掃 羅 吩 咐 臣 僕 說 、 當 為 我 找 一 個 交 鬼 的 婦 人 、 我 好 去 問 他 ． 臣 僕 說 、 在 隱 多 珥 有 一 個 交 鬼 的 婦 人 。
Sau-lơ giả dạng mặc những áo khác, đi đem theo hai người, rồi đến nhà người đờn bà nầy lúc ban đêm. Sau-lơ nói: Xin ngươi hãy cầu vong mà bói cho ta, và hãy vời lên kẻ ta sẽ chỉ cho ngươi.|於 是 掃 羅 改 了 裝 、 穿 上 別 的 衣 服 、 帶 著 兩 個 人 、 夜 裡 去 見 那 婦 人 ． 掃 羅 說 、 求 你 用 交 鬼 的 法 術 、 將 我 所 告 訴 你 的 死 人 、 為 我 招 上 來 。
Người đờn bà đáp rằng: Ong biết rõ điều Sau-lơ đã làm, thể nào người trừ khỏi xứ những đồng-cốt và thầy tà thuật. Vậy, cớ sao ông lại gài bẫy đặng giết tôi?|婦 人 對 他 說 、 你 知 道 掃 羅 從 國 中 剪 除 交 鬼 的 、 和 行 巫 術 的 ． 你 為 何 陷 害 我 的 性 命 、 使 我 死 呢 。
Sau-lơ chỉ Đức Giê-hô-va thề cùng người rằng: Ta chỉ Đức Giê-hô-va hằng sống mà thề, sẽ chẳng xảy đến cho ngươi một điều hại chi về việc nầy đâu!|掃 羅 向 婦 人 指 著 耶 和 華 起 誓 、 說 、 我 指 著 永 生 的 耶 和 華 起 誓 、 你 必 不 因 這 事 受 刑 。
Bấy giờ, người đờn bà nói: Tôi phải cầu ai trước mặt ông? Sau-lơ đáp: Hãy cầu Sa-mu-ên.|婦 人 說 、 我 為 你 招 誰 上 來 呢 ． 回 答 說 、 為 我 招 撒 母 耳 上 來 。
Khi người đờn bà thấy Sa-mu-ên, bèn la tiếng lớn nói cùng Sau-lơ rằng: Cớ sao ông gạt tôi? Ong là Sau-lơ!|婦 人 看 見 撒 母 耳 、 就 大 聲 呼 叫 、 對 掃 羅 說 、 你 是 掃 羅 ． 為 甚 麼 欺 哄 我 呢 。
Vua đáp cùng người rằng: Chớ sợ; nhưng ngươi thấy chi? Người đáp: Tôi thấy một vì thần ở dưới đất lên.|王 對 婦 人 說 、 不 要 懼 怕 ． 你 看 見 了 甚 麼 呢 ． 婦 人 對 掃 羅 說 、 我 看 見 有 神 從 地 裡 上 來 。
