
					Phục Truyền Luật Lệ 1				|
và Đức Giê-hô-va sẽ tản lạc ngươi trong các dân, từ cuối đầu nầy của đất đến cuối đầu kia; tại đó, ngươi sẽ hầu việc các thần khác bằng cây và bằng đá mà ngươi cùng tổ phụ ngươi không hề biết.|耶 和 華 必 使 你 們 分 散 在 萬 民 中 、 從 地 這 邊 到 地 那 邊 、 你 必 在 那 裡 事 奉 你 和 你 列 祖 素 不 認 識 木 頭 石 頭 的 神 。
Trong các nước ấy, ngươi không được an tịnh, bàn chân ngươi không được nghỉ ngơi; nhưng tại đó Đức Giê-hô-va sẽ ban cho ngươi một tấm lòng run sợ, mắt mờ yếu, và linh hồn hao mòn.|在 那 些 國 中 、 你 必 不 得 安 逸 、 也 不 得 落 腳 之 地 、 耶 和 華 卻 使 你 在 那 裡 心 中 跳 動 、 眼 目 失 明 、 精 神 消 耗 。
Sự sống ngươi vẫn không chắc trước mặt ngươi; ngày và đêm ngươi hằng sợ hãi, khó liệu bảo tồn sự sống mình.|你 的 性 命 必 懸 懸 無 定 、 你 晝 夜 恐 懼 、 自 料 性 命 難 保 。
Bởi cớ sự kinh khủng đầy dẫy lòng ngươi, và bị cảnh mắt ngươi sẽ thấy, nên sớm mai ngươi sẽ nói: Chớ chi được chiều tối rồi! Chiều tối ngươi sẽ nói: Ước gì được sáng mai rồi!|你 因 心 裡 所 恐 懼 的 、 眼 中 所 看 見 的 、 早 晨 必 說 、 巴 不 得 到 晚 上 纔 好 、 晚 上 必 說 、 巴 不 得 到 早 晨 纔 好 。
Đức Giê-hô-va sẽ khiến ngươi đi tàu trở lại xứ Ê-díp-tô, bởi con đường mà trước ta đã nói: Ngươi không thấy nó nữa; ở đó, ngươi sẽ đem bán mình cho kẻ thù nghịch làm nô và tì, nhưng không có ai mua!|耶 和 華 必 使 你 坐 船 回 埃 及 去 、 走 我 曾 告 訴 你 不 得 再 見 的 路 、 在 那 裡 你 必 賣 己 身 與 仇 敵 作 奴 婢 、 卻 無 人 買 。

					Phục Truyền Luật Lệ 29				|
						申命記 29					
Nầy là các lời của sự giao ước mà Đức Giê-hô-va dặn biểu Môi-se lập cùng dân Y-sơ-ra-ên, trong xứ Mô-áp, ngoài sự giao ước Ngài đã lập cùng chúng tại Hô-rếp.|這 是 耶 和 華 在 摩 押 地 、 吩 咐 摩 西 與 以 色 列 人 立 約 的 話 、 是 在 他 和 他 們 於 何 烈 山 所 立 的 約 之 外 。
Vậy, Môi-se gọi cả Y-sơ-ra-ên mà nói rằng: Các ngươi đã thấy mọi điều Đức Giê-hô-va làm trong xứ Ê-díp-tô dưới mắt các ngươi cho Pha-ra-ôn, quần thần và cả xứ người,|摩 西 召 了 以 色 列 眾 人 來 、 對 他 們 說 、 耶 和 華 在 埃 及 地 、 在 你 們 眼 前 向 法 老 和 他 眾 臣 僕 、 並 他 全 地 所 行 的 一 切 事 、 你 們 都 看 見 了 ．
tức là những sự thử thách lớn lao, dấu kỳ, phép lạ mà mắt ngươi đã thấy;|就 是 你 親 眼 看 見 的 大 試 驗 、 和 神 蹟 、 並 那 些 大 奇 事 ．
nhưng cho đến ngày nay Đức Giê-hô-va không ban cho các ngươi một tấm lòng để biết, mắt để thấy hay là tai để nghe.|但 耶 和 華 到 今 日 沒 有 使 你 們 心 能 明 白 、 眼 能 看 見 、 耳 能 聽 見 。
Ta đã dẫn dắt các ngươi bốn mươi năm trong đồng vắng, áo xống không cũ trên mình ngươi, giày không mòn dưới chân ngươi,|我 領 你 們 在 曠 野 四 十 年 、 你 們 身 上 的 衣 服 並 沒 有 穿 破 、 腳 上 的 鞋 也 沒 有 穿 壞 。
các ngươi không có ăn bánh, uống rượu hay là vật chi say, để cho biết rằng ta, Giê-hô-va, là Đức Chúa Trời của các ngươi.|你 們 沒 有 喫 餅 、 也 沒 有 喝 清 酒 、 濃 酒 、 這 要 使 你 們 知 道 耶 和 華 是 你 們 的 　 神 。
Khi các ngươi đến chốn nầy, Si-hôn, vua Hết-bôn, và Oc, vua Ba-san, đi ra đón đặng giao chiến cùng chúng ta; chúng ta có đánh bại họ,|你 們 來 到 這 地 方 、 希 實 本 王 西 宏 、 巴 珊 王 噩 、 都 出 來 與 我 們 交 戰 、 我 們 就 擊 殺 了 他 們 、
chiếm xứ họ và ban cho chi phái Ru-bên, Gát, và nửa chi phái Ma-na-se, làm sản nghiệp.|取 了 他 們 的 地 給 流 便 支 派 、 迦 得 支 派 、 和 瑪 拿 西 半 支 派 為 業 。
Vậy, các ngươi khá gìn giữ làm theo những lời của sự giao ước nầy, hầu cho các ngươi được may mắn trong mọi việc mình làm.|所 以 你 們 要 謹 守 遵 行 這 約 的 話 、 好 叫 你 們 在 一 切 所 行 的 事 上 亨 通 。
Hết thảy các ngươi, nào trưởng tộc, các chi phái, nào các trưởng lão, nào các quan cai, nào mọi người nam của Y-sơ-ra-ên,|今 日 你 們 的 首 領 、 族 長 、 〔 原 文 作 支 派 〕 長 老 、 官 長 、 以 色 列 的 男 丁 、 你 們 的 妻 子 、 兒 女 、 和 營 中 寄 居 的 、 以 及 為 你 們 劈 柴 挑 水 的 人 、 都 站 在 耶 和 華 你 們 的 　 神 面 前 ．
những con trẻ và vợ các ngươi, nào kẻ khách lạ ở trong trại quân ngươi, từ người chặt củi cho đến người xách nước, ngày nay hãy đến chầu trước mặt Giê-hô-va Đức Chúa Trời ngươi,|見 上 節
đặng vào trong sự giao ước của Giê-hô-va Đức Chúa Trời ngươi, và vào trong lời thề mà Giê-hô-va Đức Chúa Trời ngươi lập cùng ngươi ngày nay,|為 要 你 順 從 耶 和 華 你 　 神 今 日 與 你 所 立 的 約 、 向 你 所 起 的 誓 。
hầu cho ngày nay Ngài lập ngươi lên làm dân của Ngài, và Ngài làm Đức Chúa Trời ngươi, y như Ngài đã phán cùng ngươi, và thề cùng tổ phụ ngươi, là Ap-ra-ham, Y-sác, và Gia-cốp.|這 樣 、 他 要 照 他 向 你 所 應 許 的 話 、 又 向 你 列 祖 亞 伯 拉 罕 、 以 撒 、 雅 各 、 所 起 的 誓 、 今 日 立 你 作 他 的 子 民 、 他 作 你 的 　 神 。
Chẳng phải chỉ với các ngươi mà ta lập giao ước và lời thề nầy thôi;|我 不 但 與 你 們 立 這 約 、 起 這 誓 。
nhưng lập với người nào ngày nay đứng tại đây cùng chúng ta, trước mặt Giê-hô-va Đức Chúa Trời chúng ta, luôn với những người nào không có cùng chúng ta trong ngày nay.|凡 與 我 們 一 同 站 在 耶 和 華 我 們 　 神 面 前 的 、 並 今 日 不 在 我 們 這 裡 的 人 、 我 也 與 他 們 立 這 約 、 起 這 誓 。
Các ngươi biết sự kiều ngụ của chúng ta trong xứ Ê-díp-tô, và chúng ta đi ngang qua các nước là làm sao. Đang khi đi ngang địa phận chúng nó,|（ 我 們 曾 住 過 埃 及 地 、 也 從 列 國 經 過 、 這 是 你 們 知 道 的 。
các ngươi đã thấy sự gớm ghiếc của chúng nó, và những tà thần quái gở bằng cây, bằng đá, bằng bạc, và bằng vàng ở nơi chúng nó.|你 們 也 看 見 他 們 中 間 可 憎 之 物 、 並 他 們 木 、 石 、 金 、 銀 的 偶 像 。 ）
Trong các ngươi, chớ có người nam, người nữ, họ hàng hay là chi phái nào ngày nay trở lòng bỏ Giê-hô-va Đức Chúa Trời chúng ta, đặng đi hầu việc các thần của những dân tộc ấy; trong các ngươi cũng chớ có rễ sanh ra vật độc và ngải cứu.|惟 恐 你 們 中 間 、 或 男 、 或 女 、 或 族 長 、 或 支 派 長 、 今 日 心 裡 偏 離 耶 和 華 我 們 的 　 神 、 去 事 奉 那 些 國 的 神 ． 又 怕 你 們 中 間 有 惡 根 生 出 苦 菜 和 茵 蔯 來 ．
Ai nghe các lời của sự thề nầy, chớ có tự khoe nơi lòng rằng: Ta sẽ được bình an, dầu khi ta đi theo sự cứng lòng ta, đến nỗi vật được tưới với vật bị khô, đều cùng hư nát.|聽 見 這 咒 詛 的 話 、 心 裡 仍 是 自 誇 、 說 、 我 雖 然 行 事 心 裡 頑 梗 、 連 累 眾 人 、 卻 還 是 平 安 。
Đức Giê-hô-va không khứng tha tội cho người, nhưng bấy giờ, cơn giận và sự kỵ tà của Đức Giê-hô-va nổi lên cùng người, và hết thảy sự rủa sả ghi trong sách nầy sẽ chất nặng trên mình người; Đức Giê-hô-va sẽ xóa tên người khỏi dưới trời,|耶 和 華 必 不 饒 恕 他 、 耶 和 華 的 怒 氣 、 與 憤 恨 、 要 向 他 發 作 、 如 煙 冒 出 、 將 這 書 上 所 寫 的 一 切 咒 詛 、 都 加 在 他 身 上 、 耶 和 華 又 要 從 天 下 塗 抹 他 的 名 ．
và biệt ngươi ra khỏi các chi phái Y-sơ-ra-ên, để bị tai họa, chiếu theo hết các lời trù ẻo của giao ước đã ghi trong sách luật pháp nầy.|也 必 照 著 寫 在 律 法 書 上 約 中 的 一 切 咒 詛 、 將 他 從 以 色 列 眾 支 派 中 分 別 出 來 、 使 他 受 禍 。
Đời sau, con cháu sanh ra sau các ngươi, và người khách ở phương xa đến, khi thấy những tai vạ và chứng bịnh mà Đức Giê-hô-va đã hành hại xứ nầy,|你 們 的 後 代 、 就 是 以 後 興 起 來 的 子 孫 、 和 遠 方 來 的 外 人 、 看 見 這 地 的 災 殃 、 並 耶 和 華 所 降 與 這 地 的 疾 病 、
khi thấy toàn xứ chỉ diêm, muối, và cháy tiêu, không giống gieo, không sản vật chi hết, chẳng một thứ cỏ nào mọc, giống như sự hủy hoại của Sô-đôm và Gô-mô-rơ, At-ma và Sê-bô-im bị Đức Giê-hô-va phá diệt trong cơn thạnh nộ Ngài,|又 看 見 遍 地 有 硫 磺 、 有 鹽 鹵 、 有 火 跡 、 沒 有 耕 種 、 沒 有 出 產 、 連 草 都 不 生 長 、 好 像 耶 和 華 在 忿 怒 中 所 傾 覆 的 所 多 瑪 、 蛾 摩 拉 、 押 瑪 、 洗 扁 一 樣 ．
thì chúng nó và các nước sẽ hỏi rằng: Sao Đức Giê-hô-va đãi xứ nầy như thế? Căn cớ của sự thạnh nộ lớn lao nầy là làm sao?|所 看 見 的 人 、 連 萬 國 人 、 都 必 問 說 、 耶 和 華 為 何 向 此 地 這 樣 行 呢 ． 這 樣 大 發 烈 怒 是 甚 麼 意 思 呢 。
Người ta sẽ đáp rằng: Ay vì họ bội giao ước mà Giê-hô-va, Đức Chúa Trời của tổ phụ họ, đã lập cùng họ, khi dẫn họ ra khỏi xứ Ê-díp-tô;|人 必 回 答 說 、 是 因 這 地 的 人 離 棄 了 耶 和 華 他 們 列 祖 的 　 神 、 領 他 們 出 埃 及 地 的 時 候 與 他 們 所 立 的 約 、
Ay vì họ đi hầu việc và thờ lạy các thần mà mình chưa hề biết, và Ngài không phân phát cho.|去 事 奉 敬 拜 素 不 認 識 的 別 神 、 是 耶 和 華 所 未 曾 給 他 們 安 排 的 。
Cơn thạnh nộ của Đức Giê-hô-va đã nổi phừng lên cùng xứ nầy, đặng giáng trên nó các sự rủa sả ghi trong sách nầy,|所 以 耶 和 華 的 怒 氣 向 這 地 發 作 、 將 這 書 上 所 寫 的 一 切 咒 詛 、 都 降 在 這 地 上 。
và trong cơn thạnh nộ, hờn giận, và nổi nóng, Đức Giê-hô-va đã rút dân nầy khỏi đất họ, và ném vào một xứ khác, như điều đó hiện có ngày nay.|耶 和 華 在 怒 氣 、 忿 怒 、 大 惱 恨 中 、 將 他 們 從 本 地 拔 出 來 、 扔 在 別 的 地 上 、 像 今 日 一 樣 。
Những sự bí mật thuộc về Giê-hô-va Đức Chúa Trời chúng ta; song những sự bày tỏ thuộc về chúng ta, và con cháu chúng ta đời đời, để chúng ta làm theo mọi lời của luật pháp nầy.|隱 祕 的 事 、 是 屬 耶 和 華 我 們 　 神 的 、 惟 有 明 顯 的 事 、 是 永 遠 屬 我 們 和 我 們 子 孫 的 、 好 叫 我 們 遵 行 這 律 法 上 的 一 切 話 。

					Phục Truyền Luật Lệ 30				|
						申命記 30					
Khi các điều nầy đã xảy đến cho ngươi, hoặc phước lành, hoặc rủa sả, mà ta đã đặt trước mặt ngươi, nếu trong các nước, mà Giê-hô-va Đức Chúa Trời ngươi đuổi ngươi đến, ngươi đem lòng nhắc lại những điều ấy,|我 所 陳 明 在 你 面 前 的 這 一 切 咒 詛 、 都 臨 到 你 身 上 、 你 在 耶 和 華 你 　 神 追 趕 你 到 的 萬 國 中 、 必 心 裡 追 念 祝 福 的 話 。
trở lại cùng Giê-hô-va Đức Chúa Trời ngươi, ngươi và con cháu ngươi hết lòng hết ý vâng theo tiếng phán của Ngài, như mọi điều ta truyền cho ngươi ngày nay,|你 和 你 的 子 孫 、 若 盡 心 盡 性 歸 向 耶 和 華 你 的 　 神 、 照 著 我 今 日 一 切 所 吩 咐 的 聽 從 他 的 話 、
thì bấy giờ Giê-hô-va Đức Chúa Trời ngươi sẽ thương xót ngươi, đem những phu tù ngươi trở về, nhóm hiệp ngươi từ giữa các dân, là nơi Ngài đã tản lạc ngươi đó.|那 時 、 耶 和 華 你 的 　 神 必 憐 恤 你 、 救 回 你 這 被 擄 的 子 民 、 耶 和 華 你 的 　 神 要 回 轉 過 來 、 從 分 散 你 到 的 萬 民 中 、 將 你 招 聚 回 來 。
Dẫu những kẻ bị đày của ngươi ở tại cuối trời, thì Giê-hô-va Đức Chúa Trời ngươi cũng sẽ từ đó nhóm hiệp ngươi lại và rút ngươi khỏi nơi đó.|你 被 趕 散 的 人 、 就 是 在 天 涯 的 、 耶 和 華 你 的 　 神 也 必 從 那 裡 將 你 招 聚 回 來 。
Giê-hô-va Đức Chúa Trời ngươi sẽ đem ngươi về xứ mà tổ phụ ngươi đã nhận được, và ngươi sẽ nhận lấy nó; Ngài sẽ làm ơn cho ngươi và gia thêm ngươi nhiều hơn tổ phụ ngươi.|耶 和 華 你 的 　 神 必 領 你 進 入 你 列 祖 所 得 的 地 、 使 你 可 以 得 著 ． 又 必 善 待 你 、 使 你 的 人 數 比 你 列 祖 眾 多 。
Giê-hô-va Đức Chúa Trời ngươi sẽ cất sự ô uế khỏi lòng ngươi và khỏi dòng dõi ngươi, để ngươi hết lòng hết ý kính mến Giê-hô-va Đức Chúa Trời ngươi, hầu cho ngươi được sống.|耶 和 華 你 　 神 必 將 你 心 裡 、 和 你 後 裔 心 裡 的 污 穢 除 掉 、 好 叫 你 盡 心 盡 性 愛 耶 和 華 你 的 　 神 、 使 你 可 以 存 活 。
Giê-hô-va Đức Chúa Trời ngươi sẽ đổ các lời trù ẻo nầy trên kẻ thù nghịch ngươi, trên kẻ nào ghét và bắt bớ ngươi.|耶 和 華 你 的 　 神 必 將 這 一 切 咒 詛 加 在 你 仇 敵 、 和 恨 惡 你 、 逼 迫 你 的 人 身 上 。
Còn ngươi sẽ hối cải, nghe theo tiếng phán của Đức Giê-hô-va, và làm theo các điều răn của Ngài, mà ta truyền cho ngươi ngày nay.|你 必 歸 回 聽 從 耶 和 華 的 話 、 遵 行 他 的 一 切 誡 命 、 就 是 我 今 日 所 吩 咐 你 的 。
Khi ngươi nghe theo tiếng phán của Giê-hô-va Đức Chúa Trời ngươi, gìn giữ các điều răn và luật lệ của Ngài đã ghi trong sách luật pháp nầy, hết lòng hết ý trở lại cùng Giê-hô-va Đức Chúa Trời ngươi, thì Ngài sẽ ban phước đầy-lấp,|你 若 聽 從 耶 和 華 你 　 神 的 話 、 謹 守 這 律 法 書 上 所 寫 的 誡 命 、 律 例 、 又 盡 心 盡 性 歸 向 耶 和 華 你 的 　 神 、 他 必 使 你 手 裡 所 辦 的 一 切 事 、 並 你 身 所 生 的 、 牲 畜 所 下 的 、 地 土 所 產 的 、 都 綽 綽 有 餘 ． 因 為 耶 和 華 必 再 喜 悅 你 、 降 福 與 你 、 像 從 前 喜 悅 你 列 祖 一 樣 。
làm cho mọi công việc của tay ngươi được thạnh lợi, khiến hoa quả của thân thể ngươi, sản vật của sinh súc, và bông trái của đất ruộng ngươi được thịnh-vượng; vì Đức Giê-hô-va sẽ lại vui lòng nữa mà làm ơn cho ngươi, như Ngài đã vui lòng về các tổ phụ ngươi.|見 上 節
Điều răn nầy mà ta truyền cho ngươi ngày nay chẳng phải cao quá ngươi, hay là xa quá cho ngươi.|我 今 日 所 吩 咐 你 的 誡 命 、 不 是 你 難 行 的 、 也 不 是 離 你 遠 的 。
Nó chẳng phải ở trên trời, để ngươi nói rằng: Ai sẽ lên trời đem nó xuống cho chúng tôi nghe, đặng chúng tôi làm theo?|不 是 在 天 上 、 使 你 說 、 誰 替 我 們 上 天 取 下 來 、 使 我 們 聽 見 可 以 遵 行 呢 ．
Nó cũng chẳng phải ở bên kia biển, để ngươi nói rằng: Ai sẽ đi qua bên kia biển, đem nó về cho chúng tôi nghe, đặng chúng tôi làm theo?|也 不 是 在 海 外 、 使 你 說 、 誰 替 我 們 過 海 取 了 來 、 使 我 們 聽 見 可 以 遵 行 呢 。
Vì lời nầy rất gần ngươi, ở trong miệng và trong lòng ngươi, để ngươi làm theo nó.|這 話 卻 離 你 甚 近 、 就 在 你 口 中 、 在 你 心 裡 、 使 你 可 以 遵 行 。
Hãy xem, ngày nay ta đặt trước mặt ngươi sự sống và phước lành, sự chết và tai họa,|看 哪 、 我 今 日 將 生 與 福 、 死 與 禍 、 陳 明 在 你 面 前 。
vì ngày nay, ta bảo ngươi thương mến Giê-hô-va Đức Chúa Trời ngươi, đi trong các đường lối Ngài, và gìn giữ những điều răn luật lệ và mạng lịnh Ngài, để ngươi sống, gia thêm, và Giê-hô-va Đức Chúa Trời ngươi ban phước cho ngươi trong xứ mà ngươi sẽ vào nhận lấy.|吩 咐 你 愛 耶 和 華 你 的 　 神 、 遵 行 他 的 道 、 謹 守 他 的 誡 命 、 律 例 、 典 章 、 使 你 可 以 存 活 、 人 數 增 多 、 耶 和 華 你 　 神 就 必 在 你 所 要 進 去 得 為 業 的 地 上 、 賜 福 與 你 。
Nhưng nếu lòng ngươi xây trở, không khứng nghe theo, chịu dụ dỗ thờ lạy và hầu việc các thần khác,|倘 若 你 心 裡 偏 離 不 肯 聽 從 、 卻 被 勾 引 去 敬 拜 事 奉 別 神 、
thì ngày nay ta tỏ cùng các ngươi rằng các ngươi hẳn phải tuyệt diệt, không được sống lâu trên đất mà ngươi sẽ đi qua sông Giô-đanh đặng nhận lấy.|我 今 日 明 明 告 訴 你 們 、 你 們 必 要 滅 亡 、 在 你 過 約 但 河 進 去 得 為 業 的 地 上 、 你 的 日 子 必 不 長 久 。
Ngày nay, ta bắt trời và đất làm chứng cho các ngươi rằng ta đã đặt trước mặt ngươi sự sống và sự chết, sự phước lành và sự rủa sả. Vậy, hãy chọn sự sống, hầu cho ngươi và dòng dõi ngươi được sống,|我 今 日 呼 天 喚 地 向 你 作 見 證 、 我 將 生 死 、 禍 福 、 陳 明 在 你 面 前 、 所 以 你 要 揀 選 生 命 、 使 你 和 你 的 後 裔 都 得 存 活 。
thương mến Giê-hô-va Đức Chúa Trời ngươi, vâng theo tiếng phán Ngài, và tríu mến Ngài; vì Ngài là sự sống ngươi và làm cho ngươi được sống lâu, đặng ngươi ở trên đất mà Đức Giê-hô-va đã thề ban cho các tổ phụ ngươi, là Ap-ra-ham, Y-sác, và Gia-cốp.|且 愛 耶 和 華 你 的 　 神 、 聽 從 他 的 話 、 專 靠 他 、 因 為 他 是 你 的 生 命 ． 你 的 日 子 長 久 、 也 在 乎 他 ． 這 樣 、 你 就 可 以 在 耶 和 華 向 你 列 祖 亞 伯 拉 罕 、 以 撒 、 雅 各 、 起 誓 應 許 所 賜 的 地 上 居 住 。

					Phục Truyền Luật Lệ 31				|
						申命記 31					
Môi-se đến giảng cho cả Y-sơ-ra-ên những bài sau nầy.|摩 西 去 告 訴 以 色 列 眾 人 、
Người nói: Ngày nay ta được một trăm hai mươi tuổi; không thể đi ra đi vào nữa; và Đức Giê-hô-va có phán cùng ta rằng: Ngươi không đi ngang qua sông Giô-đanh nầy đâu.|說 、 我 現 在 一 百 二 十 歲 了 、 不 能 照 常 出 入 、 耶 和 華 也 曾 對 我 說 、 你 必 不 得 過 這 約 但 河 。
Giê-hô-va Đức Chúa Trời ngươi sẽ đi đầu ngươi. Ngài sẽ diệt các dân tộc ở đằng trước ngươi, và ngươi sẽ nhận được xứ chúng nó; Giô-suê sẽ đi trước ngươi, y như Đức Giê-hô-va đã phán dặn.|耶 和 華 你 們 的 　 神 必 引 導 你 們 過 去 、 將 這 些 國 民 在 你 們 面 前 滅 絕 、 你 們 就 得 他 們 的 地 ． 約 書 亞 必 引 導 你 們 過 去 、 正 如 耶 和 華 所 說 的 。
Đức Giê-hô-va sẽ đãi chúng nó như Ngài đã đãi Si-hôn và Oc, vua dân A-mô-rít, và xứ chứng nó mà Ngài đã hủy phá.|耶 和 華 必 待 他 們 、 如 同 從 前 待 他 所 滅 絕 的 亞 摩 利 二 王 、 西 宏 、 與 噩 、 以 及 他 們 的 國 一 樣 。
Đức Giê-hô-va sẽ phó chúng nó cho các ngươi, và các ngươi phải đãi chúng nó tùy theo lịnh ta đã truyền cho.|耶 和 華 必 將 他 們 交 給 你 們 、 你 們 要 照 我 所 吩 咐 的 一 切 命 令 待 他 們 。
Hãy vững lòng bền chí; chớ sợ chi và chớ kinh khủng trước mặt các dân đó; vì Giê-hô-va Đức Chúa Trời ngươi đi cùng ngươi; Ngài chẳng lìa khỏi ngươi, chẳng từ bỏ ngươi đâu.|你 們 當 剛 強 壯 膽 、 不 要 害 怕 、 也 不 要 畏 懼 他 們 、 因 為 耶 和 華 你 的 　 神 和 你 同 去 、 他 必 不 撇 下 你 、 也 不 丟 棄 你 。
Đoạn, Môi-se gọi Giô-suê, nói cùng người tại trước mặt cả Y-sơ-ra-ên mà rằng: Hãy vừng lòng bền chí; vì ngươi sẽ vào với dân nầy trong xứ mà Đức Giê-hô-va đã thề ban cho tổ phụ họ, và ngươi sẽ chia xứ cho họ.|摩 西 召 了 約 書 亞 來 、 在 以 色 列 眾 人 眼 前 對 他 說 、 你 當 剛 強 壯 膽 、 因 為 你 要 和 這 百 姓 一 同 進 入 耶 和 華 向 他 們 列 祖 起 誓 應 許 所 賜 之 地 、 你 也 要 使 他 們 承 受 那 地 為 業 。
Chánh Đức Giê-hô-va sẽ đi trước ngươi, Ngài sẽ ở cùng ngươi, chẳng lìa khỏi ngươi, chẳng từ bỏ ngươi đâu. Chớ sợ, và chớ kinh khủng.|耶 和 華 必 在 你 前 面 行 、 他 必 與 你 同 在 、 必 不 撇 下 你 、 也 不 丟 棄 你 、 不 要 懼 怕 、 也 不 要 驚 惶 。
Môi-se chép luật nầy, giao cho những thầy tế lễ, là con cháu Lê-vi, khiêng hòm giao ước của Đức Giê-hô-va, lại giao luôn cho hết thảy trưởng lão Y-sơ-ra-ên,|摩 西 將 這 律 法 寫 出 來 、 交 給 抬 耶 和 華 約 櫃 的 祭 司 利 未 子 孫 、 和 以 色 列 的 眾 長 老 。
và truyền lịnh nầy, mà rằng: Cuối bảy năm, nhằm năm giải thích, tại ngày lễ lều tạm,|摩 西 吩 咐 他 們 說 、 每 逢 七 年 的 末 一 年 、 就 在 豁 免 年 的 定 期 住 棚 節 的 時 候 、
khi cả dân Y-sơ-ra-ên đến chầu trước mặt Giê-hô-va Đức Chúa Trời ngươi, trong chỗ Ngài sẽ chọn, thì người phải đọc luật nầy trước cả Y-sơ-ra-ên cho chúng nghe.|以 色 列 眾 人 來 到 耶 和 華 你 　 神 所 選 擇 的 地 方 朝 見 他 、 那 時 你 要 在 以 色 列 眾 人 面 前 、 將 這 律 法 念 給 他 們 聽 。
Ngươi phải nhóm hiệp dân sự, nào người nam, người nữ, nào con trẻ và khách lạ ở trong các thành của ngươi, để chúng nghe, tập kính sợ Giê-hô-va Đức Chúa Trời ngươi, và cẩn thận làm theo các lời của luật pháp nầy.|要 招 聚 他 們 男 、 女 、 孩 子 、 並 城 裡 寄 居 的 、 使 他 們 聽 、 使 他 們 學 習 、 好 敬 畏 耶 和 華 你 們 的 　 神 、 謹 守 遵 行 這 律 法 的 一 切 話 。
Những con cái của dân sự chưa biết việc ấy, sẽ nghe, tập kính sợ Giê-hô-va Đức Chúa Trời các ngươi, trọn lúc các ngươi sống trên đất mà các ngươi sẽ nhận được, sau khi đã đi ngang qua sông Gô-đanh.|也 使 他 們 未 曾 曉 得 這 律 法 的 兒 女 、 得 以 聽 見 、 學 習 敬 畏 耶 和 華 你 們 的 　 神 、 在 你 們 過 約 但 河 要 得 為 業 之 地 、 存 活 的 日 子 、 常 常 這 樣 行 。
Đức Giê-hô-va bèn phán cùng Môi-se rằng: Kìa, ngày chết của ngươi hầu gần; hãy gọi Giô-suê, rồi hai ngươi hãy ra mắt tại hội mạc, để ta truyền lịnh ta cho người. Vậy, Môi-se và Giô-suê đi đến chầu tại hội mạc.|耶 和 華 對 摩 西 說 、 你 的 死 期 臨 近 了 、 要 召 約 書 亞 來 、 你 們 二 人 站 在 會 幕 裡 、 我 好 囑 咐 他 ． 於 是 摩 西 和 約 書 亞 去 站 在 會 幕 裡 。
Đức Giê-hô-va hiện ra nơi Trại, trong một trụ mây, và trụ mây dừng lại tại cửa Trại.|耶 和 華 在 會 幕 裡 雲 柱 中 顯 現 、 雲 柱 停 在 會 幕 門 以 上 。
Đức Giê-hô-va phán cùng Môi-se rằng: Kìa, ngươi sẽ an giấc với các tổ phụ ngươi; dân sự nầy sẽ dấy lên và thông dâm cùng các thần khác trong xứ mà họ sẽ vào, bỏ ta và bội giao ước ta đã lập cùng họ.|耶 和 華 又 對 摩 西 說 、 你 必 和 你 列 祖 同 睡 ． 這 百 姓 要 起 來 、 在 他 們 所 要 去 的 地 上 、 在 那 地 的 人 中 、 隨 從 外 邦 神 行 邪 淫 、 離 棄 我 、 違 背 我 與 他 們 所 立 的 約 。
Trong ngày ấy, cơn thạnh nộ ta sẽ phừng lên cùng họ, ta sẽ bỏ họ, giấu mặt ta đi, khiến cho họ bị tiêu nuốt; nhiều sự tai vạ và buồn thảm sẽ xông hãm vào họ. Trong ngày đó họ sẽ nói rằng: Há có phải vì Đức Chúa Trời không ngự giữa tôi, nên những tai vạ nầy xông hãm vào tôi chăng?|那 時 我 的 怒 氣 必 向 他 們 發 作 、 我 也 必 離 棄 他 們 、 掩 面 不 顧 他 們 、 以 致 他 們 被 吞 滅 ． 並 有 許 多 的 禍 患 災 難 臨 到 他 們 、 那 日 他 們 必 說 、 這 些 禍 患 臨 到 我 們 、 豈 不 是 因 我 們 的 　 神 不 在 我 們 中 間 麼 。
Còn ta, trong ngày đó, sẽ giấu mất mặt ta đi, vì cớ các tội ác của dân đã làm, trở theo các thần khác.|那 時 、 因 他 們 偏 向 別 神 所 行 的 一 切 惡 、 我 必 定 掩 面 不 顧 他 們 。
Vậy bây giờ, hãy chép bài ca nầy và dạy cho dân Y-sơ-ra-ên; hãy để trong miệng họ, để bài ca nầy dùng làm chứng cho ta nghịch cùng dân Y-sơ-ra-ên.|現 在 你 要 寫 一 篇 歌 、 教 導 以 色 列 人 、 傳 給 他 們 、 使 這 歌 見 證 他 們 的 不 是 ．
Vì ta sẽ đưa dân nầy vào xứ, ta đã thề hứa cùng tổ phụ chúng nó; tức là xứ đượm sữa và mật; chúng nó sẽ ăn no nê và mập béo; đoạn, trở đi hầu việc các thần khác, khinh dể ta, và bội giao ước của ta.|因 為 我 將 他 們 領 進 我 向 他 們 列 祖 起 誓 應 許 那 流 奶 與 蜜 之 地 、 他 們 在 那 裡 喫 得 飽 足 、 身 體 肥 胖 、 就 必 偏 向 別 神 事 奉 他 們 、 藐 視 我 、 背 棄 我 的 約 。
