
					I-sai-a 1				|
Dầu núi dời, dầu đồi chuyển, nhưng lòng nhơn từ ta đối với ngươi chẳng dời khỏi ngươi, lời giao ước bình an của ta chẳng chuyển, Đức Giê-hô-va, là Đấng thương xót ngươi, phán vậy.|大 山 可 以 挪 開 、 小 山 可 以 遷 移 ． 但 我 的 慈 愛 必 不 離 開 你 、 我 平 安 的 約 也 不 遷 移 ． 這 是 憐 恤 你 的 耶 和 華 說 的 。
Hỡi ngươi đương cùng khốn, bị bão lung lay, mất sự yên ủi, nầy, ta sẽ lấy đơn sa lát đá ngươi, sẽ lập nên ngươi bằng thanh ngọc.|你 這 受 困 苦 被 風 飄 蕩 不 得 安 慰 的 人 哪 、 我 必 以 彩 色 安 置 你 的 石 頭 、 以 藍 寶 石 立 定 你 的 根 基 ．
Ta sẽ lấy hồng ngọc làm tường xép ngươi, lấy san hô làm các cửa ngươi, và cả bờ cõi ngươi đều làm bằng đá quí.|又 以 紅 寶 石 造 你 的 女 牆 、 以 紅 玉 造 你 的 城 門 、 以 寶 石 造 你 四 圍 的 邊 界 。 〔 或 作 外 郭 〕
Hết thảy con cái ngươi sẽ được Đức Giê-hô-va dạy dỗ, và sự bình an của con cái ngươi sẽ lớn.|你 的 兒 女 都 要 受 耶 和 華 的 教 訓 ． 你 的 兒 女 必 大 享 平 安 。
Ngươi sẽ được đứng vững trong sự công bình, tránh khỏi sự hiếp đáp, vì chẳng sợ chi hết. Ngươi sẽ xa sự kinh hãi, vì nó chẳng hề đến gần ngươi.|你 必 因 公 義 得 堅 立 ． 必 遠 離 欺 壓 、 不 至 害 怕 ． 你 必 遠 離 驚 嚇 、 驚 嚇 必 不 臨 近 你 。
Nầy, nếu người ta lập mưu hại ngươi, ấy chẳng phải bởi ta. Kẻ nào lập mưu hại ngươi sẽ vì cớ ngươi mà sa ngã.|即 或 有 人 聚 集 、 卻 不 由 於 我 ． 凡 聚 集 攻 擊 你 的 、 必 因 你 仆 倒 。 〔 因 你 仆 倒 或 作 投 降 你 〕
Nầy, chính ta đã tạo thành người thợ rèn thổi lửa than, chế ra khí dụng để dùng; và cũng chính ta đã tạo thành kẻ phá diệt đặng làm sự phá diệt.|吹 噓 炭 火 、 打 造 合 用 器 械 的 鐵 匠 、 是 我 所 造 ． 殘 害 人 行 毀 滅 的 、 也 是 我 所 造 。
Phàm binh khí chế ra nghịch cùng ngươi sẽ chẳng thạnh lợi, và ngươi sẽ định tội mọi lưỡi dấy lên để xét đoán ngươi. Đức Giê-hô-va phán: Ay là phần cơ nghiệp của các tôi tớ Đức Giê-hô-va, và sự công bình bởi ta ban cho họ.|凡 為 攻 擊 你 造 成 的 器 械 、 必 不 利 用 ． 凡 在 審 判 時 興 起 用 舌 攻 擊 你 的 、 你 必 定 他 為 有 罪 ． 這 是 耶 和 華 僕 人 的 產 業 、 是 他 們 從 我 所 得 的 義 ． 這 是 耶 和 華 說 的 。

					I-sai-a 55				|
						以賽亞書 55					
Hỡi những kẻ nào khát, hãy đến suối nước! Và người nào không có tiền bạc, hãy đến, mua mà ăn! Hãy đến, mua rượu và sữa mà không cần tiền, không đòi giá.|你 們 一 切 乾 渴 的 都 當 就 近 水 來 ． 沒 有 銀 錢 的 也 可 以 來 ． 你 們 都 來 、 買 了 喫 ． 不 用 銀 錢 、 不 用 價 值 、 也 來 買 酒 和 奶 。
Sao các ngươi trả tiền để mua đồ không phải là bánh? Sao các ngươi đem công lao mình đổi lấy vật chẳng làm cho no? Hãy chăm chỉ nghe ta, hãy ăn của ngon, và cho linh hồn các ngươi vui thích trong của béo.|你 們 為 何 花 錢 〔 原 文 作 平 銀 〕 買 那 不 足 為 食 物 的 、 用 勞 碌 得 來 的 買 那 不 使 人 飽 足 的 呢 ． 你 們 要 留 意 聽 我 的 話 、 就 能 喫 那 美 物 、 得 享 肥 甘 、 心 中 喜 樂 。
Hãy nghiêng tai, và đến cùng ta; hãy nghe ta, thì linh hồn các ngươi được sống. Ta sẽ lập với các ngươi một giao ước đời đời, tức là sự nhơn từ chắc thật đã hứa cùng Đa-vít.|你 們 當 就 近 我 來 ． 側 耳 而 聽 、 就 必 得 活 ． 我 必 與 你 們 立 永 約 、 就 是 應 許 大 衛 那 可 靠 的 恩 典 。
Nầy, ta đã lập người lên làm chứng kiến cho các nước, làm quan trưởng và quan tướng cho muôn dân.|我 已 立 他 作 萬 民 的 見 證 、 為 萬 民 的 君 王 和 司 令 。
Nầy, ngươi sẽ kêu gọi nước mà ngươi chưa hề biết, và nước chưa hề biết ngươi sẽ chạy đến cùng ngươi, vì cớ Giê-hô-va Đức Chúa Trời ngươi, là Đấng Thánh của Y-sơ-ra-ên, là Đấng đã làm vinh hiển ngươi.|你 素 不 認 識 的 國 民 、 你 也 必 召 來 ． 素 不 認 識 你 的 國 民 、 也 必 向 你 奔 跑 、 都 因 耶 和 華 你 的 　 神 以 色 列 的 聖 者 ． 因 為 他 已 經 榮 耀 你 。
Hãy tìm kiếm Đức Giê-hô-va đang khi mình gặp được; hãy kêu cầu đang khi Ngài ở gần!|當 趁 耶 和 華 可 尋 找 的 時 候 尋 找 他 、 相 近 的 時 候 求 告 他 ．
Kẻ ác khá bỏ đường mình, người bất nghĩa khá bỏ các ý tưởng; hãy trở lại cùng Đức Giê-hô-va, Ngài sẽ thương xót cho, hãy đến cùng Đức Chúa Trời chúng ta, vì Ngài tha thứ dồi dào.|惡 人 當 離 棄 自 己 的 道 路 ． 不 義 的 人 當 除 掉 自 己 的 意 念 、 歸 向 耶 和 華 、 耶 和 華 就 必 憐 恤 他 ． 當 歸 向 我 們 的 　 神 、 因 為 　 神 必 廣 行 赦 免 。
Đức Giê-hô-va phán: Ý tưởng ta chẳng phải ý tưởng các ngươi, đường lối các ngươi chẳng phải đường lối ta.|耶 和 華 說 、 我 的 意 念 、 非 同 你 們 的 意 念 、 我 的 道 路 、 非 同 你 們 的 道 路 。
Vì các từng trời cao hơn đất bao nhiêu, thì đường lối ta cao hơn đường lối các ngươi, ý tưởng ta cao hơn ý tưởng các ngươi cũng bấy nhiêu.|天 怎 樣 高 過 地 、 照 樣 我 的 道 路 、 高 過 你 們 的 道 路 、 我 的 意 念 、 高 過 你 們 的 意 念 。
Vả, như mưa và tuyết xuống từ trên trời và không trở lại nữa, mà đượm nhuần đất đai, làm cho sanh ra và kết nụ, đặng có giống cho kẻ giao, có bánh cho kẻ ăn,|雨 雪 從 天 而 降 、 並 不 返 回 、 卻 滋 潤 地 土 、 使 地 上 發 芽 結 實 、 使 撒 種 的 有 種 、 使 要 喫 的 有 糧 ．
thì lời nói của ta cũng vậy, đã ra từ miệng ta, thì chẳng trở về luống nhưng, mà chắc sẽ làm trọn điều ta muốn, thuận lợi công việc ta đã sai khiến nó.|我 口 所 出 的 話 、 也 必 如 此 、 決 不 徒 然 返 回 、 卻 要 成 就 我 所 喜 悅 的 、 在 我 發 他 去 成 就 的 事 上 〔 發 他 去 成 就 或 作 所 命 定 〕 必 然 亨 通 。
Vì các ngươi sẽ đi ra vui vẻ, được đưa đi trong sự bình an. Trước mặt các ngươi, núi và đồi sẽ trổi tiếng ca hát, mọi cây cối ngoài đồng sẽ vỗ tay.|你 們 必 歡 歡 喜 喜 而 出 來 、 平 平 安 安 蒙 引 導 ． 大 山 小 山 必 在 你 們 面 前 發 聲 歌 唱 ． 田 野 的 樹 木 也 都 拍 掌 。
Cây tùng sẽ mọc lên thay cho bụi gai, và cây sim sẽ lớn lên thay cho gai gốc; điều đó sẽ làm cho biết danh Đức Giê-hô-va, và là một dấu đời đời không hề tiệt diệt.|松 樹 長 出 代 替 荊 棘 ． 番 石 榴 長 出 代 替 蒺 藜 ． 這 要 為 耶 和 華 留 名 、 作 為 永 遠 的 證 據 、 不 能 剪 除 。

					I-sai-a 56				|
						以賽亞書 56					
Đức Giê-hô-va phán như vầy: Hãy giữ điều chánh trực, và làm sự công bình; vì sự cứu rỗi của ta gần đến, sự công bình của ta sắp được bày tỏ.|耶 和 華 如 此 說 、 你 們 當 守 公 平 、 行 公 義 ． 因 我 的 救 恩 臨 近 、 我 的 公 義 將 要 顯 現 。
Phước thay cho người làm điều đó, và con người cầm vững sự đó, giữ ngày Sa-bát đặng đừng làm ô uế, cấm tay mình không làm một điều ác nào!|謹 守 安 息 日 而 不 干 犯 、 禁 止 己 手 而 不 作 惡 ． 如 此 行 、 如 此 持 守 的 人 、 便 為 有 福 。
Người dân ngoại liên hiệp cùng Đức Giê-hô-va chớ nên nói rằng: Đức Giê-hô-va chắc sẽ biệt ta ra khỏi dân Ngài. Kẻ hoạn cũng chớ nên nói rằng: Nầy, ta là cây khô.|與 耶 和 華 聯 合 的 外 邦 人 不 要 說 、 耶 和 華 必 定 將 我 從 他 民 中 分 別 出 來 ． 太 監 也 不 要 說 、 我 是 枯 樹 。
Vì Đức Giê-hô-va phán như vầy: Những kẻ hoạn hay giữ các ngày Sa-bát ta, lựa điều đẹp lòng ta, cầm vững lời giao ước ta,|因 為 耶 和 華 如 此 說 、 那 些 謹 守 我 的 安 息 日 、 揀 選 我 所 喜 悅 的 事 、 持 守 我 約 的 太 監 ．
thì ta sẽ ban cho họ tại trong nhà ta và trong tường ta một chỗ, và một danh tốt hơn danh của con trai con gái; ta lại sẽ ban cho họ một danh đời đời chẳng hề dứt đi.|我 必 使 他 們 在 我 殿 中 、 在 我 牆 內 、 有 記 念 、 有 名 號 、 比 有 兒 女 的 更 美 ． 我 必 賜 他 們 永 遠 的 名 、 不 能 剪 除 。
Các người dân ngoại về cùng Đức Giê-hô-va, đặng hầu việc Ngài, đặng yêu mến danh Đức Giê-hô-va, đặng làm tôi tớ Ngài; tức là hết thảy những kẻ giữ ngày Sa-bát cho khỏi ô uế, và cầm vững lời giao ước ta,|還 有 那 些 與 耶 和 華 聯 合 的 外 邦 人 、 要 事 奉 他 、 要 愛 耶 和 華 的 名 、 要 作 他 的 僕 人 、 就 是 凡 守 安 息 日 不 干 犯 、 又 持 守 他 〔 原 文 作 我 〕 約 的 人 ．
thì ta sẽ đem họ vui mừng trong nhà cầu nguyện ta. Của lễ thiêu và hi sinh họ dâng trên bàn thờ ta, sẽ được nhận lấy; vì nhà ta sẽ gọi là nhà cầu nguyện cho mọi dân tộc.|我 必 領 他 們 到 我 的 聖 山 、 使 他 們 在 禱 告 我 的 殿 中 喜 樂 ． 他 們 的 燔 祭 、 和 平 安 祭 、 在 我 壇 上 必 蒙 悅 納 ． 因 我 的 殿 必 稱 為 萬 民 禱 告 的 殿 。
Chúa Giê-hô-va, Đấng nhóm dân tan lạc của Y-sơ-ra-ên, phán như vầy: Dân nó đã được nhóm lại rồi, ta sẽ còn nhóm các dân khác lại về cùng nó.|主 耶 和 華 、 就 是 招 聚 以 色 列 被 趕 散 的 、 說 、 在 這 被 招 聚 的 人 以 外 、 我 還 要 招 聚 別 人 歸 併 他 們 。
Hỡi loài thú đồng, loài thú rừng, hết thảy hãy đến mà cắn-nuốt.|田 野 的 諸 獸 都 來 吞 喫 罷 ． 林 中 的 諸 獸 、 也 要 如 此 。
Những kẻ canh giữ của Y-sơ-ra-ên đều là đui mù, không biết chi hết. Chúng nó thảy đều là chó câm, chẳng biết sủa, đều chiêm bao, nằm sóng sượt, và ham ngủ;|他 看 守 的 人 是 瞎 眼 的 、 都 沒 有 知 識 、 都 是 啞 吧 狗 、 不 能 叫 喚 ． 但 知 作 夢 、 躺 臥 、 貪 睡 。
lại là chó mê ăn, không biết no. Ay là những kẻ chăn chiên chẳng khôn sáng; mọi người theo đường riêng mình, mỗi người tìm tư lợi mình, người nào cũng vậy.|這 些 狗 貪 食 、 不 知 飽 足 ． 這 些 牧 人 不 能 明 白 、 各 人 偏 行 己 路 、 各 從 各 方 求 自 己 的 利 益 。
Nó nói rằng: Hãy đến, ta sẽ lấy rượu, chúng ta say vì rượu mạnh; ngày mai sẽ cũng như ngày nay, trọng thể quá bội.|他 們 說 、 來 罷 、 我 去 拿 酒 、 我 們 飽 飲 濃 酒 ． 明 日 必 和 今 日 一 樣 、 就 是 宴 樂 無 量 極 大 之 日 。

					I-sai-a 57				|
						以賽亞書 57					
Người công bình chết, chẳng ai để ý đến; người nhơn đức bị cất đi, chẳng ai suy nghĩ rằng người công bình bị cất đi khỏi tai vạ hầu đến.|義 人 死 亡 、 無 人 放 在 心 上 ． 虔 誠 人 被 收 去 、 無 人 思 念 ． 這 義 人 被 收 去 是 免 了 將 來 的 禍 患 。
Người vào trong sự bình an. Mỗi người đi trong đường ngay thẳng, thì được an nghỉ nơi giường mình.|他 們 得 享 〔 原 文 作 進 入 〕 平 安 、 素 行 正 直 的 、 各 人 在 墳 裡 〔 原 文 作 床 上 〕 安 歇 。
Nhưng các ngươi, là con trai của bà bóng, dòng dõi của kẻ gian dâm và người đĩ thõa kia, hãy lại gần đây!|你 們 這 些 巫 婆 的 兒 子 、 姦 夫 和 妓 女 的 種 子 、 都 要 前 來 。
Các ngươi nhạo cười ai? Các ngươi há miệng rộng và le lưỡi nghịch cùng ai? Các ngươi há chẳng phải con cái bội nghịch, dòng dõi nói dối sao?|你 們 向 誰 戲 笑 、 向 誰 張 口 吐 舌 呢 ． 你 們 豈 不 是 悖 逆 的 兒 女 、 虛 謊 的 種 類 呢 ．
Các ngươi hành dâm với nhau trong cây dẽ, dưới cây rậm, giết con cái nơi trũng, dưới lỗ nẻ vầng đá!|你 們 在 橡 樹 中 間 、 在 各 青 翠 樹 下 慾 火 攻 心 ． 在 山 谷 間 、 在 石 穴 下 殺 了 兒 女 。
Những đá bóng láng nơi khe suối, tức là phần riêng ngươi; thật, đó là phần ngươi; nên ngươi làm lễ quán và dâng của lễ chay cho những đá đó! Ta há chẳng giận về những sự đó sao?|在 谷 中 光 滑 石 頭 裡 有 你 的 分 ． 這 些 就 是 你 所 得 的 分 ． 你 也 向 他 澆 了 奠 祭 、 獻 了 供 物 ． 因 這 事 我 豈 能 容 忍 麼 。
Ngươi đặt giường trên núi rất cao, và lên đó đặng dâng của lễ.|你 在 高 而 又 高 的 山 上 安 設 床 榻 、 也 上 那 裡 去 獻 祭 。
Ngươi đặt dấu ghi đằng sau cửa và sau các trụ cửa; vì ngươi đã trần mình cho kẻ khác và leo lên; ngươi đã làm rộng giường mình và lập giao ước với chúng nó. Ngươi lại ngó xem giường chúng nó và ưa thích!|你 在 門 後 、 在 門 框 後 、 立 起 你 的 紀 念 、 向 外 人 赤 露 ． 又 上 去 擴 張 床 榻 、 與 他 們 立 約 ． 你 在 那 裡 看 見 他 們 的 床 、 就 甚 喜 愛 。
Ngươi đã đem dầu và gia thêm hương liệu dân cho vua kia; đã sai sứ giả mình đi phương xa; hạ mình xuống đến âm phủ!|你 把 油 帶 到 王 那 裡 、 又 多 加 香 料 、 打 發 使 者 往 遠 方 去 、 自 卑 自 賤 直 到 陰 間 。
Ngươi đã mệt nhọc vì đường dài; mà chưa từng nói rằng: Ay là vô ích! Ngươi đã thấy sức lực mình được phấn chấn, cho nên ngươi chẳng mòn mỏi.|你 因 路 遠 疲 倦 ． 卻 不 說 、 這 是 枉 然 ． 你 以 為 有 復 興 之 力 、 所 以 不 覺 疲 憊 。
Vậy thì ngươi kiêng ai? ngươi sợ ai, nên mới nói dối, nên nới không nhớ đến ta, và không lo đến sự đó? Có phải tại lâu nay ta làm thinh mãi, nên ngươi không kính sợ ta chăng?|你 怕 誰 、 因 誰 恐 懼 、 竟 說 謊 、 不 記 念 我 、 又 不 將 這 事 放 在 心 上 ． 我 不 是 許 久 閉 口 不 言 、 你 仍 不 怕 我 麼 。
Nầy, chính ta sẽ rao sự công bình ngươi, mọi việc ngươi làm đều là không ích cho ngươi.|我 要 指 明 你 的 公 義 ． 至 於 你 所 行 的 、 都 必 與 你 無 益 。
Khi ngươi sẽ kêu, hết thảy các thần mà ngươi đã nhóm họp hãy giải cứu ngươi! Gió sẽ đùa các thần ấy đi, một cái thở là làm mất hết thảy. Nhưng kẻ nào ẩn náu nơi ta, sẽ hưởng đất nầy, và được hòn núi thánh của ta làm cơ nghiệp.|你 哀 求 的 時 候 、 讓 你 所 聚 集 的 拯 救 你 罷 ． 風 要 把 他 們 颳 散 ． 一 口 氣 要 把 他 們 都 吹 去 ． 但 那 投 靠 我 的 必 得 地 土 、 必 承 受 我 的 聖 山 為 業 。
Người sẽ nói rằng: Hãy đắp đường, hãy đắp đường! hãy ban cho bằng! hãy cất lấy sự ngăn trở khỏi đường dân ta!|耶 和 華 要 說 、 你 們 修 築 修 築 、 豫 備 道 路 、 將 絆 腳 石 從 我 百 姓 的 路 中 除 掉 。
Đấng cao cả, ở nơi đời đời vô cùng, danh Ngài là Thánh, có phán như vầy: Ta ngự trong nơi cao và thánh, với người có lòng ăn năn đau đớn và khiêm nhường, đặng làm tươi tỉnh thần linh của những kẻ khiêm nhường, và làm tươi tỉnh lòng người ăn năn đau đớn.|因 為 那 至 高 至 上 、 永 遠 長 存 、 〔 原 文 作 住 在 永 遠 〕 名 為 聖 者 的 如 此 說 、 我 住 在 至 高 至 聖 的 所 在 、 也 與 心 靈 痛 悔 謙 卑 的 人 同 居 、 要 使 謙 卑 人 的 靈 甦 醒 、 也 使 痛 悔 人 的 心 甦 醒 。
Ta chẳng muốn cãi lẽ đời đời, cũng chẳng tức giận mãi mãi; vì thần linh sẽ mòn mỏi trước mặt ta, và các linh hồn mà ta đã dựng nên cũng vậy.|我 必 不 永 遠 相 爭 、 也 不 長 久 發 怒 ． 恐 怕 我 所 造 的 人 與 靈 性 、 都 必 發 昏 。
Ay là vì tội tham lam của nó mà ta giận, và đánh nó. Trong cơn giận, ta đã ẩn mặt ta với nó; nhưng nó cứ trở lui đi, theo con đường của lòng mình.|因 他 貪 婪 的 罪 孽 、 我 就 發 怒 擊 打 他 ． 我 向 他 掩 面 發 怒 、 他 卻 仍 然 隨 心 背 道 。
Ta đã xem thấy đường lối nó, ta sẽ chữa lành cho; sẽ dắt đưa và thưởng cho nó sự yên ủi, cùng cho những kẻ lo buồn với nó.|我 看 見 他 所 行 的 道 、 也 要 醫 治 他 ． 又 要 引 導 他 、 使 他 和 那 一 同 傷 心 的 人 、 再 得 安 慰 。
Đức Giê-hô-va phán rằng: Ta dựng nên trái của môi miếng: bình an, bình an cho kẻ ở xa cùng cho kẻ ở gần; ta sẽ chữa lành kẻ ấy.|我 造 就 嘴 唇 的 果 子 ． 願 平 安 康 泰 歸 與 遠 處 的 人 、 也 歸 與 近 處 的 人 ． 並 且 我 要 醫 治 他 ． 這 是 耶 和 華 說 的 。
Song những kẻ ác giống như biển đương động, không yên lặng được, thì nước nó chảy ra bùn lầy.|惟 獨 惡 人 、 好 像 翻 騰 的 海 、 不 得 平 靜 、 其 中 的 水 、 常 湧 出 污 穢 和 淤 泥 來 。
Đức Chúa Trời ta đã phán: Những kẻ gian ác chẳng hưởng sự bình an.|我 的 　 神 說 、 惡 人 必 不 得 平 安 。

					I-sai-a 58				|
						以賽亞書 58					
Hãy kêu to lên, đừng dứt; hãy cất tiếng lên như cái loa; rao bảo tội lỗi dân ta cho nó, và rao bảo sự gian ác nhà Gia-cốp cho nhà ấy!|你 要 大 聲 喊 叫 、 不 可 止 息 、 揚 起 聲 來 好 像 吹 角 、 向 我 百 姓 說 明 他 們 的 過 犯 、 向 雅 各 家 說 明 他 們 的 罪 惡 。
Ngày ngày họ tìm kiếm ta và muốn biết đường lối ta; như dân đã theo sự công bình và chưa từng bỏ luật pháp của Đức Chúa Trời mình! Họ cầu hỏi ta sự đoán xét công bình; và vui lòng gần gủi Đức Chúa Trời,|他 們 天 天 尋 求 我 、 樂 意 明 白 我 的 道 ． 好 像 行 義 的 國 民 、 不 離 棄 他 們 　 神 的 典 章 、 向 我 求 問 公 義 的 判 語 、 喜 悅 親 近 　 神 。
mà rằng: Sao chúng tôi kiêng ăn mà Chúa chẳng đoái xem? sao chúng tôi chịu dằn lòng mà Chúa chẳng biết đến? Nầy, trong ngày các ngươi kiêng ăn, cũng cứ tìm sự đẹp ý mình, và làm khổ cho kẻ làm thuê.|他 們 說 、 我 們 禁 食 、 你 為 何 不 看 見 呢 ． 我 們 刻 苦 己 心 、 你 為 何 不 理 會 呢 ． 看 哪 、 你 們 禁 食 的 日 子 、 仍 求 利 益 、 勒 逼 人 為 你 們 作 苦 工 。
Thật, các ngươi kiêng ăn để tìm sự cãi cọ tranh cạnh, đến nỗi nắm tay đánh nhau cộc cằn; các ngươi kiêng ăn trong ngày như vậy, thì tiếng các ngươi chẳng được nghe thấu nơi cao.|你 們 禁 食 、 卻 互 相 爭 競 、 以 兇 惡 的 拳 頭 打 人 ． 你 們 今 日 禁 食 、 不 得 使 你 們 的 聲 音 聽 聞 於 上 。
Đó há phải là sự kiêng ăn mà ta chọn lựa, há phải là ngày người ta dằn lòng mình đâu? Cúi đầu như cây sậy, nằm trên bao gai và trên tro, đó há phải điều ngươi gọi là kiêng ăn, là ngày đẹp lòng Đức Giê-hô-va sao?|這 樣 禁 食 、 豈 是 我 所 揀 選 使 人 刻 苦 己 心 的 日 子 麼 ． 豈 是 叫 人 垂 頭 像 葦 子 、 用 麻 布 和 爐 灰 鋪 在 他 以 下 麼 ． 你 這 可 稱 為 禁 食 為 耶 和 華 所 悅 納 的 日 子 麼 。
Sự kiêng ăn mà ta chọn lựa, há chẳng phải là bẻ những xiềng hung ác, mở những trói của ách, thả cho kẻ bị ức hiếp được tự do, bẻ gãy mọi ách, hay sao?|我 所 揀 選 的 禁 食 、 不 是 要 鬆 開 兇 惡 的 繩 、 解 下 軛 上 的 索 、 使 被 欺 壓 的 得 自 由 、 折 斷 一 切 的 軛 麼 。
Há chẳng phải là chia bánh cho kẻ đói, đem những kẻ nghèo khổ đã bị đuổi đi về nhà mình, khi thấy kẻ trần truồng thì mặc cho, và chớ hề trớ trinh những kẻ cốt nhục mình, hay sao?|不 是 要 把 你 的 餅 、 分 給 飢 餓 的 人 ． 將 飄 流 的 窮 人 、 接 到 你 家 中 ． 見 赤 身 的 、 給 他 衣 服 遮 體 ． 顧 恤 自 己 的 骨 肉 而 不 掩 藏 麼 。
Bấy giờ sự sáng ngươi sẽ hừng lên như sự sáng ban mai, ngươi sẽ được chữa lành lập tức; sự công bình ngươi đi trước mặt ngươi, sự vinh hiển của Đức Giê-hô-va sẽ gìn giữ sau ngươi.|這 樣 、 你 的 光 就 必 發 現 如 早 晨 的 光 ． 你 所 得 的 醫 治 、 要 速 速 發 明 ． 你 的 公 義 、 必 在 你 前 面 行 ． 耶 和 華 的 榮 光 、 必 作 你 的 後 盾 。
Bấy giờ ngươi cầu, Đức Giê-hô-va sẽ ứng; ngươi kêu, Ngài sẽ phán rằng: Có ta đây! Nếu ngươi cất-bỏ cái ách khỏi giữa ngươi, không chỉ tay và không nói bậy;|那 時 你 求 告 、 耶 和 華 必 應 允 ． 你 呼 求 、 他 必 說 、 我 在 這 裡 。 你 若 從 你 中 間 除 掉 重 軛 、 和 指 摘 人 的 指 頭 、 並 發 惡 言 的 事 ．
nếu ngươi mở lòng cho kẻ đói, và làm no kẻ khốn khổ, thì sự sáng ngươi sẽ sáng ra trong tối tăm, và sự tối tăm ngươi sẽ như ban trưa.|你 心 若 向 飢 餓 的 人 發 憐 憫 、 使 困 苦 的 人 得 滿 足 ． 你 的 光 就 必 在 黑 暗 中 發 現 、 你 的 幽 暗 必 變 如 正 午 ．
Đức Giê-hô-va sẽ cứ dắt đưa ngươi; làm cho ngươi no lòng giữa nơi khô hạn lớn; làm cho cứng mạnh các xương ngươi, ngươi sẽ như vườn năng tưới, như nước suối chẳng hề khô vậy.|耶 和 華 也 必 時 常 引 導 你 、 在 乾 旱 之 地 使 你 心 滿 意 足 、 骨 頭 強 壯 ． 你 必 像 澆 灌 的 園 子 、 又 像 水 流 不 絕 的 泉 源 。
Những kẻ ra từ ngươi sẽ dựng lại nơi đổ nát ngày xưa; ngươi sẽ lập lại các nần của nhiều đời trước. người ta sẽ xưng ngươi là Kẻ tu bổ sự hư hoại, và là Kẻ sửa đường lại cho người ở.|那 些 出 於 你 的 人 、 必 修 造 久 已 荒 廢 之 處 ． 你 要 建 立 拆 毀 累 代 的 根 基 ． 你 必 稱 為 補 破 口 的 、 和 重 修 路 徑 與 人 居 住 的 。
Nếu ngươi ngừa giữ chơn mình trong ngày Sa-bát, không làm vừa ý mình trong ngày thánh của ta; nếu ngươi xưng ngày Sa-bát là ngày vui thích, coi người thánh của Đức Giê-hô-va là đáng kính; nếu ngươi tôn trọng ngày đó, không đi đường riêng mình, không theo ý riêng mình, và không nói lời riêng mình,|你 若 在 安 息 日 掉 轉 〔 或 作 謹 慎 〕 你 的 腳 步 、 在 我 聖 日 不 以 操 作 為 喜 樂 、 稱 安 息 日 為 可 喜 樂 的 、 稱 耶 和 華 的 聖 日 為 可 尊 重 的 ． 而 且 尊 敬 這 日 、 不 辦 自 己 的 私 事 、 不 隨 自 己 的 私 意 、 不 說 自 己 的 私 話 、
bấy giờ ngươi sẽ lấy Đức Giê-hô-va làm vui thích, ta sẽ làm cho ngươi cỡi lên các nơi cao trên đất, và lấy sản nghiệp của Gia-cốp, tổ phụ ngươi, mà nuôi ngươi; vì miệng Đức Giê-hô-va đã phán vậy.|你 就 以 耶 和 華 為 樂 ． 耶 和 華 要 使 你 乘 駕 地 的 高 處 ． 又 以 你 祖 雅 各 的 產 業 養 育 你 ． 這 是 耶 和 華 親 口 說 的 。

					I-sai-a 59				|
						以賽亞書 59					
Nầy, tay Đức Giê-hô-va chẳng trở nên ngắn mà không cứu được; tai Ngài cũng chẳng nặng nề mà không nghe được đâu.|耶 和 華 的 膀 臂 、 並 非 縮 短 不 能 拯 救 ． 耳 朵 、 並 非 發 沉 不 能 聽 見 ．
Nhưng ấy là sự gian ác các ngươi làm xa cách mình với Đức Chúa Trời; và tội lỗi các ngươi đã che khuất mặt Ngài khỏi các ngươi, đến nỗi Ngài không nghe các ngươi nữa.|但 你 們 的 罪 孽 使 你 們 與 　 神 隔 絕 、 你 們 的 罪 惡 使 他 掩 面 不 聽 你 們 。
Vì tay các ngươi đã ô uế bởi tội ác; môi các ngươi nói dối, lưỡi các ngươi lằm bằm sự xấu xa.|因 你 們 的 手 被 血 沾 染 、 你 們 的 指 頭 被 罪 孽 沾 污 ． 你 們 的 嘴 唇 說 謊 言 、 你 們 的 舌 頭 出 惡 語 。
Trong các ngươi chẳng có ai lấy lẽ công bình mà kêu rêu; chẳng có ai lấy điều chơn thật mà đối nại. Hết thảy đều cậy sự hư không, nói lời dối trá, cưu mang điều ác và đẻ ra tội trọng.|無 一 人 按 公 義 告 狀 、 無 一 人 憑 誠 實 辨 白 ． 都 倚 靠 虛 妄 、 說 謊 言 ． 所 懷 的 是 毒 害 、 所 生 的 是 罪 孽 ．
Họ ấp trứng hổ mang và dệt màng nhện; ai ăn những trứng đó sẽ chết và nếu một cái trứng giập ra, sẽ nở thành rắn lục.|他 們 菢 毒 蛇 蛋 、 結 蜘 蛛 網 ． 人 喫 這 蛋 必 死 ． 這 蛋 被 踏 、 必 出 蝮 蛇 ．
Những màng họ không dùng làm áo được, không thể mặc được hàng họ đã dệt ra; công việc họ là công việc đáng tội, tay họ làm những việc hung tàn.|所 結 的 網 、 不 能 成 為 衣 服 、 所 作 的 、 也 不 能 遮 蓋 自 己 ． 他 們 的 行 為 都 是 罪 孽 、 手 所 作 的 都 是 強 暴 。
Chơn họ chạy đến điều ác, nôn nả làm đổ máu vô tội; tư tưởng họ là tư tưởng gian tà, sự phá hại diệt vong là ở trên đường lối họ.|他 們 的 腳 奔 跑 行 惡 、 他 們 急 速 流 無 辜 人 的 血 ． 意 念 都 是 罪 孽 ． 所 經 過 的 路 都 荒 涼 毀 滅 。
