
					Giê-rê-mi-a 1				|
Kìa, nó đã đổ nát dường nào! Chúng nó than thở dường nào! Mô-áp xây lưng lại cách hổ thẹn dường nào! Mô-áp sẽ trở nên cớ nhạo cười và sợ hãi cho hết thảy người chung quanh.|摩 押 何 等 毀 壞 、 何 等 哀 號 、 何 等 羞 愧 轉 背 ． 這 樣 、 摩 押 必 令 四 圍 的 人 嗤 笑 驚 駭 。
Đức Giê-hô-va phán như vầy: Nầy, quân nghịch liệng như chim ưng, sè cánh nghịch cùng Mô-áp.|耶 和 華 如 此 說 、 仇 敵 必 如 大 鷹 飛 起 、 展 開 翅 膀 、 攻 擊 摩 押 。
Kê-ri-giốt bị lấy, các đồn lũy bị choán rồi; ngày đó, lòng những người mạnh mẽ của Mô-áp trở nên như lòng đờn bà đau đẻ.|加 略 被 攻 取 、 保 障 也 被 佔 據 、 到 那 日 、 摩 押 的 勇 士 心 中 疼 痛 、 如 臨 產 的 婦 人 。
Mô-áp sẽ bị diệt, không thành một dân nữa, vì nó đã lên mình nghịch cùng Đức Giê-hô-va.|摩 押 必 被 毀 滅 、 不 再 成 國 、 因 他 向 耶 和 華 誇 大 。
Đức Giê-hô-va phán: Hỡi dân Mô-áp! sự kinh hãi, hầm hố, bẫy dò đương lâm trên ngươi.|耶 和 華 說 、 摩 押 的 居 民 哪 、 恐 懼 、 陷 坑 、 網 羅 、 都 臨 近 你 。
Kẻ nào trốn khỏi sự kinh hãi sẽ sa trong hầm hố, kẻ nào lên khỏi hầm hố sẽ mắc phải bẫy dò. Vì ta sẽ khiến năm thăm phạt đến trên Mô-áp, Đức Giê-hô-va phán vậy.|躲 避 恐 懼 、 的 必 墜 入 陷 坑 ． 從 陷 坑 上 來 的 、 必 被 網 羅 纏 住 ． 因 我 必 使 追 討 之 年 臨 到 摩 押 ． 這 是 耶 和 華 說 的 。
Kẻ trốn tránh kiệt sức rồi thì núp dưới bóng Hết-bôn; vì có lửa phát ra từ Hết-bôn, ngọn lửa từ giữa Si-hôn, thiêu nuốt góc Mô-áp, và sọ của con kẻ hỗn hào.|躲 避 的 人 、 無 力 站 在 希 實 本 的 影 下 ． 因 為 有 火 從 希 實 本 發 出 、 有 火 燄 出 於 西 宏 的 城 、 燒 盡 摩 押 的 角 、 和 鬨 嚷 人 的 頭 頂 。
Hỡi Mô-áp, khốn nạn cho ngươi! dân Kê-mốt mất rồi! Các con trai và con gái ngươi đã bị bắt đi làm phu tù.|摩 押 阿 、 你 有 禍 了 ． 屬 基 抹 的 民 滅 亡 了 ． 因 你 的 眾 子 都 被 擄 去 ． 你 的 眾 女 也 被 擄 去 。
Nhưng, đến những ngày sau rốt, ta sẽ đem các phu tù Mô-áp trở về, Đức Giê-hô-va phán vậy. Lời xét đoán về Mô-áp đến đó mà thôi.|耶 和 華 說 、 到 末 後 、 我 還 要 使 被 擄 的 摩 押 人 歸 回 。 摩 押 受 審 判 的 話 到 此 為 止 。

					Giê-rê-mi-a 49				|
						耶利米書 49					
Về con cái Am-môn. Đức Giê-hô-va phán như vầy: Y-sơ-ra-ên há chẳng có con trai sao? há chẳng có con kế tự sao? Vì sao Minh-côm được lấy đất Gát làm cơ nghiệp, dân nó ở trong các thành của Gát?|論 亞 捫 人 。 耶 和 華 如 此 說 、 以 色 列 沒 有 兒 子 麼 、 沒 有 後 嗣 麼 ． 瑪 勒 堪 為 何 得 迦 得 之 地 為 業 呢 ． 屬 他 的 民 為 何 住 其 中 的 城 邑 呢 。 　
Đức Giê-hô-va phán: Nầy, những ngày đến, bấy giờ ta sẽ làm cho tiếng kêu về giặc giã vang ra nghịch cùng Ráp-bát, tức thành của con cái Am-môn, nó sẽ trở nên một đống đổ nát; các con gái nó sẽ bị lửa đốt cháy, bấy giờ Y-sơ-ra-ên sẽ chiếm lấy những kẻ đã chiếm lấy mình, Đức Giê-hô-va phán vậy.|耶 和 華 說 、 日 子 將 到 、 我 必 使 人 聽 見 打 仗 的 喊 聲 、 是 攻 擊 亞 捫 人 拉 巴 的 喊 聲 、 拉 巴 要 成 為 亂 堆 ． 屬 他 的 鄉 村 〔 原 文 作 女 子 〕 要 被 火 焚 燒 ． 先 前 得 以 色 列 地 為 業 的 、 此 時 以 色 列 倒 要 得 他 們 的 地 為 業 ． 這 是 耶 和 華 說 的 。
Hỡi Hết-bôn, hãy than khóc, vì A-hi đã bị cướp phá! Hỡi con gái Ráp-bát, hãy kêu la; hãy mang bao gai, chạy đi chạy lại giữa các hàng rào mà than khóc! Vì Minh-côm sẽ đi làm phu tù cùng các thầy tế lễ và các quan trưởng mình.|希 實 本 哪 、 你 要 哀 號 、 因 為 愛 地 變 為 荒 場 ． 拉 巴 的 居 民 哪 、 〔 居 民 原 文 作 女 子 〕 要 呼 喊 、 以 麻 布 束 腰 ． 要 哭 號 、 在 籬 笆 中 跑 來 跑 去 ． 因 瑪 勒 堪 和 屬 他 的 祭 司 、 首 領 、 要 一 同 被 擄 去 。
Hỡi con gái bội nghịch kia, sao khoe mình về các nơi trũng ngươi, về nơi trũng màu mỡ ngươi? Ngươi tin cậy ở của báu mình, và nói rằng: Ai đến được cùng ta?|背 道 的 民 哪 、 〔 民 原 文 作 女 子 〕 你 們 為 何 因 有 山 谷 、 就 是 水 流 的 山 谷 、 誇 張 呢 ． 為 何 倚 靠 財 寶 、 說 、 誰 能 來 到 我 們 這 裡 呢 。
Chúa, là Đức Giê-hô-va vạn quân, phán: Nầy, ta sẽ khiến sự kinh hãi từ mọi nơi chung quanh ngươi đến cùng ngươi; mỗi người trong các ngươi sẽ bị đuổi và chạy thẳng, chẳng ai sẽ thâu nhóm những người đi trốn.|主 萬 軍 之 耶 和 華 說 、 我 要 使 恐 嚇 從 四 圍 的 人 中 臨 到 你 們 ． 你 們 必 被 趕 出 、 各 人 一 直 前 往 、 沒 有 人 收 聚 逃 民 。
Nhưng về sau ta sẽ đem các con cái Am-môn bị phu tù trở về, Đức Giê-hô-va phán vậy.|後 來 我 還 要 使 被 擄 的 亞 捫 人 歸 回 ． 這 是 耶 和 華 說 的 。
Về Ê-đôm. Đức Giê-hô-va vạn quân phán như vầy: Trong Thê-man há không còn có sự khôn ngoan sao? Những người khôn đã dứt mưu luận của mình sao? Sự khôn ngoan của họ đã mất rồi sao?|論 以 東 。 萬 軍 之 耶 和 華 如 此 說 、 提 幔 中 再 沒 有 智 慧 麼 ． 明 哲 人 不 再 有 謀 略 麼 ． 他 們 的 智 慧 盡 歸 無 有 麼 。
Hỡi dân cư Đê-đan, hãy trốn, xây lưng lại, đi ở trong các chỗ sâu; vì ta sẽ khiến tai vạ của Ê-sau đến trên nó, là kỳ ta sẽ thăm phạt nó.|底 但 的 居 民 哪 、 要 轉 身 逃 跑 、 住 在 深 密 處 ． 因 為 我 向 以 掃 追 討 的 時 候 、 必 使 災 殃 臨 到 他 。
Kẻ hái nho đến nhà ngươi, há chẳng để sót lại một ít sao? Kẻ trộm ban đêm há chẳng hủy hoại cho đến mình có đủ sao?|摘 葡 萄 的 、 若 來 到 他 那 裡 、 豈 不 剩 下 些 葡 萄 呢 ． 盜 賊 若 夜 間 而 來 、 豈 不 毀 壞 、 直 到 彀 了 呢 。
Nhưng ta đã bóc lột hết Ê-sau, làm cho chỗ kín nó lõa lồ ra, không thể giấu mình được. Con cháu, anh em, kẻ lân cận nó đều bị diệt, và chính mình nó không con.|我 卻 使 以 掃 赤 露 、 顯 出 他 的 隱 密 處 ． 他 不 能 自 藏 ． 他 的 後 裔 、 弟 兄 、 鄰 舍 、 盡 都 滅 絕 、 他 也 歸 於 無 有 。
Hãy bỏ những kẻ mồ côi của ngươi; chính ta sẽ giữ mạng sống chúng nó; các kẻ góa bụa của ngươi khá trông cậy ta!|你 撇 下 孤 兒 、 我 必 保 全 他 們 的 命 ． 你 的 寡 婦 可 以 倚 靠 我 。
Đức Giê-hô-va phán như vầy: Nầy, những kẻ vốn không phải uống chén nầy, chắc sẽ uống lấy; và ngươi há khỏi hình phạt được hết sao? Ngươi sẽ không khỏi hình phạt, nhưng chắc sẽ uống chén ấy.|耶 和 華 如 此 說 、 原 不 該 喝 那 杯 的 、 一 定 要 喝 ． 你 能 盡 免 刑 罰 麼 ． 你 必 不 能 免 、 一 定 要 喝 。
Đức Giê-hô-va phán: Vì ta đã chỉ chính mình ta mà thề, Bốt-sa sẽ nên gở lạ và sỉ nhục, bị phá tán và rủa sả; các thành nó sẽ trở nên gò đống đời đời.|耶 和 華 說 、 我 指 著 自 己 起 誓 、 波 斯 拉 必 令 人 驚 駭 、 羞 辱 、 咒 詛 、 並 且 荒 涼 ． 他 的 一 切 城 邑 、 必 變 為 永 遠 的 荒 場 。
Nầy là tin mà Đức Giê-hô-va cho ta nghe, và có một sứ giả được sai đến giữa các nước: Hãy nhóm lại đi đánh nó, hãy đứng dậy mà chiến đấu!|我 從 耶 和 華 那 裡 聽 見 信 息 、 並 有 使 者 被 差 往 列 國 去 、 說 、 你 們 聚 集 來 攻 擊 以 東 ． 要 起 來 爭 戰 。
Vì nầy, ta đã làm ngươi nên nhỏ mọn giữa các nước, và bị khinh dể giữa người ta.|我 使 你 在 列 國 中 為 最 小 、 在 世 人 中 被 藐 視 。
Hỡi ngươi ở trong bộng đá lớn, choán trên đỉnh núi kia, cho mình là đáng sợ, lòng kiêu ngạo đã dối trá ngươi; dầu ngươi lót ổ mình cao như ổ chim ưng, ta cũng làm cho ngươi từ đó rớt xuống, Đức Giê-hô-va phán vậy.|住 在 山 穴 中 據 守 山 頂 的 阿 、 論 到 你 的 威 嚇 、 你 因 心 中 的 狂 傲 自 欺 ． 你 雖 如 大 鷹 高 高 搭 窩 、 我 卻 從 那 裡 拉 下 你 來 ． 這 是 耶 和 華 說 的 。
Ê-đôm sẽ nên gở lạ, mọi người đi qua sẽ lấy làm lạ; thấy tai vạ của nó, thì đều xỉ báng.|以 東 必 令 人 驚 駭 ． 凡 經 過 的 人 、 就 受 驚 駭 、 又 因 他 一 切 的 災 禍 嗤 笑 。
Ay sẽ giống như sự hủy hoại của Sô-đôm, Gô-mô-rơ, và các thành lân cận, Đức Giê-hô-va phán vậy. Ê-đôm sẽ không có người ở nữa, chẳng có một con người kiều ngụ tại đó.|耶 和 華 說 、 必 無 人 住 在 那 裡 、 也 無 人 在 其 中 寄 居 ． 要 像 所 多 瑪 蛾 摩 拉 和 鄰 近 的 城 邑 傾 覆 的 時 候 一 樣 。
Nầy, nó như sư tử lên từ các rừng rậm rạp của Giô-đanh mà nghịch cùng chỗ ở kiên cố. Thình lình ta sẽ làm cho Ê-đôm trốn khỏi, và ta sẽ lập người mà ta đã chọn để cai trị nó: vì ai giống như ta? ai sẽ định kỳ cho ta? có kẻ chăn nào sẽ đứng trước mặt ta?|仇 敵 必 像 獅 子 從 約 但 河 邊 的 叢 林 上 來 、 攻 擊 堅 固 的 居 所 ． 轉 眼 之 間 、 我 要 使 以 東 人 逃 跑 、 離 開 這 地 ． 誰 蒙 揀 選 、 我 就 派 誰 治 理 這 地 ． 誰 能 比 我 呢 ． 誰 能 給 我 定 規 日 期 呢 ． 有 何 牧 人 能 在 我 面 前 站 立 得 住 呢 。
Vậy hãy nghe mưu Đức Giê-hô-va đã định nghịch cùng Ê-đôm, và ý định Ngài đã lập nghịch cùng dân cư Thê-man: Thật, những con nhỏ trong bầy chúng nó sẽ bị kéo đi; nơi chúng nó sẽ bị làm hoang vu.|你 們 要 聽 耶 和 華 攻 擊 以 東 所 說 的 謀 略 、 和 他 攻 擊 提 幔 居 民 所 定 的 旨 意 ． 仇 敵 定 要 將 他 們 群 眾 微 弱 的 拉 去 、 定 要 使 他 們 的 居 所 荒 涼 。
Nghe tiếng chúng nó đổ xuống, đất đều chuyển động, tiếng kêu của chúng nó nghe thấu đến Biển đỏ.|因 他 們 仆 倒 的 聲 音 、 地 就 震 動 ． 人 在 紅 海 那 裡 、 必 聽 見 呼 喊 的 聲 音 。
Nầy, kẻ thù bay như chim ưng, liệng và sè cánh nghịch cùng Bốt-ra. Ngày đó, lòng anh hùng Ê-đôm trở nên như lòng người đờn bà đang đẻ.|仇 敵 必 如 大 鷹 飛 起 、 展 開 翅 膀 攻 擊 波 斯 拉 ． 到 那 日 、 以 東 的 勇 士 心 中 疼 痛 、 如 臨 產 的 婦 人 。
Về Đa-mách. Ha-mát và At-bát đều bị hổ thẹn; vì chúng nó nghe tin xấu mà tan chảy: biển đương đau đớn, không yên lặng được.|論 大 馬 色 。 哈 馬 和 亞 珥 拔 蒙 羞 ． 因 他 們 聽 見 兇 惡 的 信 息 、 就 消 化 了 ． 海 上 有 憂 愁 、 不 得 平 靜 。
Đa-mách đã trở nên yếu đuối, xây lại đi trốn, sự run rẩy đã bắt lấy nó: sự buồn rầu đau đớn cầm lấy nó, như đờn bà đang đẻ.|大 馬 色 革 發 軟 、 轉 身 逃 跑 ． 戰 兢 將 他 捉 住 、 痛 苦 憂 愁 將 他 抓 住 、 如 產 難 的 婦 人 一 樣 。
Vậy người ta sao chẳng bỏ thành có tiếng khen, là thành làm sự vui vẻ cho ta?|我 所 喜 樂 可 稱 讚 的 城 、 為 何 被 撇 棄 了 呢 。
Đức Giê-hô-va vạn quân phán: Bởi vậy, trong ngày đó, những kẻ trai trẻ nó sẽ ngã trong các đường phố nó, mọi lính chiến sẽ phải nín lặng.|他 的 少 年 人 、 必 仆 倒 在 街 上 ． 當 那 日 、 一 切 兵 丁 必 默 默 無 聲 ． 這 是 萬 軍 之 耶 和 華 說 的 。
Ta sẽ đốt lửa nơi tường thành Đa-mách, nó sẽ thiêu hủy các cung điện Bên-Ha-đát.|我 必 在 大 馬 色 革 城 中 使 火 ? 起 、 燒 滅 便 哈 達 的 宮 殿 。
Về Kê-đa và các nước ở Hát-so mà Nê-bu-cát-nết-sa vua Ba-by-lôn đã đánh. Đức Giê-hô-va phán như vầy: Hãy đứng dậy, đi đánh Kê-đa, và phá diệt các con cái phương đông.|論 巴 比 倫 王 尼 布 甲 尼 撒 所 攻 打 的 基 達 、 和 夏 瑣 的 諸 國 。 耶 和 華 如 此 說 、 迦 勒 底 人 哪 、 起 來 上 基 達 去 、 毀 滅 東 方 人 。
Chúng nó sẽ cất lấy trại và bầy vật chúng nó, cướp lấy màn cháng, đồ lề, và lạc đà, mà kêu lên cùng chúng nó rằng: Sự kinh hãi bao bọc các ngươi tư bề!|他 們 的 帳 棚 、 和 羊 群 、 都 要 奪 去 、 將 幔 子 、 和 一 切 器 皿 、 並 駱 駝 、 為 自 己 掠 去 。 人 向 他 們 喊 著 說 、 四 圍 都 有 驚 嚇 。
Đức Giê-hô-va phán: Hỡi dân cư Hát-so, hãy thoát mình! Hãy lánh đi xa! Hãy ở trong chỗ sâu, vì Nê-bu-cát-nết-sa, vua Ba-by-lôn, đã toan mưu nghịch cùng các ngươi, định ý làm hại các ngươi.|耶 和 華 說 、 夏 瑣 的 居 民 哪 、 要 逃 奔 遠 方 、 住 在 深 密 處 ． 因 為 巴 比 倫 王 尼 布 甲 尼 撒 設 計 謀 害 你 們 、 起 意 攻 擊 你 們 。
Đức Giê-hô-va phán: Hãy đứng dậy, đi đánh dân ở yên ổn không lo lắng gì. Dân ấy không có cửa đóng, không có then chốt, và cũng ở một mình.|耶 和 華 說 、 迦 勒 底 人 哪 、 起 來 、 上 安 逸 無 慮 的 居 民 那 裡 去 ． 他 們 是 無 門 無 閂 、 獨 自 居 住 的 。
Những lạc đà nó sẽ làm của cướp, bầy vật đông đúc nó sẽ làm mồi. Ta sẽ làm cho những kẻ cảo râu chung quanh tan lạc khắp bốn phương; ta sẽ khiến tai vạ từ mọi nơi đến trên chúng nó, Đức Giê-hô-va phán vậy.|他 們 的 駱 駝 、 必 成 為 掠 物 ． 他 們 眾 多 的 牲 畜 、 必 成 為 擄 物 。 我 必 將 剃 周 圍 頭 髮 的 人 、 分 散 四 方 、 〔 方 原 文 作 風 〕 使 災 殃 從 四 圍 臨 到 他 們 ． 這 是 耶 和 華 說 的 。
Hát-so sẽ trở nên hang chó đồng, làm nơi hoang vu đời đời. Chẳng ai ở đó nữa, chẳng có một con người nào trú ngụ đó!|夏 瑣 必 成 為 野 狗 的 住 處 、 永 遠 淒 涼 ． 必 無 人 住 在 那 裡 、 也 無 人 在 其 中 寄 居 。
Lúc Sê-đê-kia vua Giu-đa mới trị vì, có lời Đức Giê-hô-va phán cùng tiên tri Giê-rê-mi, về Ê-lam, rằng:|猶 大 王 西 底 家 登 基 的 時 候 、 耶 和 華 論 以 攔 的 話 臨 到 先 知 耶 利 米 說 、
Đức Giê-hô-va vạn quân phán như vầy: Nầy, ta sẽ bẻ cung của Ê-lam, là sức mạnh thứ nhất của nó.|萬 軍 之 耶 和 華 如 此 說 、 我 必 折 斷 以 攔 人 的 弓 、 就 是 他 們 為 首 的 權 力 。
Ta sẽ khiến bốn gió từ bốn phương trời thổi đến nghịch cùng Ê-lam, sẽ làm tan lạc chúng nó đến mọi gió đó; chẳng có nước nào mà những kẻ bị đuổi của Ê-lam chẳng đến.|我 要 使 四 風 從 天 的 四 方 颳 來 、 臨 到 以 攔 人 、 將 他 們 分 散 四 方 ． 〔 方 原 文 作 風 〕 這 被 趕 散 的 人 、 沒 有 一 國 不 到 的 。
Ta sẽ làm cho người Ê-lam kinh hãi trước mặt kẻ thù nghịch và kẻ đòi mạng chúng nó. Đức Giê-hô-va phán: Ta sẽ khiến sự tai hại, tức thạnh nộ phừng phừng của ta, đổ xuống trên chúng nó; và sai gươm theo sau, cho đến chừng nào ta hủy diệt chúng nó.|耶 和 華 說 、 我 必 使 以 攔 人 在 仇 敵 和 尋 索 其 命 的 人 面 前 驚 惶 ． 我 也 必 使 災 禍 、 就 是 我 的 烈 怒 、 臨 到 他 們 ． 又 必 使 刀 劍 追 殺 他 們 、 直 到 將 他 們 滅 盡 。
Đức Giê-hô-va phán: Ta sẽ đặt ngai ta trong Ê-lam; vua và các quan trưởng nó, ta sẽ diệt đi.|我 要 在 以 攔 設 立 我 的 寶 座 、 從 那 裡 除 滅 君 王 、 和 首 領 ． 這 是 耶 和 華 說 的 。
Nhưng sẽ xảy ra trong những ngày sau rốt, ta sẽ đem các phu tù của Ê-lam trở về, Đức Giê-hô-va phán vậy.|到 末 後 、 我 還 要 使 被 擄 的 以 攔 人 歸 回 ． 這 是 耶 和 華 說 的 。

					Giê-rê-mi-a 50				|
						耶利米書 50					
Nầy là lời Đức Giê-hô-va bởi tiên tri Giê-rê-mi phán về Ba-by-lôn, về đất của người Canh-đê:|耶 和 華 藉 先 知 耶 利 米 論 巴 比 倫 和 迦 勒 底 人 之 地 所 說 的 話 。
Hãy rao, hãy bảo cho các nước, và dựng cờ xí; hãy rao truyền đi, đừng có giấu! Hãy nói rằng: Ba-by-lôn bị bắt lấy; Bên đầy hổ thẹn; Mê-rô-đác bị kinh hãi; hình tượng nó mang xấu hổ, thần tượng nó bị phá đổ!|你 們 要 在 萬 國 中 傳 揚 報 告 、 豎 立 大 旗 ． 要 報 告 、 不 可 隱 瞞 、 說 、 巴 比 倫 被 攻 取 、 彼 勒 蒙 羞 、 米 羅 達 驚 惶 ． 巴 比 倫 的 神 像 都 蒙 羞 、 他 的 偶 像 都 驚 惶 。
Vì một dân đến từ phương bắc nghịch cùng nó, làm cho đất nó ra hoang vu, không có dân ở nữa; người và súc vật đều trốn tránh, và đi mất.|因 有 一 國 從 北 方 上 來 攻 擊 他 、 使 他 的 地 荒 涼 、 無 人 居 住 ． 連 人 帶 牲 畜 、 都 逃 走 了 。
Đức Giê-hô-va phán: Trong những ngày đó, trong kỳ đó, con cái Y-sơ-ra-ên và con cái Giu-đa cùng nhau trở lại, vừa đi vừa khóc, tìm kiếm Giê-hô-va Đức Chúa Trời mình.|耶 和 華 說 、 當 那 日 子 、 那 時 候 、 以 色 列 人 要 和 猶 大 人 同 來 、 隨 走 隨 哭 、 尋 求 耶 和 華 他 們 的 　 神 。
Chúng nó hướng mặt về Si-ôn, hỏi thăm về nó mà rằng: Hãy đến, liên kết với Đức Giê-hô-va bởi một giao ước đời đời sẽ không quên!|他 們 必 訪 問 錫 安 、 又 面 向 這 裡 、 說 、 來 罷 、 你 們 要 與 耶 和 華 聯 合 為 永 遠 不 忘 的 約 。
Dân ta vốn là một bầy chiên lạc mất; những kẻ chăn làm cho lộn đường, để chúng nó lầm lạc trên các núi, đi từ núi qua gò, quên chỗ mình an nghỉ.|我 的 百 姓 作 了 迷 失 的 羊 ． 牧 人 使 他 們 走 差 路 、 使 他 們 轉 到 山 上 ． 他 們 從 大 山 走 到 小 山 、 竟 忘 了 安 歇 之 處 。
Phàm những kẻ gặp, đều vồ nuốt chúng nó; và những kẻ nghịch chúng nó đều nói rằng: Chúng ta không đáng tội, vì chúng nó đã phạm tội nghịch cùng Đức Giê-hô-va, là nơi ở của sự công bình, tức là Đức Giê-hô-va, sự trông cậy của tổ phụ chúng nó.|凡 遇 見 他 們 的 、 就 把 他 們 吞 滅 ． 敵 人 說 、 我 們 沒 有 罪 、 因 他 們 得 罪 那 作 公 義 居 所 的 耶 和 華 、 就 是 他 們 列 祖 所 仰 望 的 耶 和 華 。
Hãy trốn ra ngoài Ba-by-lôn, ra khỏi đất người Canh-đê, hãy đi như dê đực đi đầu bầy!|我 民 哪 、 你 們 要 從 巴 比 倫 中 逃 走 、 從 迦 勒 底 人 之 地 出 去 ． 要 像 羊 群 前 面 走 的 公 山 羊 。
Vì nầy, ta sẽ khiến nhiều dân tộc dấy lên từ xứ phương bắc, và đến nghịch cùng Ba-by-lôn, các dân ấy sẽ dàn trận đánh Ba-by-lôn, và từ đó nó bị hãm lấy. Tên chúng nó bắn như tên của lính chiến giỏi, chẳng trở về không.|因 我 必 激 動 聯 合 的 大 國 、 從 北 方 上 來 攻 擊 巴 比 倫 ． 他 們 要 擺 陣 攻 擊 他 ． 他 必 從 那 裡 被 攻 取 ． 他 們 的 箭 、 好 像 善 射 之 勇 士 的 箭 、 一 枝 也 不 徒 然 返 回 。
Canh-đê sẽ bị cướp lấy, phàm kẻ cướp lấy nó sẽ được no nê, Đức Giê-hô-va phán vậy.|迦 勒 底 必 成 為 掠 物 ． 凡 擄 掠 他 的 都 必 心 滿 意 足 ． 這 是 耶 和 華 說 的 。
Hỡi kẻ cướp sản nghiệp ta, vì các ngươi vui mừng hớn hở, vì các ngươi buông lung như bò cái tơ đạp lúa, reo hí như ngựa mập mạnh;|搶 奪 我 產 業 的 阿 、 你 們 因 歡 喜 快 樂 、 且 像 踹 榖 撒 歡 的 母 牛 犢 、 又 像 發 嘶 聲 的 壯 馬 ．
bởi vậy, mẹ các ngươi rất mang xấu hổ, kẻ đẻ các ngươi bị thẹn thuồng. Kìa, nó sẽ làm cuối cùng hàng các nước, một đồng vắng, một đất khô khan, một nơi sa mạc.|你 們 的 母 巴 比 倫 就 極 其 抱 愧 、 生 你 們 的 必 然 蒙 羞 ． 他 要 列 在 諸 國 之 末 、 成 為 曠 野 、 旱 地 、 沙 漠 。
Bởi cơn giận của Đức Giê-hô-va, nó sẽ không có người ở nữa, chỉ thành ra nơi hoang vu cả; phàm những kẻ đi qua gần Ba-by-lôn sẽ lấy làm lạ, và xỉ báng về các tai nạn nó.|因 耶 和 華 的 忿 怒 、 必 無 人 居 住 、 要 全 然 荒 涼 ． 凡 經 過 巴 比 倫 的 、 要 受 驚 駭 、 又 因 他 所 遭 的 災 殃 嗤 笑 。
Hỡi các ngươi là kẻ hay giương cung! hãy dàn trận nghịch cùng Ba-by-lôn chung quanh; hãy bắn nó, đừng tiếc tên: vì nó đã phạm tội nghịch cùng Đức Giê-hô-va.|所 有 拉 弓 的 、 你 們 要 在 巴 比 倫 的 四 圍 擺 陣 、 射 箭 攻 擊 他 ． 不 要 愛 惜 箭 枝 、 因 他 得 罪 了 耶 和 華 。
Khá kêu la nghịch cùng nó khắp tư bề. Nó đã hàng đầu, lũy nó sập xuống, tường thành nó nghiêng đổ: ấy là sự báo thù của Đức Giê-hô-va! Hãy trả thù nó: làm cho nó như nó đã làm.|你 們 要 在 他 四 圍 吶 喊 ． 他 已 經 投 降 ． 外 郭 坍 塌 了 、 城 牆 拆 毀 了 ． 因 為 這 是 耶 和 華 報 仇 的 事 ． 你 們 要 向 巴 比 倫 報 仇 、 他 怎 樣 待 人 、 也 要 怎 樣 待 他 。
Hãy diệt những kẻ gieo giống trong Ba-by-lôn, cùng kẻ cầm liềm trong mùa gặt; vì sợ gươm kẻ ức hiếp, ai nầy sẽ trở về dân mình, ai nầy sẽ trốn về đất mình.|你 們 要 將 巴 比 倫 撒 種 的 、 和 收 割 時 拿 鐮 刀 的 、 都 剪 除 了 ． 他 們 各 人 、 因 怕 欺 壓 的 刀 劍 、 必 歸 回 本 族 、 逃 到 本 土 。
Y-sơ-ra-ên là một con chiên tan lạc, bị sư tử đuổi theo. Trước hết vua A-si-ri đã vồ nuốt nó; nay sau hết Nê-bu-cát-nết-sa, vua Ba-by-lôn, đã làm tan xương nó ra.|以 色 列 是 打 散 的 羊 、 是 被 獅 子 趕 出 的 ． 首 先 是 亞 述 王 將 他 吞 滅 、 末 後 是 巴 比 倫 王 尼 布 甲 尼 撒 將 他 的 骨 頭 折 斷 。
Vậy nên, Đức Giê-hô-va vạn quân, Đức Chúa Trời của Y-sơ-ra-ên, phán như vầy: Nầy, ta sẽ phạt vua Ba-by-lôn và đất nó, như đã phạt vua A-si-ri.|所 以 萬 軍 之 耶 和 華 以 色 列 的 　 神 如 此 說 、 我 必 罰 巴 比 倫 王 、 和 他 的 地 、 像 我 從 前 罰 亞 述 王 一 樣 。
Đoạn ta sẽ đem Y-sơ-ra-ên về trong đồng cỏ nó. Nó sẽ ăn cỏ trên Cạt-mên và Ba-san, lòng nó sẽ được no nê trên các đồn Ep-ra-im và Ga-la-át.|我 必 再 領 以 色 列 回 他 的 草 場 ． 他 必 在 迦 密 和 巴 珊 喫 草 、 又 在 以 法 蓮 山 上 、 和 基 列 境 內 、 得 以 飽 足 。
Đức Giê-hô-va phán: Trong những ngày đó bấy giờ, người ta sẽ tìm sự gian ác của Y-sơ-ra-ên, mà không có nữa; tìm tội lỗi của Giu-đa, mà chẳng thấy nữa đâu; vì ta sẽ tha tội cho những kẻ trong vòng chúng nó mà ta đã chừa lại.|耶 和 華 說 、 當 那 日 子 、 那 時 候 、 雖 尋 以 色 列 的 罪 孽 、 一 無 所 有 ． 雖 尋 猶 大 的 罪 惡 、 也 無 所 見 ． 因 為 我 所 留 下 的 人 、 我 必 赦 免 。
Đức Giê-hô-va phán: Hãy lên đánh đất Mê-ra-tha-im, và dân cư Phê-cốt; hãy giết và diệt hết theo sau nó, và làm y như mọi điều ta đã dặn ngươi!|耶 和 華 說 上 去 攻 擊 米 拉 大 翁 之 地 、 又 攻 擊 比 割 的 居 民 ． 要 追 殺 滅 盡 、 照 我 一 切 所 吩 咐 你 的 去 行 。
Tiếng kêu về giặc giã vang động trong đất; tai vạ lớn lắm.|境 內 有 打 仗 和 大 毀 滅 的 響 聲 。
Cái búa của cả đất đã bị bẻ gãy là dường nào! Ba-by-lôn đã trở nên hoang vu gia các nước là dường nào!|全 地 的 大 錘 、 何 竟 砍 斷 破 壞 ． 巴 比 倫 在 列 國 中 、 何 竟 荒 涼 。
Hãy Ba-by-lôn, ta đã gài bẫy, và ngươi đã mắc vào là không biết! Ngươi đã bị tìm và bắt được, vì đã tranh cạnh cùng Đức Giê-hô-va.|巴 比 倫 哪 、 我 為 你 設 下 網 羅 、 你 不 知 不 覺 被 纏 住 ． 你 被 尋 著 、 也 被 捉 住 、 因 為 你 與 耶 和 華 爭 競 。
