
					I Các Vua 1				|
Ba-ê-sa hay được điều đó, liền thôi xây đắp đồn Ra-ma, mà rút về ở tại Tiệt-sa.|巴 沙 聽 見 、 就 停 工 、 不 修 築 拉 瑪 了 、 仍 住 在 得 撒 。
Vua A-sa bèn nhóm hết thảy người Giu-đa, không trừ một ai; chúng đem đi những đá và gỗ mà Ba-ê-sa đã dùng xây đắp đồn Ra-ma. Vua A-sa dùng đồ ấy đặng xây cất Ghê-ba trong xứ Bên-gia-min, và Mích-ba.|於 是 亞 撒 王 宣 告 猶 大 眾 人 、 不 准 一 個 推 辭 、 吩 咐 他 們 將 巴 沙 修 築 拉 瑪 所 用 的 石 頭 、 木 頭 、 都 運 去 、 用 以 修 築 便 雅 憫 的 迦 巴 、 和 米 斯 巴 。
Các công việc khác của A-sa, quyền thế của người, mọi việc người làm, và các thành người xây cất, đều đã chép trong sử ký của các vua Giu-đa. Khi người đã già rồi, thì đau chơn.|亞 撒 其 餘 的 事 、 凡 他 所 行 的 、 並 他 的 勇 力 、 與 他 所 建 築 的 城 邑 、 都 寫 在 猶 大 列 王 記 上 。 亞 撒 年 老 的 時 候 、 腳 上 有 病 。
A-sa an giấc cùng tổ phụ người, và được chôn với họ trong thành Đa-vít, tổ tiên người. Giô-sa-phát, con trai người, kế vị người.|亞 撒 與 他 列 祖 同 睡 、 葬 在 他 祖 大 衛 城 、 他 列 祖 的 墳 地 裡 ． 他 兒 子 約 沙 法 接 續 他 作 王 。
Năm thứ hai đời A-sa, vua Giu-đa, Na-đáp, con trai Giê-rô-bô-am, lên ngôi làm vua Y-sơ-ra-ên, và trị vì trên Y-sơ-ra-ên hai năm.|猶 大 王 亞 撒 第 二 年 、 耶 羅 波 安 的 兒 子 拿 答 登 基 作 以 色 列 王 共 二 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, đi theo đường của tổ phụ mình, phạm tội mà Giê-rô-bô-am đã phạm và khiến cho Y-sơ-ra-ên can phạm nữa.|拿 答 行 耶 和 華 眼 中 看 為 惡 的 事 、 行 他 父 親 所 行 的 、 犯 他 父 親 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Ba-ê-se, con trai A-hi-gia, về nhà Y-sa-ca, làm phản người; trong lúc Na-đáp và cả Y-sơ-ra-ên vây Ghi-bê-thôn, vốn thuộc về dân Phi-li-tin, thì Ba-ê-se giết người tại đó.|以 薩 迦 人 亞 希 雅 的 兒 子 巴 沙 背 叛 拿 答 、 在 非 利 士 的 基 比 頓 殺 了 他 ． 那 時 拿 答 和 以 色 列 眾 人 正 圍 困 基 比 頓 。
Ay là nhằm năm thứ ba đời A-sa, vua Giu-đa, mà Ba-ê-sa giết Na-đáp và trị vì thế cho người.|在 猶 大 王 亞 撒 第 三 年 巴 沙 殺 了 他 、 篡 了 他 的 位 。
Vừa khi người lên ngôi làm vua, thì giết hết thảy người thuộc về nhà Giê-rô-bô-am, không để sót một ai, đến đỗi đã diệt hết trong nhà Giê-rô-bô-am, theo như lời Đức Giê-hô-va đã cậy miệng A-hi-gia, kẻ tôi tớ Ngài ở Si-lô, mà phán ra;|巴 沙 一 作 王 、 就 殺 了 耶 羅 波 安 的 全 家 ． 凡 有 氣 息 的 、 沒 有 留 下 一 個 、 都 滅 盡 了 、 正 應 驗 耶 和 華 藉 他 僕 人 示 羅 人 亞 希 雅 所 說 的 話 。
ấy vì cớ tội lỗi của Giê-rô-bô-am đã phạm làm cho Y-sơ-ra-ên cũng phạm tội, và chọc giận Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.|這 是 因 為 耶 羅 波 安 所 犯 的 罪 、 使 以 色 列 人 陷 在 罪 裡 、 惹 動 耶 和 華 以 色 列 　 神 的 怒 氣 。
Các công sự khác của Na-đáp, mọi việc người làm, đều đã chép trong sử ký của các vua Y-sơ -a-ên.|拿 答 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 以 色 列 諸 王 記 上 。
Vả, A-sa, vua Giu-đa, và Ba-ê-sa, vua Y-sơ-ra-ên, đánh giặc nhau trọn đời mình.|亞 撒 和 以 色 列 王 巴 沙 在 世 的 日 子 、 常 常 爭 戰 。
Năm thứ ba đời A-sa, vua Giu-đa, thì Ba-ê-sa, con trai A-hi-gia, lên làm vua của Y-sơ-ra-ên; người ở tại Tiệt-sa, và cai trị hai mươi bốn năm.|猶 大 王 亞 撒 第 三 年 、 亞 希 雅 的 兒 子 巴 沙 在 得 撒 登 基 作 以 色 列 眾 人 的 王 、 共 二 十 四 年 。
Người làm điều ác trước mặt Đức Giê-hô-va, đi theo đường của Giê-rô-bô-am, và tội lỗi mà Giê-rô-bô-am đã phạm làm cho Y-sơ-ra-ên cũng phạm tội.|他 行 耶 和 華 眼 中 看 為 惡 的 事 、 行 耶 羅 波 安 所 行 的 道 、 犯 他 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。

					I Các Vua 16				|
						列王紀上 16					
Bấy giờ, lời của Đức Giê-hô-va phán cho Giê-hu, con trai của Hu-na-ni, nghịch cùng Ba-ê-sa, mà rằng:|耶 和 華 的 話 臨 到 哈 拿 尼 的 兒 子 耶 戶 、 責 備 巴 沙 、 說 、
Ta đã cất ngươi lên khỏi bụi đất và lập ngươi làm vua chúa dân Y-sơ-ra-ên ta; song ngươi đã đi theo đường của Giê-rô-bô-am, xui cho dân Y-sơ-ra-ên ta phạm tội, và vì tội chúng nó, chọc giận ta.|我 既 從 塵 埃 中 提 拔 你 、 立 你 作 我 民 以 色 列 的 君 、 你 竟 行 耶 羅 波 安 所 行 的 道 、 使 我 民 以 色 列 陷 在 罪 裡 、 惹 我 發 怒 ．
Nhân vì cớ ấy, ta sẽ quét sạch Ba-ê-sa và nhà nó, làm cho nhà nó giống như nhà Giê-rô-bô-am, con trai của Nê-bát vậy.|我 必 除 盡 你 和 你 的 家 、 使 你 的 家 像 尼 八 的 兒 子 耶 羅 波 安 的 家 一 樣 。
Phàm kẻ nào thuộc về Ba-ê-sa chết tại trong thành sẽ bị chó ăn, phàm kẻ nào chết ngoài đồng sẽ bị chim trời rỉa ăn.|凡 屬 巴 沙 的 人 、 死 在 城 中 的 、 必 被 狗 喫 、 死 在 田 野 的 、 必 被 空 中 的 鳥 喫 。
Các công việc khác của Ba-ê-sa, những việc người làm, và quyền thế người, đều đã chép trong sách sử ký của các vua Y-sơ-ra-ên.|巴 沙 其 餘 的 事 、 凡 他 所 行 的 、 和 他 的 勇 力 、 都 寫 在 以 色 列 諸 王 記 上 。
Ba-ê-sa an giấc cùng các tổ phụ người, và được chôn tại Tiệt-sa, Ê-la, con trai người, kế vị người.|巴 沙 與 他 列 祖 同 睡 、 葬 在 得 撒 ． 他 兒 子 以 拉 接 續 他 作 王 。
Lời của Đức Giê-hô-va lại cậy tiên tri Giê-hu, con trai Ha-na-ni, mà phán nghịch cùng Ba-ê-sa và nhà người, chẳng những vì cớ các tội ác của người đã làm trước mặt Đức Giê-hô-va, lấy công việc của tay mình mà chọc cho Ngài giận, và vì làm giống như nhà của Giê-rô-bô-am, mà lại bởi vì người đã hủy diệt nhà ấy.|耶 和 華 的 話 臨 到 哈 拿 尼 的 兒 子 、 先 知 耶 戶 、 責 備 巴 沙 、 和 他 的 家 、 因 他 行 耶 和 華 眼 中 看 為 惡 的 一 切 事 、 以 他 手 所 作 的 惹 耶 和 華 發 怒 、 像 耶 羅 波 安 的 家 一 樣 、 又 因 他 殺 了 耶 羅 波 安 的 全 家 。
Năm thứ hai mươi sáu đời A-sa, vua Giu-đa, thì Ê-la, con trai Ba-ê-sa, lên làm vua Y-sơ-ra-ên. Người ở tại Tiệt-sa, và cai trị hai năm.|猶 大 王 亞 撒 二 十 六 年 、 巴 沙 的 兒 子 以 拉 在 得 撒 登 基 作 以 色 列 王 、 共 二 年 。
Xim-ri, kẻ tôi tớ Ê-la, làm tướng coi phân nửa xe binh, làm phản người. Ê-la, ở Tiệt-sa, làm quan cai đền người tại thành ấy.|有 管 理 他 一 半 戰 車 的 臣 子 心 利 背 叛 他 ． 當 他 在 得 撒 家 宰 亞 雜 家 裡 喝 醉 的 時 候 、
Xim-ri bèn vào giết người, nhằm năm hai mươi bảy đời A-sa, vua Giu-đa, và cai trị thay cho người.|心 利 就 進 去 殺 了 他 、 篡 了 他 的 位 ． 這 是 猶 大 王 亞 撒 二 十 七 年 的 事 。
Xảy khi Xim-ri vừa lên ngôi làm vua, thì người giết hết thảy nhà Ba-ê-sa, chẳng để lại một nam đinh nào hết, hoặc bà con hay là bằng hữu người cũng vậy.|心 利 一 坐 王 位 、 就 殺 了 巴 沙 的 全 家 ． 連 他 的 親 屬 、 朋 友 、 也 沒 有 留 下 一 個 男 丁 。
Vì các tội lỗi mà Ba-ê-sa và Ê-la con trai người đã phạm, tức là tội đã gây cho Y-sơ-ra-ên can phạm, và vì các sự hư không của chúng nó chọc giận Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên,|心 利 這 樣 滅 絕 巴 沙 的 全 家 、 正 如 耶 和 華 藉 先 知 耶 戶 責 備 巴 沙 的 話 ．
nên Xim-ri diệt hết cả nhà Ba-ê-sa, y như lời Đức Giê-hô-va đã cậy miệng Giê-hu là đấng tiên tri, mà phán ra cho Ba-ê-sa.|這 是 因 巴 沙 和 他 兒 子 以 拉 的 一 切 罪 、 就 是 他 們 使 以 色 列 人 陷 在 罪 裡 的 那 罪 、 以 虛 無 的 神 惹 耶 和 華 以 色 列 　 神 的 怒 氣 。
Các công việc khác của Ê-la, và mọi việc người làm, đều đã chép trong sử ký của các vua Y-sơ-ra-ên.|以 拉 其 餘 的 事 、 凡 他 所 行 的 、 都 寫 在 以 色 列 諸 王 記 上 。
Năm thứ hai mươi bảy đời A-sa, vua Giu-đa, thì Xim-ri lên ngôi làm vua bảy ngày tại Tiệt-sa. Bấy giờ, quân lính Y-sơ-ra-ên đương vây Ghi-bê-thôn, là thành vốn thuộc về dân Phi-li-tin.|猶 大 王 亞 撒 二 十 七 年 、 心 利 在 得 撒 作 王 七 日 。 那 時 民 正 安 營 圍 攻 非 利 士 的 基 比 頓 。
Khi đạo binh hay tin này rằng: Xim-ri đã phản nghịch và giết vua, thì cũng một ngày đó, trong dinh, cả Y-sơ-ra-ên đều lập Om-ri, là quan tổng binh, làm vua trên Y-sơ-ra-ên.|民 在 營 中 聽 說 心 利 背 叛 、 又 殺 了 王 、 故 此 以 色 列 眾 人 當 日 在 營 中 立 元 帥 暗 利 作 以 色 列 王 。
Om-ri và cả Y-sơ-ra-ên từ Ghi-bê-thôn đi lên vây Tiệt-sa.|暗 利 率 領 以 色 列 眾 人 、 從 基 比 頓 上 去 、 圍 困 得 撒 。
Xảy khi Xim-ri thấy thành đã bị hãm, thì đi vào đồn lũy của cung vua mà đốt chính mình luôn với cung vua, rồi chết|心 利 見 城 破 失 、 就 進 了 王 宮 的 衛 所 、 放 火 焚 燒 宮 殿 、 自 焚 而 死 ．
vì những tội lỗi người đã phạm, làm điều ác trước mặt Đức Giê-hô-va, bắt chước theo đường của Giê-rô-bô-am đã phạm, tức tội đã gây cho Y-sơ-ra-ên can phạm.|這 是 因 他 犯 罪 、 行 耶 和 華 眼 中 看 為 惡 的 事 、 行 耶 羅 波 安 所 行 的 、 犯 他 使 以 色 列 人 陷 在 罪 裡 的 那 罪 。
Các chuyện khác của Xim-ri, sự người làm phản, đều đã chép trong sử ký của các vua Y-sơ-ra-ên.|心 利 其 餘 的 事 和 他 背 叛 的 情 形 、 都 寫 在 以 色 列 諸 王 記 上 。
Bấy giờ, dân Y-sơ-ra-ên chia làm hai phe: phe này theo Típ-ni, con trai Ghi-nát, và muốn lập người làm vua; phe kia theo Om-ri.|那 時 以 色 列 民 分 為 兩 半 ． 一 半 隨 從 基 納 的 兒 子 提 比 尼 、 要 立 他 作 王 ． 一 半 隨 從 暗 利 。
Nhưng phe theo Om-ri thắng hơn phe theo Típ-ni, con trai Ghi-nát. Vậy, Típ-ni chết và Om-ri cai trị.|但 隨 從 暗 利 的 民 、 勝 過 隨 從 基 納 的 兒 子 提 比 尼 的 民 ． 提 比 尼 死 了 、 暗 利 就 作 了 王 。
Năm thứ ba mươi mốt đời A-sa, vua Giu-đa, thì Om-ri lên ngôi làm vua Y-sơ-ra-ên, và cai trị mười hai năm. Người trị vì sáu năm tại Tiệt-sa.|猶 大 王 亞 撒 三 十 一 年 、 暗 利 登 基 作 以 色 列 王 共 十 二 年 ． 在 得 撒 作 王 六 年 。
Đoạn, người mua hòn núi Sa-ma-ri của Sê-me, giá là hai ta lâng bạc. Trên núi ấy, người cất một cái thành lấy tên Sê-me, là tên chủ núi Sa-ma-ri mà đặt tên cho thành.|暗 利 用 二 他 連 得 銀 子 、 向 撒 瑪 買 了 撒 瑪 利 亞 山 ． 在 山 上 造 城 、 就 按 著 山 的 原 主 撒 瑪 的 名 、 給 所 造 的 城 起 名 叫 撒 瑪 利 亞 。
Om-ri làm điều ác trước mặt Đức Giê-hô-va, ăn ở tệ hơn các người tiên bối người.|暗 利 行 耶 和 華 眼 中 看 為 惡 的 事 、 比 他 以 前 的 列 王 作 惡 更 甚 。
Trong mọi sự, người bắt chước theo đường Giê-rô-bô-am, con trai Nê-bát, phạm tội mà Giê-rô-bô-am đã phạm, tức tội đã gây cho dân Y-sơ-ra-ên con phạm, và lấy những sự hư không mình mà chọc giận Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên.|因 他 行 了 尼 八 的 兒 子 耶 羅 波 安 所 行 的 、 犯 他 使 以 色 列 人 陷 在 罪 裡 的 那 罪 、 以 虛 無 的 神 惹 耶 和 華 以 色 列 　 神 的 怒 氣 。
Các chuyện khác của Om-ri, những công việc người làm, và quyền thế người, đều đã ghi trong sử ký của các vua Y-sơ-ra-ên.|暗 利 其 餘 的 事 、 和 他 所 顯 出 的 勇 力 、 都 寫 在 以 色 列 諸 王 記 上 。
Om-ri an giấc với tổ phụ mình, và được chôn tại Sa-ma-ri. A-háp, con trai người, kế vị người.|暗 利 與 他 列 祖 同 睡 、 葬 在 撒 瑪 利 亞 ． 他 兒 子 亞 哈 接 續 他 作 王 。
Năm thứ ba mươi tám đời A-sa, vua Giu-đa, thì A-háp, con trai Om-ri, lên ngôi làm vua Y-sơ-ra-ên; người ở Sa-ma-ri, cai trị trên Y-sơ-ra-ên hai mươi hai năm.|猶 大 王 亞 撒 三 十 八 年 、 暗 利 的 兒 子 亞 哈 登 基 、 作 了 以 色 列 王 ． 暗 利 的 兒 子 亞 哈 、 在 撒 瑪 利 亞 作 以 色 列 王 二 十 二 年 。
A-háp, con trai Om-ri, làm điều ác trước mặt Đức Giê-hô-va hơn hết thảy các người tiên bối mình.|暗 利 的 兒 子 亞 哈 、 行 耶 和 華 眼 中 看 為 惡 的 事 、 比 他 以 前 的 列 王 更 甚 、
Vả, người lấy sự bắt chước theo tội lỗi của Giê-rô-bô-am, con trai Nê-bát, làm nhỏ mọn, nên người đi lấy Giê-sa-bên, con gái Et-ba-anh, vua dân Si-đôn, mà làm vợ; người cũng đi hầu việc Ba-anh và thờ lạy nó.|犯 了 尼 八 的 兒 子 耶 羅 波 安 所 犯 的 罪 ． 他 還 以 為 輕 、 又 娶 了 西 頓 王 謁 巴 力 的 女 兒 耶 洗 別 為 妻 、 去 事 奉 敬 拜 巴 力 ．
Người lập một bàn thờ cho Ba-anh tại trong miễu của Ba-anh mà người đã cất tại Sa-ma-ri.|在 撒 瑪 利 亞 建 造 巴 力 的 廟 、 在 廟 裡 為 巴 力 築 壇 。
A-háp cũng dựng lên một hình tượng At-tạt-tê. Vậy, A-háp làm nhiều điều ác, chọc giận Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên hơn các vua Y-sơ-ra-ên trước mình.|亞 哈 又 作 亞 舍 拉 、 他 所 行 的 、 惹 耶 和 華 以 色 列 　 神 的 怒 氣 、 比 他 以 前 的 以 色 列 諸 王 更 甚 。
Trong đời A-háp, Hi-ên ở Bê-tên, xây lại thành Giê-ri-cô. Khi người đặt cái nền thì mất A-bi-ram, con trưởng nam mình, lúc dựng các cửa thì mất Sê-gúp, con út mình, theo như lời của Đức Giê-hô-va đã cậy Giô-suê, con trai của Nun, mà phán ra.|亞 哈 在 位 的 時 候 、 有 伯 特 利 人 希 伊 勒 重 修 耶 利 哥 城 ． 立 根 基 的 時 候 、 喪 了 長 子 亞 比 蘭 、 安 門 的 時 候 、 喪 了 幼 子 西 割 、 正 如 耶 和 華 藉 嫩 的 兒 子 約 書 亞 所 說 的 話 。

					I Các Vua 17				|
						列王紀上 17					
Ê-li ở Thi-sê-be, là một người trong bọn đã sang ngụ Ga-la-át, nói với A-háp rằng: Ta đứng trước mặt Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên hằng sống mà thề rằng: Mấy năm về sau đây, nếu ta chẳng nói, chắc sẽ không có sương, cũng không có mưa.|基 列 寄 居 的 提 斯 比 人 以 利 亞 、 對 亞 哈 說 、 我 指 著 所 事 奉 永 生 耶 和 華 以 色 列 的 　 神 起 誓 、 這 幾 年 我 若 不 禱 告 、 必 不 降 露 不 下 雨 。
Đoạn có lời của Đức Giê-hô-va phán dạy người rằng:|耶 和 華 的 話 臨 到 以 利 亞 說 、
Hãy đi khỏi đây, qua phía đông, và ẩn ngươi bên khe Kê-rít, đối ngang Giô-đanh.|你 離 開 這 裡 、 往 東 去 、 藏 在 約 但 河 東 邊 的 基 立 溪 旁 。
Ngươi sẽ uống nước của khe, và ta đã truyền cho chim quạ nuôi ngươi tại đó.|你 要 喝 那 溪 裡 的 水 ． 我 已 吩 咐 烏 鴉 在 那 裡 供 養 你 。
Vậy, Ê-li đi, vâng theo lời của Đức Giê-hô-va, và đến ở nơi mé khe Kê-rít đối ngang Giô-đanh.|於 是 以 利 亞 照 著 耶 和 華 的 話 、 去 住 在 約 但 河 東 的 基 立 溪 旁 。
Buổi mai và buổi chiều chim quạ đem bánh và thịt cho người; và người uống nước khe.|烏 鴉 早 晚 給 他 叼 餅 、 和 肉 來 ． 他 也 喝 那 溪 裡 的 水 。
Nhưng trong ít lâu, thì khe bị khô, vì trong xứ không có mưa.|過 了 些 日 子 、 溪 水 就 乾 了 、 因 為 雨 沒 有 下 在 地 上 。
Bấy giờ, có lời của Đức Giê-hô-va phán dạy Ê-li rằng:|耶 和 華 的 話 臨 到 他 、 說 、
Hãy chổi dậy, đi đến Sa-rép-ta, thành thuộc về Si-đôn, và ở tại đó; kìa, ta đã truyền cho một người góa bụa ở thành ấy lo nuôi ngươi.|你 起 身 往 西 頓 的 撒 勒 法 去 〔 撒 勒 法 與 路 加 福 音 四 章 二 十 六 節 同 〕 住 在 那 裡 ． 我 已 吩 咐 那 裡 的 一 個 寡 婦 供 養 你 。
Vậy, người đứng dậy đi đến Sa-rép-ta. Khi đến cửa thành, người thấy một người đờn bà góa lượm củi, bèn kêu mà nói rằng: Ta xin ngươi hãy đi múc một chút nước trong bình để cho ta uống.|以 利 亞 就 起 身 往 撒 勒 法 去 、 到 了 城 門 、 見 有 一 個 寡 婦 在 那 裡 撿 柴 ． 以 利 亞 呼 叫 他 、 說 、 求 你 用 器 皿 取 點 水 來 給 我 喝 。
Nàng bèn đi múc nước. Nhưng người kêu lại và nói với nàng rằng: Cũng hãy đem trong tay ngươi cho ta một miếng bánh nữa.|他 去 取 水 的 時 候 、 以 利 亞 又 呼 叫 他 、 說 、 也 求 你 拿 點 餅 來 給 我 。
Nàng đáp: Tôi chỉ mạng sống của Giê-hô-va Đức Chúa Trời của ông mà thề, tôi không có bánh, chỉ có một nắm bột trong vò và một chút dầu trong bình; này tôi lượm hai khúc củi, đoạn về nấu dọn cho tôi và con trai tôi; khi ăn rồi, chúng tôi sẽ chết.|他 說 、 我 指 著 永 生 耶 和 華 你 的 　 神 起 誓 、 我 沒 有 餅 、 罈 內 只 有 一 把 麵 、 瓶 裡 只 有 一 點 油 ． 我 現 在 找 兩 根 柴 、 回 家 要 為 我 和 我 兒 子 作 餅 ． 我 們 喫 了 、 死 就 死 罷 。
Nhưng Ê-li tiếp rằng: Chớ sợ chi, hãy trở về, làm y như ngươi đã nói; song trước hãy dùng bột ấy làm cho ta một cái bánh nhỏ, rồi đem ra cho ta; kế sau ngươi sẽ làm cho ngươi và cho con trai ngươi.|以 利 亞 對 他 說 、 不 要 懼 怕 ． 可 以 照 你 所 說 的 去 作 罷 ． 只 要 先 為 我 作 一 個 小 餅 、 拿 來 給 我 、 然 後 為 你 和 你 的 兒 子 作 餅 。
Vì Giê-hô-va Đức Chúa Trời của Y-sơ-ra-ên phán như vậy: Bột sẽ không hết trong vò, và dầu sẽ không thiếu trong bình, cho đến ngày Đức Giê-hô-va giáng mưa xuống đất.|因 為 耶 和 華 以 色 列 的 　 神 如 此 說 、 罈 內 的 麵 必 不 減 少 、 瓶 裡 的 油 必 不 缺 短 、 直 到 耶 和 華 使 雨 降 在 地 上 的 日 子 。
Vậy, nàng đi và làm theo điều Ê-li nói. Nàng và nhà nàng, luôn với Ê-li ăn trong lâu ngày.|婦 人 就 照 以 利 亞 的 話 去 行 ． 他 和 他 家 中 的 人 、 並 以 利 亞 、 喫 了 許 多 日 子 。
Bột chẳng hết trong vò, dầu không thiếu trong bình, y như lời Đức Giê-hô-va đã cậy miệng Ê-li mà phán ra.|罈 內 的 麵 果 不 減 少 、 瓶 裡 的 油 也 不 缺 短 、 正 如 耶 和 華 藉 以 利 亞 所 說 的 話 。
Sau một ít lâu, con trai của người đờn bà, tức là chủ nhà, bị đau; bịnh rất nặng đến đỗi trong mình nó chẳng còn hơi thở.|這 事 以 後 、 作 那 家 主 母 的 婦 人 、 他 兒 子 病 了 ． 病 得 甚 重 、 以 致 身 無 氣 息 。
Người đờn bà bèn nói với Ê-li rằng: Hỡi người của Đức Chúa Trời, tôi với ông có việc chi chăng? Có phải ông đến nhà tôi đặng nhắc lại những tội lỗi tôi và giết con tôi chăng?|婦 人 對 以 利 亞 說 、 神 人 哪 、 我 與 你 何 干 、 你 竟 到 我 這 裡 來 、 使 　 神 想 念 我 的 罪 、 以 致 我 的 兒 子 死 呢 。
Người đáp với nàng rằng: hãy giao con nàng cho ta. Người bồng nó khỏi tay mẹ nó, đem lên phòng cao, chỗ người ở, và để nó nằm trên giường mình.|以 利 亞 對 他 說 、 把 你 兒 子 交 給 我 。 以 利 亞 就 從 婦 人 懷 中 將 孩 子 接 過 來 、 抱 到 他 所 住 的 樓 中 、 放 在 自 己 的 床 上 ．
Đoạn, người kêu cầu cùng Đức Giê-hô-va mà rằng: Giê-hô-va Đức Chúa Trời tôi ôi! cớ sao Ngài giáng tai họa trên người đờn bà góa này, nhà nàng là nơi tôi trú ngụ, mà giết con trai người đi?|就 求 告 耶 和 華 、 說 、 耶 和 華 我 的 　 神 阿 、 我 寄 居 在 這 寡 婦 的 家 裡 、 你 就 降 禍 與 他 、 使 他 的 兒 子 死 了 麼 。
Người nằm ấp trên mình con trẻ ba lần, lại kêu cầu cùng Đức Giê-hô-va nữa mà rằng: Oi Giê-hô-va Đức Chúa Trời tôi! xin Chúa khiến linh hồn của đứa trẻ này trở lại trong mình nó.|以 利 亞 三 次 伏 在 孩 子 的 身 上 、 求 告 耶 和 華 、 說 、 耶 和 華 我 的 　 神 阿 、 求 你 使 這 孩 子 的 靈 魂 、 仍 入 他 的 身 體 。
Đức Giê-hô-va nhậm lời của Ê-li; linh hồn của đứa trẻ trở lại trong mình nó, và nó sống lại.|耶 和 華 應 允 以 利 亞 的 話 、 孩 子 的 靈 魂 、 仍 入 他 的 身 體 、 他 就 活 了 。
Ê-li bồng đứa trẻ, đi xuống lầu, vào trong nhà dưới, giao cho mẹ nó mà nói rằng: Hãy xem, con nàng sống.|以 利 亞 將 孩 子 從 樓 上 抱 下 來 、 進 屋 子 、 交 給 他 母 親 、 說 、 看 哪 、 你 的 兒 子 活 了 。
Nàng bèn nói cùng Ê-li rằng: Bây giờ tôi nhìn biết ông là một người của Đức Chúa Trời, và lời phán của Đức Giê-hô-va ở trong miệng ông là thật.|婦 人 對 以 利 亞 說 、 現 在 我 知 道 你 是 神 人 、 耶 和 華 藉 你 口 所 說 的 話 是 真 的 。

					I Các Vua 18				|
						列王紀上 18					
Cách lâu ngày, trong năm thứ ba có lời của Đức Giê-hô-va phán dạy Ê-li rằng: Hãy đi, ra mắt A-háp: ta sẽ khiến mưa sa xuống đất.|過 了 許 久 、 到 第 三 年 、 耶 和 華 的 話 臨 到 以 利 亞 、 說 、 你 去 、 使 亞 哈 得 見 你 ． 我 要 降 雨 在 地 上 。
Vậy, Ê-li đi ra mắt A-háp. Vả, tại Sa-ma-ri có cơn đói kém quá đỗi.|以 利 亞 就 去 、 要 使 亞 哈 得 見 他 。 那 時 撒 瑪 利 亞 有 大 饑 荒 。
A-háp sai gọi Ap-đia, là quan gia tể mình. (Ap-đia rất kính sợ Đức Giê-hô-va.|亞 哈 將 他 的 家 宰 俄 巴 底 召 了 來 。 俄 巴 底 甚 是 敬 畏 耶 和 華 。
Xảy ra khi Giê-sa-bên diệt hết các đấng tiên tri đi giấu trong hai hang đá, mỗi hang năm mươi người, dùng bánh và nước mà nuôi họ.)|耶 洗 別 殺 耶 和 華 眾 先 知 的 時 候 、 俄 巴 底 將 一 百 個 先 知 藏 了 、 每 五 十 人 藏 在 一 個 洞 裡 、 拿 餅 和 水 供 養 他 們 。
A-háp nói với Ap-đia rằng: Hãy đi khắp xứ, xem hết thảy các suối và khe, có lẽ chúng ta sẽ tìm được cỏ, và cứu cho ngựa và la còn sống, không phải diệt hết các súc vật ta chăng?|亞 哈 對 俄 巴 底 說 、 我 們 走 遍 這 地 、 到 一 切 水 泉 旁 、 和 一 切 溪 邊 、 或 者 找 得 著 青 草 、 可 以 救 活 騾 馬 、 免 得 絕 了 牲 畜 。
Vậy, hai người chia xứ đặng đi tuần. A-háp đi một mình con đường này, và Ap-đia đi một mình con đường kia.|於 是 二 人 分 地 遊 行 、 亞 哈 獨 走 一 路 、 俄 巴 底 獨 走 一 路 。
Ap-đia đương đi đường, thì gặp Ê-li ra đón mình. Ap-đia nhìn biết người, sấp mình xuống đất, mà thưa rằng: Hỡi Ê-li chúa tôi! có phải ông chăng?|俄 巴 底 在 路 上 恰 與 以 利 亞 相 遇 、 俄 巴 底 認 出 他 來 、 就 俯 伏 在 地 、 說 、 你 是 我 主 以 利 亞 不 是 。
Người đáp: Ừ phải ta. Ngươi hãy đi nói với chủ ngươi rằng: Ê-li ở đây.|回 答 說 、 是 、 你 去 告 訴 你 主 人 、 說 、 以 利 亞 在 這 裡 。
Ap-đia tiếp rằng: Tôi có phạm tội gì, mà ông muốn phó kẻ tôi tớ ông vào tay A-háp, hầu cho người giết tôi đi?|俄 巴 底 說 、 僕 人 有 甚 麼 罪 、 你 竟 要 將 我 交 在 亞 哈 手 裡 、 使 他 殺 我 呢 。
Tôi chỉ Giê-hô-va Đức Chúa Trời hằng sống của ông mà thề, chẳng dân nào nước nào mà chủ tôi không sai đến tìm ông và khi người ta đáp rằng: Ê-li không có đây, thì người bắt nước bắt dân ấy thề rằng không ai gặp ông.|我 指 著 永 生 耶 和 華 你 的 　 神 起 誓 、 無 論 那 一 邦 、 那 一 國 、 我 主 都 打 發 人 去 找 你 ． 若 說 你 沒 有 在 那 裡 、 就 必 使 那 邦 那 國 的 人 起 誓 、 說 、 實 在 是 找 不 著 你 。
Mà bây giờ, ông lại nói với tôi tớ rằng: Hãy đi nói với chủ ngươi: Ê-li ở đây.|現 在 你 說 、 要 去 告 訴 你 主 人 、 說 、 以 利 亞 在 這 裡 ．
